"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.239,2.239,210.747,185.397,176.292
0.001,0.023,2.255,2.255,210.726,185.388,176.299
0.002,0.047,2.272,2.272,210.707,185.378,176.307
0.004,0.070,2.289,2.289,210.689,185.367,176.315
0.005,0.093,2.307,2.307,210.673,185.353,176.325
0.006,0.117,2.326,2.326,210.660,185.337,176.337
0.007,0.143,2.347,2.347,210.650,185.317,176.352
0.009,0.174,2.369,2.369,210.645,185.293,176.369
0.010,0.210,2.394,2.394,210.645,185.264,176.391
0.011,0.253,2.421,2.421,210.651,185.229,176.416
0.012,0.305,2.452,2.452,210.663,185.188,176.446
0.014,0.368,2.487,2.487,210.682,185.140,176.481
0.015,0.442,2.526,2.526,210.710,185.084,176.521
0.016,0.530,2.573,2.573,210.746,185.019,176.568
0.017,0.632,2.626,2.626,210.791,184.945,176.621
0.019,0.748,2.686,2.686,210.847,184.862,176.681
0.020,0.878,2.756,2.756,210.911,184.770,176.747
0.021,1.020,2.835,2.835,210.982,184.671,176.819
0.022,1.170,2.923,2.923,211.060,184.566,176.894
0.024,1.327,3.017,3.017,211.141,184.457,176.972
0.025,1.489,3.116,3.116,211.226,184.345,177.052
0.026,1.652,3.217,3.217,211.312,184.232,177.132
0.027,1.815,3.319,3.319,211.398,184.119,177.213
0.029,1.976,3.421,3.421,211.482,184.008,177.291
0.030,2.131,3.519,3.519,211.564,183.899,177.368
0.031,2.280,3.613,3.613,211.641,183.795,177.440
0.032,2.419,3.701,3.701,211.712,183.697,177.508
0.034,2.546,3.784,3.784,211.776,183.606,177.570
0.035,2.659,3.860,3.860,211.831,183.525,177.625
0.036,2.756,3.929,3.929,211.876,183.453,177.673
0.037,2.838,3.992,3.992,211.912,183.391,177.712
0.039,2.906,4.047,4.047,211.939,183.337,177.745
0.040,2.962,4.095,4.095,211.959,183.292,177.772
0.041,3.008,4.135,4.135,211.973,183.254,177.793
0.042,3.044,4.167,4.167,211.983,183.222,177.808
0.044,3.073,4.192,4.192,211.989,183.197,177.820
0.045,3.096,4.212,4.212,211.992,183.175,177.827
0.046,3.114,4.227,4.227,211.995,183.158,177.830
0.047,3.128,4.238,4.238,211.997,183.144,177.831
0.049,3.140,4.247,4.247,212.000,183.133,177.830
0.050,3.152,4.254,4.254,212.005,183.123,177.827
0.051,3.165,4.260,4.260,212.014,183.113,177.823
0.052,3.182,4.265,4.265,212.027,183.104,177.819
0.054,3.204,4.271,4.271,212.046,183.094,177.814
0.055,3.230,4.276,4.276,212.070,183.083,177.810
0.056,3.262,4.281,4.281,212.099,183.071,177.807
0.057,3.296,4.286,4.286,212.131,183.058,177.803
0.059,3.333,4.291,4.291,212.166,183.046,177.800
0.060,3.372,4.296,4.296,212.203,183.033,177.797
0.061,3.413,4.302,4.302,212.241,183.020,177.795
0.062,3.453,4.308,4.308,212.279,183.007,177.793
0.064,3.494,4.313,4.313,212.318,182.995,177.791
0.065,3.533,4.318,4.318,212.355,182.983,177.790
0.066,3.569,4.323,4.323,212.390,182.972,177.789
0.067,3.603,4.327,4.327,212.422,182.962,177.788
0.069,3.633,4.330,4.330,212.451,182.952,177.788
0.070,3.659,4.331,4.331,212.475,182.944,177.788
0.071,3.680,4.330,4.330,212.494,182.938,177.789
0.072,3.695,4.328,4.328,212.509,182.932,177.790
0.074,3.706,4.324,4.324,212.519,182.928,177.792
0.075,3.714,4.320,4.320,212.527,182.926,177.793
