"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.133,2.133,-70.754,-48.897,-1.729
0.001,0.103,2.182,2.182,-70.706,-48.864,-1.643
0.003,0.206,2.230,2.230,-70.659,-48.831,-1.558
0.004,0.308,2.278,2.278,-70.612,-48.799,-1.474
0.005,0.408,2.326,2.326,-70.564,-48.770,-1.390
0.006,0.507,2.373,2.373,-70.516,-48.744,-1.308
0.008,0.604,2.419,2.419,-70.467,-48.723,-1.227
0.009,0.699,2.464,2.464,-70.419,-48.706,-1.148
0.010,0.791,2.509,2.509,-70.369,-48.694,-1.071
0.011,0.881,2.552,2.552,-70.320,-48.689,-0.996
0.013,0.969,2.593,2.593,-70.269,-48.691,-0.924
0.014,1.055,2.633,2.633,-70.218,-48.701,-0.855
0.015,1.141,2.670,2.670,-70.166,-48.720,-0.789
0.016,1.227,2.706,2.706,-70.113,-48.747,-0.727
0.018,1.313,2.738,2.738,-70.061,-48.781,-0.668
0.019,1.398,2.768,2.768,-70.009,-48.821,-0.614
0.020,1.481,2.795,2.795,-69.959,-48.865,-0.563
0.021,1.562,2.819,2.819,-69.910,-48.911,-0.517
0.023,1.640,2.839,2.839,-69.864,-48.957,-0.476
0.024,1.712,2.856,2.856,-69.822,-49.003,-0.440
0.025,1.778,2.871,2.871,-69.783,-49.046,-0.409
0.026,1.836,2.883,2.883,-69.748,-49.085,-0.383
0.028,1.885,2.892,2.892,-69.719,-49.119,-0.362
0.029,1.924,2.899,2.899,-69.696,-49.146,-0.348
0.030,1.950,2.905,2.905,-69.678,-49.164,-0.339
0.031,1.967,2.908,2.908,-69.666,-49.174,-0.334
0.033,1.978,2.910,2.910,-69.656,-49.178,-0.332
0.034,1.987,2.913,2.913,-69.647,-49.178,-0.330
0.035,1.998,2.917,2.917,-69.637,-49.175,-0.325
0.036,2.015,2.923,2.923,-69.624,-49.170,-0.317
0.038,2.039,2.933,2.933,-69.606,-49.165,-0.301
0.039,2.075,2.947,2.947,-69.580,-49.162,-0.278
0.040,2.124,2.968,2.968,-69.545,-49.162,-0.243
0.041,2.190,2.995,2.995,-69.498,-49.167,-0.196
0.043,2.277,3.029,3.029,-69.439,-49.179,-0.134
0.044,2.388,3.072,3.072,-69.364,-49.199,-0.055
0.045,2.524,3.123,3.123,-69.273,-49.227,0.042
0.046,2.681,3.183,3.183,-69.169,-49.264,0.154
0.048,2.855,3.253,3.253,-69.055,-49.307,0.279
0.049,3.042,3.332,3.332,-68.934,-49.355,0.413
0.050,3.238,3.422,3.422,-68.810,-49.408,0.554
0.051,3.437,3.523,3.523,-68.685,-49.463,0.699
0.053,3.635,3.632,3.632,-68.563,-49.521,0.845
0.054,3.829,3.746,3.746,-68.446,-49.579,0.988
0.055,4.014,3.861,3.861,-68.339,-49.637,1.127
0.056,4.185,3.974,3.974,-68.244,-49.693,1.259
0.058,4.339,4.081,4.081,-68.164,-49.746,1.379
0.059,4.473,4.178,4.178,-68.103,-49.794,1.487
0.060,4.585,4.261,4.261,-68.060,-49.839,1.581
0.061,4.680,4.327,4.327,-68.033,-49.882,1.661
0.063,4.761,4.374,4.374,-68.020,-49.922,1.730
0.064,4.831,4.405,4.405,-68.019,-49.962,1.788
0.065,4.894,4.422,4.422,-68.028,-50.002,1.836
0.066,4.954,4.426,4.426,-68.044,-50.044,1.875
0.068,5.012,4.418,4.418,-68.067,-50.088,1.905
0.069,5.072,4.402,4.402,-68.092,-50.136,1.929
0.070,5.133,4.378,4.378,-68.119,-50.189,1.947
0.071,5.199,4.349,4.349,-68.145,-50.248,1.959
0.073,5.269,4.316,4.316,-68.169,-50.314,1.967
0.074,5.345,4.281,4.281,-68.187,-50.387,1.972
0.075,5.424,4.246,4.246,-68.201,-50.465,1.974
0.076,5.505,4.211,4.211,-68.211,-50.545,1.975
0.078,5.585,4.178,4.178,-68.216,-50.625,1.976
0.079,5.661,4.150,4.150,-68.217,-50.701,1.977
0.080,5.732,4.127,4.127,-68.214,-50.772,1.978
0.081,5.793,4.110,4.110,-68.207,-50.833,1.982
0.083,5.844,4.102,4.102,-68.197,-50.882,1.989
0.084,5.883,4.099,4.099,-68.183,-50.917,1.999
0.085,5.911,4.102,4.102,-68.167,-50.934,2.014
0.086,5.940,4.109,4.109,-68.148,-50.932,2.035
0.088,5.983,4.120,4.120,-68.126,-50.906,2.062
0.089,6.046,4.132,4.132,-68.101,-50.859,2.095
0.090,6.124,4.145,4.145,-68.072,-50.798,2.135
0.091,6.212,4.157,4.157,-68.037,-50.730,2.180
0.093,6.305,4.168,4.168,-67.997,-50.663,2.230
0.094,6.399,4.178,4.178,-67.948,-50.604,2.284
0.095,6.492,4.185,4.185,-67.891,-50.561,2.343
0.096,6.585,4.191,4.191,-67.824,-50.541,2.404
0.098,6.687,4.193,4.193,-67.745,-50.551,2.469
0.099,6.809,4.192,4.192,-67.655,-50.599,2.535
0.100,6.965,4.188,4.188,-67.551,-50.692,2.604
0.101,7.165,4.180,4.180,-67.432,-50.838,2.673
0.103,7.420,4.168,4.168,-67.298,-51.043,2.743
0.104,7.725,4.153,4.153,-67.150,-51.300,2.814
0.105,8.071,4.137,4.137,-66.992,-51.600,2.886
0.106,8.451,4.120,4.120,-66.826,-51.934,2.959
0.108,8.853,4.105,4.105,-66.654,-52.290,3.034
0.109,9.269,4.091,4.091,-66.481,-52.659,3.111
0.110,9.687,4.081,4.081,-66.308,-53.032,3.190
0.111,10.099,4.076,4.076,-66.138,-53.398,3.272
0.113,10.493,4.076,4.076,-65.974,-53.747,3.356
0.114,10.861,4.083,4.083,-65.820,-54.069,3.444
0.115,11.193,4.096,4.096,-65.677,-54.355,3.535
0.116,11.481,4.116,4.116,-65.549,-54.594,3.630
0.118,11.720,4.144,4.144,-65.437,-54.782,3.728
0.119,11.918,4.179,4.179,-65.341,-54.922,3.828
0.120,12.082,4.222,4.222,-65.259,-55.021,3.929
0.121,12.218,4.274,4.274,-65.189,-55.084,4.028
0.123,12.335,4.334,4.334,-65.132,-55.117,4.125
0.124,12.438,4.400,4.400,-65.085,-55.125,4.217
0.125,12.533,4.469,4.469,-65.048,-55.113,4.302
0.126,12.620,4.537,4.537,-65.019,-55.088,4.380
0.128,12.699,4.602,4.602,-64.997,-55.055,4.449
0.129,12.768,4.662,4.662,-64.981,-55.020,4.507
0.130,12.825,4.712,4.712,-64.970,-54.987,4.552
0.131,12.865,4.750,4.750,-64.963,-54.963,4.583
0.133,12.889,4.774,4.774,-64.958,-54.948,4.601
0.134,12.900,4.786,4.786,-64.955,-54.942,4.610
0.135,12.904,4.788,4.788,-64.952,-54.944,4.612
0.136,12.912,4.784,4.784,-64.949,-54.951,4.612
0.138,12.924,4.775,4.775,-64.944,-54.963,4.612
0.139,12.942,4.766,4.766,-64.937,-54.978,4.616
0.140,12.965,4.759,4.759,-64.926,-54.995,4.626
0.141,12.996,4.757,4.757,-64.911,-55.014,4.646
0.143,13.040,4.762,4.762,-64.889,-55.031,4.680
0.144,13.099,4.775,4.775,-64.861,-55.048,4.730
0.145,13.179,4.795,4.796,-64.826,-55.061,4.800
0.146,13.281,4.822,4.822,-64.782,-55.070,4.892
0.148,13.403,4.855,4.855,-64.731,-55.076,5.003
0.149,13.542,4.894,4.894,-64.674,-55.078,5.129
0.150,13.693,4.938,4.938,-64.612,-55.078,5.267
0.151,13.853,4.986,4.986,-64.546,-55.076,5.413
0.153,14.019,5.039,5.039,-64.479,-55.072,5.564
0.154,14.185,5.095,5.094,-64.411,-55.068,5.716
0.155,14.349,5.152,5.151,-64.343,-55.063,5.865
0.156,14.506,5.209,5.208,-64.277,-55.057,6.008
0.158,14.654,5.264,5.264,-64.214,-55.053,6.141
0.159,14.787,5.317,5.316,-64.155,-55.049,6.260
0.160,14.902,5.365,5.365,-64.102,-55.047,6.363
0.161,14.999,5.407,5.407,-64.055,-55.047,6.448
0.163,15.080,5.443,5.443,-64.013,-55.049,6.516
0.164,15.147,5.471,5.472,-63.975,-55.053,6.571
0.165,15.203,5.494,5.495,-63.939,-55.059,6.614
0.166,15.251,5.512,5.514,-63.905,-55.066,6.646
0.168,15.294,5.527,5.529,-63.871,-55.076,6.671
0.169,15.334,5.540,5.542,-63.837,-55.088,6.691
0.170,15.375,5.552,5.553,-63.802,-55.101,6.706
0.171,15.418,5.564,5.564,-63.764,-55.117,6.720
0.173,15.465,5.577,5.576,-63.723,-55.135,6.734
0.174,15.518,5.592,5.589,-63.677,-55.155,6.750
0.175,15.578,5.608,5.604,-63.626,-55.177,6.771
0.176,15.643,5.626,5.621,-63.570,-55.201,6.795
0.178,15.713,5.645,5.639,-63.511,-55.226,6.823
0.179,15.786,5.665,5.659,-63.450,-55.250,6.854
0.180,15.860,5.687,5.682,-63.388,-55.273,6.888
0.181,15.934,5.709,5.707,-63.327,-55.295,6.922
0.183,16.005,5.732,5.735,-63.268,-55.315,6.958
0.184,16.074,5.756,5.764,-63.212,-55.332,6.994
0.185,16.137,5.779,5.795,-63.161,-55.344,7.030
0.186,16.195,5.803,5.826,-63.116,-55.353,7.064
0.188,16.245,5.827,5.857,-63.078,-55.355,7.097
0.189,16.288,5.850,5.886,-63.049,-55.352,7.128
0.190,16.324,5.872,5.913,-63.029,-55.342,7.157
0.191,16.358,5.892,5.936,-63.016,-55.326,7.184
0.193,16.392,5.911,5.955,-63.011,-55.306,7.211
0.194,16.430,5.929,5.970,-63.010,-55.281,7.239
0.195,16.471,5.945,5.981,-63.013,-55.252,7.269
0.196,16.517,5.958,5.989,-63.018,-55.221,7.302
