"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.129,2.129,167.506,243.216,43.655
0.001,0.249,2.253,2.253,167.693,243.380,43.654
0.002,0.496,2.377,2.377,167.879,243.543,43.653
0.004,0.740,2.498,2.498,168.061,243.705,43.651
0.005,0.980,2.617,2.617,168.240,243.865,43.649
0.006,1.213,2.732,2.732,168.412,244.022,43.646
0.007,1.438,2.843,2.843,168.577,244.175,43.641
0.008,1.654,2.949,2.949,168.732,244.325,43.636
0.010,1.859,3.048,3.048,168.878,244.469,43.628
0.011,2.052,3.140,3.140,169.011,244.608,43.619
0.012,2.231,3.225,3.225,169.131,244.740,43.608
0.013,2.395,3.303,3.303,169.235,244.866,43.595
0.014,2.543,3.374,3.374,169.324,244.984,43.579
0.015,2.675,3.439,3.439,169.395,245.094,43.560
0.017,2.794,3.498,3.498,169.450,245.197,43.539
0.018,2.902,3.551,3.551,169.490,245.294,43.515
0.019,3.002,3.598,3.598,169.517,245.387,43.488
0.020,3.096,3.640,3.640,169.532,245.476,43.460
0.021,3.188,3.677,3.677,169.536,245.562,43.428
0.023,3.280,3.710,3.710,169.531,245.648,43.395
0.024,3.373,3.740,3.740,169.519,245.733,43.359
0.025,3.469,3.766,3.766,169.500,245.819,43.321
0.026,3.569,3.791,3.791,169.476,245.907,43.281
0.027,3.674,3.815,3.815,169.448,245.999,43.238
0.029,3.783,3.838,3.838,169.419,246.094,43.194
0.030,3.898,3.860,3.860,169.388,246.195,43.148
0.031,4.016,3.884,3.884,169.356,246.298,43.101
0.032,4.135,3.909,3.909,169.325,246.402,43.053
0.033,4.254,3.934,3.934,169.293,246.507,43.005
0.035,4.371,3.958,3.958,169.262,246.609,42.958
0.036,4.484,3.982,3.982,169.233,246.708,42.912
0.037,4.591,4.005,4.005,169.205,246.801,42.868
0.038,4.691,4.027,4.027,169.179,246.889,42.827
0.039,4.781,4.046,4.046,169.155,246.967,42.789
0.040,4.861,4.063,4.063,169.135,247.036,42.755
0.042,4.927,4.077,4.077,169.118,247.093,42.725
0.043,4.979,4.088,4.088,169.105,247.137,42.700
0.044,5.018,4.096,4.096,169.096,247.168,42.680
0.045,5.044,4.103,4.103,169.090,247.189,42.665
0.046,5.061,4.108,4.108,169.086,247.201,42.653
0.048,5.072,4.112,4.112,169.085,247.206,42.644
0.049,5.078,4.115,4.115,169.086,247.207,42.638
0.050,5.083,4.118,4.118,169.087,247.207,42.633
0.051,5.087,4.120,4.120,169.089,247.206,42.629
0.052,5.091,4.122,4.122,169.091,247.207,42.626
0.054,5.098,4.125,4.125,169.092,247.212,42.623
0.055,5.110,4.128,4.128,169.092,247.224,42.618
0.056,5.132,4.133,4.133,169.090,247.245,42.612
0.057,5.164,4.139,4.139,169.085,247.276,42.604
0.058,5.208,4.147,4.147,169.079,247.318,42.594
0.060,5.261,4.157,4.157,169.070,247.369,42.581
0.061,5.323,4.169,4.169,169.060,247.428,42.566
0.062,5.393,4.184,4.184,169.048,247.495,42.549
0.063,5.469,4.202,4.202,169.036,247.568,42.531
0.064,5.551,4.221,4.221,169.022,247.645,42.511
0.065,5.636,4.243,4.243,169.009,247.727,42.489
0.067,5.724,4.266,4.266,168.995,247.810,42.466
0.068,5.813,4.290,4.290,168.982,247.896,42.442
0.069,5.903,4.315,4.315,168.969,247.981,42.417
0.070,5.992,4.340,4.340,168.957,248.065,42.391
0.071,6.080,4.366,4.366,168.947,248.148,42.364
0.073,6.164,4.392,4.392,168.938,248.228,42.336
0.074,6.247,4.418,4.418,168.930,248.304,42.308
0.075,6.326,4.444,4.444,168.924,248.377,42.279
0.076,6.401,4.469,4.469,168.918,248.446,42.248
0.077,6.473,4.494,4.494,168.914,248.511,42.217
0.079,6.542,4.519,4.519,168.911,248.571,42.185
0.080,6.606,4.543,4.543,168.908,248.626,42.151
0.081,6.665,4.567,4.567,168.907,248.675,42.117
0.082,6.721,4.590,4.590,168.906,248.718,42.081
0.083,6.773,4.612,4.612,168.906,248.754,42.044
0.085,6.821,4.633,4.633,168.907,248.783,42.006
0.086,6.866,4.652,4.652,168.908,248.805,41.967
0.087,6.909,4.671,4.671,168.910,248.821,41.927
0.088,6.950,4.687,4.687,168.913,248.833,41.887
0.089,6.990,4.702,4.702,168.917,248.841,41.849
0.090,7.028,4.716,4.716,168.921,248.848,41.812
0.092,7.063,4.727,4.727,168.927,248.854,41.777
0.093,7.096,4.737,4.737,168.933,248.862,41.746
0.094,7.126,4.744,4.744,168.940,248.872,41.719
0.095,7.154,4.750,4.750,168.948,248.887,41.697
0.096,7.181,4.753,4.753,168.958,248.906,41.680
0.098,7.212,4.755,4.755,168.968,248.933,41.670
0.099,7.249,4.755,4.755,168.980,248.968,41.666
0.100,7.295,4.753,4.753,168.993,249.012,41.670
0.101,7.349,4.749,4.749,169.007,249.063,41.681
0.102,7.411,4.743,4.743,169.022,249.121,41.697
0.104,7.477,4.736,4.736,169.037,249.182,41.717
0.105,7.547,4.728,4.728,169.052,249.246,41.741
0.106,7.618,4.719,4.719,169.068,249.310,41.768
0.107,7.689,4.710,4.710,169.083,249.373,41.795
0.108,7.757,4.701,4.701,169.097,249.434,41.824
0.110,7.821,4.692,4.692,169.111,249.490,41.851
0.111,7.879,4.683,4.683,169.124,249.540,41.877
0.112,7.928,4.675,4.675,169.135,249.582,41.900
0.113,7.967,4.669,4.669,169.145,249.615,41.920
0.114,7.996,4.663,4.663,169.153,249.638,41.935
0.115,8.015,4.658,4.658,169.160,249.652,41.946
0.117,8.027,4.653,4.653,169.165,249.659,41.954
0.118,8.033,4.650,4.650,169.169,249.661,41.958
0.119,8.036,4.647,4.647,169.171,249.659,41.960
0.120,8.040,4.644,4.644,169.171,249.656,41.959
0.121,8.046,4.642,4.642,169.170,249.651,41.956
0.123,8.052,4.640,4.640,169.168,249.648,41.951
0.124,8.059,4.638,4.638,169.164,249.648,41.945
0.125,8.070,4.636,4.636,169.158,249.652,41.937
0.126,8.084,4.633,4.633,169.152,249.662,41.929
0.127,8.106,4.629,4.629,169.143,249.680,41.920
0.129,8.135,4.624,4.624,169.134,249.705,41.910
0.130,8.172,4.616,4.616,169.122,249.738,41.899
0.131,8.216,4.607,4.607,169.109,249.779,41.885
0.132,8.269,4.595,4.595,169.093,249.826,41.869
0.133,8.329,4.580,4.580,169.074,249.879,41.848
0.135,8.397,4.564,4.564,169.052,249.939,41.824
0.136,8.473,4.546,4.546,169.026,250.004,41.794
0.137,8.557,4.526,4.526,168.997,250.073,41.758
0.138,8.649,4.505,4.505,168.964,250.148,41.715
0.139,8.749,4.484,4.484,168.926,250.226,41.665
0.140,8.858,4.462,4.462,168.884,250.309,41.607
0.142,8.977,4.439,4.439,168.836,250.394,41.540
0.143,9.105,4.417,4.417,168.784,250.483,41.464
0.144,9.241,4.395,4.395,168.726,250.574,41.381
0.145,9.386,4.374,4.374,168.664,250.670,41.291
0.146,9.539,4.355,4.355,168.596,250.768,41.196
0.148,9.699,4.337,4.337,168.523,250.870,41.097
0.149,9.865,4.321,4.321,168.446,250.976,40.994
0.150,10.038,4.308,4.308,168.363,251.086,40.890
0.151,10.216,4.298,4.298,168.276,251.199,40.784
0.152,10.399,4.291,4.291,168.184,251.317,40.677
0.154,10.587,4.287,4.287,168.087,251.438,40.572
0.155,10.779,4.285,4.285,167.985,251.564,40.469
0.156,10.975,4.286,4.286,167.878,251.694,40.369
0.157,11.172,4.288,4.288,167.768,251.826,40.272
0.158,11.370,4.292,4.292,167.657,251.960,40.179
0.160,11.565,4.296,4.296,167.545,252.093,40.091
0.161,11.755,4.300,4.300,167.434,252.224,40.007
0.162,11.939,4.303,4.303,167.326,252.351,39.929
0.163,12.114,4.306,4.306,167.223,252.472,39.857
0.164,12.277,4.309,4.309,167.126,252.585,39.791
0.165,12.427,4.311,4.311,167.036,252.689,39.732
0.167,12.560,4.313,4.313,166.956,252.783,39.680
0.168,12.676,4.316,4.316,166.886,252.863,39.636
0.169,12.771,4.318,4.318,166.829,252.930,39.599
0.170,12.844,4.321,4.321,166.785,252.981,39.571
0.171,12.898,4.324,4.324,166.753,253.020,39.551
0.173,12.937,4.328,4.328,166.733,253.051,39.536
0.174,12.967,4.334,4.334,166.723,253.077,39.526
0.175,12.993,4.340,4.340,166.722,253.101,39.519
0.176,13.021,4.348,4.348,166.728,253.129,39.514
0.177,13.058,4.357,4.357,166.741,253.163,39.510
0.179,13.105,4.368,4.368,166.758,253.207,39.506
0.180,13.167,4.380,4.380,166.779,253.265,39.499
0.181,13.247,4.395,4.395,166.803,253.340,39.490
0.182,13.348,4.412,4.412,166.828,253.437,39.476
0.183,13.474,4.432,4.432,166.852,253.559,39.456
0.185,13.626,4.455,4.455,166.876,253.707,39.429
0.186,13.803,4.482,4.482,166.898,253.879,39.397
0.187,14.000,4.514,4.514,166.921,254.072,39.360
0.188,14.214,4.551,4.552,166.943,254.281,39.319
0.189,14.442,4.596,4.596,166.965,254.504,39.276
0.190,14.680,4.647,4.648,166.988,254.736,39.230
0.192,14.925,4.707,4.707,167.011,254.975,39.183
0.193,15.172,4.776,4.775,167.036,255.216,39.135
0.194,15.418,4.852,4.851,167.062,255.457,39.089
0.195,15.661,4.935,4.934,167.090,255.693,39.044
0.196,15.895,5.022,5.021,167.120,255.922,39.001
0.198,16.119,5.113,5.111,167.153,256.140,38.962
0.199,16.329,5.205,5.203,167.187,256.344,38.927
0.200,16.527,5.297,5.296,167.225,256.536,38.896
0.201,16.711,5.387,5.387,167.264,256.714,38.870
0.202,16.883,5.475,5.475,167.306,256.879,38.847
0.204,17.043,5.558,5.560,167.350,257.032,38.829
0.205,17.191,5.636,5.640,167.396,257.172,38.815
0.206,17.328,5.709,5.715,167.443,257.300,38.805
0.207,17.454,5.776,5.785,167.492,257.415,38.799
0.208,17.569,5.837,5.849,167.543,257.519,38.799
0.210,17.674,5.891,5.906,167.596,257.610,38.802
0.211,17.770,5.937,5.956,167.649,257.690,38.810
0.212,17.858,5.975,5.999,167.704,257.757,38.823
0.213,17.940,6.005,6.034,167.760,257.815,38.840
0.214,18.017,6.028,6.062,167.816,257.862,38.860
0.215,18.090,6.044,6.083,167.874,257.902,38.882
0.217,18.160,6.054,6.098,167.932,257.934,38.906
0.218,18.229,6.060,6.107,167.990,257.962,38.930
0.219,18.296,6.062,6.113,168.048,257.985,38.954
0.220,18.362,6.062,6.114,168.107,258.005,38.976
0.221,18.427,6.061,6.113,168.165,258.024,38.997
0.223,18.490,6.060,6.110,168.222,258.044,39.014
0.224,18.552,6.059,6.105,168.280,258.064,39.027
0.225,18.613,6.058,6.099,168.336,258.087,39.035
0.226,18.675,6.058,6.092,168.391,258.115,39.038
0.227,18.737,6.060,6.086,168.445,258.145,39.035
0.229,18.799,6.062,6.081,168.497,258.179,39.028
0.230,18.860,6.065,6.078,168.545,258.214,39.018
0.231,18.918,6.070,6.076,168.589,258.249,39.005
0.232,18.972,6.077,6.078,168.629,258.283,38.990
0.233,19.021,6.085,6.082,168.663,258.316,38.976
0.235,19.064,6.094,6.089,168.691,258.345,38.962
0.236,19.099,6.104,6.098,168.712,258.370,38.950
0.237,19.124,6.114,6.107,168.724,258.390,38.940
0.238,19.140,6.123,6.117,168.728,258.404,38.934
0.239,19.148,6.130,6.126,168.723,258.409,38.933
0.240,19.164,6.136,6.133,168.707,258.407,38.937
0.242,19.190,6.138,6.137,168.684,258.397,38.946
0.243,19.224,6.138,6.139,168.656,258.383,38.957
0.244,19.259,6.135,6.136,168.627,258.367,38.970
0.245,19.293,6.129,6.132,168.600,258.350,38.982
0.246,19.321,6.123,6.126,168.578,258.336,38.993
0.248,19.340,6.118,6.121,168.565,258.326,38.999
0.249,19.344,6.114,6.117,168.562,258.322,39.001
0.250,19.359,6.114,6.117,168.575,258.328,38.997
0.251,19.395,6.119,6.120,168.605,258.344,38.984
0.252,19.459,6.129,6.129,168.656,258.374,38.961
0.254,19.553,6.146,6.145,168.732,258.419,38.927
0.255,19.681,6.170,6.166,168.833,258.481,38.881
0.256,19.838,6.198,6.193,168.957,258.558,38.824
0.257,20.018,6.229,6.222,169.099,258.647,38.758
0.258,20.216,6.262,6.254,169.255,258.745,38.687
0.260,20.426,6.295,6.287,169.421,258.851,38.611
0.261,20.642,6.326,6.321,169.591,258.960,38.533
0.262,20.860,6.355,6.352,169.762,259.070,38.455
0.263,21.073,6.380,6.382,169.929,259.178,38.380
