"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.890,2.890,220.432,228.862,235.366
0.001,0.068,2.943,2.943,220.498,228.877,235.364
0.003,0.137,2.997,2.997,220.565,228.894,235.360
0.004,0.208,3.050,3.050,220.633,228.914,235.356
0.005,0.281,3.102,3.102,220.701,228.939,235.350
0.007,0.359,3.154,3.154,220.772,228.971,235.343
0.008,0.442,3.205,3.205,220.844,229.010,235.333
0.009,0.532,3.255,3.255,220.918,229.060,235.320
0.010,0.632,3.304,3.304,220.996,229.121,235.304
0.012,0.743,3.351,3.351,221.076,229.195,235.284
0.013,0.868,3.400,3.400,221.160,229.285,235.260
0.014,1.008,3.451,3.451,221.248,229.390,235.231
0.016,1.166,3.507,3.507,221.339,229.513,235.197
0.017,1.341,3.570,3.570,221.435,229.654,235.158
0.018,1.529,3.641,3.641,221.534,229.808,235.114
0.020,1.726,3.723,3.723,221.636,229.970,235.066
0.021,1.928,3.816,3.816,221.738,230.137,235.014
0.022,2.131,3.921,3.921,221.840,230.303,234.960
0.023,2.330,4.031,4.031,221.941,230.464,234.903
0.025,2.521,4.143,4.143,222.041,230.617,234.843
0.026,2.700,4.251,4.251,222.137,230.755,234.783
0.027,2.863,4.350,4.350,222.229,230.875,234.722
0.029,3.008,4.437,4.437,222.316,230.973,234.660
0.030,3.131,4.504,4.504,222.397,231.043,234.599
0.031,3.235,4.549,4.549,222.471,231.082,234.538
0.033,3.324,4.573,4.573,222.538,231.091,234.479
0.034,3.409,4.579,4.579,222.598,231.075,234.422
0.035,3.495,4.571,4.571,222.652,231.036,234.367
0.036,3.586,4.555,4.555,222.700,230.980,234.314
0.038,3.682,4.535,4.535,222.743,230.910,234.264
0.039,3.781,4.514,4.514,222.780,230.832,234.217
0.040,3.881,4.498,4.498,222.814,230.748,234.174
0.042,3.979,4.489,4.489,222.843,230.663,234.135
0.043,4.071,4.487,4.487,222.868,230.581,234.100
0.044,4.155,4.492,4.492,222.890,230.506,234.070
0.046,4.225,4.501,4.501,222.909,230.444,234.045
0.047,4.280,4.513,4.513,222.927,230.395,234.026
0.048,4.321,4.527,4.527,222.942,230.360,234.011
0.049,4.352,4.540,4.540,222.958,230.335,234.000
0.051,4.375,4.553,4.553,222.973,230.320,233.992
0.052,4.396,4.563,4.563,222.990,230.311,233.987
0.053,4.416,4.571,4.571,223.010,230.306,233.983
0.055,4.439,4.578,4.578,223.033,230.303,233.980
0.056,4.467,4.582,4.582,223.060,230.300,233.977
0.057,4.499,4.585,4.585,223.092,230.295,233.973
0.059,4.539,4.586,4.586,223.130,230.285,233.968
0.060,4.588,4.587,4.587,223.175,230.269,233.960
0.061,4.648,4.587,4.587,223.229,230.244,233.949
0.062,4.720,4.586,4.586,223.290,230.208,233.935
0.064,4.804,4.585,4.585,223.360,230.165,233.917
0.065,4.899,4.585,4.585,223.437,230.114,233.895
0.066,5.003,4.587,4.587,223.520,230.058,233.871
0.068,5.115,4.590,4.590,223.611,229.998,233.843
0.069,5.234,4.595,4.595,223.707,229.934,233.813
0.070,5.359,4.603,4.603,223.809,229.869,233.780
0.072,5.489,4.615,4.615,223.915,229.804,233.744
