"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.937,2.937,207.793,193.636,185.035
0.001,0.053,2.953,2.953,207.816,193.615,185.077
0.003,0.106,2.971,2.971,207.840,193.595,185.121
0.004,0.162,2.988,2.988,207.866,193.575,185.166
0.005,0.222,3.007,3.007,207.895,193.554,185.213
0.007,0.286,3.026,3.026,207.928,193.532,185.264
0.008,0.356,3.047,3.047,207.965,193.510,185.319
0.010,0.434,3.070,3.070,208.008,193.487,185.379
0.011,0.519,3.095,3.095,208.057,193.463,185.445
0.012,0.615,3.122,3.122,208.114,193.437,185.518
0.014,0.721,3.152,3.152,208.179,193.411,185.598
0.015,0.840,3.186,3.186,208.253,193.383,185.686
0.016,0.972,3.225,3.225,208.338,193.354,185.784
0.018,1.118,3.268,3.268,208.432,193.323,185.890
0.019,1.274,3.318,3.318,208.534,193.291,186.004
0.020,1.438,3.373,3.373,208.643,193.258,186.122
0.022,1.607,3.436,3.436,208.755,193.225,186.243
0.023,1.777,3.502,3.502,208.870,193.191,186.366
0.024,1.947,3.572,3.572,208.984,193.158,186.487
0.026,2.113,3.642,3.642,209.096,193.125,186.605
0.027,2.272,3.711,3.711,209.204,193.093,186.718
0.029,2.422,3.776,3.776,209.305,193.062,186.823
0.030,2.559,3.836,3.836,209.398,193.033,186.919
0.031,2.680,3.888,3.888,209.481,193.005,187.004
0.033,2.784,3.933,3.933,209.551,192.980,187.076
0.034,2.869,3.970,3.970,209.609,192.957,187.134
0.035,2.938,4.002,4.002,209.655,192.936,187.180
0.037,2.992,4.027,4.027,209.691,192.918,187.216
0.038,3.033,4.048,4.048,209.719,192.902,187.242
0.039,3.063,4.064,4.064,209.738,192.888,187.260
0.041,3.084,4.077,4.077,209.751,192.876,187.271
0.042,3.098,4.086,4.086,209.759,192.865,187.277
0.043,3.106,4.093,4.093,209.762,192.857,187.278
0.045,3.113,4.097,4.097,209.762,192.851,187.276
0.046,3.118,4.100,4.100,209.760,192.847,187.273
0.048,3.123,4.101,4.101,209.757,192.845,187.270
0.049,3.127,4.101,4.101,209.755,192.844,187.267
0.050,3.128,4.100,4.100,209.755,192.845,187.265
0.052,3.131,4.099,4.099,209.757,192.846,187.265
0.053,3.137,4.098,4.098,209.763,192.847,187.267
0.054,3.149,4.097,4.097,209.774,192.848,187.271
0.056,3.167,4.098,4.098,209.791,192.848,187.277
0.057,3.192,4.101,4.101,209.815,192.846,187.286
0.058,3.227,4.105,4.105,209.847,192.842,187.297
0.060,3.272,4.113,4.113,209.889,192.835,187.311
0.061,3.328,4.125,4.125,209.941,192.825,187.329
0.063,3.397,4.140,4.140,210.005,192.811,187.350
0.064,3.479,4.158,4.158,210.082,192.792,187.376
0.065,3.576,4.180,4.180,210.171,192.769,187.404
0.067,3.684,4.206,4.206,210.270,192.741,187.436
0.068,3.801,4.235,4.235,210.378,192.711,187.470
0.069,3.923,4.267,4.267,210.490,192.679,187.505
0.071,4.047,4.302,4.302,210.604,192.645,187.541
0.072,4.172,4.340,4.340,210.719,192.611,187.577
0.073,4.293,4.380,4.380,210.830,192.578,187.611
0.075,4.409,4.420,4.420,210.936,192.546,187.644
0.076,4.515,4.459,4.459,211.035,192.516,187.673
0.077,4.610,4.495,4.495,211.122,192.489,187.700
