"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.224,2.224,74.914,-51.105,-2.500
0.001,0.272,2.393,2.393,74.755,-51.137,-2.719
0.003,0.542,2.561,2.561,74.598,-51.170,-2.936
0.004,0.806,2.727,2.727,74.444,-51.201,-3.149
0.005,1.064,2.889,2.889,74.295,-51.232,-3.356
0.006,1.311,3.046,3.046,74.152,-51.261,-3.556
0.008,1.546,3.197,3.197,74.016,-51.289,-3.746
0.009,1.767,3.341,3.341,73.889,-51.314,-3.925
0.010,1.971,3.476,3.476,73.773,-51.337,-4.090
0.012,2.155,3.601,3.601,73.669,-51.357,-4.241
0.013,2.317,3.716,3.716,73.578,-51.375,-4.374
0.014,2.455,3.819,3.819,73.503,-51.388,-4.488
0.015,2.566,3.910,3.910,73.444,-51.398,-4.582
0.017,2.650,3.987,3.987,73.402,-51.404,-4.655
0.018,2.712,4.051,4.051,73.373,-51.406,-4.709
0.019,2.753,4.099,4.099,73.357,-51.403,-4.747
0.021,2.777,4.131,4.131,73.351,-51.395,-4.770
0.022,2.794,4.148,4.148,73.353,-51.382,-4.779
0.023,2.814,4.151,4.151,73.362,-51.364,-4.778
0.024,2.842,4.143,4.143,73.374,-51.340,-4.768
0.026,2.880,4.128,4.128,73.389,-51.310,-4.750
0.027,2.924,4.108,4.108,73.404,-51.275,-4.728
0.028,2.975,4.086,4.086,73.417,-51.233,-4.702
0.029,3.031,4.064,4.064,73.426,-51.185,-4.675
0.031,3.092,4.045,4.045,73.430,-51.130,-4.649
0.032,3.154,4.032,4.032,73.429,-51.072,-4.626
0.033,3.216,4.024,4.024,73.423,-51.013,-4.608
0.035,3.274,4.022,4.022,73.415,-50.957,-4.598
0.036,3.326,4.028,4.028,73.405,-50.905,-4.597
0.037,3.372,4.041,4.041,73.394,-50.862,-4.609
0.038,3.415,4.061,4.061,73.382,-50.830,-4.635
0.040,3.463,4.090,4.090,73.370,-50.812,-4.677
0.041,3.525,4.129,4.129,73.360,-50.812,-4.739
0.042,3.610,4.176,4.176,73.352,-50.831,-4.821
0.044,3.724,4.232,4.232,73.348,-50.873,-4.927
0.045,3.871,4.296,4.296,73.347,-50.940,-5.058
0.046,4.052,4.367,4.367,73.350,-51.032,-5.213
0.047,4.259,4.445,4.445,73.356,-51.145,-5.387
0.049,4.488,4.530,4.530,73.364,-51.273,-5.577
0.050,4.732,4.620,4.620,73.371,-51.414,-5.776
0.051,4.985,4.715,4.715,73.378,-51.562,-5.981
0.053,5.241,4.814,4.814,73.383,-51.714,-6.186
0.054,5.493,4.913,4.913,73.386,-51.865,-6.389
0.055,5.736,5.011,5.011,73.384,-52.012,-6.583
0.056,5.964,5.104,5.104,73.376,-52.149,-6.764
0.058,6.170,5.190,5.190,73.363,-52.272,-6.928
0.059,6.348,5.267,5.267,73.342,-52.378,-7.070
0.060,6.497,5.332,5.332,73.313,-52.464,-7.188
0.062,6.618,5.382,5.382,73.277,-52.531,-7.282
0.063,6.716,5.418,5.418,73.236,-52.581,-7.356
0.064,6.796,5.442,5.442,73.193,-52.616,-7.413
0.065,6.861,5.456,5.456,73.148,-52.639,-7.455
0.067,6.917,5.461,5.461,73.103,-52.652,-7.484
0.068,6.964,5.461,5.461,73.060,-52.657,-7.504
0.069,7.006,5.455,5.455,73.020,-52.655,-7.517
0.071,7.041,5.448,5.448,72.986,-52.650,-7.526
0.072,7.070,5.440,5.440,72.960,-52.643,-7.533
0.073,7.091,5.433,5.433,72.942,-52.637,-7.541
0.074,7.105,5.427,5.427,72.934,-52.633,-7.553
0.076,7.122,5.425,5.425,72.936,-52.632,-7.570
0.077,7.144,5.425,5.425,72.946,-52.636,-7.589
