"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,3.215,3.215,181.677,216.120,202.702
0.001,0.369,3.323,3.323,181.833,216.130,202.368
0.003,0.734,3.431,3.431,181.987,216.141,202.037
0.004,1.092,3.534,3.534,182.139,216.154,201.712
0.005,1.440,3.633,3.633,182.286,216.171,201.397
0.006,1.774,3.725,3.725,182.428,216.191,201.095
0.008,2.092,3.808,3.808,182.562,216.217,200.809
0.009,2.389,3.881,3.881,182.688,216.249,200.542
0.010,2.663,3.942,3.942,182.804,216.288,200.296
0.012,2.911,3.991,3.991,182.909,216.336,200.077
0.013,3.131,4.029,4.029,183.001,216.393,199.886
0.014,3.320,4.059,4.059,183.078,216.461,199.726
0.015,3.481,4.084,4.084,183.141,216.540,199.601
0.017,3.618,4.106,4.106,183.188,216.628,199.507
0.018,3.740,4.127,4.127,183.221,216.725,199.441
0.019,3.853,4.152,4.152,183.241,216.827,199.396
0.020,3.962,4.181,4.181,183.249,216.932,199.369
0.022,4.070,4.217,4.217,183.245,217.038,199.354
0.023,4.176,4.256,4.256,183.231,217.143,199.347
0.024,4.281,4.297,4.297,183.207,217.246,199.344
0.026,4.383,4.337,4.337,183.175,217.342,199.339
0.027,4.481,4.373,4.373,183.135,217.431,199.328
0.028,4.576,4.403,4.403,183.088,217.511,199.306
0.029,4.669,4.423,4.423,183.036,217.578,199.268
0.031,4.765,4.432,4.432,182.979,217.634,199.216
0.032,4.865,4.429,4.429,182.918,217.679,199.150
0.033,4.970,4.415,4.415,182.855,217.714,199.074
0.035,5.079,4.394,4.394,182.790,217.742,198.991
0.036,5.189,4.367,4.367,182.726,217.762,198.904
0.037,5.300,4.337,4.337,182.663,217.776,198.814
0.038,5.408,4.306,4.306,182.602,217.786,198.725
0.040,5.511,4.277,4.277,182.545,217.793,198.639
0.041,5.606,4.252,4.252,182.493,217.798,198.560
0.042,5.690,4.233,4.233,182.447,217.801,198.490
0.043,5.761,4.218,4.218,182.408,217.806,198.431
0.045,5.818,4.208,4.208,182.376,217.811,198.384
0.046,5.862,4.201,4.201,182.351,217.816,198.348
0.047,5.894,4.198,4.198,182.332,217.822,198.323
0.049,5.917,4.197,4.197,182.318,217.828,198.306
0.050,5.932,4.197,4.197,182.309,217.834,198.296
0.051,5.941,4.200,4.200,182.303,217.839,198.292
0.052,5.946,4.203,4.203,182.300,217.844,198.294
0.054,5.953,4.207,4.207,182.299,217.848,198.299
0.055,5.961,4.211,4.211,182.300,217.851,198.307
0.056,5.970,4.214,4.214,182.301,217.852,198.315
0.058,5.979,4.218,4.218,182.303,217.851,198.324
0.059,5.987,4.221,4.221,182.303,217.848,198.332
0.060,5.993,4.223,4.223,182.302,217.845,198.337
0.061,5.999,4.223,4.223,182.299,217.841,198.339
0.063,6.007,4.222,4.222,182.293,217.836,198.337
0.064,6.020,4.219,4.219,182.283,217.832,198.330
0.065,6.040,4.214,4.214,182.269,217.829,198.316
0.066,6.068,4.206,4.206,182.249,217.827,198.296
0.068,6.107,4.197,4.197,182.225,217.828,198.266
0.069,6.156,4.184,4.184,182.193,217.831,198.228
0.070,6.219,4.169,4.169,182.155,217.837,198.179
0.072,6.296,4.151,4.151,182.109,217.847,198.118
0.073,6.387,4.130,4.130,182.054,217.861,198.046
0.074,6.491,4.108,4.108,181.993,217.878,197.964
0.075,6.605,4.085,4.085,181.926,217.898,197.874
0.077,6.728,4.063,4.063,181.854,217.921,197.777
