"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.687,1.687,75.502,-51.127,-1.917
0.001,0.172,1.755,1.755,75.522,-50.971,-1.984
0.002,0.341,1.823,1.823,75.541,-50.815,-2.050
0.004,0.508,1.889,1.889,75.561,-50.663,-2.115
0.005,0.668,1.954,1.954,75.580,-50.516,-2.176
0.006,0.822,2.017,2.017,75.598,-50.375,-2.234
0.007,0.967,2.077,2.077,75.616,-50.241,-2.287
0.008,1.101,2.134,2.134,75.634,-50.117,-2.335
0.010,1.222,2.188,2.188,75.650,-50.004,-2.376
0.011,1.330,2.237,2.237,75.666,-49.904,-2.410
0.012,1.421,2.282,2.282,75.681,-49.817,-2.436
0.013,1.496,2.322,2.322,75.695,-49.746,-2.452
0.015,1.552,2.356,2.356,75.708,-49.692,-2.459
0.016,1.590,2.385,2.385,75.719,-49.655,-2.455
0.017,1.617,2.408,2.408,75.728,-49.632,-2.444
0.018,1.638,2.425,2.425,75.734,-49.620,-2.429
0.019,1.656,2.435,2.435,75.735,-49.614,-2.412
0.021,1.672,2.439,2.439,75.732,-49.612,-2.396
0.022,1.688,2.436,2.436,75.722,-49.610,-2.383
0.023,1.706,2.430,2.430,75.706,-49.603,-2.378
0.024,1.734,2.423,2.423,75.682,-49.589,-2.382
0.025,1.778,2.419,2.419,75.650,-49.565,-2.399
0.027,1.844,2.419,2.419,75.608,-49.525,-2.431
0.028,1.936,2.426,2.426,75.555,-49.468,-2.481
0.029,2.060,2.444,2.444,75.492,-49.388,-2.551
0.030,2.216,2.475,2.475,75.418,-49.288,-2.643
0.032,2.397,2.521,2.521,75.335,-49.170,-2.754
0.033,2.598,2.578,2.578,75.247,-49.040,-2.881
0.034,2.814,2.641,2.641,75.156,-48.904,-3.021
0.035,3.038,2.707,2.707,75.065,-48.765,-3.171
0.036,3.265,2.770,2.770,74.976,-48.629,-3.330
0.038,3.490,2.827,2.827,74.892,-48.500,-3.493
0.039,3.706,2.872,2.872,74.815,-48.384,-3.659
0.040,3.911,2.900,2.900,74.748,-48.285,-3.825
0.041,4.099,2.909,2.909,74.693,-48.208,-3.988
0.042,4.269,2.898,2.898,74.654,-48.159,-4.145
0.044,4.421,2.872,2.872,74.632,-48.140,-4.294
0.045,4.562,2.835,2.835,74.628,-48.153,-4.435
0.046,4.700,2.791,2.791,74.640,-48.192,-4.568
0.047,4.842,2.744,2.744,74.665,-48.252,-4.693
0.048,4.990,2.699,2.699,74.703,-48.331,-4.813
0.050,5.145,2.658,2.658,74.752,-48.422,-4.928
0.051,5.305,2.627,2.627,74.810,-48.522,-5.038
0.052,5.468,2.608,2.608,74.876,-48.626,-5.145
0.053,5.631,2.598,2.598,74.947,-48.730,-5.249
0.055,5.793,2.596,2.596,75.022,-48.830,-5.352
0.056,5.950,2.601,2.601,75.099,-48.920,-5.454
0.057,6.100,2.610,2.610,75.177,-48.997,-5.557
0.058,6.242,2.623,2.623,75.255,-49.056,-5.660
0.059,6.378,2.636,2.636,75.331,-49.099,-5.765
0.061,6.511,2.649,2.649,75.406,-49.128,-5.870
0.062,6.642,2.659,2.659,75.481,-49.145,-5.976
0.063,6.772,2.668,2.668,75.555,-49.151,-6.083
0.064,6.903,2.675,2.675,75.629,-49.151,-6.191
0.065,7.035,2.681,2.681,75.703,-49.145,-6.300
0.067,7.167,2.685,2.685,75.778,-49.136,-6.409
0.068,7.300,2.690,2.690,75.853,-49.126,-6.518
