"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.502,2.502,-24.466,117.613,163.879
0.001,0.367,2.694,2.694,-24.214,117.875,163.926
0.003,0.730,2.884,2.884,-23.964,118.135,163.971
0.004,1.087,3.069,3.069,-23.717,118.389,164.014
0.005,1.435,3.246,3.246,-23.475,118.636,164.054
0.006,1.771,3.413,3.413,-23.240,118.873,164.091
0.008,2.090,3.566,3.566,-23.014,119.097,164.122
0.009,2.392,3.703,3.703,-22.798,119.305,164.148
0.010,2.672,3.822,3.822,-22.594,119.496,164.167
0.012,2.927,3.922,3.922,-22.403,119.665,164.178
0.013,3.156,4.004,4.004,-22.227,119.812,164.181
0.014,3.355,4.073,4.073,-22.069,119.933,164.174
0.015,3.524,4.131,4.131,-21.929,120.026,164.157
0.017,3.664,4.182,4.182,-21.809,120.090,164.129
0.018,3.780,4.230,4.230,-21.706,120.130,164.092
0.019,3.879,4.277,4.277,-21.619,120.147,164.049
0.021,3.966,4.327,4.327,-21.546,120.146,164.000
0.022,4.047,4.381,4.381,-21.487,120.130,163.948
0.023,4.124,4.438,4.438,-21.439,120.102,163.894
0.024,4.199,4.495,4.495,-21.401,120.066,163.840
0.026,4.272,4.550,4.550,-21.372,120.025,163.788
0.027,4.340,4.600,4.600,-21.349,119.982,163.740
0.028,4.402,4.645,4.645,-21.332,119.941,163.697
0.030,4.455,4.680,4.680,-21.318,119.905,163.661
0.031,4.495,4.706,4.706,-21.307,119.877,163.634
0.032,4.524,4.720,4.720,-21.298,119.857,163.615
0.033,4.542,4.725,4.725,-21.291,119.844,163.604
0.035,4.552,4.722,4.722,-21.285,119.838,163.599
0.036,4.556,4.715,4.715,-21.281,119.838,163.599
0.037,4.563,4.705,4.705,-21.278,119.841,163.604
0.039,4.574,4.693,4.693,-21.277,119.848,163.612
0.040,4.587,4.683,4.683,-21.276,119.858,163.622
0.041,4.603,4.675,4.675,-21.277,119.868,163.633
0.042,4.619,4.671,4.671,-21.279,119.879,163.644
0.044,4.633,4.670,4.670,-21.282,119.890,163.655
0.045,4.646,4.671,4.671,-21.285,119.898,163.663
0.046,4.655,4.674,4.674,-21.289,119.904,163.669
0.048,4.662,4.678,4.678,-21.293,119.908,163.672
0.049,4.666,4.682,4.682,-21.297,119.910,163.673
0.050,4.669,4.687,4.687,-21.299,119.911,163.673
0.051,4.671,4.692,4.692,-21.301,119.911,163.671
0.053,4.674,4.696,4.696,-21.301,119.909,163.669
0.054,4.677,4.699,4.699,-21.300,119.908,163.667
0.055,4.682,4.702,4.702,-21.295,119.906,163.665
0.057,4.690,4.704,4.704,-21.288,119.904,163.664
0.058,4.701,4.706,4.706,-21.277,119.903,163.664
0.059,4.715,4.708,4.708,-21.262,119.902,163.665
0.060,4.735,4.709,4.709,-21.244,119.903,163.669
0.062,4.758,4.711,4.711,-21.221,119.905,163.674
0.063,4.786,4.712,4.712,-21.194,119.908,163.682
0.064,4.818,4.713,4.713,-21.164,119.912,163.692
