"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.168,2.168,172.049,192.062,197.835
0.001,0.071,2.173,2.173,172.111,192.037,197.860
0.003,0.144,2.179,2.179,172.174,192.012,197.887
0.004,0.219,2.187,2.187,172.239,191.988,197.913
0.006,0.296,2.200,2.200,172.308,191.964,197.941
0.007,0.378,2.219,2.219,172.382,191.942,197.970
0.008,0.466,2.244,2.244,172.461,191.922,198.000
0.010,0.560,2.278,2.278,172.548,191.903,198.032
0.011,0.663,2.321,2.321,172.643,191.887,198.067
0.013,0.774,2.373,2.373,172.747,191.873,198.104
0.014,0.897,2.433,2.433,172.863,191.862,198.143
0.015,1.031,2.499,2.499,172.990,191.854,198.186
0.017,1.176,2.571,2.571,173.127,191.849,198.232
0.018,1.330,2.647,2.647,173.273,191.847,198.279
0.020,1.488,2.725,2.725,173.424,191.847,198.329
0.021,1.649,2.805,2.805,173.577,191.849,198.379
0.022,1.810,2.885,2.885,173.730,191.853,198.429
0.024,1.967,2.963,2.963,173.879,191.857,198.479
0.025,2.118,3.037,3.037,174.021,191.862,198.528
0.027,2.259,3.105,3.105,174.154,191.867,198.574
0.028,2.387,3.165,3.165,174.275,191.872,198.619
0.029,2.500,3.216,3.216,174.380,191.877,198.660
0.031,2.596,3.254,3.254,174.468,191.880,198.697
0.032,2.677,3.282,3.282,174.541,191.883,198.732
0.034,2.743,3.299,3.299,174.599,191.885,198.763
0.035,2.798,3.311,3.311,174.645,191.887,198.793
0.037,2.843,3.318,3.318,174.681,191.888,198.821
0.038,2.882,3.323,3.323,174.708,191.890,198.849
0.039,2.916,3.330,3.330,174.729,191.891,198.876
0.041,2.948,3.340,3.340,174.746,191.893,198.903
0.042,2.980,3.355,3.355,174.759,191.896,198.931
0.044,3.013,3.372,3.372,174.772,191.899,198.961
0.045,3.048,3.391,3.391,174.786,191.903,198.993
0.046,3.085,3.408,3.408,174.801,191.908,199.027
0.048,3.123,3.421,3.421,174.817,191.913,199.061
0.049,3.162,3.429,3.429,174.834,191.919,199.096
0.051,3.199,3.429,3.429,174.851,191.924,199.129
0.052,3.235,3.420,3.420,174.867,191.928,199.160
0.053,3.267,3.403,3.403,174.882,191.931,199.188
0.055,3.295,3.382,3.382,174.895,191.933,199.213
0.056,3.317,3.358,3.358,174.906,191.933,199.232
0.058,3.333,3.334,3.334,174.914,191.930,199.246
0.059,3.343,3.313,3.313,174.920,191.925,199.252
0.060,3.351,3.296,3.296,174.921,191.918,199.252
