"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.286,1.286,213.246,190.822,177.860
0.001,0.227,1.252,1.252,213.065,190.958,177.841
0.002,0.449,1.219,1.219,212.887,191.089,177.824
0.004,0.661,1.189,1.189,212.713,191.211,177.813
0.005,0.859,1.162,1.162,212.546,191.317,177.811
0.006,1.040,1.139,1.139,212.388,191.404,177.821
0.007,1.201,1.122,1.122,212.242,191.465,177.846
0.008,1.344,1.111,1.111,212.109,191.497,177.888
0.010,1.477,1.108,1.108,211.991,191.494,177.951
0.011,1.615,1.114,1.114,211.892,191.452,178.038
0.012,1.778,1.131,1.131,211.814,191.365,178.151
0.013,1.984,1.161,1.161,211.758,191.228,178.294
0.014,2.245,1.208,1.208,211.727,191.037,178.469
0.016,2.568,1.273,1.273,211.721,190.790,178.677
0.017,2.943,1.360,1.360,211.739,190.497,178.911
0.018,3.362,1.471,1.471,211.775,190.167,179.167
0.019,3.812,1.609,1.609,211.827,189.811,179.437
0.020,4.282,1.776,1.776,211.892,189.438,179.714
0.022,4.760,1.973,1.973,211.966,189.057,179.994
0.023,5.234,2.192,2.192,212.046,188.679,180.268
0.024,5.693,2.422,2.422,212.128,188.313,180.532
0.025,6.123,2.655,2.655,212.210,187.969,180.779
0.026,6.514,2.881,2.881,212.288,187.657,181.002
0.028,6.854,3.091,3.091,212.358,187.387,181.195
0.029,7.129,3.275,3.275,212.417,187.169,181.351
0.030,7.338,3.424,3.424,212.464,187.004,181.471
0.031,7.488,3.528,3.528,212.502,186.886,181.556
0.032,7.586,3.591,3.591,212.531,186.810,181.610
0.033,7.642,3.618,3.618,212.554,186.768,181.639
0.035,7.666,3.619,3.619,212.573,186.755,181.645
0.036,7.688,3.600,3.600,212.590,186.763,181.632
0.037,7.727,3.570,3.570,212.605,186.786,181.605
0.038,7.780,3.537,3.537,212.622,186.819,181.567
0.039,7.840,3.509,3.509,212.643,186.854,181.523
0.041,7.902,3.493,3.493,212.668,186.885,181.475
0.042,7.963,3.494,3.494,212.700,186.905,181.428
0.043,8.021,3.509,3.509,212.741,186.909,181.386
0.044,8.084,3.535,3.535,212.790,186.895,181.350
