"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.785,2.785,280.382,241.434,260.259
0.001,0.247,2.903,2.903,280.205,241.299,260.367
0.002,0.491,3.020,3.020,280.030,241.165,260.472
0.004,0.732,3.138,3.138,279.857,241.031,260.574
0.005,0.968,3.254,3.254,279.689,240.898,260.670
0.006,1.195,3.370,3.370,279.525,240.766,260.759
0.007,1.414,3.486,3.486,279.369,240.636,260.838
0.008,1.622,3.600,3.600,279.220,240.506,260.905
0.010,1.819,3.713,3.713,279.081,240.379,260.959
0.011,2.003,3.824,3.824,278.953,240.253,260.998
0.012,2.174,3.933,3.933,278.836,240.130,261.020
0.013,2.333,4.040,4.040,278.732,240.009,261.024
0.014,2.482,4.142,4.142,278.641,239.891,261.011
0.015,2.624,4.239,4.239,278.561,239.778,260.984
0.017,2.758,4.331,4.331,278.491,239.670,260.946
0.018,2.887,4.415,4.415,278.430,239.567,260.898
0.019,3.009,4.491,4.491,278.378,239.471,260.843
0.020,3.126,4.558,4.558,278.333,239.382,260.782
0.021,3.235,4.615,4.615,278.295,239.302,260.719
0.023,3.336,4.663,4.663,278.262,239.230,260.656
0.024,3.427,4.702,4.702,278.235,239.169,260.594
0.025,3.509,4.733,4.733,278.211,239.117,260.535
0.026,3.581,4.756,4.756,278.190,239.074,260.481
0.027,3.644,4.772,4.772,278.173,239.037,260.433
0.029,3.698,4.781,4.781,278.159,239.006,260.391
0.030,3.744,4.785,4.785,278.147,238.978,260.357
0.031,3.782,4.783,4.783,278.138,238.953,260.331
0.032,3.813,4.776,4.776,278.129,238.928,260.314
0.033,3.840,4.765,4.765,278.123,238.902,260.308
0.035,3.869,4.752,4.752,278.117,238.874,260.313
0.036,3.906,4.737,4.737,278.112,238.842,260.330
0.037,3.953,4.722,4.722,278.108,238.805,260.359
0.038,4.009,4.706,4.706,278.103,238.765,260.398
0.039,4.071,4.693,4.693,278.100,238.723,260.443
0.041,4.136,4.681,4.681,278.098,238.680,260.493
0.042,4.203,4.673,4.673,278.096,238.639,260.544
0.043,4.267,4.667,4.667,278.095,238.600,260.596
0.044,4.327,4.664,4.664,278.096,238.565,260.644
0.045,4.379,4.662,4.662,278.097,238.534,260.686
0.046,4.421,4.662,4.662,278.101,238.510,260.721
0.048,4.451,4.664,4.664,278.105,238.494,260.745
0.049,4.468,4.665,4.665,278.111,238.485,260.759
0.050,4.477,4.668,4.668,278.116,238.481,260.765
0.051,4.482,4.670,4.670,278.121,238.481,260.766
0.052,4.485,4.671,4.671,278.123,238.481,260.765
0.054,4.486,4.673,4.673,278.123,238.481,260.763
0.055,4.492,4.674,4.674,278.118,238.477,260.765
0.056,4.507,4.674,4.674,278.108,238.469,260.771
0.057,4.534,4.675,4.675,278.092,238.453,260.786
0.058,4.576,4.675,4.675,278.069,238.428,260.811
0.060,4.638,4.675,4.675,278.037,238.392,260.850
0.061,4.716,4.675,4.675,277.999,238.345,260.900
0.062,4.809,4.674,4.674,277.956,238.290,260.960
0.063,4.911,4.673,4.673,277.909,238.228,261.027
0.064,5.018,4.672,4.672,277.861,238.163,261.097
0.066,5.127,4.669,4.669,277.815,238.095,261.168
0.067,5.232,4.667,4.667,277.772,238.028,261.237
0.068,5.331,4.663,4.663,277.734,237.963,261.302
0.069,5.420,4.659,4.659,277.703,237.903,261.359
0.070,5.493,4.653,4.653,277.682,237.850,261.405
0.072,5.550,4.647,4.647,277.672,237.806,261.439
0.073,5.592,4.639,4.639,277.673,237.769,261.460
0.074,5.627,4.630,4.630,277.682,237.737,261.470
0.075,5.661,4.620,4.620,277.698,237.707,261.471
0.076,5.698,4.607,4.607,277.720,237.677,261.465
0.077,5.741,4.593,4.593,277.744,237.644,261.453
0.079,5.790,4.576,4.576,277.770,237.606,261.438
0.080,5.846,4.558,4.558,277.796,237.559,261.421
0.081,5.911,4.536,4.536,277.820,237.501,261.403
0.082,5.986,4.513,4.513,277.839,237.430,261.387
0.083,6.075,4.487,4.487,277.853,237.344,261.375
0.085,6.175,4.461,4.461,277.862,237.244,261.365
0.086,6.285,4.434,4.434,277.868,237.135,261.358
0.087,6.400,4.408,4.408,277.871,237.020,261.354
0.088,6.517,4.383,4.383,277.873,236.903,261.351
0.089,6.632,4.360,4.360,277.876,236.787,261.351
0.091,6.743,4.339,4.339,277.879,236.677,261.351
0.092,6.845,4.321,4.321,277.885,236.575,261.353
0.093,6.935,4.307,4.307,277.895,236.486,261.355
0.094,7.010,4.295,4.295,277.911,236.412,261.357
0.095,7.070,4.287,4.287,277.931,236.356,261.360
0.097,7.120,4.281,4.281,277.956,236.312,261.363
0.098,7.166,4.277,4.277,277.982,236.274,261.366
0.099,7.213,4.276,4.276,278.007,236.235,261.371
0.100,7.265,4.276,4.276,278.028,236.188,261.379
0.101,7.330,4.277,4.277,278.044,236.127,261.388
0.103,7.414,4.280,4.280,278.051,236.043,261.401
0.104,7.527,4.283,4.283,278.047,235.932,261.417
0.105,7.676,4.286,4.286,278.030,235.785,261.437
0.106,7.869,4.288,4.288,277.998,235.596,261.462
0.107,8.110,4.289,4.289,277.948,235.363,261.492
0.108,8.389,4.287,4.287,277.886,235.092,261.525
0.110,8.699,4.282,4.282,277.814,234.794,261.560
0.111,9.029,4.272,4.272,277.735,234.475,261.597
0.112,9.369,4.259,4.259,277.655,234.146,261.633
0.113,9.711,4.242,4.242,277.576,233.815,261.667
