"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.860,1.860,192.273,163.042,167.569
0.001,0.012,1.871,1.871,192.264,163.035,167.564
0.002,0.024,1.882,1.882,192.255,163.028,167.559
0.004,0.037,1.891,1.891,192.246,163.022,167.554
0.005,0.051,1.900,1.900,192.235,163.016,167.548
0.006,0.065,1.907,1.907,192.223,163.011,167.542
0.007,0.081,1.911,1.911,192.209,163.006,167.536
0.008,0.098,1.913,1.913,192.193,163.002,167.529
0.009,0.118,1.911,1.911,192.175,163.000,167.522
0.011,0.141,1.907,1.907,192.155,162.998,167.513
0.012,0.166,1.898,1.898,192.131,162.998,167.504
0.013,0.195,1.888,1.888,192.104,162.999,167.494
0.014,0.228,1.877,1.877,192.073,163.002,167.483
0.015,0.264,1.867,1.867,192.039,163.007,167.471
0.017,0.304,1.858,1.858,192.001,163.015,167.462
0.018,0.348,1.852,1.852,191.958,163.025,167.455
0.019,0.396,1.850,1.850,191.912,163.039,167.452
0.020,0.449,1.854,1.854,191.862,163.056,167.456
0.021,0.509,1.863,1.863,191.808,163.078,167.466
0.022,0.575,1.880,1.880,191.750,163.104,167.485
0.024,0.651,1.902,1.902,191.688,163.136,167.514
0.025,0.738,1.931,1.931,191.621,163.173,167.555
0.026,0.836,1.965,1.965,191.550,163.216,167.609
0.027,0.949,2.004,2.004,191.475,163.266,167.677
0.028,1.076,2.049,2.049,191.396,163.322,167.758
0.030,1.215,2.098,2.098,191.313,163.386,167.850
0.031,1.363,2.152,2.152,191.226,163.456,167.947
0.032,1.518,2.210,2.210,191.137,163.532,168.048
0.033,1.676,2.269,2.269,191.046,163.615,168.147
0.034,1.837,2.329,2.329,190.952,163.705,168.242
0.036,1.998,2.388,2.388,190.857,163.802,168.328
0.037,2.157,2.443,2.443,190.761,163.905,168.403
0.038,2.315,2.493,2.493,190.664,164.014,168.463
0.039,2.472,2.536,2.536,190.566,164.130,168.503
0.040,2.629,2.570,2.570,190.469,164.252,168.521
0.041,2.789,2.595,2.595,190.373,164.380,168.514
0.043,2.954,2.610,2.610,190.279,164.512,168.486
0.044,3.121,2.618,2.618,190.189,164.646,168.442
0.045,3.289,2.620,2.620,190.105,164.779,168.383
0.046,3.455,2.617,2.617,190.027,164.909,168.315
0.047,3.615,2.612,2.612,189.958,165.034,168.241
0.049,3.767,2.606,2.606,189.900,165.151,168.165
0.050,3.907,2.601,2.601,189.853,165.259,168.090
0.051,4.030,2.598,2.598,189.819,165.356,168.021
0.052,4.134,2.597,2.597,189.800,165.438,167.961
0.053,4.215,2.599,2.599,189.797,165.504,167.914
0.054,4.275,2.601,2.601,189.812,165.553,167.882
0.056,4.321,2.604,2.604,189.839,165.585,167.864
0.057,4.362,2.604,2.604,189.875,165.604,167.857
0.058,4.402,2.602,2.602,189.914,165.613,167.857
0.059,4.438,2.597,2.597,189.950,165.613,167.861
0.060,4.467,2.586,2.586,189.978,165.609,167.865
0.062,4.484,2.570,2.570,189.994,165.601,167.866
0.063,4.494,2.550,2.550,189.991,165.593,167.861
0.064,4.523,2.526,2.526,189.966,165.588,167.847
0.065,4.584,2.501,2.501,189.912,165.589,167.820
0.066,4.682,2.476,2.476,189.824,165.597,167.777
0.067,4.823,2.453,2.453,189.698,165.616,167.715
0.069,5.006,2.434,2.434,189.537,165.645,167.634
0.070,5.222,2.421,2.421,189.346,165.682,167.539
0.071,5.464,2.415,2.415,189.133,165.726,167.433
0.072,5.723,2.416,2.416,188.906,165.774,167.319
0.073,5.992,2.424,2.424,188.670,165.825,167.201
0.075,6.263,2.437,2.437,188.432,165.876,167.082
0.076,6.527,2.452,2.452,188.200,165.927,166.966
0.077,6.776,2.468,2.468,187.981,165.974,166.857
0.078,7.004,2.483,2.483,187.781,166.016,166.757
0.079,7.201,2.496,2.496,187.607,166.052,166.670
0.080,7.360,2.505,2.505,187.467,166.079,166.601
0.082,7.479,2.508,2.508,187.362,166.096,166.549
0.083,7.562,2.505,2.505,187.288,166.107,166.510
0.084,7.617,2.498,2.498,187.242,166.111,166.481
0.085,7.650,2.489,2.489,187.219,166.112,166.457
0.086,7.672,2.478,2.478,187.215,166.112,166.435
0.088,7.698,2.469,2.469,187.225,166.111,166.412
0.089,7.735,2.460,2.460,187.246,166.112,166.382
0.090,7.783,2.456,2.456,187.273,166.117,166.343
0.091,7.844,2.456,2.456,187.302,166.127,166.289
