"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.986,1.986,241.301,189.403,168.926
0.001,0.321,2.112,2.112,241.435,189.372,169.216
0.003,0.640,2.239,2.239,241.567,189.342,169.505
0.004,0.954,2.365,2.365,241.698,189.312,169.789
0.006,1.262,2.491,2.491,241.827,189.281,170.066
0.007,1.559,2.618,2.618,241.953,189.251,170.334
0.009,1.846,2.744,2.744,242.075,189.220,170.591
0.010,2.118,2.869,2.869,242.192,189.190,170.835
0.012,2.374,2.994,2.994,242.304,189.159,171.063
0.013,2.611,3.114,3.114,242.411,189.129,171.273
0.015,2.827,3.225,3.225,242.510,189.098,171.463
0.016,3.021,3.324,3.324,242.602,189.068,171.630
0.018,3.189,3.408,3.408,242.686,189.037,171.773
0.019,3.330,3.473,3.473,242.761,189.006,171.889
0.021,3.447,3.515,3.515,242.828,188.975,171.979
0.022,3.544,3.537,3.537,242.890,188.942,172.046
0.024,3.628,3.543,3.543,242.950,188.907,172.093
0.025,3.705,3.540,3.540,243.009,188.868,172.124
0.027,3.782,3.535,3.535,243.071,188.826,172.141
0.028,3.864,3.535,3.535,243.138,188.779,172.147
0.030,3.956,3.546,3.546,243.213,188.726,172.145
0.031,4.060,3.573,3.573,243.298,188.666,172.140
0.033,4.179,3.618,3.618,243.396,188.599,172.132
0.034,4.315,3.680,3.680,243.509,188.523,172.126
0.036,4.471,3.757,3.757,243.641,188.439,172.125
0.037,4.650,3.848,3.848,243.792,188.344,172.132
0.039,4.853,3.952,3.952,243.965,188.239,172.148
0.040,5.075,4.067,4.067,244.154,188.125,172.172
0.042,5.313,4.191,4.191,244.357,188.005,172.203
0.043,5.560,4.321,4.321,244.567,187.879,172.240
0.045,5.814,4.451,4.451,244.781,187.750,172.281
0.046,6.068,4.578,4.578,244.994,187.620,172.326
0.048,6.317,4.696,4.696,245.202,187.489,172.371
0.049,6.558,4.801,4.801,245.400,187.361,172.417
0.051,6.785,4.890,4.890,245.584,187.236,172.462
0.052,6.993,4.958,4.958,245.750,187.116,172.504
0.054,7.179,5.010,5.010,245.892,187.004,172.542
0.055,7.337,5.050,5.050,246.007,186.900,172.574
0.057,7.465,5.081,5.081,246.091,186.807,172.601
0.058,7.567,5.106,5.106,246.145,186.723,172.621
0.060,7.648,5.131,5.131,246.174,186.649,172.638
0.061,7.716,5.157,5.157,246.182,186.583,172.652
0.063,7.777,5.187,5.187,246.173,186.524,172.665
0.064,7.836,5.219,5.219,246.151,186.471,172.678
0.066,7.895,5.251,5.251,246.120,186.423,172.694
0.067,7.955,5.281,5.281,246.084,186.379,172.713
0.069,8.015,5.309,5.309,246.047,186.339,172.737
0.070,8.075,5.330,5.330,246.014,186.300,172.769
0.072,8.135,5.346,5.346,245.988,186.263,172.808
0.073,8.198,5.355,5.355,245.974,186.226,172.857
0.075,8.270,5.359,5.359,245.975,186.188,172.918
0.076,8.353,5.361,5.361,245.992,186.149,172.989
0.078,8.448,5.362,5.362,246.023,186.109,173.069
0.079,8.552,5.364,5.364,246.066,186.070,173.156
0.081,8.663,5.368,5.368,246.117,186.031,173.247
0.082,8.777,5.376,5.376,246.173,185.994,173.339
0.084,8.892,5.387,5.387,246.233,185.958,173.430
0.085,9.003,5.400,5.400,246.293,185.925,173.518
0.087,9.108,5.412,5.412,246.350,185.895,173.600
0.088,9.202,5.423,5.423,246.403,185.869,173.674
0.090,9.283,5.430,5.430,246.447,185.847,173.737
0.091,9.346,5.433,5.433,246.481,185.830,173.788
0.093,9.389,5.430,5.430,246.502,185.818,173.823
0.094,9.409,5.424,5.424,246.507,185.812,173.842
0.096,9.417,5.415,5.415,246.501,185.811,173.847
0.097,9.433,5.406,5.406,246.486,185.813,173.841
0.099,9.458,5.400,5.400,246.466,185.817,173.828
0.100,9.486,5.396,5.396,246.444,185.822,173.811
0.102,9.512,5.399,5.399,246.424,185.826,173.794
0.103,9.533,5.406,5.406,246.409,185.829,173.780
0.105,9.542,5.416,5.416,246.404,185.828,173.772
0.106,9.551,5.424,5.424,246.411,185.823,173.774
0.108,9.581,5.429,5.429,246.434,185.813,173.790
0.109,9.637,5.427,5.427,246.477,185.795,173.822
0.111,9.725,5.415,5.415,246.543,185.769,173.875
0.112,9.850,5.389,5.389,246.635,185.734,173.950
0.114,10.010,5.353,5.353,246.753,185.689,174.049
0.115,10.200,5.312,5.312,246.894,185.636,174.166
0.117,10.418,5.269,5.269,247.055,185.577,174.299
0.118,10.658,5.231,5.231,247.234,185.511,174.445
0.120,10.916,5.202,5.202,247.428,185.441,174.600
0.121,11.187,5.187,5.187,247.634,185.368,174.761
0.123,11.468,5.191,5.191,247.849,185.292,174.924
0.124,11.753,5.211,5.211,248.071,185.216,175.087
0.126,12.039,5.242,5.242,248.296,185.139,175.246
0.127,12.322,5.281,5.281,248.522,185.064,175.398
0.129,12.596,5.323,5.323,248.746,184.991,175.539
0.130,12.859,5.364,5.364,248.965,184.922,175.666
0.132,13.108,5.400,5.400,249.177,184.856,175.778
0.133,13.344,5.428,5.428,249.382,184.794,175.877
0.135,13.568,5.450,5.450,249.579,184.734,175.965
0.136,13.780,5.470,5.470,249.768,184.675,176.044
0.138,13.983,5.490,5.490,249.947,184.616,176.116
0.139,14.175,5.513,5.513,250.117,184.556,176.185
0.141,14.359,5.542,5.542,250.276,184.493,176.251
0.142,14.534,5.581,5.581,250.424,184.428,176.318
0.143,14.703,5.629,5.629,250.561,184.358,176.388
0.145,14.867,5.686,5.686,250.686,184.283,176.463
