"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.774,1.774,-24.546,115.012,163.187
0.001,0.477,1.995,1.995,-24.255,115.383,163.255
0.003,0.950,2.216,2.216,-23.966,115.751,163.323
0.004,1.416,2.435,2.435,-23.680,116.113,163.389
0.005,1.871,2.649,2.649,-23.402,116.468,163.453
0.007,2.312,2.860,2.860,-23.131,116.811,163.515
0.008,2.736,3.065,3.065,-22.871,117.140,163.573
0.009,3.138,3.263,3.263,-22.624,117.452,163.627
0.010,3.516,3.453,3.453,-22.391,117.745,163.677
0.012,3.865,3.633,3.633,-22.175,118.016,163.721
0.013,4.182,3.803,3.803,-21.978,118.261,163.759
0.014,4.464,3.961,3.961,-21.802,118.479,163.791
0.016,4.706,4.105,4.105,-21.649,118.666,163.815
0.017,4.907,4.233,4.233,-21.521,118.820,163.831
0.018,5.063,4.344,4.344,-21.419,118.938,163.839
0.020,5.179,4.437,4.437,-21.342,119.024,163.839
0.021,5.260,4.510,4.510,-21.284,119.081,163.834
0.022,5.312,4.564,4.564,-21.244,119.112,163.823
0.024,5.343,4.602,4.602,-21.218,119.122,163.808
0.025,5.368,4.627,4.627,-21.203,119.112,163.791
0.026,5.400,4.642,4.642,-21.195,119.088,163.772
0.027,5.441,4.651,4.651,-21.191,119.051,163.753
0.029,5.489,4.657,4.657,-21.187,119.007,163.735
0.030,5.541,4.662,4.662,-21.182,118.958,163.720
0.031,5.594,4.670,4.670,-21.170,118.908,163.707
0.033,5.647,4.681,4.681,-21.150,118.859,163.699
0.034,5.701,4.696,4.696,-21.117,118.817,163.697
0.035,5.760,4.714,4.714,-21.069,118.783,163.702
0.037,5.827,4.735,4.735,-21.009,118.757,163.712
0.038,5.902,4.760,4.760,-20.937,118.738,163.728
0.039,5.985,4.788,4.788,-20.857,118.725,163.748
0.041,6.075,4.820,4.820,-20.771,118.718,163.771
0.042,6.169,4.854,4.854,-20.681,118.716,163.797
0.043,6.265,4.890,4.890,-20.589,118.718,163.824
0.044,6.361,4.926,4.926,-20.497,118.722,163.853
0.046,6.455,4.959,4.959,-20.408,118.729,163.882
0.047,6.544,4.989,4.989,-20.323,118.737,163.909
0.048,6.626,5.013,5.013,-20.246,118.745,163.935
0.050,6.699,5.029,5.029,-20.178,118.753,163.959
0.051,6.759,5.037,5.037,-20.121,118.760,163.979
0.052,6.806,5.035,5.035,-20.078,118.765,163.996
0.054,6.840,5.026,5.026,-20.046,118.768,164.008
0.055,6.863,5.012,5.012,-20.026,118.770,164.018
0.056,6.877,4.997,4.997,-20.014,118.770,164.025
0.058,6.883,4.981,4.981,-20.010,118.769,164.030
