"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.089,2.089,-24.267,115.133,163.196
0.001,0.485,2.308,2.308,-23.981,115.513,163.098
0.003,0.966,2.524,2.524,-23.699,115.889,163.002
0.004,1.436,2.732,2.732,-23.421,116.258,162.908
0.005,1.892,2.930,2.930,-23.152,116.614,162.816
0.006,2.328,3.113,3.113,-22.894,116.955,162.729
0.008,2.740,3.278,3.278,-22.650,117.276,162.646
0.009,3.122,3.422,3.422,-22.423,117.574,162.570
0.010,3.470,3.540,3.540,-22.215,117.844,162.500
0.012,3.779,3.631,3.631,-22.029,118.082,162.438
0.013,4.043,3.698,3.698,-21.869,118.285,162.385
0.014,4.259,3.747,3.747,-21.736,118.449,162.342
0.015,4.421,3.781,3.781,-21.633,118.571,162.309
0.017,4.535,3.806,3.806,-21.558,118.652,162.286
0.018,4.605,3.826,3.826,-21.507,118.699,162.271
0.019,4.639,3.845,3.845,-21.478,118.717,162.264
0.020,4.653,3.868,3.868,-21.467,118.709,162.263
0.022,4.681,3.898,3.898,-21.471,118.682,162.267
0.023,4.726,3.932,3.932,-21.485,118.640,162.273
0.024,4.783,3.970,3.970,-21.507,118.588,162.282
0.026,4.847,4.008,4.008,-21.533,118.531,162.292
0.027,4.910,4.045,4.045,-21.560,118.474,162.302
0.028,4.969,4.078,4.078,-21.585,118.421,162.309
0.029,5.015,4.105,4.105,-21.603,118.379,162.314
0.031,5.049,4.125,4.125,-21.615,118.347,162.316
0.032,5.070,4.136,4.136,-21.619,118.326,162.316
0.033,5.082,4.141,4.141,-21.616,118.315,162.317
0.035,5.094,4.139,4.139,-21.605,118.312,162.317
0.036,5.113,4.135,4.135,-21.586,118.317,162.320
0.037,5.143,4.128,4.128,-21.560,118.330,162.325
0.038,5.183,4.120,4.120,-21.526,118.350,162.335
0.040,5.235,4.114,4.114,-21.484,118.376,162.349
0.041,5.298,4.111,4.111,-21.434,118.407,162.370
0.042,5.372,4.112,4.112,-21.375,118.443,162.399
0.044,5.458,4.116,4.116,-21.308,118.483,162.436
0.045,5.556,4.124,4.124,-21.234,118.527,162.481
0.046,5.663,4.136,4.136,-21.154,118.575,162.534
0.047,5.779,4.152,4.152,-21.070,118.627,162.595
0.049,5.902,4.172,4.172,-20.983,118.682,162.662
0.050,6.030,4.195,4.195,-20.896,118.742,162.734
0.051,6.162,4.223,4.223,-20.810,118.806,162.811
0.052,6.297,4.254,4.254,-20.727,118.875,162.892
0.054,6.433,4.288,4.288,-20.649,118.948,162.977
0.055,6.570,4.324,4.324,-20.577,119.026,163.063
0.056,6.707,4.363,4.363,-20.513,119.109,163.152
0.058,6.844,4.402,4.402,-20.459,119.197,163.241
0.059,6.979,4.442,4.442,-20.416,119.289,163.331
0.060,7.114,4.483,4.483,-20.381,119.384,163.420
0.061,7.248,4.523,4.523,-20.355,119.481,163.508
0.063,7.380,4.562,4.562,-20.336,119.579,163.595
0.064,7.509,4.600,4.600,-20.323,119.676,163.679
0.065,7.634,4.637,4.637,-20.314,119.771,163.760
0.067,7.754,4.672,4.672,-20.308,119.863,163.838
0.068,7.869,4.706,4.706,-20.304,119.950,163.911
0.069,7.975,4.737,4.737,-20.301,120.031,163.979
0.070,8.072,4.767,4.767,-20.298,120.105,164.043
0.072,8.159,4.793,4.793,-20.294,120.171,164.099
0.073,8.236,4.817,4.817,-20.287,120.228,164.150
0.074,8.301,4.837,4.837,-20.279,120.275,164.194
0.076,8.356,4.854,4.854,-20.270,120.315,164.231
0.077,8.401,4.867,4.867,-20.262,120.347,164.262
0.078,8.437,4.876,4.876,-20.255,120.372,164.287
0.079,8.464,4.880,4.880,-20.251,120.391,164.305
0.081,8.481,4.878,4.878,-20.249,120.404,164.316
0.082,8.491,4.872,4.872,-20.252,120.412,164.322
0.083,8.499,4.862,4.862,-20.260,120.415,164.321
0.085,8.515,4.850,4.850,-20.273,120.414,164.314
0.086,8.539,4.838,4.838,-20.293,120.410,164.300
0.087,8.573,4.828,4.828,-20.320,120.404,164.281
0.088,8.612,4.821,4.821,-20.352,120.395,164.259
0.090,8.653,4.819,4.819,-20.384,120.386,164.235
0.091,8.692,4.825,4.825,-20.414,120.378,164.213
0.092,8.724,4.839,4.839,-20.439,120.371,164.195
0.093,8.744,4.858,4.858,-20.456,120.367,164.183
0.095,8.750,4.879,4.879,-20.461,120.366,164.180
0.096,8.764,4.897,4.897,-20.451,120.371,164.188
0.097,8.801,4.909,4.909,-20.423,120.381,164.211
0.099,8.866,4.911,4.911,-20.373,120.398,164.249
0.100,8.963,4.899,4.899,-20.299,120.424,164.307
0.101,9.095,4.869,4.869,-20.199,120.459,164.385
0.102,9.260,4.821,4.821,-20.074,120.501,164.483
0.104,9.452,4.756,4.756,-19.928,120.551,164.599
0.105,9.669,4.681,4.681,-19.765,120.607,164.730
0.106,9.905,4.599,4.599,-19.589,120.667,164.875
0.108,10.156,4.516,4.516,-19.404,120.731,165.032
0.109,10.418,4.436,4.436,-19.212,120.797,165.198
0.110,10.686,4.364,4.364,-19.019,120.863,165.372
