"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.138,2.138,41.816,-160.171,104.329
0.001,0.239,2.258,2.258,41.594,-160.090,104.289
0.003,0.477,2.377,2.377,41.374,-160.010,104.250
0.004,0.710,2.493,2.493,41.158,-159.932,104.210
0.005,0.937,2.607,2.607,40.948,-159.855,104.171
0.006,1.155,2.716,2.716,40.746,-159.782,104.133
0.008,1.364,2.819,2.819,40.553,-159.713,104.094
0.009,1.560,2.916,2.916,40.372,-159.648,104.057
0.010,1.741,3.005,3.005,40.204,-159.589,104.019
0.012,1.906,3.085,3.085,40.052,-159.537,103.983
0.013,2.053,3.158,3.158,39.918,-159.491,103.948
0.014,2.179,3.222,3.222,39.802,-159.453,103.913
0.015,2.283,3.279,3.279,39.708,-159.423,103.880
0.017,2.367,3.329,3.329,39.633,-159.402,103.847
0.018,2.434,3.372,3.372,39.576,-159.388,103.816
0.019,2.487,3.409,3.409,39.533,-159.379,103.787
0.021,2.528,3.440,3.440,39.503,-159.376,103.759
0.022,2.561,3.465,3.465,39.483,-159.377,103.733
0.023,2.588,3.486,3.486,39.470,-159.382,103.709
0.025,2.612,3.502,3.502,39.462,-159.388,103.688
0.026,2.634,3.516,3.516,39.456,-159.396,103.668
0.027,2.654,3.527,3.527,39.450,-159.405,103.652
0.028,2.672,3.536,3.536,39.441,-159.412,103.637
0.030,2.691,3.544,3.544,39.427,-159.418,103.626
0.031,2.713,3.553,3.553,39.408,-159.423,103.617
0.032,2.740,3.562,3.562,39.382,-159.426,103.608
0.034,2.773,3.573,3.573,39.351,-159.428,103.598
0.035,2.810,3.586,3.586,39.316,-159.429,103.586
0.036,2.854,3.604,3.604,39.275,-159.430,103.570
0.037,2.903,3.626,3.626,39.231,-159.432,103.548
0.039,2.960,3.654,3.654,39.182,-159.435,103.519
0.040,3.024,3.688,3.688,39.131,-159.438,103.482
0.041,3.096,3.730,3.730,39.076,-159.443,103.435
0.043,3.179,3.779,3.779,39.018,-159.451,103.376
0.044,3.273,3.835,3.835,38.958,-159.460,103.304
0.045,3.379,3.894,3.894,38.896,-159.473,103.219
0.046,3.495,3.958,3.958,38.832,-159.489,103.123
0.048,3.621,4.024,4.024,38.767,-159.508,103.018
0.049,3.754,4.091,4.091,38.699,-159.531,102.906
0.050,3.892,4.158,4.158,38.629,-159.557,102.789
0.052,4.034,4.224,4.224,38.558,-159.588,102.670
0.053,4.178,4.289,4.289,38.485,-159.623,102.552
0.054,4.322,4.353,4.353,38.410,-159.663,102.435
0.055,4.465,4.415,4.415,38.334,-159.709,102.323
0.057,4.606,4.475,4.475,38.256,-159.759,102.217
0.058,4.743,4.534,4.534,38.177,-159.815,102.121
0.059,4.876,4.591,4.591,38.096,-159.876,102.035
0.061,5.004,4.647,4.647,38.015,-159.942,101.959
0.062,5.129,4.700,4.700,37.935,-160.009,101.892
0.063,5.248,4.751,4.751,37.857,-160.078,101.834
0.065,5.361,4.798,4.798,37.782,-160.146,101.783
0.066,5.467,4.842,4.842,37.712,-160.211,101.739
0.067,5.564,4.882,4.882,37.646,-160.272,101.701
0.068,5.651,4.916,4.916,37.587,-160.327,101.668
0.070,5.727,4.945,4.945,37.535,-160.375,101.639
0.071,5.790,4.968,4.968,37.492,-160.413,101.613
0.072,5.840,4.984,4.984,37.459,-160.441,101.590
0.074,5.875,4.995,4.995,37.436,-160.457,101.569
0.075,5.899,5.000,5.000,37.422,-160.463,101.551
0.076,5.916,5.001,5.001,37.416,-160.462,101.535
0.077,5.929,4.999,4.999,37.414,-160.457,101.523
0.079,5.939,4.994,4.994,37.415,-160.451,101.515
0.080,5.943,4.987,4.987,37.417,-160.447,101.513
0.081,5.948,4.978,4.978,37.418,-160.449,101.517
0.083,5.962,4.969,4.969,37.415,-160.459,101.527
0.084,5.992,4.959,4.959,37.407,-160.480,101.546
0.085,6.039,4.946,4.946,37.391,-160.516,101.573
0.086,6.109,4.931,4.931,37.366,-160.570,101.608
0.088,6.203,4.913,4.913,37.328,-160.644,101.654
0.089,6.322,4.891,4.891,37.280,-160.737,101.709
0.090,6.460,4.866,4.866,37.222,-160.846,101.771
0.092,6.612,4.835,4.835,37.157,-160.966,101.837
0.093,6.773,4.801,4.801,37.088,-161.094,101.907
0.094,6.939,4.765,4.765,37.016,-161.225,101.978
0.095,7.104,4.728,4.728,36.944,-161.356,102.049
0.097,7.263,4.693,4.693,36.874,-161.483,102.116
0.098,7.412,4.660,4.660,36.809,-161.601,102.179
0.099,7.546,4.632,4.632,36.750,-161.707,102.234
0.101,7.659,4.611,4.611,36.699,-161.797,102.281
0.102,7.747,4.597,4.597,36.660,-161.866,102.318
0.103,7.808,4.591,4.591,36.632,-161.915,102.343
0.105,7.848,4.590,4.590,36.614,-161.946,102.359
0.106,7.869,4.592,4.592,36.604,-161.963,102.368
0.107,7.878,4.595,4.595,36.600,-161.969,102.372
0.108,7.879,4.597,4.597,36.600,-161.969,102.373
0.110,7.883,4.596,4.596,36.602,-161.965,102.374
0.111,7.888,4.591,4.591,36.605,-161.962,102.375
0.112,7.892,4.578,4.578,36.607,-161.963,102.379
0.114,7.905,4.560,4.560,36.605,-161.972,102.388
0.115,7.932,4.539,4.539,36.598,-161.992,102.405
0.116,7.978,4.516,4.516,36.584,-162.027,102.431
0.117,8.045,4.492,4.492,36.562,-162.079,102.467
0.119,8.131,4.472,4.472,36.532,-162.145,102.513
0.120,8.232,4.455,4.455,36.494,-162.222,102.566
0.121,8.344,4.444,4.444,36.449,-162.307,102.624
0.123,8.465,4.440,4.440,36.398,-162.396,102.687
0.124,8.590,4.442,4.442,36.340,-162.486,102.752
0.125,8.717,4.448,4.448,36.276,-162.574,102.818
0.126,8.843,4.456,4.456,36.207,-162.656,102.883
0.128,8.965,4.463,4.463,36.133,-162.730,102.946
0.129,9.080,4.470,4.470,36.054,-162.791,103.004
0.130,9.188,4.472,4.472,35.972,-162.837,103.057
0.132,9.289,4.469,4.469,35.886,-162.865,103.102
0.133,9.387,4.459,4.459,35.797,-162.876,103.141
0.134,9.484,4.444,4.444,35.706,-162.875,103.174
0.135,9.582,4.426,4.426,35.613,-162.863,103.202
0.137,9.681,4.405,4.405,35.519,-162.843,103.226
0.138,9.780,4.383,4.383,35.424,-162.820,103.248
0.139,9.880,4.362,4.362,35.330,-162.795,103.269
0.141,9.979,4.342,4.342,35.236,-162.772,103.288
0.142,10.075,4.327,4.327,35.144,-162.754,103.308
0.143,10.168,4.315,4.315,35.054,-162.743,103.330
0.145,10.259,4.306,4.306,34.966,-162.744,103.354
0.146,10.349,4.299,4.299,34.881,-162.758,103.381
0.147,10.441,4.292,4.292,34.799,-162.785,103.412
0.148,10.537,4.285,4.285,34.718,-162.824,103.445
0.150,10.637,4.276,4.276,34.638,-162.872,103.481
0.151,10.742,4.263,4.263,34.556,-162.927,103.517
0.152,10.852,4.247,4.247,34.472,-162.987,103.554
0.154,10.967,4.227,4.227,34.384,-163.051,103.591
0.155,11.085,4.204,4.204,34.292,-163.115,103.627
0.156,11.207,4.180,4.180,34.194,-163.179,103.662
0.157,11.333,4.157,4.157,34.088,-163.239,103.694
0.159,11.463,4.136,4.136,33.974,-163.294,103.724
0.160,11.597,4.118,4.118,33.851,-163.342,103.750
0.161,11.738,4.105,4.105,33.719,-163.383,103.772
0.163,11.882,4.097,4.097,33.579,-163.416,103.791
0.164,12.029,4.096,4.096,33.435,-163.443,103.807
0.165,12.178,4.099,4.099,33.289,-163.464,103.821
0.166,12.325,4.106,4.106,33.143,-163.480,103.833
0.168,12.469,4.116,4.116,33.000,-163.493,103.845
0.169,12.609,4.127,4.127,32.862,-163.503,103.856
0.170,12.741,4.140,4.140,32.730,-163.510,103.867
0.172,12.863,4.153,4.153,32.609,-163.516,103.878
0.173,12.974,4.164,4.164,32.499,-163.521,103.891
0.174,13.071,4.174,4.174,32.403,-163.527,103.905
0.175,13.153,4.183,4.183,32.322,-163.533,103.921
0.177,13.225,4.190,4.190,32.254,-163.540,103.940
0.178,13.289,4.195,4.195,32.194,-163.548,103.961
0.179,13.349,4.197,4.197,32.139,-163.556,103.985
0.181,13.408,4.197,4.197,32.087,-163.564,104.012
0.182,13.471,4.194,4.194,32.033,-163.572,104.042
0.183,13.539,4.189,4.189,31.974,-163.581,104.076
0.185,13.615,4.183,4.183,31.908,-163.590,104.113
0.186,13.703,4.177,4.177,31.830,-163.598,104.154
0.187,13.807,4.173,4.173,31.738,-163.606,104.199
0.188,13.928,4.173,4.173,31.628,-163.614,104.248
0.190,14.069,4.178,4.178,31.497,-163.622,104.302
0.191,14.228,4.190,4.190,31.349,-163.628,104.359
0.192,14.402,4.210,4.210,31.185,-163.633,104.419
0.194,14.587,4.240,4.240,31.011,-163.637,104.480
0.195,14.781,4.278,4.278,30.827,-163.638,104.542
0.196,14.979,4.323,4.323,30.639,-163.637,104.603
0.197,15.178,4.374,4.374,30.449,-163.633,104.662
0.199,15.375,4.430,4.430,30.260,-163.625,104.718
0.200,15.567,4.490,4.490,30.076,-163.614,104.771
0.201,15.750,4.553,4.553,29.900,-163.599,104.820
0.203,15.921,4.617,4.617,29.735,-163.579,104.862
0.204,16.078,4.683,4.683,29.584,-163.555,104.898
0.205,16.221,4.747,4.747,29.448,-163.526,104.927
0.206,16.351,4.809,4.809,29.323,-163.495,104.950
0.208,16.471,4.868,4.867,29.209,-163.461,104.968
0.209,16.582,4.921,4.921,29.105,-163.426,104.981
0.210,16.686,4.969,4.968,29.008,-163.392,104.991
0.212,16.783,5.008,5.008,28.916,-163.359,104.997
0.213,16.876,5.039,5.039,28.829,-163.329,105.000
0.214,16.965,5.061,5.062,28.744,-163.303,105.001
0.215,17.052,5.078,5.078,28.659,-163.281,105.000
0.217,17.139,5.089,5.090,28.574,-163.265,104.999
0.218,17.227,5.099,5.100,28.487,-163.256,104.997
0.219,17.317,5.108,5.109,28.397,-163.254,104.996
0.221,17.407,5.119,5.119,28.306,-163.258,104.996
0.222,17.497,5.134,5.134,28.217,-163.266,104.996
0.223,17.584,5.153,5.153,28.131,-163.279,104.999
0.225,17.666,5.178,5.177,28.050,-163.295,105.003
0.226,17.743,5.206,5.205,27.976,-163.313,105.010
0.227,17.812,5.236,5.234,27.911,-163.332,105.019
0.228,17.871,5.265,5.263,27.856,-163.350,105.032
0.230,17.920,5.292,5.291,27.813,-163.368,105.049
0.231,17.958,5.316,5.315,27.785,-163.383,105.069
0.232,17.989,5.335,5.335,27.772,-163.396,105.094
0.234,18.019,5.348,5.350,27.776,-163.405,105.123
0.235,18.054,5.354,5.358,27.791,-163.410,105.154
0.236,18.092,5.355,5.361,27.814,-163.414,105.184
0.237,18.129,5.351,5.358,27.840,-163.415,105.210
0.239,18.161,5.343,5.351,27.865,-163.415,105.230
0.240,18.184,5.332,5.339,27.885,-163.414,105.242
0.241,18.195,5.319,5.323,27.896,-163.412,105.243
0.243,18.209,5.304,5.303,27.893,-163.411,105.230
0.244,18.245,5.288,5.280,27.872,-163.411,105.200
0.245,18.309,5.271,5.255,27.828,-163.412,105.153
0.246,18.407,5.253,5.231,27.758,-163.414,105.084
0.248,18.543,5.236,5.208,27.659,-163.420,104.992
0.249,18.711,5.218,5.190,27.532,-163.428,104.882
0.250,18.907,5.201,5.177,27.382,-163.439,104.756
0.252,19.126,5.185,5.172,27.212,-163.455,104.619
0.253,19.363,5.169,5.176,27.024,-163.475,104.475
0.254,19.614,5.154,5.189,26.822,-163.500,104.329
0.255,19.873,5.140,5.211,26.611,-163.531,104.183
0.257,20.136,5.127,5.237,26.391,-163.568,104.043
0.258,20.398,5.114,5.266,26.168,-163.612,103.912
0.259,20.655,5.101,5.295,25.945,-163.662,103.795
0.261,20.904,5.089,5.322,25.724,-163.721,103.695
0.262,21.143,5.076,5.345,25.510,-163.787,103.616
0.263,21.369,5.064,5.361,25.303,-163.860,103.557
0.265,21.585,5.051,5.369,25.106,-163.939,103.517
0.266,21.788,5.039,5.369,24.922,-164.020,103.494
0.267,21.979,5.029,5.364,24.750,-164.103,103.484
0.268,22.155,5.021,5.353,24.594,-164.186,103.486
0.270,22.316,5.016,5.337,24.455,-164.266,103.498
0.271,22.460,5.015,5.317,24.335,-164.342,103.517
0.272,22.584,5.018,5.294,24.236,-164.412,103.542
0.274,22.687,5.027,5.268,24.159,-164.475,103.571
0.275,22.768,5.040,5.241,24.106,-164.528,103.600
0.276,22.825,5.056,5.214,24.079,-164.570,103.628
0.277,22.866,5.073,5.188,24.075,-164.601,103.654
0.279,22.899,5.089,5.164,24.089,-164.622,103.677
0.280,22.932,5.102,5.143,24.113,-164.635,103.695
0.281,22.965,5.111,5.127,24.142,-164.640,103.708
0.283,22.994,5.115,5.116,24.171,-164.640,103.715
0.284,23.017,5.111,5.112,24.193,-164.635,103.716
0.285,23.030,5.101,5.113,24.201,-164.627,103.708
0.286,23.052,5.086,5.121,24.191,-164.618,103.691
0.288,23.097,5.069,5.133,24.155,-164.608,103.665
0.289,23.174,5.052,5.148,24.088,-164.599,103.629
0.290,23.289,5.037,5.167,23.985,-164.592,103.580
0.292,23.442,5.025,5.188,23.843,-164.589,103.521
0.293,23.630,5.020,5.210,23.668,-164.589,103.453
0.294,23.843,5.022,5.233,23.468,-164.592,103.378
0.295,24.077,5.031,5.256,23.248,-164.597,103.299
0.297,24.325,5.047,5.278,23.015,-164.606,103.217
0.298,24.579,5.066,5.298,22.775,-164.618,103.136
0.299,24.833,5.090,5.316,22.534,-164.633,103.057
0.301,25.080,5.116,5.330,22.298,-164.650,102.982
0.302,25.314,5.144,5.341,22.075,-164.670,102.915
0.303,25.529,5.172,5.347,21.870,-164.692,102.857
0.305,25.717,5.200,5.348,21.689,-164.717,102.810
0.306,25.874,5.227,5.346,21.538,-164.745,102.776
0.307,26.004,5.251,5.340,21.413,-164.774,102.753
0.308,26.109,5.273,5.334,21.314,-164.804,102.741
0.310,26.193,5.292,5.328,21.236,-164.835,102.737
0.311,26.260,5.307,5.323,21.177,-164.866,102.741
0.312,26.312,5.317,5.321,21.135,-164.896,102.750
0.314,26.355,5.322,5.322,21.106,-164.924,102.764
0.315,26.390,5.322,5.328,21.089,-164.951,102.780
0.316,26.421,5.317,5.338,21.081,-164.975,102.797
0.317,26.448,5.310,5.351,21.079,-164.996,102.814
0.319,26.471,5.300,5.365,21.079,-165.013,102.830
0.320,26.489,5.289,5.380,21.081,-165.026,102.842
0.321,26.502,5.278,5.395,21.083,-165.035,102.851
0.323,26.510,5.269,5.410,21.084,-165.040,102.857
0.324,26.514,5.262,5.423,21.085,-165.042,102.861
0.325,26.516,5.258,5.433,21.084,-165.043,102.862
0.326,26.520,5.256,5.441,21.081,-165.041,102.861
0.328,26.526,5.256,5.446,21.075,-165.038,102.859
0.329,26.536,5.257,5.448,21.067,-165.034,102.855
0.330,26.549,5.260,5.447,21.056,-165.031,102.850
0.332,26.566,5.264,5.442,21.040,-165.028,102.844
0.333,26.587,5.268,5.434,21.020,-165.025,102.838
0.334,26.612,5.273,5.421,20.996,-165.025,102.832
0.335,26.641,5.277,5.405,20.968,-165.025,102.825
0.337,26.673,5.280,5.388,20.936,-165.028,102.819
0.338,26.708,5.282,5.369,20.902,-165.031,102.814
0.339,26.743,5.282,5.351,20.867,-165.035,102.809
0.341,26.779,5.280,5.335,20.832,-165.040,102.806
0.342,26.813,5.276,5.322,20.799,-165.046,102.804
0.343,26.845,5.268,5.312,20.767,-165.052,102.804
0.345,26.875,5.257,5.308,20.738,-165.058,102.806
0.346,26.900,5.243,5.309,20.714,-165.063,102.810
0.347,26.921,5.228,5.313,20.694,-165.068,102.817
0.348,26.938,5.214,5.320,20.681,-165.073,102.827
0.350,26.953,5.202,5.328,20.674,-165.077,102.839
0.351,26.968,5.193,5.336,20.670,-165.082,102.853
0.352,26.984,5.188,5.344,20.665,-165.088,102.867
0.354,27.000,5.190,5.349,20.659,-165.095,102.880
0.355,27.019,5.198,5.351,20.647,-165.106,102.891
0.356,27.044,5.211,5.349,20.628,-165.119,102.899
0.357,27.079,5.226,5.343,20.598,-165.137,102.902
0.359,27.128,5.241,5.332,20.555,-165.159,102.900
0.360,27.193,5.251,5.315,20.496,-165.187,102.891
0.361,27.280,5.254,5.293,20.419,-165.221,102.875
0.363,27.390,5.248,5.264,20.320,-165.263,102.849
0.364,27.524,5.230,5.227,20.200,-165.311,102.814
0.365,27.681,5.198,5.184,20.060,-165.367,102.771
0.366,27.854,5.156,5.136,19.906,-165.429,102.721
0.368,28.042,5.106,5.085,19.740,-165.497,102.666
0.369,28.238,5.051,5.032,19.567,-165.570,102.607
0.370,28.440,4.996,4.981,19.391,-165.647,102.547
0.372,28.643,4.943,4.934,19.215,-165.729,102.486
0.373,28.844,4.895,4.892,19.043,-165.814,102.425
0.374,29.039,4.856,4.857,18.879,-165.902,102.368
0.375,29.224,4.827,4.831,18.727,-165.992,102.314
0.377,29.395,4.807,4.812,18.591,-166.083,102.266
0.378,29.551,4.795,4.801,18.473,-166.176,102.224
0.379,29.693,4.790,4.795,18.371,-166.270,102.189
0.381,29.826,4.791,4.794,18.282,-166.363,102.160
0.382,29.951,4.796,4.798,18.202,-166.457,102.135
0.383,30.072,4.804,4.804,18.128,-166.550,102.115
0.385,30.190,4.814,4.814,18.057,-166.643,102.098
0.386,30.307,4.826,4.824,17.985,-166.734,102.085
0.387,30.425,4.839,4.837,17.908,-166.823,102.073
0.388,30.547,4.852,4.850,17.824,-166.911,102.062
0.390,30.676,4.866,4.864,17.728,-166.996,102.053
0.391,30.814,4.880,4.879,17.618,-167.078,102.043
0.392,30.965,4.894,4.893,17.489,-167.157,102.032
0.394,31.128,4.908,4.908,17.346,-167.233,102.021
0.395,31.300,4.921,4.922,17.190,-167.306,102.009
0.396,31.477,4.934,4.935,17.028,-167.375,101.996
0.397,31.655,4.946,4.948,16.863,-167.441,101.983
0.399,31.830,4.957,4.960,16.699,-167.503,101.970
0.400,31.998,4.968,4.971,16.542,-167.561,101.957
0.401,32.155,4.978,4.981,16.396,-167.616,101.944
0.403,32.297,4.988,4.990,16.264,-167.667,101.931
0.404,32.419,4.998,4.999,16.152,-167.714,101.918
0.405,32.519,5.008,5.006,16.064,-167.758,101.906
0.406,32.592,5.017,5.012,16.003,-167.797,101.894
0.408,32.642,5.024,5.016,15.969,-167.833,101.883
0.409,32.678,5.029,5.019,15.956,-167.864,101.873
0.410,32.706,5.032,5.021,15.957,-167.890,101.862
0.412,32.732,5.030,5.021,15.964,-167.912,101.851
0.413,32.754,5.025,5.019,15.973,-167.929,101.840
0.414,32.772,5.015,5.015,15.976,-167.941,101.827
0.415,32.789,5.000,5.010,15.967,-167.948,101.814
0.417,32.821,4.980,5.003,15.939,-167.949,101.799
0.418,32.877,4.958,4.995,15.886,-167.945,101.783
0.419,32.965,4.935,4.986,15.800,-167.934,101.765
0.421,33.091,4.912,4.977,15.677,-167.917,101.745
0.422,33.258,4.890,4.968,15.513,-167.895,101.723
0.423,33.458,4.872,4.959,15.317,-167.866,101.698
0.425,33.682,4.857,4.951,15.097,-167.833,101.672
0.426,33.923,4.847,4.945,14.861,-167.796,101.644
0.427,34.171,4.842,4.939,14.617,-167.754,101.615
0.428,34.420,4.840,4.934,14.375,-167.710,101.584
0.430,34.659,4.841,4.929,14.142,-167.663,101.553
0.431,34.883,4.843,4.923,13.926,-167.613,101.521
0.432,35.081,4.846,4.918,13.737,-167.563,101.489
0.434,35.247,4.848,4.911,13.582,-167.512,101.456
0.435,35.375,4.850,4.904,13.470,-167.460,101.424
0.436,35.462,4.849,4.895,13.406,-167.410,101.392
0.437,35.522,4.846,4.884,13.383,-167.364,101.362
0.439,35.568,4.840,4.870,13.390,-167.327,101.335
0.440,35.611,4.829,4.852,13.418,-167.303,101.314
0.441,35.654,4.813,4.829,13.458,-167.295,101.300
0.443,35.697,4.792,4.801,13.499,-167.308,101.294
0.444,35.747,4.764,4.767,13.531,-167.346,101.298
0.445,35.818,4.729,4.726,13.545,-167.414,101.313
0.446,35.923,4.689,4.680,13.531,-167.514,101.342
0.448,36.076,4.649,4.636,13.479,-167.651,101.386
0.449,36.289,4.612,4.599,13.380,-167.830,101.447
0.450,36.572,4.584,4.573,13.224,-168.052,101.525
0.452,36.920,4.569,4.565,13.016,-168.315,101.618
0.453,37.323,4.571,4.580,12.763,-168.611,101.723
0.454,37.769,4.594,4.622,12.475,-168.932,101.835
0.455,38.247,4.643,4.698,12.159,-169.272,101.950
0.457,38.745,4.716,4.803,11.824,-169.622,102.065
0.458,39.252,4.806,4.932,11.478,-169.976,102.176
0.459,39.757,4.908,5.077,11.129,-170.327,102.278
0.461,40.248,5.016,5.232,10.787,-170.667,102.368
0.462,40.714,5.125,5.389,10.458,-170.989,102.441
0.463,41.144,5.230,5.542,10.152,-171.285,102.495
0.465,41.526,5.323,5.685,9.877,-171.549,102.525
0.466,41.860,5.402,5.810,9.634,-171.779,102.531
0.467,42.150,5.465,5.917,9.424,-171.978,102.516
0.468,42.399,5.515,6.006,9.244,-172.147,102.485
0.470,42.612,5.554,6.076,9.092,-172.290,102.440
0.471,42.794,5.583,6.129,8.968,-172.410,102.385
0.472,42.946,5.604,6.163,8.868,-172.508,102.324
0.474,43.074,5.619,6.180,8.793,-172.588,102.259
0.475,43.179,5.629,6.179,8.739,-172.651,102.195
0.476,43.265,5.637,6.161,8.706,-172.702,102.134
0.477,43.333,5.643,6.129,8.691,-172.741,102.081
0.479,43.386,5.648,6.088,8.694,-172.773,102.037
0.480,43.430,5.651,6.042,8.711,-172.798,102.006
0.481,43.468,5.655,5.994,8.737,-172.817,101.986
0.483,43.504,5.658,5.948,8.769,-172.830,101.975
0.484,43.537,5.663,5.908,8.801,-172.839,101.971
0.485,43.565,5.669,5.878,8.828,-172.843,101.974
0.486,43.585,5.676,5.861,8.846,-172.842,101.982
0.488,43.597,5.686,5.856,8.850,-172.838,101.993
0.489,43.618,5.700,5.861,8.835,-172.830,102.006
0.490,43.661,5.716,5.877,8.796,-172.819,102.020
0.492,43.730,5.737,5.900,8.730,-172.806,102.032
0.493,43.831,5.762,5.932,8.630,-172.790,102.042
0.494,43.967,5.792,5.970,8.495,-172.772,102.048
0.495,44.133,5.828,6.013,8.331,-172.753,102.051
0.497,44.323,5.869,6.060,8.142,-172.733,102.051
0.498,44.530,5.913,6.109,7.936,-172.713,102.050
0.499,44.747,5.958,6.157,7.719,-172.692,102.048
0.501,44.970,6.003,6.202,7.498,-172.673,102.044
0.502,45.190,6.046,6.241,7.278,-172.654,102.041
0.503,45.402,6.084,6.272,7.067,-172.637,102.039
0.505,45.600,6.117,6.293,6.870,-172.623,102.039
0.506,45.776,6.142,6.301,6.694,-172.610,102.040
0.507,45.925,6.160,6.298,6.545,-172.601,102.044
0.508,46.042,6.171,6.285,6.429,-172.596,102.051
0.510,46.128,6.177,6.266,6.344,-172.593,102.061
0.511,46.186,6.180,6.244,6.286,-172.594,102.072
0.512,46.222,6.181,6.221,6.253,-172.598,102.084
0.514,46.241,6.181,6.201,6.239,-172.605,102.096
0.515,46.256,6.183,6.186,6.243,-172.615,102.106
0.516,46.277,6.187,6.179,6.259,-172.627,102.115
0.517,46.307,6.193,6.180,6.285,-172.641,102.119
0.519,46.343,6.201,6.187,6.316,-172.657,102.120
0.520,46.381,6.211,6.200,6.350,-172.675,102.116
0.521,46.420,6.222,6.217,6.382,-172.695,102.105
0.523,46.459,6.235,6.237,6.409,-172.716,102.088
0.524,46.496,6.249,6.259,6.429,-172.739,102.066
0.525,46.533,6.263,6.281,6.441,-172.765,102.043
0.526,46.569,6.277,6.302,6.443,-172.795,102.022
0.528,46.607,6.289,6.320,6.435,-172.830,102.009
0.529,46.652,6.297,6.334,6.415,-172.870,102.007
0.530,46.711,6.298,6.341,6.382,-172.917,102.020
0.532,46.789,6.291,6.339,6.336,-172.972,102.051
0.533,46.892,6.273,6.326,6.275,-173.035,102.106
0.534,47.026,6.242,6.301,6.198,-173.107,102.187
0.535,47.194,6.196,6.261,6.103,-173.190,102.299
0.537,47.401,6.133,6.206,5.991,-173.285,102.445
0.538,47.647,6.057,6.139,5.860,-173.390,102.625
0.539,47.925,5.971,6.065,5.715,-173.504,102.833
0.541,48.228,5.879,5.988,5.558,-173.624,103.061
0.542,48.548,5.784,5.912,5.391,-173.749,103.304
0.543,48.879,5.691,5.842,5.217,-173.876,103.556
0.545,49.213,5.602,5.781,5.039,-174.003,103.808
0.546,49.543,5.521,5.735,4.860,-174.128,104.055
0.547,49.861,5.450,5.704,4.682,-174.248,104.291
0.548,50.162,5.391,5.686,4.508,-174.362,104.508
0.550,50.437,5.342,5.678,4.342,-174.467,104.700
0.551,50.680,5.303,5.675,4.185,-174.561,104.861
0.552,50.889,5.276,5.675,4.039,-174.643,104.987
0.554,51.068,5.259,5.674,3.905,-174.714,105.081
0.555,51.222,5.253,5.668,3.780,-174.775,105.146
0.556,51.355,5.257,5.654,3.665,-174.828,105.188
0.557,51.474,5.271,5.632,3.557,-174.873,105.211
0.559,51.582,5.292,5.603,3.458,-174.914,105.217
0.560,51.682,5.316,5.568,3.365,-174.950,105.212
0.561,51.776,5.342,5.530,3.277,-174.983,105.199
0.563,51.866,5.366,5.491,3.195,-175.015,105.183
0.564,51.952,5.386,5.452,3.116,-175.047,105.167
0.565,52.035,5.399,5.415,3.041,-175.080,105.156
0.566,52.117,5.403,5.383,2.968,-175.116,105.153
0.568,52.198,5.398,5.355,2.897,-175.156,105.158
0.569,52.280,5.385,5.332,2.828,-175.198,105.171
0.570,52.365,5.366,5.313,2.760,-175.245,105.192
0.572,52.454,5.345,5.298,2.692,-175.296,105.219
0.573,52.548,5.322,5.287,2.625,-175.352,105.253
0.574,52.647,5.299,5.280,2.558,-175.412,105.292
0.575,52.752,5.280,5.276,2.490,-175.478,105.338
0.577,52.863,5.264,5.276,2.422,-175.550,105.388
0.578,52.981,5.254,5.278,2.352,-175.628,105.443
0.579,53.106,5.246,5.282,2.281,-175.713,105.502
0.581,53.238,5.242,5.286,2.208,-175.804,105.564
0.582,53.377,5.240,5.290,2.133,-175.901,105.629
0.583,53.519,5.239,5.294,2.059,-176.003,105.695
0.585,53.664,5.239,5.295,1.986,-176.108,105.761
0.586,53.808,5.238,5.294,1.915,-176.216,105.826
0.587,53.949,5.237,5.289,1.849,-176.324,105.887
0.588,54.087,5.235,5.282,1.787,-176.433,105.945
0.590,54.218,5.232,5.272,1.731,-176.539,105.997
0.591,54.341,5.230,5.262,1.683,-176.643,106.043
0.592,54.455,5.229,5.252,1.643,-176.742,106.081
0.594,54.557,5.228,5.243,1.613,-176.836,106.109
0.595,54.648,5.229,5.235,1.594,-176.924,106.127
0.596,54.730,5.232,5.231,1.585,-177.004,106.135
