"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.942,1.942,77.414,-51.341,-0.170
0.001,0.109,1.964,1.964,77.420,-51.247,-0.226
0.003,0.219,1.986,1.986,77.425,-51.153,-0.283
0.004,0.330,2.008,2.008,77.427,-51.059,-0.342
0.005,0.443,2.029,2.029,77.426,-50.965,-0.405
0.007,0.559,2.050,2.050,77.421,-50.872,-0.472
0.008,0.678,2.070,2.070,77.409,-50.779,-0.545
0.009,0.802,2.090,2.090,77.391,-50.686,-0.625
0.010,0.932,2.109,2.109,77.364,-50.593,-0.714
0.012,1.071,2.127,2.127,77.329,-50.501,-0.811
0.013,1.220,2.148,2.148,77.283,-50.409,-0.919
0.014,1.381,2.174,2.174,77.225,-50.318,-1.038
0.016,1.556,2.207,2.207,77.155,-50.228,-1.170
0.017,1.745,2.250,2.250,77.072,-50.138,-1.315
0.018,1.947,2.306,2.306,76.977,-50.050,-1.471
0.020,2.160,2.376,2.376,76.873,-49.965,-1.635
0.021,2.380,2.463,2.463,76.760,-49.883,-1.805
0.022,2.605,2.566,2.566,76.639,-49.807,-1.980
0.024,2.833,2.682,2.682,76.514,-49.736,-2.156
0.025,3.061,2.805,2.805,76.384,-49.672,-2.333
0.026,3.286,2.933,2.933,76.252,-49.615,-2.506
0.028,3.506,3.061,3.061,76.119,-49.568,-2.675
0.029,3.719,3.185,3.185,75.987,-49.530,-2.837
0.030,3.921,3.302,3.302,75.857,-49.502,-2.989
0.031,4.111,3.407,3.407,75.731,-49.486,-3.130
0.033,4.288,3.500,3.500,75.609,-49.481,-3.259
0.034,4.454,3.582,3.582,75.493,-49.487,-3.377
0.035,4.608,3.654,3.654,75.381,-49.501,-3.483
0.037,4.753,3.715,3.715,75.275,-49.522,-3.578
0.038,4.887,3.766,3.766,75.175,-49.550,-3.664
0.039,5.012,3.808,3.808,75.081,-49.582,-3.739
0.041,5.127,3.842,3.842,74.994,-49.618,-3.806
0.042,5.234,3.867,3.867,74.914,-49.655,-3.865
0.043,5.331,3.885,3.885,74.840,-49.694,-3.915
0.045,5.418,3.898,3.898,74.774,-49.731,-3.958
0.046,5.495,3.907,3.907,74.716,-49.767,-3.994
0.047,5.562,3.913,3.913,74.666,-49.800,-4.024
0.048,5.620,3.918,3.918,74.623,-49.829,-4.048
0.050,5.669,3.923,3.923,74.586,-49.856,-4.068
0.051,5.712,3.930,3.930,74.555,-49.881,-4.083
0.052,5.750,3.938,3.938,74.527,-49.905,-4.095
0.054,5.785,3.948,3.948,74.503,-49.928,-4.105
0.055,5.819,3.958,3.958,74.480,-49.951,-4.113
0.056,5.851,3.969,3.969,74.458,-49.974,-4.120
0.058,5.885,3.979,3.979,74.436,-49.998,-4.128
0.059,5.921,3.989,3.989,74.413,-50.024,-4.136
0.060,5.960,3.997,3.997,74.387,-50.052,-4.145
0.062,6.004,4.004,4.004,74.357,-50.083,-4.158
0.063,6.055,4.009,4.009,74.323,-50.117,-4.173
0.064,6.111,4.014,4.014,74.286,-50.154,-4.192
0.066,6.174,4.019,4.019,74.244,-50.195,-4.214
0.067,6.242,4.025,4.025,74.201,-50.240,-4.242
0.068,6.317,4.034,4.034,74.154,-50.289,-4.274
0.069,6.397,4.045,4.045,74.107,-50.342,-4.312
0.071,6.484,4.059,4.059,74.058,-50.398,-4.355
0.072,6.577,4.078,4.078,74.009,-50.460,-4.405
0.073,6.676,4.101,4.101,73.960,-50.525,-4.462
0.075,6.783,4.127,4.127,73.911,-50.596,-4.526
0.076,6.897,4.156,4.156,73.864,-50.671,-4.597
0.077,7.018,4.187,4.187,73.819,-50.750,-4.677
0.079,7.147,4.221,4.221,73.776,-50.835,-4.764
0.080,7.281,4.255,4.255,73.735,-50.922,-4.857
0.081,7.418,4.291,4.291,73.697,-51.011,-4.954
0.083,7.555,4.327,4.327,73.661,-51.100,-5.052
0.084,7.691,4.363,4.363,73.628,-51.187,-5.151
0.085,7.823,4.398,4.398,73.598,-51.272,-5.248
0.087,7.949,4.431,4.431,73.570,-51.352,-5.340
0.088,8.065,4.461,4.461,73.545,-51.426,-5.427
0.089,8.171,4.489,4.489,73.523,-51.493,-5.505
0.090,8.263,4.513,4.513,73.504,-51.552,-5.574
0.092,8.339,4.532,4.532,73.487,-51.599,-5.631
0.093,8.397,4.547,4.547,73.474,-51.636,-5.674
0.094,8.437,4.559,4.559,73.464,-51.660,-5.704
0.096,8.461,4.566,4.566,73.456,-51.675,-5.722
0.097,8.473,4.571,4.571,73.452,-51.682,-5.730
0.098,8.476,4.573,4.573,73.449,-51.682,-5.730
0.100,8.483,4.573,4.573,73.448,-51.677,-5.724
0.101,8.497,4.572,4.572,73.449,-51.668,-5.714
0.102,8.513,4.569,4.569,73.452,-51.658,-5.702
0.104,8.530,4.566,4.566,73.456,-51.648,-5.689
0.105,8.545,4.563,4.563,73.462,-51.639,-5.678
0.106,8.556,4.561,4.561,73.468,-51.633,-5.670
0.107,8.563,4.559,4.559,73.475,-51.632,-5.668
0.109,8.573,4.560,4.560,73.482,-51.638,-5.673
0.110,8.591,4.563,4.563,73.489,-51.649,-5.684
0.111,8.616,4.569,4.569,73.496,-51.665,-5.702
0.113,8.647,4.578,4.578,73.501,-51.685,-5.725
0.114,8.683,4.590,4.590,73.506,-51.708,-5.752
0.115,8.723,4.603,4.603,73.508,-51.733,-5.783
0.117,8.766,4.617,4.617,73.507,-51.760,-5.817
0.118,8.810,4.631,4.631,73.504,-51.786,-5.853
0.119,8.856,4.644,4.644,73.497,-51.812,-5.890
0.121,8.902,4.655,4.655,73.485,-51.836,-5.927
0.122,8.947,4.664,4.664,73.470,-51.857,-5.964
0.123,8.992,4.670,4.670,73.449,-51.875,-6.000
0.125,9.037,4.673,4.673,73.423,-51.889,-6.034
0.126,9.082,4.673,4.673,73.392,-51.899,-6.065
0.127,9.127,4.671,4.671,73.358,-51.906,-6.094
0.128,9.173,4.668,4.668,73.322,-51.912,-6.121
0.130,9.217,4.662,4.662,73.284,-51.916,-6.144
0.131,9.261,4.655,4.655,73.246,-51.920,-6.165
0.132,9.302,4.646,4.646,73.209,-51.924,-6.182
0.134,9.341,4.637,4.637,73.174,-51.930,-6.196
0.135,9.376,4.627,4.627,73.141,-51.938,-6.207
0.136,9.407,4.617,4.617,73.112,-51.948,-6.213
0.138,9.435,4.608,4.608,73.088,-51.963,-6.215
0.139,9.462,4.601,4.601,73.070,-51.981,-6.214
0.140,9.489,4.596,4.596,73.057,-52.005,-6.208
0.142,9.518,4.593,4.593,73.050,-52.032,-6.200
0.143,9.550,4.593,4.593,73.045,-52.062,-6.192
0.144,9.582,4.595,4.595,73.041,-52.094,-6.186
0.145,9.616,4.596,4.596,73.037,-52.127,-6.182
0.147,9.649,4.596,4.596,73.031,-52.160,-6.184
0.148,9.683,4.593,4.593,73.022,-52.192,-6.192
0.149,9.720,4.586,4.586,73.008,-52.222,-6.208
0.151,9.763,4.573,4.573,72.988,-52.249,-6.234
0.152,9.816,4.552,4.552,72.959,-52.272,-6.273
0.153,9.883,4.524,4.524,72.921,-52.291,-6.324
0.155,9.966,4.489,4.489,72.873,-52.304,-6.391
0.156,10.067,4.450,4.450,72.813,-52.311,-6.472
0.157,10.181,4.408,4.408,72.746,-52.313,-6.564
0.159,10.305,4.365,4.365,72.673,-52.308,-6.664
0.160,10.435,4.321,4.321,72.597,-52.299,-6.770
0.161,10.569,4.279,4.279,72.521,-52.284,-6.879
0.163,10.703,4.240,4.240,72.445,-52.264,-6.987
0.164,10.832,4.205,4.205,72.373,-52.240,-7.092
0.165,10.955,4.175,4.175,72.308,-52.210,-7.191
0.166,11.067,4.149,4.149,72.250,-52.177,-7.281
0.168,11.166,4.130,4.130,72.204,-52.138,-7.360
0.169,11.249,4.116,4.116,72.171,-52.096,-7.423
0.170,11.317,4.109,4.109,72.152,-52.050,-7.470
0.172,11.375,4.110,4.110,72.146,-52.003,-7.503
0.173,11.427,4.117,4.117,72.148,-51.956,-7.524
0.174,11.472,4.129,4.129,72.155,-51.913,-7.538
0.176,11.510,4.142,4.142,72.161,-51.877,-7.549
0.177,11.539,4.152,4.152,72.165,-51.850,-7.560
0.178,11.561,4.155,4.155,72.161,-51.835,-7.574
0.180,11.587,4.149,4.149,72.146,-51.835,-7.596
0.181,11.635,4.129,4.129,72.115,-51.852,-7.629
0.182,11.714,4.091,4.091,72.065,-51.888,-7.677
0.183,11.829,4.036,4.036,71.992,-51.948,-7.743
0.185,11.987,3.968,3.968,71.892,-52.033,-7.832
0.186,12.191,3.892,3.892,71.763,-52.144,-7.944
0.187,12.435,3.812,3.812,71.609,-52.278,-8.077
0.189,12.711,3.735,3.735,71.435,-52.431,-8.226
0.190,13.011,3.666,3.666,71.245,-52.599,-8.386
0.191,13.327,3.609,3.609,71.045,-52.778,-8.554
0.193,13.653,3.569,3.569,70.838,-52.964,-8.724
0.194,13.979,3.548,3.548,70.631,-53.152,-8.892
0.195,14.299,3.542,3.542,70.428,-53.338,-9.054
0.197,14.605,3.550,3.550,70.233,-53.519,-9.205
0.198,14.890,3.568,3.568,70.051,-53.690,-9.342
0.199,15.145,3.594,3.593,69.888,-53.848,-9.459
0.201,15.364,3.624,3.624,69.747,-53.988,-9.552
0.202,15.545,3.658,3.658,69.631,-54.108,-9.621
0.203,15.695,3.691,3.691,69.535,-54.212,-9.670
0.204,15.819,3.723,3.723,69.457,-54.302,-9.705
0.206,15.925,3.754,3.755,69.391,-54.382,-9.729
0.207,16.017,3.784,3.784,69.336,-54.452,-9.749
0.208,16.101,3.813,3.813,69.286,-54.518,-9.769
0.210,16.183,3.839,3.839,69.239,-54.580,-9.793
0.211,16.270,3.863,3.863,69.190,-54.642,-9.827
0.212,16.367,3.885,3.885,69.136,-54.707,-9.876
0.214,16.483,3.905,3.905,69.073,-54.777,-9.945
0.215,16.626,3.927,3.926,68.998,-54.855,-10.037
0.216,16.802,3.954,3.953,68.907,-54.944,-10.159
0.218,17.010,3.989,3.988,68.801,-55.042,-10.309
0.219,17.244,4.037,4.036,68.683,-55.148,-10.481
0.220,17.499,4.101,4.100,68.557,-55.258,-10.672
0.221,17.767,4.183,4.183,68.425,-55.371,-10.877
0.223,18.042,4.289,4.290,68.291,-55.483,-11.090
0.224,18.318,4.416,4.418,68.158,-55.591,-11.306
0.225,18.589,4.558,4.561,68.030,-55.694,-11.522
0.227,18.849,4.707,4.713,67.909,-55.788,-11.732
0.228,19.091,4.856,4.866,67.800,-55.871,-11.931
0.229,19.309,4.997,5.013,67.705,-55.940,-12.115
0.231,19.498,5.123,5.148,67.627,-55.992,-12.278
0.232,19.652,5.228,5.263,67.570,-56.026,-12.418
0.233,19.776,5.304,5.352,67.532,-56.043,-12.534
0.235,19.874,5.353,5.415,67.510,-56.044,-12.630
0.236,19.953,5.378,5.456,67.503,-56.032,-12.708
0.237,20.019,5.386,5.478,67.508,-56.008,-12.770
0.239,20.080,5.379,5.484,67.522,-55.975,-12.819
0.240,20.139,5.365,5.478,67.543,-55.935,-12.857
0.241,20.200,5.346,5.464,67.569,-55.890,-12.887
0.242,20.261,5.328,5.445,67.598,-55.842,-12.912
0.244,20.322,5.314,5.423,67.627,-55.793,-12.933
0.245,20.381,5.306,5.402,67.653,-55.744,-12.954
0.246,20.436,5.303,5.381,67.675,-55.699,-12.977
0.248,20.487,5.304,5.364,67.690,-55.658,-13.003
0.249,20.534,5.310,5.350,67.700,-55.622,-13.032
0.250,20.578,5.320,5.343,67.706,-55.592,-13.064
0.252,20.620,5.335,5.343,67.708,-55.568,-13.098
0.253,20.660,5.354,5.351,67.707,-55.551,-13.134
0.254,20.698,5.376,5.369,67.706,-55.540,-13.171
0.256,20.735,5.401,5.392,67.703,-55.537,-13.208
0.257,20.773,5.426,5.420,67.701,-55.542,-13.245
0.258,20.811,5.452,5.448,67.700,-55.554,-13.281
0.260,20.852,5.475,5.475,67.702,-55.576,-13.316
0.261,20.897,5.496,5.498,67.707,-55.606,-13.349
0.262,20.948,5.513,5.514,67.716,-55.646,-13.379
0.263,21.007,5.524,5.521,67.730,-55.696,-13.407
0.265,21.072,5.529,5.519,67.747,-55.753,-13.433
0.266,21.143,5.530,5.510,67.766,-55.817,-13.458
0.267,21.219,5.525,5.498,67.786,-55.886,-13.482
0.269,21.299,5.515,5.484,67.806,-55.960,-13.506
0.270,21.381,5.501,5.471,67.825,-56.036,-13.530
0.271,21.465,5.483,5.462,67.842,-56.114,-13.555
0.273,21.549,5.461,5.459,67.856,-56.193,-13.581
0.274,21.632,5.436,5.463,67.866,-56.270,-13.609
0.275,21.714,5.407,5.473,67.870,-56.346,-13.640
0.277,21.794,5.376,5.486,67.867,-56.418,-13.674
0.278,21.872,5.343,5.499,67.857,-56.486,-13.712
0.279,21.950,5.308,5.508,67.839,-56.549,-13.754
0.280,22.029,5.272,5.511,67.814,-56.608,-13.800
0.282,22.111,5.235,5.504,67.780,-56.664,-13.850
0.283,22.198,5.198,5.484,67.740,-56.717,-13.906
0.284,22.290,5.161,5.451,67.691,-56.768,-13.966
0.286,22.389,5.123,5.404,67.636,-56.816,-14.032
0.287,22.495,5.083,5.347,67.573,-56.864,-14.103
0.288,22.609,5.042,5.282,67.504,-56.911,-14.179
0.290,22.731,4.999,5.210,67.427,-56.957,-14.262
0.291,22.861,4.954,5.135,67.344,-57.004,-14.351
0.292,23.001,4.905,5.058,67.253,-57.052,-14.446
0.294,23.150,4.852,4.982,67.156,-57.102,-14.548
0.295,23.308,4.796,4.906,67.053,-57.153,-14.656
0.296,23.474,4.736,4.831,66.945,-57.207,-14.769
0.298,23.647,4.672,4.756,66.831,-57.263,-14.887
0.299,23.827,4.605,4.681,66.712,-57.323,-15.009
0.300,24.013,4.535,4.603,66.590,-57.385,-15.133
0.301,24.203,4.462,4.524,66.464,-57.451,-15.260
0.303,24.399,4.386,4.442,66.334,-57.521,-15.389
0.304,24.598,4.308,4.357,66.202,-57.596,-15.518
0.305,24.800,4.229,4.270,66.068,-57.675,-15.648
0.307,25.006,4.151,4.185,65.932,-57.759,-15.776
0.308,25.213,4.078,4.104,65.796,-57.848,-15.904
0.309,25.422,4.011,4.029,65.658,-57.943,-16.030
0.311,25.633,3.953,3.964,65.519,-58.044,-16.153
0.312,25.846,3.907,3.912,65.380,-58.150,-16.273
0.313,26.060,3.874,3.874,65.240,-58.263,-16.390
0.315,26.276,3.857,3.852,65.099,-58.381,-16.503
0.316,26.493,3.854,3.847,64.958,-58.505,-16.612
0.317,26.713,3.863,3.854,64.815,-58.636,-16.716
0.318,26.934,3.882,3.873,64.672,-58.773,-16.814
0.320,27.158,3.910,3.902,64.528,-58.916,-16.908
0.321,27.383,3.944,3.938,64.383,-59.065,-16.995
0.322,27.612,3.982,3.979,64.237,-59.221,-17.075
0.324,27.843,4.023,4.025,64.090,-59.384,-17.149
0.325,28.076,4.065,4.072,63.943,-59.552,-17.215
0.326,28.310,4.109,4.122,63.797,-59.724,-17.276
0.328,28.543,4.154,4.173,63.653,-59.899,-17.332
0.329,28.772,4.200,4.224,63.513,-60.074,-17.383
0.330,28.998,4.247,4.276,63.378,-60.248,-17.431
0.332,29.216,4.296,4.328,63.250,-60.418,-17.476
0.333,29.426,4.346,4.379,63.129,-60.585,-17.519
0.334,29.625,4.397,4.430,63.018,-60.744,-17.561
0.336,29.812,4.448,4.478,62.917,-60.896,-17.604
