"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.126,2.126,-22.805,115.808,163.055
0.001,0.091,2.188,2.188,-22.772,115.880,163.012
0.003,0.181,2.249,2.249,-22.739,115.952,162.968
0.004,0.271,2.311,2.311,-22.707,116.023,162.924
0.006,0.360,2.372,2.372,-22.676,116.092,162.877
0.007,0.448,2.433,2.433,-22.648,116.160,162.828
0.008,0.535,2.494,2.494,-22.621,116.225,162.777
0.010,0.621,2.555,2.555,-22.597,116.287,162.722
0.011,0.707,2.614,2.614,-22.576,116.346,162.663
0.013,0.793,2.674,2.674,-22.558,116.401,162.599
0.014,0.880,2.732,2.732,-22.545,116.451,162.530
0.015,0.967,2.791,2.791,-22.536,116.497,162.456
0.017,1.058,2.848,2.848,-22.531,116.537,162.375
0.018,1.152,2.905,2.905,-22.532,116.571,162.287
0.019,1.251,2.962,2.962,-22.539,116.599,162.192
0.021,1.354,3.018,3.018,-22.550,116.623,162.092
0.022,1.460,3.073,3.073,-22.564,116.642,161.989
0.024,1.567,3.128,3.128,-22.580,116.660,161.885
0.025,1.672,3.181,3.181,-22.597,116.677,161.783
0.026,1.773,3.233,3.233,-22.613,116.695,161.685
0.028,1.868,3.283,3.283,-22.628,116.716,161.593
0.029,1.956,3.332,3.332,-22.640,116.740,161.510
0.031,2.034,3.379,3.379,-22.647,116.770,161.437
0.032,2.104,3.424,3.424,-22.649,116.807,161.378
0.033,2.167,3.467,3.467,-22.644,116.852,161.334
0.035,2.229,3.509,3.509,-22.631,116.907,161.308
0.036,2.299,3.551,3.551,-22.609,116.973,161.303
0.038,2.386,3.594,3.594,-22.577,117.052,161.319
0.039,2.492,3.637,3.637,-22.535,117.143,161.356
0.040,2.617,3.681,3.681,-22.485,117.243,161.411
0.042,2.759,3.727,3.727,-22.428,117.352,161.482
0.043,2.916,3.775,3.775,-22.367,117.468,161.568
0.045,3.086,3.825,3.825,-22.301,117.590,161.665
0.046,3.264,3.877,3.877,-22.233,117.716,161.772
0.047,3.449,3.932,3.932,-22.163,117.844,161.886
0.049,3.638,3.988,3.988,-22.094,117.973,162.006
0.050,3.828,4.046,4.046,-22.026,118.102,162.128
0.052,4.016,4.106,4.106,-21.962,118.229,162.250
0.053,4.199,4.168,4.168,-21.902,118.352,162.372
0.054,4.375,4.231,4.231,-21.847,118.471,162.489
0.056,4.540,4.295,4.295,-21.800,118.583,162.600
0.057,4.694,4.357,4.357,-21.759,118.689,162.706
0.058,4.840,4.419,4.419,-21.725,118.789,162.806
0.060,4.978,4.479,4.479,-21.697,118.885,162.901
0.061,5.110,4.536,4.536,-21.674,118.978,162.991
0.063,5.236,4.590,4.590,-21.656,119.067,163.078
0.064,5.357,4.642,4.642,-21.642,119.155,163.161
0.065,5.476,4.693,4.693,-21.633,119.241,163.242
0.067,5.592,4.743,4.743,-21.626,119.327,163.320
0.068,5.707,4.793,4.793,-21.622,119.413,163.397
0.070,5.822,4.843,4.843,-21.621,119.500,163.472
0.071,5.939,4.894,4.894,-21.621,119.589,163.547
0.072,6.057,4.947,4.947,-21.622,119.680,163.622
0.074,6.178,5.001,5.001,-21.624,119.775,163.697
0.075,6.301,5.055,5.055,-21.626,119.873,163.772
0.077,6.426,5.111,5.111,-21.629,119.973,163.846
0.078,6.550,5.167,5.167,-21.632,120.074,163.919
0.079,6.673,5.224,5.224,-21.634,120.174,163.990
0.081,6.793,5.282,5.282,-21.635,120.273,164.059
0.082,6.910,5.339,5.339,-21.636,120.369,164.124
0.084,7.021,5.395,5.395,-21.636,120.462,164.185
