"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.448,2.448,253.759,183.692,207.813
0.001,0.178,2.545,2.545,253.673,183.618,207.951
0.003,0.354,2.641,2.641,253.588,183.545,208.086
0.004,0.526,2.736,2.736,253.505,183.472,208.218
0.006,0.694,2.828,2.828,253.423,183.400,208.345
0.007,0.854,2.918,2.918,253.343,183.329,208.464
0.008,1.005,3.004,3.004,253.267,183.261,208.575
0.010,1.145,3.086,3.086,253.194,183.194,208.675
0.011,1.274,3.164,3.164,253.125,183.130,208.763
0.012,1.389,3.236,3.236,253.061,183.069,208.837
0.014,1.490,3.301,3.301,253.002,183.011,208.895
0.015,1.576,3.360,3.360,252.950,182.956,208.935
0.017,1.647,3.411,3.411,252.904,182.905,208.956
0.018,1.709,3.454,3.454,252.864,182.859,208.960
0.019,1.763,3.488,3.488,252.832,182.816,208.951
0.021,1.813,3.512,3.512,252.806,182.777,208.933
0.022,1.860,3.527,3.527,252.786,182.741,208.911
0.024,1.901,3.535,3.535,252.772,182.710,208.888
0.025,1.936,3.538,3.538,252.765,182.682,208.868
0.026,1.963,3.537,3.537,252.765,182.658,208.856
0.028,1.984,3.534,3.534,252.770,182.637,208.855
0.029,2.010,3.533,3.533,252.781,182.620,208.870
0.031,2.050,3.533,3.533,252.799,182.606,208.904
0.032,2.113,3.537,3.537,252.822,182.596,208.962
0.033,2.200,3.544,3.544,252.851,182.589,209.043
0.035,2.306,3.552,3.552,252.883,182.585,209.143
0.036,2.427,3.560,3.560,252.919,182.582,209.259
0.037,2.558,3.567,3.567,252.957,182.581,209.385
0.039,2.696,3.572,3.572,252.995,182.580,209.517
0.040,2.835,3.572,3.572,253.032,182.579,209.651
0.042,2.971,3.569,3.569,253.068,182.578,209.782
0.043,3.099,3.561,3.561,253.101,182.576,209.906
0.044,3.216,3.552,3.552,253.130,182.572,210.019
0.046,3.315,3.542,3.542,253.153,182.566,210.116
0.047,3.394,3.534,3.534,253.170,182.556,210.192
0.049,3.451,3.529,3.529,253.180,182.543,210.246
0.050,3.490,3.529,3.529,253.185,182.525,210.281
0.051,3.520,3.536,3.536,253.186,182.501,210.298
0.053,3.552,3.549,3.549,253.185,182.469,210.302
0.054,3.592,3.565,3.565,253.184,182.429,210.296
0.055,3.644,3.583,3.583,253.184,182.379,210.284
0.057,3.708,3.601,3.601,253.188,182.317,210.267
0.058,3.784,3.616,3.616,253.196,182.244,210.250
0.060,3.873,3.626,3.626,253.211,182.157,210.237
0.061,3.978,3.629,3.629,253.234,182.055,210.229
0.062,4.101,3.624,3.624,253.267,181.937,210.230
0.064,4.243,3.614,3.614,253.312,181.802,210.244
0.065,4.403,3.600,3.600,253.368,181.654,210.270
0.067,4.577,3.586,3.586,253.435,181.498,210.308
0.068,4.762,3.572,3.572,253.513,181.338,210.357
0.069,4.954,3.562,3.562,253.602,181.178,210.417
0.071,5.151,3.558,3.558,253.700,181.023,210.487
0.072,5.349,3.561,3.561,253.809,180.878,210.567
0.074,5.547,3.571,3.571,253.927,180.747,210.656
0.075,5.743,3.585,3.585,254.054,180.634,210.753
0.076,5.937,3.601,3.601,254.190,180.544,210.859
0.078,6.131,3.620,3.620,254.334,180.482,210.973
0.079,6.327,3.638,3.638,254.486,180.452,211.093
0.080,6.531,3.654,3.654,254.646,180.453,211.220
0.082,6.744,3.666,3.666,254.811,180.480,211.351
0.083,6.966,3.675,3.675,254.981,180.530,211.486
0.085,7.197,3.682,3.682,255.154,180.598,211.623
0.086,7.435,3.689,3.689,255.329,180.681,211.760
0.087,7.677,3.696,3.696,255.506,180.775,211.897
0.089,7.920,3.704,3.704,255.681,180.875,212.032
0.090,8.161,3.716,3.716,255.855,180.978,212.164
0.092,8.396,3.731,3.731,256.026,181.078,212.291
0.093,8.623,3.752,3.752,256.192,181.173,212.412
0.094,8.838,3.776,3.776,256.353,181.258,212.526
0.096,9.039,3.804,3.804,256.508,181.331,212.631
0.097,9.228,3.836,3.836,256.657,181.393,212.729
0.098,9.404,3.871,3.871,256.801,181.445,212.818
0.100,9.571,3.908,3.908,256.940,181.487,212.899
0.101,9.727,3.949,3.949,257.074,181.520,212.972
0.103,9.875,3.990,3.990,257.205,181.545,213.036
0.104,10.014,4.032,4.032,257.332,181.563,213.091
0.105,10.147,4.073,4.073,257.456,181.574,213.138
0.107,10.274,4.111,4.111,257.577,181.579,213.175
0.108,10.397,4.145,4.145,257.696,181.580,213.204
0.110,10.516,4.174,4.174,257.814,181.576,213.224
0.111,10.633,4.194,4.194,257.930,181.569,213.236
0.112,10.748,4.207,4.207,258.044,181.559,213.239
0.114,10.861,4.212,4.212,258.157,181.546,213.235
0.115,10.973,4.213,4.213,258.267,181.532,213.226
0.117,11.084,4.211,4.211,258.376,181.516,213.211
0.118,11.194,4.209,4.209,258.483,181.500,213.192
0.119,11.302,4.208,4.208,258.588,181.483,213.170
0.121,11.408,4.212,4.212,258.690,181.466,213.147
0.122,11.512,4.221,4.221,258.790,181.450,213.121
0.123,11.614,4.236,4.236,258.887,181.435,213.096
0.125,11.712,4.256,4.256,258.981,181.422,213.072
0.126,11.807,4.279,4.279,259.073,181.411,213.049
0.128,11.899,4.302,4.302,259.162,181.401,213.029
0.129,11.989,4.325,4.325,259.249,181.391,213.013
0.130,12.077,4.345,4.345,259.336,181.378,213.003
0.132,12.165,4.362,4.362,259.423,181.363,212.999
0.133,12.254,4.374,4.374,259.510,181.344,213.003
0.135,12.347,4.382,4.382,259.598,181.318,213.015
0.136,12.446,4.388,4.388,259.689,181.286,213.038
0.137,12.553,4.392,4.392,259.782,181.244,213.072
0.139,12.672,4.397,4.397,259.878,181.193,213.118
0.140,12.805,4.403,4.403,259.979,181.131,213.178
0.141,12.954,4.411,4.411,260.084,181.056,213.252
0.143,13.119,4.422,4.422,260.194,180.969,213.340
0.144,13.297,4.437,4.437,260.306,180.873,213.440
0.146,13.484,4.454,4.454,260.420,180.771,213.548
0.147,13.677,4.474,4.474,260.534,180.665,213.661
0.148,13.871,4.495,4.495,260.646,180.557,213.778
0.150,14.064,4.518,4.518,260.755,180.451,213.896
0.151,14.251,4.542,4.542,260.860,180.348,214.011
0.153,14.428,4.566,4.566,260.960,180.252,214.123
0.154,14.592,4.591,4.591,261.052,180.165,214.227
0.155,14.739,4.616,4.616,261.136,180.090,214.321
0.157,14.865,4.639,4.639,261.209,180.029,214.403
0.158,14.970,4.662,4.662,261.273,179.982,214.471
0.160,15.057,4.683,4.683,261.329,179.948,214.529
0.161,15.130,4.702,4.702,261.378,179.924,214.576
0.162,15.193,4.719,4.719,261.424,179.907,214.617
0.164,15.250,4.733,4.733,261.468,179.894,214.651
0.165,15.304,4.747,4.747,261.511,179.884,214.682
0.166,15.360,4.761,4.761,261.557,179.873,214.711
0.168,15.419,4.777,4.777,261.607,179.859,214.740
0.169,15.487,4.796,4.796,261.664,179.839,214.771
0.171,15.565,4.819,4.819,261.728,179.811,214.807
0.172,15.659,4.848,4.848,261.803,179.773,214.848
0.173,15.771,4.883,4.883,261.890,179.722,214.897
0.175,15.898,4.924,4.924,261.986,179.660,214.952
0.176,16.038,4.968,4.968,262.091,179.589,215.011
0.178,16.188,5.014,5.014,262.202,179.512,215.075
0.179,16.344,5.061,5.061,262.318,179.430,215.141
0.180,16.504,5.108,5.108,262.436,179.346,215.209
0.182,16.663,5.153,5.153,262.554,179.262,215.276
0.183,16.820,5.195,5.195,262.671,179.180,215.341
0.184,16.971,5.233,5.234,262.784,179.102,215.404
