"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.478,2.478,220.326,191.767,182.618
0.001,0.044,2.499,2.499,220.302,191.801,182.630
0.002,0.086,2.520,2.520,220.280,191.835,182.643
0.004,0.126,2.539,2.539,220.262,191.868,182.655
0.005,0.162,2.555,2.555,220.250,191.900,182.668
0.006,0.196,2.569,2.569,220.245,191.931,182.681
0.007,0.228,2.579,2.579,220.249,191.960,182.694
0.008,0.262,2.584,2.584,220.265,191.987,182.707
0.010,0.302,2.584,2.584,220.293,192.012,182.721
0.011,0.353,2.577,2.577,220.337,192.034,182.734
0.012,0.418,2.566,2.566,220.398,192.052,182.748
0.013,0.500,2.550,2.550,220.477,192.068,182.762
0.015,0.601,2.532,2.532,220.576,192.079,182.776
0.016,0.719,2.513,2.513,220.693,192.087,182.790
0.017,0.851,2.494,2.494,220.824,192.092,182.804
0.018,0.993,2.477,2.477,220.965,192.093,182.817
0.019,1.141,2.463,2.463,221.113,192.091,182.828
0.021,1.291,2.455,2.455,221.263,192.085,182.838
0.022,1.441,2.452,2.452,221.412,192.077,182.846
0.023,1.585,2.453,2.453,221.556,192.067,182.851
0.024,1.721,2.456,2.456,221.692,192.053,182.853
0.025,1.846,2.462,2.462,221.815,192.038,182.851
0.027,1.954,2.468,2.468,221.922,192.020,182.846
0.028,2.044,2.474,2.474,222.009,192.000,182.836
0.029,2.119,2.477,2.477,222.079,191.977,182.823
0.030,2.182,2.477,2.477,222.135,191.953,182.808
0.032,2.239,2.473,2.473,222.183,191.927,182.791
0.033,2.293,2.467,2.467,222.226,191.898,182.774
0.034,2.349,2.461,2.461,222.269,191.866,182.757
0.035,2.409,2.456,2.456,222.316,191.832,182.743
0.036,2.477,2.456,2.456,222.372,191.796,182.732
0.038,2.557,2.463,2.463,222.442,191.756,182.725
0.039,2.655,2.478,2.478,222.530,191.714,182.724
0.040,2.774,2.505,2.505,222.640,191.669,182.729
0.041,2.919,2.544,2.544,222.776,191.621,182.742
0.042,3.091,2.595,2.595,222.939,191.570,182.762
0.044,3.283,2.655,2.655,223.122,191.517,182.789
0.045,3.492,2.723,2.723,223.321,191.463,182.821
0.046,3.712,2.794,2.794,223.531,191.409,182.858
0.047,3.937,2.867,2.867,223.746,191.355,182.897
0.048,4.163,2.939,2.939,223.961,191.302,182.938
0.050,4.383,3.007,3.007,224.172,191.252,182.980
0.051,4.593,3.069,3.069,224.372,191.204,183.022
0.052,4.788,3.123,3.123,224.558,191.159,183.062
0.053,4.962,3.169,3.169,224.723,191.119,183.100
0.055,5.110,3.208,3.208,224.863,191.084,183.134
0.056,5.230,3.239,3.239,224.975,191.055,183.163
0.057,5.324,3.263,3.263,225.062,191.030,183.188
0.058,5.394,3.281,3.281,225.126,191.009,183.208
