"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.433,1.433,221.092,188.691,180.010
0.001,0.304,1.644,1.644,221.159,188.548,180.270
0.003,0.605,1.853,1.853,221.225,188.406,180.526
0.004,0.900,2.055,2.055,221.290,188.266,180.778
0.006,1.186,2.249,2.249,221.354,188.132,181.023
0.007,1.461,2.431,2.431,221.417,188.003,181.258
0.008,1.722,2.598,2.598,221.477,187.882,181.481
0.010,1.966,2.748,2.748,221.535,187.769,181.689
0.011,2.189,2.877,2.877,221.590,187.668,181.880
0.013,2.390,2.987,2.987,221.641,187.578,182.052
0.014,2.565,3.080,3.080,221.689,187.501,182.202
0.016,2.712,3.157,3.157,221.732,187.440,182.328
0.017,2.828,3.220,3.220,221.771,187.394,182.427
0.018,2.915,3.272,3.272,221.805,187.364,182.502
0.020,2.976,3.315,3.315,221.833,187.347,182.554
0.021,3.016,3.350,3.350,221.856,187.342,182.586
0.023,3.040,3.377,3.377,221.873,187.345,182.602
0.024,3.055,3.398,3.398,221.884,187.356,182.604
0.025,3.074,3.411,3.411,221.888,187.372,182.594
0.027,3.101,3.416,3.416,221.885,187.391,182.577
0.028,3.133,3.415,3.415,221.875,187.412,182.554
0.030,3.170,3.405,3.405,221.858,187.432,182.528
0.031,3.210,3.388,3.388,221.832,187.449,182.502
0.032,3.252,3.364,3.364,221.799,187.461,182.479
0.034,3.297,3.337,3.337,221.759,187.468,182.460
0.035,3.342,3.310,3.310,221.717,187.471,182.446
0.037,3.383,3.284,3.284,221.676,187.470,182.436
0.038,3.419,3.264,3.264,221.642,187.467,182.430
0.040,3.444,3.251,3.251,221.616,187.461,182.429
0.041,3.458,3.249,3.249,221.605,187.455,182.433
0.042,3.470,3.257,3.257,221.610,187.449,182.441
0.044,3.500,3.274,3.274,221.638,187.444,182.454
0.045,3.556,3.296,3.296,221.690,187.441,182.471
0.047,3.641,3.320,3.320,221.772,187.440,182.494
0.048,3.759,3.343,3.343,221.888,187.443,182.521
0.049,3.913,3.362,3.362,222.037,187.450,182.553
0.051,4.096,3.374,3.374,222.217,187.461,182.588
0.052,4.305,3.377,3.377,222.422,187.476,182.626
0.054,4.534,3.374,3.374,222.647,187.494,182.664
0.055,4.779,3.368,3.368,222.888,187.515,182.702
0.056,5.034,3.361,3.361,223.140,187.539,182.739
0.058,5.296,3.355,3.355,223.397,187.566,182.774
0.059,5.558,3.355,3.355,223.656,187.595,182.804
0.061,5.816,3.361,3.361,223.911,187.627,182.830
0.062,6.066,3.377,3.377,224.158,187.660,182.850
0.064,6.303,3.400,3.400,224.392,187.696,182.862
0.065,6.523,3.429,3.429,224.609,187.733,182.867
0.066,6.726,3.463,3.463,224.809,187.771,182.865
0.068,6.915,3.499,3.499,224.993,187.810,182.857
0.069,7.089,3.537,3.537,225.162,187.850,182.846
0.071,7.249,3.573,3.573,225.316,187.890,182.832
0.072,7.397,3.607,3.607,225.458,187.931,182.818
0.073,7.533,3.640,3.640,225.587,187.972,182.804
0.075,7.657,3.671,3.671,225.704,188.012,182.793
0.076,7.772,3.701,3.701,225.811,188.052,182.786
0.078,7.876,3.732,3.732,225.907,188.091,182.784
