"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.262,2.262,74.865,-51.114,-2.079
0.001,0.266,2.424,2.424,74.725,-51.165,-2.300
0.003,0.531,2.586,2.586,74.586,-51.215,-2.519
0.004,0.790,2.745,2.745,74.450,-51.264,-2.734
0.006,1.042,2.902,2.902,74.318,-51.311,-2.943
0.007,1.285,3.056,3.056,74.190,-51.355,-3.145
0.009,1.515,3.206,3.206,74.068,-51.395,-3.337
0.010,1.732,3.351,3.351,73.954,-51.431,-3.517
0.012,1.931,3.490,3.490,73.848,-51.462,-3.684
0.013,2.112,3.621,3.621,73.752,-51.487,-3.835
0.015,2.272,3.743,3.743,73.667,-51.506,-3.969
0.016,2.408,3.851,3.851,73.595,-51.518,-4.083
0.018,2.518,3.946,3.946,73.535,-51.522,-4.176
0.019,2.603,4.024,4.024,73.490,-51.517,-4.247
0.021,2.664,4.083,4.083,73.457,-51.505,-4.298
0.022,2.708,4.124,4.124,73.435,-51.486,-4.331
0.024,2.742,4.149,4.149,73.423,-51.461,-4.350
0.025,2.773,4.162,4.162,73.419,-51.431,-4.356
0.027,2.808,4.164,4.164,73.421,-51.396,-4.353
0.028,2.848,4.161,4.161,73.428,-51.358,-4.344
0.030,2.893,4.153,4.153,73.438,-51.316,-4.330
0.031,2.941,4.145,4.145,73.449,-51.272,-4.314
0.033,2.990,4.139,4.139,73.461,-51.227,-4.299
0.034,3.039,4.136,4.136,73.471,-51.181,-4.288
0.036,3.085,4.136,4.136,73.478,-51.135,-4.283
0.037,3.131,4.142,4.142,73.481,-51.090,-4.286
0.038,3.176,4.153,4.153,73.481,-51.046,-4.296
0.040,3.221,4.171,4.171,73.477,-51.004,-4.312
0.041,3.267,4.198,4.198,73.471,-50.964,-4.334
0.043,3.313,4.231,4.231,73.463,-50.926,-4.360
0.044,3.359,4.268,4.268,73.454,-50.892,-4.389
0.046,3.405,4.308,4.308,73.443,-50.861,-4.421
0.047,3.449,4.346,4.346,73.432,-50.834,-4.454
0.049,3.492,4.381,4.381,73.421,-50.811,-4.489
0.050,3.532,4.410,4.410,73.411,-50.794,-4.523
0.052,3.569,4.431,4.431,73.402,-50.781,-4.556
0.053,3.602,4.445,4.445,73.395,-50.775,-4.588
0.055,3.632,4.453,4.453,73.389,-50.775,-4.618
0.056,3.663,4.458,4.458,73.386,-50.781,-4.648
0.058,3.696,4.461,4.461,73.384,-50.794,-4.679
0.059,3.735,4.464,4.464,73.383,-50.814,-4.712
0.061,3.782,4.469,4.469,73.384,-50.842,-4.749
0.062,3.837,4.477,4.477,73.387,-50.878,-4.791
0.064,3.902,4.489,4.489,73.390,-50.921,-4.839
0.065,3.979,4.506,4.506,73.395,-50.973,-4.896
0.067,4.069,4.529,4.529,73.401,-51.033,-4.962
0.068,4.172,4.558,4.558,73.407,-51.103,-5.039
0.070,4.291,4.593,4.593,73.415,-51.181,-5.128
0.071,4.427,4.636,4.636,73.423,-51.270,-5.230
0.072,4.577,4.686,4.686,73.431,-51.366,-5.345
0.074,4.739,4.741,4.741,73.440,-51.469,-5.470
0.075,4.909,4.801,4.801,73.448,-51.577,-5.602
0.077,5.085,4.862,4.862,73.456,-51.687,-5.738
0.078,5.262,4.923,4.923,73.463,-51.797,-5.877
0.080,5.437,4.982,4.982,73.470,-51.905,-6.015
0.081,5.607,5.037,5.037,73.475,-52.009,-6.149
0.083,5.769,5.088,5.088,73.479,-52.107,-6.278
0.084,5.919,5.133,5.133,73.481,-52.197,-6.397
0.086,6.054,5.174,5.174,73.481,-52.277,-6.506
0.087,6.170,5.209,5.209,73.479,-52.345,-6.600
0.089,6.264,5.240,5.240,73.474,-52.398,-6.678
0.090,6.338,5.265,5.265,73.467,-52.438,-6.740
0.092,6.392,5.286,5.286,73.458,-52.465,-6.786
0.093,6.430,5.301,5.301,73.448,-52.481,-6.818
0.095,6.453,5.312,5.312,73.437,-52.488,-6.838
0.096,6.468,5.319,5.319,73.425,-52.486,-6.846
0.098,6.481,5.323,5.323,73.414,-52.479,-6.844
0.099,6.501,5.323,5.323,73.403,-52.466,-6.834
0.101,6.527,5.322,5.322,73.393,-52.450,-6.816
0.102,6.559,5.319,5.319,73.384,-52.432,-6.792
0.104,6.593,5.314,5.314,73.378,-52.413,-6.763
0.105,6.630,5.309,5.309,73.374,-52.395,-6.731
0.107,6.668,5.304,5.304,73.372,-52.380,-6.697
0.108,6.705,5.300,5.300,73.373,-52.367,-6.663
0.109,6.739,5.296,5.296,73.375,-52.357,-6.630
0.111,6.768,5.295,5.295,73.378,-52.351,-6.602
0.112,6.790,5.296,5.296,73.380,-52.347,-6.580
0.114,6.804,5.299,5.299,73.381,-52.347,-6.566
0.115,6.808,5.304,5.304,73.379,-52.350,-6.564
0.117,6.821,5.310,5.310,73.375,-52.357,-6.573
0.118,6.849,5.315,5.315,73.366,-52.367,-6.598
0.120,6.896,5.321,5.321,73.352,-52.381,-6.640
0.121,6.962,5.326,5.326,73.332,-52.399,-6.701
0.123,7.052,5.330,5.330,73.306,-52.421,-6.784
0.124,7.165,5.333,5.333,73.272,-52.448,-6.889
0.126,7.299,5.337,5.337,73.232,-52.477,-7.013
0.127,7.449,5.342,5.342,73.187,-52.509,-7.153
0.129,7.611,5.349,5.349,73.139,-52.542,-7.304
0.130,7.780,5.358,5.358,73.088,-52.575,-7.461
0.132,7.951,5.372,5.372,73.037,-52.608,-7.621
0.133,8.119,5.388,5.388,72.988,-52.639,-7.779
0.135,8.282,5.407,5.407,72.940,-52.667,-7.931
0.136,8.432,5.427,5.427,72.896,-52.693,-8.074
0.138,8.568,5.445,5.445,72.858,-52.713,-8.202
0.139,8.682,5.460,5.460,72.826,-52.728,-8.311
0.141,8.772,5.471,5.471,72.802,-52.737,-8.397
0.142,8.836,5.476,5.476,72.787,-52.739,-8.458
0.143,8.875,5.474,5.474,72.780,-52.736,-8.497
0.145,8.896,5.468,5.468,72.779,-52.729,-8.517
0.146,8.907,5.459,5.459,72.782,-52.720,-8.521
0.148,8.921,5.448,5.448,72.789,-52.710,-8.514
0.149,8.941,5.439,5.439,72.797,-52.701,-8.498
0.151,8.964,5.432,5.432,72.804,-52.694,-8.477
0.152,8.987,5.429,5.429,72.810,-52.692,-8.455
0.154,9.007,5.430,5.430,72.813,-52.696,-8.436
0.155,9.024,5.435,5.435,72.811,-52.707,-8.422
0.157,9.047,5.443,5.443,72.802,-52.727,-8.418
0.158,9.082,5.451,5.451,72.786,-52.758,-8.426
0.160,9.136,5.460,5.460,72.761,-52.799,-8.450
0.161,9.207,5.468,5.468,72.728,-52.851,-8.486
0.163,9.292,5.474,5.474,72.689,-52.910,-8.533
0.164,9.389,5.478,5.478,72.645,-52.975,-8.590
0.166,9.495,5.480,5.480,72.596,-53.044,-8.653
0.167,9.607,5.480,5.480,72.544,-53.116,-8.721
0.169,9.722,5.476,5.476,72.490,-53.188,-8.792
0.170,9.837,5.471,5.471,72.434,-53.259,-8.864
0.172,9.950,5.462,5.462,72.380,-53.327,-8.935
0.173,10.057,5.451,5.451,72.326,-53.390,-9.003
0.175,10.156,5.438,5.438,72.275,-53.447,-9.066
0.176,10.243,5.424,5.424,72.227,-53.496,-9.121
0.178,10.320,5.409,5.409,72.183,-53.536,-9.169
0.179,10.388,5.395,5.395,72.141,-53.570,-9.210
0.180,10.450,5.381,5.381,72.099,-53.599,-9.246
0.182,10.510,5.370,5.370,72.056,-53.626,-9.278
0.183,10.570,5.360,5.360,72.011,-53.652,-9.307
0.185,10.633,5.352,5.352,71.961,-53.680,-9.334
0.186,10.702,5.344,5.344,71.906,-53.712,-9.361
0.188,10.781,5.335,5.335,71.844,-53.750,-9.390
0.189,10.870,5.323,5.324,71.773,-53.796,-9.420
0.191,10.975,5.309,5.309,71.691,-53.851,-9.454
0.192,11.096,5.291,5.291,71.598,-53.919,-9.493
0.194,11.238,5.268,5.268,71.492,-54.001,-9.537
0.195,11.399,5.244,5.243,71.372,-54.096,-9.588
0.197,11.579,5.219,5.218,71.239,-54.205,-9.645
0.198,11.776,5.196,5.195,71.096,-54.324,-9.707
0.200,11.987,5.178,5.177,70.943,-54.452,-9.773
0.201,12.210,5.167,5.166,70.780,-54.588,-9.844
0.203,12.444,5.164,5.165,70.610,-54.731,-9.918
0.204,12.687,5.171,5.173,70.433,-54.878,-9.996
0.206,12.936,5.188,5.191,70.250,-55.027,-10.075
0.207,13.190,5.214,5.217,70.063,-55.179,-10.157
0.209,13.447,5.248,5.252,69.872,-55.330,-10.240
0.210,13.705,5.291,5.294,69.679,-55.479,-10.324
0.212,13.962,5.341,5.342,69.486,-55.625,-10.408
0.213,14.215,5.398,5.396,69.292,-55.766,-10.491
0.214,14.464,5.461,5.455,69.101,-55.903,-10.572
0.216,14.705,5.527,5.516,68.914,-56.033,-10.650
0.217,14.936,5.592,5.579,68.733,-56.157,-10.723
0.219,15.155,5.655,5.641,68.560,-56.274,-10.790
0.220,15.361,5.712,5.701,68.396,-56.383,-10.850
0.222,15.550,5.760,5.758,68.244,-56.484,-10.901
0.223,15.722,5.798,5.809,68.106,-56.576,-10.942
0.225,15.873,5.825,5.855,67.982,-56.657,-10.973
0.226,16.002,5.845,5.895,67.876,-56.728,-10.991
0.228,16.108,5.858,5.930,67.788,-56.788,-10.995
0.229,16.191,5.869,5.960,67.720,-56.836,-10.985
