"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.595,2.595,188.852,177.146,212.640
0.002,0.336,2.560,2.560,189.097,177.081,212.418
0.004,0.671,2.533,2.533,189.340,177.015,212.199
0.006,1.001,2.523,2.523,189.581,176.948,211.983
0.008,1.324,2.539,2.539,189.817,176.878,211.773
0.010,1.640,2.591,2.591,190.047,176.806,211.570
0.012,1.944,2.682,2.682,190.270,176.731,211.376
0.014,2.237,2.803,2.803,190.483,176.651,211.193
0.016,2.515,2.939,2.939,190.686,176.566,211.023
0.018,2.777,3.076,3.076,190.878,176.476,210.868
0.020,3.023,3.197,3.197,191.055,176.379,210.729
0.022,3.250,3.291,3.291,191.218,176.276,210.608
0.024,3.460,3.361,3.361,191.365,176.165,210.508
0.026,3.652,3.415,3.415,191.494,176.046,210.427
0.028,3.831,3.461,3.461,191.606,175.923,210.365
0.030,3.997,3.509,3.509,191.703,175.796,210.319
0.032,4.152,3.565,3.565,191.783,175.668,210.287
0.034,4.296,3.629,3.629,191.849,175.540,210.266
0.036,4.430,3.696,3.696,191.900,175.417,210.255
0.038,4.555,3.765,3.765,191.937,175.298,210.250
0.040,4.669,3.830,3.830,191.960,175.186,210.251
0.042,4.771,3.888,3.888,191.970,175.084,210.253
0.044,4.862,3.935,3.935,191.968,174.994,210.256
0.046,4.940,3.971,3.971,191.953,174.917,210.257
0.048,5.007,3.991,3.991,191.928,174.855,210.254
0.050,5.066,3.994,3.994,191.893,174.807,210.248
0.052,5.121,3.977,3.977,191.854,174.770,210.240
0.054,5.172,3.946,3.946,191.814,174.739,210.232
0.056,5.219,3.910,3.910,191.776,174.712,210.227
0.058,5.260,3.878,3.878,191.746,174.684,210.226
0.060,5.298,3.859,3.859,191.725,174.653,210.233
0.062,5.340,3.862,3.862,191.719,174.614,210.247
0.064,5.397,3.885,3.885,191.732,174.564,210.272
0.066,5.479,3.919,3.919,191.766,174.500,210.310
0.068,5.594,3.956,3.956,191.826,174.418,210.363
0.070,5.747,3.987,3.987,191.916,174.314,210.432
0.072,5.943,4.004,4.004,192.037,174.187,210.518
0.074,6.177,4.009,4.009,192.185,174.038,210.620
0.076,6.440,4.014,4.014,192.355,173.870,210.733
0.078,6.726,4.030,4.030,192.540,173.688,210.853
0.080,7.028,4.068,4.068,192.734,173.494,210.978
0.082,7.338,4.141,4.141,192.931,173.291,211.104
0.084,7.648,4.243,4.243,193.126,173.083,211.226
0.086,7.952,4.355,4.355,193.313,172.873,211.343
0.088,8.244,4.459,4.459,193.485,172.663,211.449
0.090,8.515,4.535,4.535,193.637,172.458,211.542
0.092,8.761,4.564,4.564,193.763,172.261,211.618
0.094,8.977,4.546,4.546,193.856,172.074,211.673
0.096,9.165,4.498,4.498,193.916,171.899,211.707
0.098,9.332,4.442,4.442,193.944,171.735,211.720
0.100,9.487,4.397,4.397,193.945,171.580,211.717
0.102,9.637,4.383,4.383,193.921,171.434,211.697
0.104,9.787,4.407,4.407,193.877,171.294,211.664
0.106,9.942,4.461,4.461,193.814,171.160,211.619
0.108,10.103,4.534,4.534,193.736,171.029,211.565
0.110,10.270,4.617,4.617,193.648,170.902,211.504
0.112,10.443,4.699,4.699,193.551,170.775,211.437
0.114,10.619,4.775,4.775,193.450,170.649,211.367
0.116,10.797,4.845,4.845,193.348,170.521,211.296
0.118,10.976,4.909,4.909,193.247,170.391,211.226
0.120,11.154,4.969,4.969,193.150,170.259,211.157
0.122,11.329,5.023,5.023,193.056,170.127,211.091
0.124,11.500,5.074,5.074,192.967,169.996,211.028
0.126,11.664,5.120,5.120,192.882,169.868,210.968
0.128,11.822,5.162,5.162,192.803,169.744,210.911
0.130,11.970,5.198,5.198,192.730,169.627,210.859
0.132,12.107,5.228,5.228,192.663,169.517,210.811
0.134,12.232,5.252,5.252,192.603,169.416,210.769
0.136,12.343,5.271,5.271,192.550,169.326,210.732
0.138,12.437,5.282,5.282,192.506,169.248,210.701
0.140,12.515,5.287,5.287,192.470,169.184,210.677
0.142,12.573,5.285,5.285,192.443,169.135,210.659
0.144,12.615,5.276,5.276,192.424,169.099,210.648
0.146,12.642,5.264,5.264,192.412,169.076,210.642
0.148,12.657,5.251,5.251,192.405,169.063,210.640
0.150,12.661,5.243,5.243,192.404,169.059,210.643
0.152,12.668,5.240,5.240,192.407,169.063,210.648
0.154,12.682,5.247,5.247,192.414,169.073,210.656
0.156,12.701,5.261,5.261,192.422,169.087,210.665
0.158,12.723,5.279,5.279,192.432,169.105,210.674
0.160,12.747,5.298,5.298,192.442,169.123,210.684
0.162,12.769,5.315,5.315,192.451,169.142,210.693
0.164,12.789,5.329,5.329,192.459,169.159,210.700
0.166,12.806,5.339,5.339,192.464,169.173,210.705
0.168,12.818,5.346,5.346,192.468,169.185,210.709
0.170,12.828,5.350,5.350,192.470,169.194,210.711
0.172,12.834,5.352,5.352,192.470,169.200,210.711
0.174,12.836,5.351,5.351,192.470,169.203,210.711
0.176,12.838,5.350,5.350,192.468,169.202,210.710
0.178,12.844,5.346,5.346,192.466,169.198,210.708
0.180,12.853,5.342,5.342,192.463,169.189,210.706
0.182,12.865,5.336,5.336,192.460,169.178,210.704
0.184,12.882,5.329,5.329,192.457,169.161,210.701
0.186,12.902,5.321,5.321,192.454,169.141,210.700
0.188,12.927,5.313,5.313,192.451,169.117,210.698
0.190,12.955,5.304,5.304,192.448,169.088,210.698
0.192,12.986,5.295,5.295,192.446,169.058,210.698
0.194,13.018,5.286,5.286,192.444,169.026,210.700
0.196,13.050,5.278,5.278,192.441,168.994,210.702
0.198,13.081,5.271,5.271,192.438,168.963,210.706
0.200,13.111,5.267,5.267,192.435,168.934,210.711
0.202,13.137,5.266,5.266,192.430,168.909,210.717
0.204,13.160,5.270,5.270,192.425,168.888,210.725
0.206,13.180,5.277,5.277,192.419,168.872,210.735
0.208,13.196,5.286,5.286,192.412,168.864,210.747
0.210,13.212,5.296,5.296,192.403,168.863,210.760
0.212,13.231,5.304,5.304,192.394,168.869,210.775
0.214,13.252,5.311,5.311,192.384,168.880,210.790
0.216,13.271,5.314,5.314,192.376,168.890,210.804
0.218,13.284,5.313,5.313,192.370,168.895,210.815
0.220,13.292,5.309,5.309,192.368,168.892,210.821
0.222,13.310,5.300,5.300,192.372,168.874,210.822
0.224,13.348,5.287,5.287,192.383,168.839,210.814
0.226,13.411,5.267,5.267,192.402,168.781,210.797
0.228,13.504,5.237,5.237,192.430,168.697,210.770
0.230,13.632,5.192,5.192,192.469,168.582,210.729
0.232,13.800,5.131,5.131,192.520,168.431,210.675
0.234,14.013,5.049,5.049,192.585,168.241,210.605
0.236,14.269,4.951,4.951,192.663,168.012,210.520
0.238,14.562,4.847,4.847,192.753,167.750,210.423
0.240,14.886,4.749,4.749,192.854,167.461,210.317
0.242,15.234,4.665,4.665,192.966,167.152,210.204
0.244,15.598,4.606,4.606,193.085,166.828,210.088
0.246,15.973,4.576,4.576,193.213,166.495,209.972
0.248,16.352,4.570,4.570,193.346,166.159,209.858
0.250,16.728,4.585,4.585,193.483,165.827,209.749
0.251,17.094,4.617,4.617,193.625,165.504,209.648
0.253,17.445,4.664,4.664,193.768,165.197,209.559
0.255,17.774,4.720,4.720,193.913,164.911,209.484
0.257,18.076,4.781,4.781,194.057,164.652,209.425
0.259,18.353,4.841,4.841,194.199,164.419,209.382
0.261,18.606,4.896,4.896,194.335,164.207,209.352
0.263,18.839,4.940,4.940,194.464,164.014,209.332
0.265,19.052,4.973,4.974,194.582,163.837,209.321
0.267,19.249,5.003,5.003,194.687,163.670,209.316
0.269,19.431,5.034,5.034,194.776,163.512,209.315
0.271,19.600,5.074,5.074,194.847,163.358,209.314
0.273,19.761,5.129,5.129,194.897,163.205,209.312
0.275,19.919,5.199,5.199,194.923,163.049,209.307
0.277,20.082,5.275,5.274,194.923,162.887,209.296
0.279,20.257,5.347,5.346,194.894,162.715,209.276
0.281,20.451,5.404,5.403,194.836,162.532,209.247
0.283,20.664,5.437,5.438,194.752,162.341,209.209
0.285,20.891,5.443,5.445,194.646,162.145,209.165
0.287,21.128,5.432,5.435,194.523,161.947,209.117
0.289,21.371,5.413,5.418,194.387,161.753,209.067
0.291,21.614,5.399,5.402,194.242,161.564,209.015
0.293,21.853,5.400,5.399,194.093,161.385,208.965
