"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.079,2.079,227.057,215.117,239.369
0.001,0.482,2.264,2.264,227.537,215.084,239.350
0.003,0.959,2.446,2.446,228.013,215.050,239.333
0.004,1.428,2.622,2.622,228.480,215.014,239.319
0.006,1.884,2.790,2.790,228.934,214.976,239.309
0.007,2.323,2.947,2.947,229.372,214.934,239.305
0.009,2.741,3.090,3.090,229.787,214.889,239.309
0.010,3.134,3.215,3.215,230.177,214.838,239.322
0.012,3.499,3.323,3.323,230.537,214.781,239.345
0.013,3.833,3.415,3.415,230.862,214.718,239.381
0.015,4.132,3.495,3.495,231.149,214.647,239.430
0.016,4.396,3.567,3.567,231.393,214.568,239.494
0.017,4.628,3.635,3.635,231.591,214.480,239.575
0.019,4.834,3.702,3.702,231.748,214.386,239.668
0.020,5.021,3.772,3.772,231.868,214.286,239.771
0.022,5.196,3.847,3.847,231.957,214.183,239.882
0.023,5.363,3.926,3.926,232.019,214.078,239.996
0.025,5.523,4.005,4.005,232.058,213.975,240.112
0.026,5.677,4.082,4.082,232.080,213.874,240.225
0.028,5.823,4.155,4.155,232.090,213.777,240.334
0.029,5.958,4.221,4.221,232.091,213.687,240.435
0.031,6.079,4.277,4.277,232.090,213.605,240.524
0.032,6.183,4.321,4.321,232.091,213.533,240.600
0.034,6.269,4.356,4.356,232.097,213.472,240.659
0.035,6.337,4.382,4.382,232.107,213.422,240.705
0.036,6.392,4.402,4.402,232.121,213.381,240.738
0.038,6.435,4.415,4.415,232.139,213.348,240.760
0.039,6.470,4.425,4.425,232.158,213.322,240.773
0.041,6.500,4.432,4.432,232.179,213.302,240.780
0.042,6.526,4.437,4.437,232.200,213.287,240.780
0.044,6.550,4.442,4.442,232.221,213.276,240.778
0.045,6.572,4.445,4.445,232.241,213.267,240.773
0.047,6.592,4.449,4.449,232.259,213.260,240.768
0.048,6.609,4.453,4.453,232.275,213.253,240.765
0.050,6.623,4.458,4.458,232.287,213.247,240.765
0.051,6.635,4.464,4.464,232.297,213.240,240.767
0.052,6.645,4.472,4.472,232.303,213.233,240.771
0.054,6.655,4.480,4.480,232.308,213.226,240.776
0.055,6.665,4.487,4.487,232.310,213.219,240.782
0.057,6.674,4.494,4.494,232.310,213.212,240.788
0.058,6.683,4.498,4.498,232.309,213.206,240.795
0.060,6.692,4.500,4.500,232.307,213.199,240.801
0.061,6.701,4.499,4.499,232.304,213.193,240.805
0.063,6.709,4.494,4.494,232.299,213.187,240.809
0.064,6.716,4.487,4.487,232.295,213.181,240.810
0.066,6.724,4.479,4.479,232.290,213.176,240.810
0.067,6.730,4.472,4.472,232.285,213.171,240.808
0.069,6.736,4.465,4.465,232.281,213.167,240.805
0.070,6.742,4.461,4.461,232.278,213.164,240.803
0.071,6.745,4.461,4.461,232.277,213.162,240.801
0.073,6.747,4.465,4.465,232.277,213.160,240.801
0.074,6.750,4.472,4.472,232.279,213.159,240.802
0.076,6.756,4.481,4.481,232.284,213.160,240.806
0.077,6.767,4.491,4.491,232.292,213.162,240.813
0.079,6.783,4.501,4.501,232.303,213.164,240.824
0.080,6.805,4.511,4.511,232.318,213.169,240.840
0.082,6.832,4.520,4.520,232.336,213.174,240.860
0.083,6.865,4.527,4.527,232.357,213.180,240.884
0.085,6.901,4.533,4.533,232.379,213.186,240.911
0.086,6.939,4.538,4.538,232.403,213.192,240.942
0.087,6.979,4.543,4.543,232.425,213.196,240.974
0.089,7.020,4.549,4.549,232.447,213.199,241.009
0.090,7.061,4.555,4.555,232.467,213.201,241.044
0.092,7.101,4.562,4.562,232.484,213.199,241.080
0.093,7.139,4.570,4.570,232.497,213.195,241.117
0.095,7.177,4.577,4.577,232.505,213.187,241.153
0.096,7.214,4.583,4.583,232.508,213.175,241.188
0.098,7.254,4.586,4.586,232.505,213.158,241.223
0.099,7.299,4.585,4.585,232.497,213.135,241.261
0.101,7.353,4.578,4.578,232.485,213.104,241.304
0.102,7.418,4.565,4.565,232.469,213.065,241.353
0.103,7.496,4.547,4.547,232.450,213.017,241.412
0.105,7.590,4.524,4.524,232.428,212.958,241.482
0.106,7.703,4.498,4.498,232.404,212.887,241.566
0.108,7.836,4.471,4.471,232.378,212.803,241.665
0.109,7.991,4.444,4.444,232.352,212.704,241.783
0.111,8.172,4.419,4.419,232.325,212.591,241.921
0.112,8.379,4.396,4.396,232.299,212.461,242.081
0.114,8.610,4.375,4.375,232.275,212.317,242.259
0.115,8.859,4.356,4.356,232.256,212.160,242.453
0.117,9.122,4.335,4.335,232.243,211.994,242.655
0.118,9.392,4.313,4.313,232.241,211.820,242.862
0.120,9.665,4.287,4.287,232.250,211.642,243.068
0.121,9.936,4.256,4.256,232.274,211.461,243.270
0.122,10.202,4.219,4.219,232.315,211.281,243.461
0.124,10.459,4.178,4.178,232.375,211.104,243.636
0.125,10.706,4.138,4.138,232.458,210.931,243.792
0.127,10.941,4.103,4.103,232.564,210.767,243.923
0.128,11.169,4.076,4.076,232.697,210.612,244.026
0.130,11.397,4.062,4.062,232.854,210.467,244.102
0.131,11.630,4.064,4.064,233.034,210.330,244.158
0.133,11.871,4.085,4.085,233.234,210.201,244.198
0.134,12.123,4.123,4.123,233.452,210.079,244.228
0.136,12.385,4.171,4.171,233.685,209.962,244.252
0.137,12.657,4.225,4.225,233.932,209.849,244.276
0.138,12.937,4.279,4.279,234.188,209.739,244.304
0.140,13.225,4.328,4.328,234.453,209.632,244.343
0.141,13.521,4.368,4.368,234.724,209.526,244.396
0.143,13.823,4.394,4.394,234.997,209.421,244.469
0.144,14.134,4.412,4.412,235.272,209.314,244.566
0.146,14.451,4.429,4.429,235.547,209.208,244.685
0.147,14.773,4.452,4.452,235.819,209.103,244.822
0.149,15.099,4.488,4.488,236.087,208.999,244.974
0.150,15.425,4.544,4.544,236.350,208.898,245.138
0.152,15.749,4.628,4.628,236.606,208.800,245.311
0.153,16.068,4.743,4.743,236.854,208.707,245.489
0.155,16.378,4.883,4.883,237.091,208.619,245.669
0.156,16.678,5.041,5.041,237.317,208.538,245.848
0.157,16.962,5.207,5.207,237.530,208.463,246.022
0.159,17.229,5.374,5.374,237.727,208.396,246.189
0.160,17.476,5.534,5.534,237.909,208.338,246.345
0.162,17.702,5.678,5.678,238.075,208.288,246.490
0.163,17.909,5.800,5.800,238.226,208.244,246.624
0.165,18.096,5.903,5.903,238.362,208.208,246.748
0.166,18.266,5.988,5.988,238.485,208.177,246.861
0.168,18.418,6.058,6.058,238.595,208.152,246.963
0.169,18.553,6.116,6.116,238.692,208.131,247.054
0.171,18.672,6.163,6.163,238.778,208.114,247.135
0.172,18.775,6.203,6.203,238.852,208.100,247.205
0.173,18.863,6.238,6.238,238.915,208.088,247.265
0.175,18.936,6.267,6.267,238.968,208.079,247.314
0.176,18.994,6.291,6.291,239.012,208.071,247.352
0.178,19.040,6.310,6.311,239.046,208.064,247.381
0.179,19.072,6.325,6.325,239.071,208.059,247.401
0.181,19.093,6.336,6.336,239.088,208.056,247.413
0.182,19.102,6.342,6.342,239.096,208.054,247.418
0.184,19.104,6.344,6.344,239.095,208.053,247.416
0.185,19.116,6.343,6.342,239.087,208.055,247.408
0.187,19.137,6.337,6.336,239.070,208.058,247.396
0.188,19.167,6.326,6.326,239.046,208.063,247.379
0.190,19.205,6.311,6.310,239.015,208.071,247.359
0.191,19.250,6.291,6.291,238.977,208.080,247.336
0.192,19.302,6.266,6.266,238.933,208.090,247.311
0.194,19.354,6.237,6.237,238.887,208.101,247.288
0.195,19.403,6.206,6.207,238.844,208.109,247.267
0.197,19.444,6.176,6.178,238.806,208.113,247.251
0.198,19.473,6.151,6.153,238.778,208.111,247.242
0.200,19.491,6.132,6.134,238.764,208.101,247.242
0.201,19.513,6.122,6.123,238.768,208.082,247.253
0.203,19.560,6.125,6.124,238.793,208.051,247.278
0.204,19.638,6.141,6.137,238.843,208.007,247.318
0.206,19.753,6.167,6.160,238.922,207.948,247.376
0.207,19.909,6.202,6.193,239.035,207.872,247.453
0.208,20.105,6.243,6.233,239.179,207.779,247.549
0.210,20.334,6.288,6.280,239.350,207.675,247.660
0.211,20.585,6.336,6.332,239.540,207.561,247.780
0.213,20.852,6.383,6.388,239.743,207.443,247.905
0.214,21.124,6.429,6.445,239.953,207.323,248.031
