"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.479,2.479,188.478,222.161,206.091
0.001,0.212,2.563,2.563,188.559,222.179,205.896
0.002,0.422,2.646,2.646,188.640,222.197,205.703
0.004,0.628,2.727,2.727,188.720,222.215,205.514
0.005,0.828,2.806,2.806,188.798,222.231,205.331
0.006,1.020,2.881,2.881,188.874,222.245,205.155
0.007,1.202,2.952,2.952,188.948,222.258,204.989
0.009,1.372,3.019,3.019,189.018,222.268,204.835
0.010,1.528,3.079,3.079,189.085,222.276,204.694
0.011,1.668,3.133,3.133,189.148,222.281,204.568
0.012,1.791,3.180,3.180,189.206,222.282,204.460
0.013,1.894,3.221,3.221,189.258,222.279,204.372
0.015,1.977,3.254,3.254,189.306,222.272,204.304
0.016,2.038,3.281,3.281,189.346,222.261,204.259
0.017,2.083,3.301,3.301,189.381,222.245,204.236
0.018,2.116,3.313,3.313,189.409,222.228,204.230
0.020,2.145,3.319,3.319,189.430,222.210,204.238
0.021,2.173,3.318,3.318,189.444,222.193,204.255
0.022,2.201,3.312,3.312,189.452,222.178,204.278
0.023,2.228,3.302,3.302,189.453,222.168,204.303
0.025,2.252,3.293,3.293,189.447,222.164,204.325
0.026,2.273,3.287,3.287,189.434,222.167,204.341
0.027,2.297,3.286,3.286,189.414,222.178,204.348
0.028,2.333,3.293,3.293,189.387,222.201,204.340
0.029,2.388,3.311,3.311,189.352,222.235,204.315
0.031,2.467,3.343,3.343,189.311,222.283,204.268
0.032,2.573,3.389,3.389,189.262,222.345,204.197
0.033,2.702,3.447,3.447,189.208,222.420,204.107
0.034,2.849,3.514,3.514,189.150,222.503,204.000
0.036,3.011,3.587,3.587,189.089,222.595,203.880
0.037,3.183,3.663,3.663,189.028,222.691,203.752
0.038,3.361,3.738,3.738,188.967,222.790,203.618
0.039,3.540,3.809,3.809,188.907,222.890,203.482
0.040,3.715,3.874,3.874,188.852,222.988,203.348
0.042,3.883,3.930,3.930,188.800,223.083,203.219
0.043,4.038,3.977,3.977,188.756,223.171,203.100
0.044,4.176,4.017,4.017,188.719,223.251,202.993
0.045,4.294,4.050,4.050,188.691,223.320,202.902
0.047,4.386,4.078,4.078,188.673,223.377,202.831
0.048,4.457,4.102,4.102,188.665,223.423,202.778
0.049,4.508,4.121,4.121,188.665,223.459,202.741
0.050,4.546,4.139,4.139,188.670,223.488,202.718
0.051,4.575,4.154,4.154,188.680,223.512,202.706
0.053,4.599,4.169,4.169,188.693,223.532,202.702
0.054,4.623,4.183,4.183,188.706,223.552,202.705
0.055,4.648,4.197,4.197,188.719,223.572,202.713
0.056,4.675,4.211,4.211,188.729,223.596,202.722
0.058,4.705,4.225,4.225,188.736,223.624,202.731
0.059,4.741,4.239,4.239,188.736,223.659,202.737
0.060,4.786,4.255,4.255,188.730,223.703,202.738
0.061,4.844,4.272,4.272,188.714,223.758,202.732
0.063,4.916,4.291,4.291,188.689,223.825,202.717
0.064,5.002,4.311,4.311,188.656,223.901,202.696
0.065,5.099,4.334,4.334,188.617,223.986,202.669
0.066,5.207,4.360,4.360,188.571,224.078,202.637
0.067,5.323,4.389,4.389,188.521,224.177,202.602
0.069,5.445,4.421,4.421,188.467,224.280,202.564
0.070,5.572,4.456,4.456,188.411,224.386,202.524
0.071,5.701,4.496,4.496,188.354,224.495,202.484
0.072,5.831,4.539,4.539,188.296,224.604,202.444
0.074,5.959,4.585,4.585,188.240,224.713,202.406
0.075,6.084,4.632,4.632,188.185,224.820,202.371
0.076,6.205,4.680,4.680,188.134,224.924,202.339
0.077,6.318,4.727,4.727,188.087,225.024,202.312
0.078,6.425,4.771,4.771,188.044,225.119,202.288
0.080,6.526,4.813,4.813,188.005,225.210,202.269
0.081,6.620,4.849,4.849,187.969,225.295,202.252
0.082,6.707,4.881,4.881,187.938,225.375,202.238
0.083,6.788,4.907,4.907,187.910,225.450,202.227
0.085,6.862,4.929,4.929,187.886,225.519,202.218
0.086,6.928,4.947,4.947,187.865,225.582,202.211
0.087,6.988,4.962,4.962,187.847,225.639,202.204
0.088,7.040,4.973,4.973,187.833,225.689,202.198
0.089,7.085,4.982,4.982,187.822,225.732,202.193
0.091,7.123,4.989,4.989,187.813,225.768,202.188
0.092,7.152,4.994,4.994,187.808,225.797,202.182
0.093,7.176,4.998,4.998,187.806,225.819,202.176
0.094,7.193,5.001,5.001,187.805,225.835,202.169
0.096,7.206,5.002,5.002,187.807,225.846,202.163
0.097,7.216,5.002,5.002,187.810,225.854,202.157
0.098,7.224,5.000,5.000,187.814,225.858,202.152
0.099,7.231,4.997,4.997,187.820,225.860,202.148
