"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,3.018,3.018,180.539,184.903,180.277
0.001,0.204,3.021,3.021,180.439,184.881,180.454
0.003,0.405,3.024,3.024,180.341,184.859,180.628
0.004,0.598,3.030,3.030,180.250,184.835,180.796
0.005,0.781,3.038,3.038,180.165,184.809,180.957
0.007,0.951,3.052,3.052,180.092,184.779,181.107
0.008,1.104,3.070,3.070,180.032,184.746,181.243
0.009,1.237,3.096,3.096,179.987,184.708,181.363
0.011,1.350,3.129,3.129,179.961,184.665,181.464
0.012,1.444,3.170,3.170,179.955,184.615,181.544
0.013,1.526,3.220,3.220,179.974,184.558,181.599
0.015,1.609,3.278,3.278,180.019,184.494,181.628
0.016,1.713,3.343,3.343,180.092,184.421,181.627
0.017,1.845,3.417,3.417,180.192,184.339,181.598
0.019,2.006,3.499,3.499,180.314,184.249,181.546
0.020,2.188,3.589,3.589,180.452,184.150,181.476
0.021,2.388,3.687,3.687,180.599,184.044,181.394
0.022,2.598,3.790,3.790,180.752,183.930,181.305
0.024,2.813,3.896,3.896,180.903,183.809,181.213
0.025,3.026,4.001,4.001,181.047,183.680,181.125
0.026,3.231,4.102,4.102,181.180,183.545,181.044
0.028,3.425,4.197,4.197,181.294,183.403,180.977
0.029,3.605,4.283,4.283,181.385,183.255,180.929
0.030,3.773,4.356,4.356,181.446,183.101,180.904
0.032,3.935,4.414,4.414,181.475,182.942,180.907
0.033,4.101,4.460,4.460,181.475,182.778,180.932
0.034,4.276,4.495,4.495,181.449,182.610,180.977
0.036,4.461,4.523,4.523,181.403,182.441,181.035
0.037,4.656,4.547,4.547,181.340,182.271,181.104
0.038,4.855,4.568,4.568,181.265,182.100,181.177
0.040,5.057,4.589,4.589,181.182,181.932,181.251
0.041,5.257,4.613,4.613,181.096,181.765,181.320
0.042,5.450,4.642,4.642,181.010,181.603,181.380
0.044,5.633,4.675,4.675,180.930,181.445,181.427
0.045,5.803,4.713,4.713,180.860,181.293,181.456
0.046,5.958,4.756,4.756,180.804,181.149,181.463
0.048,6.102,4.805,4.805,180.762,181.012,181.447
0.049,6.240,4.859,4.859,180.732,180.882,181.411
0.050,6.376,4.919,4.919,180.714,180.758,181.359
0.052,6.510,4.985,4.985,180.706,180.641,181.293
0.053,6.645,5.055,5.055,180.706,180.531,181.216
0.054,6.780,5.128,5.128,180.711,180.425,181.132
0.056,6.914,5.202,5.202,180.721,180.326,181.043
0.057,7.046,5.275,5.275,180.734,180.231,180.952
0.058,7.174,5.344,5.344,180.748,180.141,180.862
0.060,7.296,5.408,5.408,180.762,180.055,180.776
0.061,7.410,5.465,5.465,180.774,179.974,180.697
0.062,7.515,5.514,5.514,180.782,179.896,180.627
0.063,7.611,5.556,5.556,180.787,179.822,180.566
0.065,7.700,5.592,5.592,180.789,179.752,180.512
0.066,7.782,5.623,5.623,180.789,179.684,180.465
0.067,7.858,5.651,5.651,180.787,179.620,180.424
0.069,7.929,5.678,5.678,180.783,179.559,180.388
0.070,7.995,5.704,5.704,180.777,179.502,180.356
0.071,8.057,5.730,5.730,180.771,179.446,180.328
0.073,8.116,5.758,5.758,180.764,179.394,180.302
0.074,8.172,5.787,5.787,180.756,179.344,180.278
0.075,8.226,5.815,5.815,180.748,179.296,180.255
0.077,8.277,5.843,5.843,180.741,179.251,180.232
0.078,8.326,5.870,5.870,180.734,179.208,180.209
0.079,8.373,5.896,5.896,180.728,179.168,180.186
0.081,8.417,5.920,5.920,180.722,179.130,180.163
0.082,8.459,5.941,5.941,180.716,179.095,180.142
0.083,8.497,5.960,5.960,180.711,179.063,180.122
0.085,8.531,5.976,5.976,180.706,179.035,180.102
0.086,8.562,5.990,5.990,180.702,179.010,180.085
0.087,8.589,6.002,6.002,180.698,178.988,180.070
0.089,8.611,6.012,6.012,180.694,178.971,180.056
0.090,8.629,6.020,6.020,180.691,178.957,180.045
0.091,8.642,6.026,6.026,180.688,178.947,180.037
0.093,8.650,6.030,6.030,180.686,178.942,180.032
