"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,3.008,3.008,214.061,185.186,177.862
0.001,0.012,2.996,2.996,214.053,185.189,177.853
0.003,0.023,2.984,2.984,214.045,185.192,177.846
0.004,0.032,2.976,2.976,214.038,185.194,177.841
0.006,0.039,2.971,2.971,214.032,185.194,177.838
0.007,0.044,2.971,2.971,214.027,185.193,177.840
0.009,0.053,2.978,2.978,214.024,185.189,177.846
0.010,0.067,2.993,2.993,214.022,185.181,177.859
0.012,0.089,3.015,3.015,214.023,185.170,177.878
0.013,0.120,3.046,3.046,214.027,185.156,177.905
0.015,0.161,3.084,3.084,214.034,185.136,177.940
0.016,0.213,3.129,3.129,214.044,185.112,177.985
0.018,0.274,3.179,3.179,214.056,185.084,178.038
0.019,0.342,3.235,3.235,214.071,185.053,178.096
0.021,0.413,3.295,3.295,214.087,185.020,178.158
0.022,0.487,3.358,3.358,214.105,184.987,178.221
0.023,0.559,3.422,3.422,214.122,184.955,178.283
0.025,0.628,3.485,3.485,214.140,184.925,178.343
0.026,0.691,3.543,3.543,214.157,184.898,178.397
0.028,0.746,3.594,3.594,214.173,184.875,178.445
0.029,0.790,3.637,3.637,214.187,184.858,178.483
0.031,0.822,3.668,3.668,214.198,184.847,178.510
0.032,0.843,3.687,3.687,214.208,184.842,178.528
0.034,0.855,3.697,3.697,214.215,184.840,178.538
0.035,0.863,3.700,3.700,214.222,184.842,178.542
0.037,0.869,3.699,3.699,214.227,184.845,178.541
0.038,0.876,3.696,3.696,214.232,184.848,178.538
0.040,0.883,3.695,3.695,214.237,184.851,178.535
0.041,0.888,3.697,3.697,214.242,184.851,178.532
0.043,0.895,3.704,3.704,214.248,184.848,178.533
0.044,0.906,3.715,3.715,214.254,184.840,178.538
0.046,0.926,3.730,3.730,214.263,184.827,178.549
0.047,0.952,3.748,3.748,214.272,184.809,178.566
0.048,0.985,3.768,3.768,214.284,184.790,178.590
0.050,1.022,3.790,3.790,214.298,184.772,178.619
0.051,1.064,3.813,3.813,214.314,184.756,178.655
0.053,1.110,3.836,3.836,214.333,184.746,178.695
0.054,1.161,3.860,3.860,214.355,184.743,178.741
0.056,1.219,3.883,3.883,214.380,184.750,178.792
0.057,1.285,3.905,3.905,214.409,184.769,178.848
0.059,1.361,3.926,3.926,214.442,184.803,178.909
0.060,1.451,3.945,3.945,214.479,184.852,178.974
0.062,1.553,3.962,3.962,214.521,184.916,179.042
0.063,1.667,3.977,3.977,214.570,184.991,179.112
0.065,1.791,3.989,3.989,214.627,185.076,179.182
0.066,1.923,3.998,3.998,214.694,185.166,179.252
0.068,2.063,4.003,4.003,214.771,185.261,179.320
0.069,2.209,4.006,4.006,214.860,185.357,179.384
0.070,2.360,4.005,4.005,214.963,185.451,179.444
0.072,2.518,4.000,4.000,215.081,185.541,179.497
0.073,2.682,3.992,3.992,215.214,185.624,179.543
0.075,2.854,3.983,3.983,215.365,185.698,179.581
0.076,3.033,3.974,3.974,215.528,185.764,179.611
0.078,3.216,3.966,3.966,215.701,185.820,179.634
0.079,3.401,3.960,3.960,215.879,185.869,179.650
0.081,3.584,3.958,3.958,216.057,185.911,179.662
0.082,3.762,3.961,3.961,216.231,185.946,179.668
0.084,3.930,3.968,3.968,216.397,185.975,179.672
0.085,4.085,3.977,3.977,216.549,185.999,179.672
0.087,4.222,3.987,3.987,216.685,186.018,179.671
0.088,4.336,3.997,3.997,216.799,186.033,179.669
0.090,4.426,4.006,4.006,216.888,186.045,179.666
0.091,4.493,4.012,4.012,216.954,186.053,179.664
0.093,4.540,4.015,4.015,217.000,186.059,179.661
0.094,4.571,4.014,4.014,217.032,186.062,179.659
0.095,4.591,4.012,4.012,217.051,186.064,179.656
0.097,4.603,4.007,4.007,217.062,186.064,179.654
0.098,4.610,4.002,4.002,217.070,186.062,179.651
0.100,4.618,3.996,3.996,217.076,186.061,179.648
0.101,4.628,3.991,3.991,217.086,186.059,179.645
0.103,4.645,3.986,3.986,217.103,186.056,179.642
0.104,4.672,3.983,3.983,217.130,186.055,179.639
0.106,4.710,3.982,3.982,217.166,186.053,179.635
0.107,4.756,3.981,3.981,217.212,186.051,179.630
0.109,4.810,3.983,3.983,217.265,186.048,179.622
0.110,4.870,3.986,3.986,217.325,186.044,179.611
