"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.071,2.071,213.756,188.060,179.657
0.001,0.316,2.272,2.272,213.964,187.985,179.883
0.003,0.629,2.470,2.470,214.169,187.911,180.107
0.004,0.935,2.661,2.661,214.370,187.839,180.326
0.005,1.231,2.842,2.842,214.565,187.770,180.538
0.007,1.513,3.009,3.009,214.750,187.705,180.741
0.008,1.779,3.160,3.160,214.925,187.645,180.932
0.009,2.024,3.292,3.292,215.086,187.591,181.108
0.010,2.245,3.399,3.399,215.232,187.545,181.268
0.012,2.439,3.483,3.483,215.360,187.506,181.409
0.013,2.603,3.546,3.546,215.469,187.477,181.528
0.014,2.734,3.591,3.591,215.555,187.458,181.624
0.016,2.829,3.623,3.623,215.618,187.450,181.695
0.017,2.893,3.645,3.645,215.661,187.452,181.743
0.018,2.932,3.661,3.661,215.687,187.461,181.771
0.020,2.955,3.675,3.675,215.699,187.477,181.782
0.021,2.976,3.691,3.691,215.702,187.497,181.780
0.022,3.003,3.711,3.711,215.698,187.521,181.767
0.023,3.036,3.732,3.732,215.692,187.546,181.746
0.025,3.072,3.755,3.755,215.687,187.571,181.721
0.026,3.107,3.780,3.780,215.687,187.594,181.694
0.027,3.140,3.804,3.804,215.695,187.614,181.669
0.029,3.171,3.827,3.827,215.715,187.628,181.649
0.030,3.209,3.849,3.849,215.749,187.636,181.636
0.031,3.257,3.868,3.868,215.796,187.638,181.629
0.033,3.316,3.886,3.886,215.855,187.634,181.628
0.034,3.386,3.902,3.902,215.924,187.624,181.632
0.035,3.465,3.917,3.917,216.002,187.609,181.639
0.036,3.552,3.933,3.933,216.085,187.588,181.649
0.038,3.645,3.951,3.951,216.174,187.563,181.661
0.039,3.743,3.970,3.970,216.266,187.532,181.673
0.040,3.843,3.992,3.992,216.360,187.497,181.685
0.042,3.945,4.017,4.017,216.453,187.459,181.696
0.043,4.046,4.045,4.045,216.544,187.416,181.705
0.044,4.146,4.075,4.075,216.632,187.369,181.712
0.046,4.243,4.106,4.106,216.716,187.320,181.716
0.047,4.337,4.138,4.138,216.796,187.270,181.717
0.048,4.428,4.169,4.169,216.871,187.219,181.718
0.049,4.514,4.199,4.199,216.941,187.169,181.718
0.051,4.595,4.226,4.226,217.006,187.120,181.717
0.052,4.670,4.251,4.251,217.065,187.075,181.716
0.053,4.738,4.273,4.273,217.119,187.033,181.717
0.055,4.798,4.292,4.292,217.166,186.996,181.718
0.056,4.849,4.309,4.309,217.206,186.965,181.721
0.057,4.890,4.322,4.322,217.239,186.941,181.727
0.059,4.922,4.333,4.333,217.265,186.924,181.735
0.060,4.947,4.341,4.341,217.286,186.915,181.745
0.061,4.968,4.346,4.346,217.303,186.912,181.757
0.063,4.989,4.348,4.348,217.318,186.915,181.771
0.064,5.011,4.349,4.349,217.332,186.923,181.786
0.065,5.037,4.347,4.347,217.348,186.936,181.802
0.066,5.066,4.345,4.345,217.366,186.953,181.818
0.068,5.101,4.341,4.341,217.389,186.972,181.834
0.069,5.141,4.337,4.337,217.419,186.994,181.850
0.070,5.187,4.334,4.334,217.456,187.018,181.865
0.072,5.242,4.330,4.330,217.503,187.043,181.879
0.073,5.306,4.328,4.328,217.560,187.068,181.892
0.074,5.379,4.327,4.327,217.627,187.094,181.904
0.076,5.460,4.327,4.327,217.704,187.119,181.917
0.077,5.549,4.328,4.328,217.788,187.143,181.931
0.078,5.645,4.331,4.331,217.880,187.165,181.947
0.079,5.747,4.336,4.336,217.977,187.186,181.966
0.081,5.853,4.344,4.344,218.080,187.205,181.989
0.082,5.965,4.353,4.353,218.187,187.220,182.016
0.083,6.081,4.364,4.364,218.298,187.232,182.048
