"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.868,1.868,231.500,230.630,241.006
0.001,0.067,1.861,1.861,231.534,230.572,241.001
0.002,0.132,1.853,1.853,231.565,230.515,240.995
0.003,0.193,1.847,1.847,231.592,230.461,240.988
0.005,0.248,1.842,1.842,231.611,230.410,240.980
0.006,0.296,1.838,1.838,231.622,230.364,240.971
0.007,0.338,1.836,1.836,231.621,230.324,240.959
0.008,0.377,1.836,1.836,231.606,230.291,240.945
0.009,0.420,1.839,1.839,231.575,230.266,240.928
0.010,0.475,1.846,1.846,231.525,230.251,240.907
0.011,0.550,1.856,1.856,231.455,230.247,240.883
0.013,0.648,1.870,1.870,231.362,230.255,240.855
0.014,0.773,1.892,1.892,231.243,230.276,240.822
0.015,0.928,1.922,1.922,231.097,230.311,240.784
0.016,1.116,1.961,1.961,230.921,230.362,240.740
0.017,1.336,2.011,2.011,230.716,230.428,240.692
0.018,1.583,2.074,2.074,230.488,230.506,240.638
0.019,1.851,2.150,2.150,230.242,230.595,240.581
0.021,2.135,2.243,2.243,229.982,230.691,240.521
0.022,2.428,2.350,2.350,229.715,230.793,240.457
0.023,2.725,2.469,2.469,229.444,230.897,240.392
0.024,3.021,2.594,2.594,229.176,231.003,240.326
0.025,3.309,2.723,2.723,228.915,231.107,240.259
0.026,3.585,2.851,2.851,228.667,231.207,240.192
0.027,3.842,2.974,2.974,228.437,231.300,240.126
0.028,4.076,3.087,3.087,228.229,231.384,240.062
0.030,4.280,3.187,3.187,228.049,231.458,239.999
0.031,4.449,3.270,3.270,227.902,231.517,239.940
0.032,4.580,3.333,3.333,227.792,231.561,239.883
0.033,4.677,3.378,3.378,227.716,231.592,239.832
0.034,4.745,3.408,3.408,227.669,231.612,239.787
0.035,4.791,3.422,3.422,227.647,231.623,239.748
0.036,4.821,3.423,3.423,227.646,231.627,239.718
0.038,4.846,3.413,3.413,227.661,231.628,239.698
0.039,4.874,3.393,3.393,227.687,231.628,239.688
0.040,4.908,3.364,3.364,227.720,231.628,239.690
0.041,4.947,3.329,3.329,227.756,231.632,239.705
0.042,4.993,3.288,3.288,227.789,231.643,239.735
0.043,5.048,3.244,3.244,227.817,231.661,239.780
0.044,5.119,3.197,3.197,227.833,231.691,239.842
0.046,5.210,3.150,3.150,227.834,231.734,239.921
0.047,5.326,3.104,3.104,227.815,231.792,240.020
0.048,5.470,3.059,3.059,227.776,231.867,240.137
