"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.655,1.655,194.566,182.106,155.033
0.001,0.418,1.792,1.792,194.299,182.428,155.037
0.003,0.833,1.928,1.928,194.035,182.749,155.042
0.004,1.242,2.062,2.062,193.777,183.065,155.047
0.006,1.640,2.193,2.193,193.527,183.375,155.050
0.007,2.026,2.320,2.320,193.287,183.677,155.053
0.008,2.395,2.442,2.442,193.062,183.969,155.056
0.010,2.744,2.557,2.557,192.852,184.249,155.057
0.011,3.071,2.666,2.666,192.662,184.514,155.057
0.013,3.372,2.767,2.767,192.494,184.764,155.055
0.014,3.644,2.862,2.862,192.350,184.995,155.052
0.015,3.885,2.949,2.949,192.233,185.206,155.048
0.017,4.092,3.030,3.030,192.147,185.394,155.041
0.018,4.266,3.104,3.104,192.092,185.559,155.032
0.019,4.411,3.172,3.172,192.065,185.701,155.022
0.021,4.531,3.234,3.234,192.063,185.820,155.009
0.022,4.633,3.290,3.290,192.082,185.920,154.994
0.024,4.722,3.339,3.339,192.118,185.999,154.978
0.025,4.803,3.381,3.381,192.166,186.061,154.960
0.026,4.878,3.416,3.416,192.223,186.106,154.940
0.028,4.950,3.443,3.443,192.285,186.135,154.918
0.029,5.019,3.462,3.462,192.348,186.150,154.894
0.031,5.084,3.471,3.471,192.408,186.152,154.870
0.032,5.144,3.473,3.473,192.461,186.142,154.843
0.033,5.198,3.468,3.468,192.502,186.121,154.815
0.035,5.248,3.460,3.460,192.530,186.091,154.786
0.036,5.297,3.450,3.450,192.546,186.055,154.757
0.038,5.344,3.441,3.441,192.551,186.018,154.728
0.039,5.388,3.436,3.436,192.548,185.983,154.702
0.040,5.425,3.436,3.436,192.539,185.954,154.680
0.042,5.454,3.445,3.445,192.528,185.935,154.662
0.043,5.473,3.460,3.460,192.515,185.929,154.649
0.045,5.491,3.481,3.481,192.503,185.942,154.644
0.046,5.526,3.507,3.507,192.495,185.975,154.646
0.047,5.586,3.536,3.536,192.492,186.034,154.658
0.049,5.677,3.567,3.567,192.497,186.122,154.681
0.050,5.804,3.599,3.599,192.513,186.244,154.715
0.051,5.969,3.631,3.631,192.541,186.400,154.761
0.053,6.169,3.663,3.663,192.579,186.588,154.817
0.054,6.397,3.696,3.696,192.627,186.801,154.880
0.056,6.647,3.732,3.732,192.683,187.036,154.946
0.057,6.914,3.770,3.770,192.745,187.287,155.014
0.058,7.192,3.814,3.814,192.812,187.549,155.081
0.060,7.475,3.862,3.862,192.882,187.816,155.142
0.061,7.758,3.917,3.917,192.954,188.084,155.196
0.063,8.034,3.979,3.979,193.027,188.347,155.239
0.064,8.299,4.047,4.047,193.098,188.600,155.270
0.065,8.548,4.120,4.120,193.167,188.839,155.284
0.067,8.776,4.196,4.196,193.232,189.057,155.278
0.068,8.981,4.275,4.275,193.291,189.252,155.252
0.070,9.167,4.356,4.356,193.345,189.424,155.208
0.071,9.336,4.437,4.437,193.394,189.575,155.148
0.072,9.492,4.519,4.519,193.438,189.706,155.075
0.074,9.638,4.599,4.599,193.477,189.819,154.993
0.075,9.774,4.677,4.677,193.511,189.916,154.904
0.076,9.901,4.753,4.753,193.541,189.998,154.811
0.078,10.021,4.826,4.826,193.567,190.068,154.718
