"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.672,2.672,193.418,219.750,180.040
0.002,0.033,2.675,2.675,193.396,219.760,180.062
0.003,0.066,2.678,2.678,193.373,219.771,180.083
0.005,0.099,2.681,2.681,193.351,219.782,180.105
0.006,0.130,2.684,2.684,193.330,219.792,180.126
0.008,0.161,2.688,2.688,193.309,219.802,180.147
0.009,0.191,2.691,2.691,193.289,219.812,180.167
0.011,0.220,2.694,2.694,193.270,219.821,180.186
0.012,0.247,2.697,2.697,193.251,219.829,180.205
0.014,0.273,2.701,2.701,193.235,219.837,180.222
0.015,0.297,2.704,2.704,193.219,219.844,180.239
0.017,0.318,2.708,2.708,193.205,219.851,180.254
0.018,0.338,2.711,2.711,193.193,219.856,180.268
0.020,0.357,2.715,2.715,193.181,219.861,180.283
0.022,0.380,2.718,2.718,193.168,219.868,180.300
0.023,0.408,2.722,2.722,193.152,219.877,180.321
0.025,0.446,2.728,2.728,193.130,219.890,180.350
0.026,0.497,2.735,2.735,193.101,219.907,180.387
0.028,0.564,2.746,2.746,193.063,219.931,180.437
0.029,0.650,2.761,2.761,193.014,219.963,180.500
0.031,0.759,2.780,2.780,192.952,220.003,180.580
0.032,0.894,2.806,2.806,192.875,220.053,180.679
0.034,1.058,2.842,2.842,192.780,220.115,180.798
0.035,1.255,2.892,2.892,192.667,220.190,180.941
0.037,1.484,2.961,2.961,192.535,220.277,181.107
0.039,1.740,3.052,3.052,192.388,220.375,181.292
0.040,2.015,3.169,3.169,192.229,220.481,181.490
0.042,2.303,3.315,3.315,192.063,220.591,181.698
0.043,2.596,3.482,3.482,191.893,220.703,181.909
0.045,2.888,3.659,3.659,191.725,220.815,182.119
0.046,3.171,3.833,3.833,191.561,220.924,182.323
0.048,3.439,3.993,3.993,191.407,221.026,182.516
0.049,3.684,4.126,4.126,191.265,221.120,182.692
0.051,3.899,4.221,4.221,191.140,221.202,182.848
0.052,4.078,4.271,4.271,191.037,221.270,182.977
0.054,4.214,4.287,4.287,190.958,221.322,183.075
0.055,4.311,4.278,4.278,190.902,221.358,183.145
0.057,4.372,4.254,4.254,190.866,221.382,183.189
0.059,4.405,4.226,4.226,190.846,221.396,183.211
0.060,4.415,4.205,4.205,190.840,221.403,183.215
0.062,4.427,4.201,4.201,190.844,221.405,183.205
0.063,4.450,4.213,4.213,190.855,221.405,183.184
0.065,4.482,4.238,4.238,190.870,221.406,183.156
0.066,4.518,4.271,4.271,190.885,221.411,183.124
0.068,4.553,4.308,4.308,190.897,221.421,183.092
0.069,4.588,4.345,4.345,190.904,221.440,183.064
0.071,4.625,4.375,4.375,190.901,221.470,183.043
0.072,4.670,4.397,4.397,190.888,221.512,183.031
0.074,4.727,4.411,4.411,190.866,221.564,183.026
0.076,4.793,4.420,4.420,190.837,221.623,183.028
0.077,4.867,4.425,4.425,190.802,221.688,183.035
