"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.729,2.729,205.022,225.796,196.444
0.001,0.200,2.785,2.785,205.207,225.769,196.371
0.003,0.400,2.841,2.841,205.391,225.742,196.298
0.004,0.598,2.899,2.899,205.574,225.716,196.225
0.005,0.796,2.959,2.959,205.756,225.693,196.151
0.006,0.992,3.022,3.022,205.936,225.671,196.076
0.008,1.187,3.089,3.089,206.114,225.652,196.001
0.009,1.379,3.160,3.160,206.290,225.637,195.923
0.010,1.570,3.236,3.236,206.462,225.625,195.845
0.011,1.757,3.318,3.318,206.632,225.618,195.764
0.013,1.942,3.404,3.404,206.797,225.616,195.682
0.014,2.125,3.492,3.492,206.959,225.620,195.597
0.015,2.305,3.583,3.583,207.116,225.629,195.510
0.017,2.482,3.673,3.673,207.268,225.645,195.421
0.018,2.655,3.761,3.761,207.414,225.667,195.330
0.019,2.825,3.847,3.847,207.554,225.695,195.239
0.020,2.989,3.928,3.928,207.687,225.727,195.148
0.022,3.148,4.003,4.003,207.813,225.764,195.058
0.023,3.300,4.072,4.072,207.931,225.804,194.970
0.024,3.444,4.134,4.134,208.040,225.847,194.886
0.025,3.581,4.189,4.189,208.139,225.894,194.805
0.027,3.708,4.235,4.235,208.229,225.942,194.729
0.028,3.824,4.273,4.273,208.308,225.992,194.659
0.029,3.930,4.302,4.302,208.376,226.043,194.596
0.030,4.025,4.322,4.322,208.432,226.095,194.540
0.032,4.109,4.332,4.332,208.477,226.147,194.491
0.033,4.186,4.334,4.334,208.512,226.199,194.448
0.034,4.256,4.331,4.331,208.539,226.251,194.409
0.036,4.323,4.324,4.324,208.560,226.303,194.372
0.037,4.388,4.315,4.315,208.575,226.356,194.336
0.038,4.453,4.307,4.307,208.586,226.408,194.300
0.039,4.519,4.302,4.302,208.595,226.460,194.261
0.041,4.587,4.302,4.302,208.604,226.512,194.218
0.042,4.658,4.307,4.307,208.613,226.563,194.170
0.043,4.734,4.318,4.318,208.625,226.614,194.114
0.044,4.818,4.334,4.334,208.640,226.665,194.050
0.046,4.910,4.353,4.353,208.661,226.716,193.976
0.047,5.010,4.376,4.376,208.688,226.765,193.893
0.048,5.117,4.401,4.401,208.718,226.814,193.802
0.050,5.230,4.427,4.427,208.751,226.861,193.706
0.051,5.346,4.454,4.454,208.787,226.907,193.605
0.052,5.463,4.482,4.482,208.824,226.951,193.503
0.053,5.580,4.509,4.509,208.861,226.992,193.400
0.055,5.694,4.537,4.537,208.898,227.031,193.299
0.056,5.805,4.564,4.564,208.933,227.068,193.201
0.057,5.909,4.590,4.590,208.966,227.101,193.109
