"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.141,2.141,241.651,187.866,168.756
0.001,0.454,2.321,2.321,241.902,187.762,169.120
0.003,0.904,2.500,2.500,242.151,187.659,169.480
0.004,1.344,2.675,2.675,242.394,187.558,169.834
0.006,1.771,2.845,2.845,242.630,187.459,170.176
0.007,2.180,3.008,3.008,242.856,187.365,170.503
0.008,2.567,3.161,3.161,243.069,187.274,170.812
0.010,2.927,3.304,3.304,243.268,187.189,171.100
0.011,3.255,3.434,3.434,243.449,187.111,171.362
0.013,3.547,3.552,3.552,243.611,187.039,171.594
0.014,3.798,3.656,3.656,243.750,186.976,171.794
0.015,4.005,3.748,3.748,243.865,186.922,171.957
0.017,4.163,3.827,3.827,243.952,186.877,172.081
0.018,4.274,3.893,3.893,244.014,186.843,172.167
0.020,4.344,3.946,3.946,244.053,186.817,172.219
0.021,4.381,3.986,3.986,244.074,186.799,172.244
0.022,4.392,4.015,4.015,244.079,186.789,172.245
0.024,4.411,4.034,4.034,244.071,186.786,172.228
0.025,4.445,4.045,4.045,244.056,186.789,172.198
0.027,4.490,4.050,4.050,244.035,186.797,172.160
0.028,4.539,4.050,4.050,244.012,186.810,172.117
0.029,4.588,4.047,4.047,243.990,186.826,172.077
0.031,4.631,4.044,4.044,243.974,186.846,172.042
0.032,4.664,4.041,4.041,243.966,186.868,172.019
0.034,4.690,4.039,4.039,243.969,186.892,172.010
0.035,4.720,4.039,4.039,243.982,186.918,172.012
0.036,4.759,4.042,4.042,244.006,186.947,172.026
0.038,4.812,4.048,4.048,244.040,186.979,172.048
0.039,4.876,4.058,4.058,244.086,187.014,172.078
0.041,4.954,4.072,4.072,244.143,187.053,172.114
0.042,5.043,4.091,4.091,244.210,187.095,172.154
0.043,5.144,4.115,4.115,244.289,187.141,172.197
0.045,5.256,4.142,4.142,244.379,187.191,172.241
0.046,5.379,4.173,4.173,244.481,187.245,172.284
0.048,5.513,4.206,4.206,244.593,187.305,172.326
0.049,5.658,4.242,4.242,244.717,187.369,172.364
0.050,5.811,4.279,4.279,244.850,187.437,172.399
0.052,5.970,4.317,4.317,244.989,187.507,172.431
0.053,6.133,4.355,4.355,245.132,187.579,172.461
0.055,6.297,4.392,4.392,245.277,187.650,172.488
0.056,6.459,4.427,4.427,245.422,187.720,172.512
0.058,6.617,4.458,4.458,245.563,187.787,172.535
0.059,6.768,4.486,4.486,245.699,187.851,172.557
0.060,6.910,4.508,4.508,245.826,187.909,172.577
0.062,7.039,4.524,4.524,245.944,187.960,172.595
0.063,7.154,4.534,4.534,246.048,188.004,172.614
0.065,7.252,4.541,4.541,246.138,188.039,172.631
0.066,7.332,4.544,4.544,246.212,188.065,172.648
0.067,7.398,4.545,4.545,246.272,188.084,172.664
0.069,7.449,4.546,4.546,246.319,188.096,172.680
0.070,7.487,4.547,4.547,246.355,188.103,172.694
0.072,7.515,4.551,4.551,246.379,188.106,172.707
0.073,7.534,4.557,4.557,246.393,188.106,172.719
0.074,7.546,4.563,4.563,246.398,188.104,172.730
0.076,7.556,4.571,4.571,246.395,188.101,172.739
0.077,7.569,4.578,4.578,246.385,188.098,172.747
0.079,7.586,4.584,4.584,246.369,188.096,172.753
0.080,7.607,4.588,4.588,246.348,188.097,172.756
0.081,7.631,4.590,4.590,246.325,188.100,172.758
0.083,7.655,4.588,4.588,246.301,188.105,172.758
0.084,7.677,4.584,4.584,246.279,188.111,172.756
0.086,7.694,4.578,4.578,246.264,188.117,172.752
0.087,7.705,4.570,4.570,246.257,188.122,172.746
0.088,7.714,4.561,4.561,246.262,188.125,172.738
0.090,7.736,4.550,4.550,246.282,188.126,172.729
0.091,7.775,4.539,4.539,246.319,188.124,172.717
0.093,7.835,4.527,4.527,246.376,188.117,172.704
0.094,7.918,4.516,4.516,246.458,188.105,172.689
0.095,8.028,4.504,4.504,246.565,188.086,172.672
0.097,8.167,4.493,4.493,246.700,188.062,172.654
0.098,8.329,4.484,4.484,246.858,188.032,172.633
0.100,8.509,4.476,4.476,247.033,187.998,172.612
0.101,8.700,4.469,4.469,247.220,187.962,172.589
0.102,8.898,4.465,4.465,247.413,187.926,172.566
0.104,9.097,4.463,4.463,247.607,187.890,172.541
0.105,9.290,4.463,4.463,247.796,187.856,172.516
0.107,9.472,4.464,4.464,247.973,187.827,172.490
0.108,9.638,4.467,4.467,248.135,187.802,172.464
0.109,9.781,4.472,4.472,248.275,187.785,172.438
0.111,9.897,4.478,4.478,248.387,187.776,172.412
0.112,9.981,4.485,4.485,248.467,187.776,172.386
