"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.094,2.094,22.331,12.075,69.969
0.002,0.363,2.260,2.260,22.414,12.119,70.320
0.003,0.724,2.425,2.425,22.498,12.161,70.668
0.005,1.079,2.588,2.588,22.586,12.202,71.010
0.006,1.426,2.748,2.748,22.678,12.239,71.342
0.008,1.763,2.904,2.904,22.776,12.271,71.663
0.009,2.087,3.056,3.056,22.882,12.299,71.968
0.011,2.397,3.201,3.201,22.997,12.319,72.255
0.012,2.691,3.340,3.340,23.122,12.332,72.520
0.014,2.968,3.470,3.470,23.260,12.337,72.761
0.015,3.230,3.589,3.589,23.411,12.331,72.975
0.017,3.477,3.696,3.696,23.577,12.315,73.158
0.019,3.715,3.789,3.789,23.758,12.287,73.308
0.020,3.947,3.866,3.866,23.955,12.251,73.428
0.022,4.178,3.926,3.926,24.163,12.209,73.518
0.023,4.410,3.970,3.970,24.381,12.164,73.582
0.025,4.644,3.998,3.998,24.607,12.120,73.622
0.026,4.880,4.012,4.012,24.839,12.080,73.640
0.028,5.118,4.012,4.012,25.075,12.046,73.638
0.029,5.357,4.000,4.000,25.312,12.022,73.619
0.031,5.596,3.976,3.976,25.548,12.011,73.585
0.033,5.835,3.945,3.945,25.782,12.016,73.539
0.034,6.072,3.912,3.912,26.011,12.040,73.481
0.036,6.308,3.883,3.883,26.233,12.084,73.416
0.037,6.542,3.866,3.866,26.449,12.146,73.349
0.039,6.772,3.866,3.866,26.657,12.221,73.282
0.040,6.998,3.889,3.889,26.857,12.306,73.223
0.042,7.216,3.941,3.941,27.049,12.396,73.176
0.043,7.424,4.015,4.015,27.234,12.487,73.145
0.045,7.621,4.100,4.100,27.410,12.576,73.136
0.046,7.808,4.188,4.188,27.577,12.659,73.153
0.048,7.989,4.267,4.267,27.735,12.731,73.201
0.050,8.170,4.328,4.328,27.884,12.788,73.286
0.051,8.362,4.360,4.360,28.023,12.828,73.413
0.053,8.576,4.363,4.363,28.153,12.846,73.582
0.054,8.816,4.343,4.343,28.275,12.846,73.788
0.056,9.079,4.309,4.309,28.389,12.828,74.026
0.057,9.363,4.271,4.271,28.498,12.796,74.286
0.059,9.663,4.238,4.238,28.602,12.752,74.563
0.060,9.971,4.217,4.217,28.702,12.697,74.849
0.062,10.282,4.218,4.218,28.801,12.634,75.138
0.063,10.591,4.238,4.238,28.898,12.566,75.422
0.065,10.889,4.273,4.273,28.996,12.494,75.695
0.067,11.172,4.319,4.319,29.096,12.421,75.950
0.068,11.433,4.371,4.371,29.198,12.349,76.179
0.070,11.669,4.425,4.425,29.304,12.280,76.378
0.071,11.882,4.477,4.477,29.411,12.213,76.549
0.073,12.072,4.524,4.524,29.518,12.150,76.693
0.074,12.242,4.565,4.565,29.623,12.091,76.813
0.076,12.393,4.600,4.600,29.724,12.036,76.911
0.077,12.526,4.631,4.631,29.819,11.985,76.988
0.079,12.642,4.657,4.657,29.907,11.938,77.048
0.080,12.741,4.678,4.678,29.985,11.896,77.091
0.082,12.823,4.695,4.695,30.052,11.859,77.120
0.084,12.888,4.708,4.708,30.107,11.827,77.137
0.085,12.936,4.718,4.718,30.146,11.800,77.144
0.087,12.968,4.726,4.726,30.170,11.779,77.144
0.088,12.988,4.733,4.733,30.181,11.763,77.138
0.090,13.002,4.740,4.740,30.184,11.753,77.129
0.091,13.013,4.748,4.748,30.180,11.747,77.120
0.093,13.023,4.757,4.757,30.174,11.745,77.114
0.094,13.030,4.768,4.768,30.167,11.748,77.112
0.096,13.039,4.778,4.778,30.164,11.754,77.118
0.098,13.058,4.788,4.788,30.167,11.765,77.133
0.099,13.091,4.798,4.798,30.180,11.778,77.161
0.101,13.144,4.806,4.806,30.206,11.794,77.204
0.102,13.219,4.812,4.812,30.247,11.813,77.264
0.104,13.319,4.818,4.819,30.305,11.835,77.343
0.105,13.442,4.827,4.827,30.380,11.859,77.437
0.107,13.585,4.840,4.840,30.470,11.885,77.545
0.108,13.746,4.859,4.859,30.572,11.913,77.665
0.110,13.921,4.888,4.888,30.688,11.942,77.795
0.111,14.109,4.929,4.929,30.813,11.973,77.931
0.113,14.307,4.983,4.983,30.948,12.006,78.071
0.115,14.512,5.047,5.047,31.092,12.039,78.214
0.116,14.722,5.119,5.119,31.241,12.074,78.358
0.118,14.934,5.196,5.196,31.396,12.109,78.498
0.119,15.147,5.275,5.275,31.555,12.144,78.635
0.121,15.357,5.354,5.354,31.717,12.180,78.765
0.122,15.564,5.430,5.430,31.879,12.215,78.889
0.124,15.766,5.503,5.503,32.039,12.249,79.007
0.125,15.962,5.571,5.571,32.197,12.281,79.119
0.127,16.150,5.635,5.636,32.349,12.310,79.225
0.128,16.328,5.696,5.696,32.495,12.335,79.324
0.130,16.495,5.753,5.753,32.632,12.357,79.417
0.132,16.650,5.806,5.806,32.759,12.373,79.504
0.133,16.790,5.855,5.855,32.873,12.384,79.585
0.135,16.915,5.900,5.899,32.974,12.388,79.659
0.136,17.023,5.940,5.939,33.058,12.386,79.727
0.138,17.116,5.975,5.975,33.126,12.376,79.788
0.139,17.196,6.005,6.005,33.181,12.360,79.845
0.141,17.266,6.029,6.029,33.223,12.340,79.897
0.142,17.329,6.047,6.048,33.255,12.315,79.945
0.144,17.388,6.061,6.062,33.280,12.287,79.991
0.146,17.444,6.071,6.073,33.299,12.258,80.034
0.147,17.498,6.080,6.082,33.314,12.227,80.077
0.149,17.552,6.090,6.092,33.327,12.197,80.120
0.150,17.606,6.103,6.105,33.341,12.168,80.163
0.152,17.661,6.121,6.121,33.358,12.141,80.207
