"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,3.127,3.127,77.429,-50.023,-2.325
0.001,0.133,3.173,3.173,77.329,-49.991,-2.407
0.003,0.265,3.218,3.218,77.230,-49.959,-2.488
0.004,0.393,3.262,3.262,77.133,-49.928,-2.566
0.006,0.517,3.306,3.306,77.040,-49.897,-2.641
0.007,0.634,3.348,3.348,76.951,-49.867,-2.712
0.009,0.743,3.389,3.389,76.867,-49.838,-2.776
0.010,0.843,3.428,3.428,76.791,-49.811,-2.834
0.011,0.932,3.465,3.465,76.722,-49.785,-2.884
0.013,1.009,3.499,3.499,76.662,-49.760,-2.924
0.014,1.071,3.529,3.529,76.612,-49.738,-2.955
0.016,1.119,3.555,3.555,76.573,-49.717,-2.974
0.017,1.152,3.574,3.574,76.546,-49.699,-2.980
0.019,1.175,3.588,3.588,76.530,-49.683,-2.975
0.020,1.196,3.595,3.595,76.523,-49.669,-2.962
0.021,1.218,3.594,3.594,76.521,-49.657,-2.943
0.023,1.240,3.587,3.587,76.522,-49.648,-2.922
0.024,1.262,3.578,3.578,76.522,-49.641,-2.903
0.026,1.278,3.570,3.570,76.520,-49.636,-2.887
0.027,1.291,3.566,3.566,76.512,-49.632,-2.878
0.029,1.308,3.569,3.569,76.495,-49.631,-2.879
0.030,1.339,3.581,3.581,76.467,-49.632,-2.894
0.032,1.392,3.605,3.605,76.424,-49.634,-2.924
0.033,1.469,3.641,3.641,76.365,-49.638,-2.974
0.034,1.575,3.687,3.687,76.287,-49.644,-3.045
0.036,1.704,3.741,3.741,76.193,-49.651,-3.134
0.037,1.853,3.800,3.800,76.086,-49.659,-3.236
0.039,2.016,3.863,3.863,75.970,-49.669,-3.350
0.040,2.188,3.928,3.928,75.847,-49.679,-3.470
0.042,2.365,3.993,3.993,75.720,-49.690,-3.593
0.043,2.541,4.057,4.057,75.594,-49.701,-3.716
0.044,2.712,4.117,4.117,75.471,-49.712,-3.834
0.046,2.874,4.172,4.172,75.354,-49.723,-3.945
0.047,3.020,4.220,4.220,75.246,-49.734,-4.043
