"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.022,2.022,-39.469,116.948,162.663
0.001,0.145,2.025,2.025,-39.525,117.024,162.773
0.003,0.289,2.030,2.030,-39.580,117.100,162.882
0.004,0.431,2.037,2.037,-39.632,117.179,162.989
0.005,0.572,2.049,2.049,-39.681,117.260,163.093
0.006,0.710,2.065,2.065,-39.724,117.345,163.193
0.008,0.846,2.088,2.088,-39.761,117.435,163.288
0.009,0.980,2.118,2.118,-39.790,117.531,163.377
0.010,1.113,2.157,2.157,-39.810,117.633,163.459
0.011,1.246,2.207,2.207,-39.820,117.743,163.533
0.013,1.381,2.267,2.267,-39.819,117.861,163.599
0.014,1.521,2.338,2.338,-39.804,117.989,163.655
0.015,1.669,2.420,2.420,-39.776,118.128,163.700
0.016,1.829,2.515,2.515,-39.733,118.277,163.733
0.018,2.001,2.622,2.622,-39.673,118.437,163.755
0.019,2.184,2.742,2.742,-39.599,118.604,163.769
0.020,2.377,2.874,2.874,-39.511,118.776,163.778
0.022,2.577,3.020,3.020,-39.410,118.948,163.784
0.023,2.782,3.172,3.172,-39.297,119.118,163.790
0.024,2.989,3.325,3.325,-39.172,119.284,163.800
0.025,3.198,3.473,3.473,-39.036,119.441,163.815
0.027,3.406,3.609,3.609,-38.889,119.587,163.839
0.028,3.612,3.728,3.728,-38.734,119.718,163.875
0.029,3.818,3.823,3.823,-38.571,119.833,163.924
0.030,4.024,3.888,3.888,-38.399,119.926,163.991
0.032,4.234,3.921,3.921,-38.221,119.996,164.078
0.033,4.452,3.927,3.927,-38.037,120.041,164.186
0.034,4.681,3.913,3.913,-37.849,120.061,164.313
0.036,4.919,3.888,3.888,-37.658,120.061,164.457
0.037,5.167,3.858,3.858,-37.467,120.042,164.612
0.038,5.421,3.832,3.832,-37.276,120.008,164.777
0.039,5.678,3.817,3.817,-37.089,119.961,164.947
0.041,5.935,3.819,3.819,-36.906,119.904,165.119
0.042,6.189,3.845,3.845,-36.730,119.841,165.290
0.043,6.434,3.889,3.889,-36.562,119.773,165.456
0.044,6.668,3.947,3.947,-36.404,119.705,165.613
0.046,6.885,4.013,4.013,-36.258,119.637,165.759
0.047,7.081,4.083,4.083,-36.126,119.575,165.890
0.048,7.252,4.151,4.151,-36.009,119.520,166.002
0.049,7.397,4.213,4.213,-35.908,119.473,166.094
0.051,7.518,4.263,4.263,-35.822,119.433,166.170
0.052,7.619,4.298,4.298,-35.749,119.401,166.231
0.053,7.701,4.320,4.320,-35.688,119.375,166.280
0.055,7.767,4.332,4.332,-35.638,119.355,166.318
0.056,7.820,4.336,4.336,-35.597,119.339,166.349
0.057,7.862,4.334,4.334,-35.566,119.327,166.374
0.058,7.897,4.328,4.328,-35.541,119.319,166.397
0.060,7.926,4.321,4.321,-35.522,119.314,166.418
0.061,7.953,4.315,4.315,-35.509,119.310,166.442
0.062,7.982,4.312,4.312,-35.498,119.307,166.469
0.063,8.017,4.311,4.311,-35.490,119.305,166.502
0.065,8.059,4.313,4.313,-35.484,119.302,166.543
0.066,8.108,4.318,4.318,-35.478,119.300,166.592
0.067,8.163,4.324,4.324,-35.472,119.297,166.647
0.069,8.222,4.333,4.333,-35.467,119.294,166.706
0.070,8.285,4.343,4.343,-35.462,119.291,166.768
0.071,8.349,4.355,4.355,-35.456,119.289,166.833
0.072,8.414,4.368,4.368,-35.449,119.286,166.897
0.074,8.478,4.381,4.381,-35.441,119.285,166.960
0.075,8.540,4.394,4.394,-35.432,119.283,167.022
0.076,8.598,4.406,4.406,-35.421,119.283,167.079
0.077,8.652,4.415,4.415,-35.407,119.283,167.131
0.079,8.700,4.422,4.422,-35.392,119.284,167.176
0.080,8.742,4.426,4.426,-35.374,119.286,167.214
0.081,8.778,4.424,4.424,-35.353,119.289,167.243
0.082,8.809,4.419,4.419,-35.331,119.292,167.265
0.084,8.837,4.410,4.410,-35.307,119.296,167.279
0.085,8.862,4.399,4.399,-35.283,119.299,167.286
0.086,8.885,4.388,4.388,-35.260,119.302,167.288
0.088,8.907,4.377,4.377,-35.238,119.304,167.284
0.089,8.929,4.369,4.369,-35.218,119.305,167.276
0.090,8.950,4.364,4.364,-35.201,119.304,167.263
0.091,8.972,4.364,4.364,-35.188,119.301,167.247
0.093,8.993,4.370,4.370,-35.179,119.296,167.228
0.094,9.016,4.380,4.380,-35.174,119.289,167.207
0.095,9.042,4.392,4.392,-35.176,119.278,167.184
0.096,9.070,4.406,4.406,-35.184,119.265,167.160
0.098,9.101,4.420,4.420,-35.195,119.249,167.136
0.099,9.133,4.433,4.433,-35.206,119.232,167.111
0.100,9.163,4.444,4.444,-35.216,119.216,167.088
0.102,9.190,4.451,4.451,-35.219,119.201,167.065
0.103,9.215,4.454,4.454,-35.213,119.189,167.045
0.104,9.241,4.453,4.453,-35.195,119.180,167.028
0.105,9.277,4.449,4.449,-35.163,119.178,167.013
0.107,9.329,4.441,4.441,-35.111,119.181,167.003
0.108,9.403,4.431,4.431,-35.039,119.193,166.996
0.109,9.502,4.419,4.419,-34.941,119.213,166.995
0.110,9.631,4.405,4.405,-34.816,119.244,167.000
0.112,9.793,4.389,4.389,-34.661,119.286,167.010
