"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.905,2.905,219.705,14.008,469.752
0.001,0.117,2.962,2.962,219.798,13.980,469.687
0.003,0.233,3.020,3.020,219.890,13.952,469.622
0.004,0.346,3.076,3.076,219.979,13.925,469.558
0.006,0.455,3.131,3.131,220.063,13.900,469.494
0.007,0.558,3.184,3.184,220.143,13.876,469.432
0.008,0.656,3.236,3.236,220.215,13.854,469.371
0.010,0.745,3.285,3.285,220.280,13.835,469.312
0.011,0.826,3.331,3.331,220.335,13.819,469.254
0.013,0.898,3.375,3.375,220.379,13.807,469.199
0.014,0.960,3.417,3.417,220.411,13.798,469.146
0.015,1.014,3.456,3.456,220.430,13.794,469.097
0.017,1.061,3.494,3.494,220.434,13.794,469.050
0.018,1.107,3.531,3.531,220.425,13.796,469.005
0.020,1.156,3.567,3.567,220.402,13.800,468.961
0.021,1.212,3.602,3.602,220.366,13.803,468.918
0.022,1.277,3.637,3.637,220.317,13.804,468.876
0.024,1.351,3.672,3.672,220.257,13.801,468.832
0.025,1.436,3.709,3.709,220.185,13.793,468.788
0.027,1.533,3.746,3.746,220.101,13.779,468.741
0.028,1.641,3.786,3.786,220.007,13.757,468.692
0.029,1.762,3.828,3.828,219.903,13.725,468.640
0.031,1.896,3.872,3.872,219.789,13.682,468.584
0.032,2.042,3.920,3.920,219.667,13.628,468.524
0.034,2.196,3.969,3.969,219.540,13.567,468.462
0.035,2.355,4.019,4.019,219.410,13.500,468.399
0.036,2.516,4.068,4.068,219.281,13.430,468.335
0.038,2.674,4.115,4.115,219.155,13.360,468.272
0.039,2.825,4.160,4.160,219.034,13.290,468.210
0.041,2.968,4.201,4.201,218.922,13.225,468.152
0.042,3.097,4.237,4.237,218.822,13.166,468.097
0.043,3.209,4.268,4.268,218.735,13.115,468.047
0.045,3.301,4.296,4.296,218.665,13.075,468.003
0.046,3.370,4.320,4.320,218.614,13.048,467.965
0.048,3.420,4.341,4.341,218.579,13.032,467.933
0.049,3.454,4.360,4.360,218.559,13.026,467.906
0.050,3.478,4.377,4.377,218.551,13.026,467.883
0.052,3.499,4.392,4.392,218.551,13.032,467.863
0.053,3.521,4.406,4.406,218.559,13.041,467.845
0.055,3.544,4.419,4.419,218.570,13.052,467.828
0.056,3.568,4.433,4.433,218.582,13.062,467.810
0.057,3.591,4.447,4.447,218.593,13.069,467.791
0.059,3.613,4.462,4.462,218.599,13.072,467.770
0.060,3.638,4.479,4.479,218.599,13.068,467.745
0.062,3.670,4.498,4.498,218.592,13.056,467.717
0.063,3.708,4.519,4.519,218.578,13.039,467.686
0.064,3.752,4.540,4.540,218.558,13.017,467.652
0.066,3.801,4.563,4.563,218.535,12.992,467.617
0.067,3.851,4.584,4.584,218.510,12.966,467.582
0.069,3.902,4.605,4.605,218.484,12.940,467.547
0.070,3.951,4.624,4.624,218.459,12.916,467.513
0.071,3.996,4.640,4.640,218.436,12.895,467.481
0.073,4.034,4.654,4.654,218.416,12.879,467.452
0.074,4.065,4.665,4.665,218.402,12.870,467.425
0.076,4.089,4.675,4.675,218.394,12.869,467.404
0.077,4.108,4.684,4.684,218.392,12.875,467.385
0.078,4.130,4.694,4.694,218.397,12.889,467.370
0.080,4.157,4.703,4.703,218.408,12.909,467.356
0.081,4.190,4.714,4.714,218.425,12.935,467.342
0.083,4.231,4.728,4.728,218.447,12.966,467.327
0.084,4.278,4.743,4.743,218.474,13.000,467.311
0.085,4.330,4.761,4.761,218.506,13.037,467.291
0.087,4.389,4.783,4.783,218.542,13.076,467.266
0.088,4.453,4.808,4.808,218.582,13.117,467.237
0.090,4.523,4.838,4.838,218.625,13.158,467.200
0.091,4.599,4.872,4.872,218.672,13.199,467.156
0.092,4.680,4.911,4.911,218.721,13.239,467.105
0.094,4.765,4.953,4.953,218.772,13.278,467.050
0.095,4.853,4.997,4.997,218.824,13.317,466.991
0.097,4.941,5.039,5.039,218.876,13.354,466.929
0.098,5.030,5.079,5.079,218.927,13.391,466.868
0.099,5.116,5.113,5.113,218.978,13.426,466.807
0.101,5.199,5.140,5.140,219.026,13.460,466.749
0.102,5.277,5.159,5.159,219.072,13.493,466.695
0.103,5.349,5.169,5.169,219.114,13.524,466.646
0.105,5.413,5.173,5.173,219.152,13.553,466.604
0.106,5.468,5.174,5.174,219.186,13.581,466.569
0.108,5.517,5.172,5.172,219.216,13.607,466.542
0.109,5.561,5.170,5.170,219.244,13.632,466.520
0.110,5.600,5.170,5.170,219.271,13.655,466.503
0.112,5.637,5.175,5.175,219.298,13.677,466.490
0.113,5.673,5.183,5.183,219.326,13.698,466.480
0.115,5.710,5.196,5.196,219.357,13.717,466.473
0.116,5.749,5.211,5.211,219.390,13.735,466.466
0.117,5.790,5.230,5.230,219.428,13.753,466.460
0.119,5.837,5.250,5.250,219.471,13.769,466.454
0.120,5.890,5.272,5.272,219.521,13.784,466.446
0.122,5.948,5.295,5.295,219.576,13.799,466.436
0.123,6.010,5.319,5.319,219.635,13.816,466.424
0.124,6.075,5.342,5.342,219.696,13.834,466.410
0.126,6.142,5.365,5.365,219.756,13.855,466.394
0.127,6.208,5.387,5.387,219.815,13.881,466.375
0.129,6.274,5.407,5.407,219.869,13.912,466.353
0.130,6.340,5.426,5.426,219.917,13.949,466.329
0.131,6.406,5.442,5.442,219.958,13.994,466.301
0.133,6.474,5.457,5.457,219.988,14.047,466.271
0.134,6.548,5.468,5.468,220.006,14.110,466.237
0.136,6.631,5.476,5.476,220.011,14.184,466.200
0.137,6.722,5.481,5.481,220.004,14.266,466.160
0.138,6.822,5.483,5.483,219.989,14.355,466.118
0.140,6.929,5.482,5.482,219.968,14.450,466.074
0.141,7.040,5.477,5.477,219.943,14.548,466.029
0.143,7.152,5.468,5.468,219.917,14.647,465.982
0.144,7.264,5.457,5.457,219.893,14.746,465.936
0.145,7.372,5.446,5.446,219.874,14.842,465.890
0.147,7.475,5.436,5.436,219.862,14.934,465.844
0.148,7.572,5.429,5.429,219.861,15.019,465.800
0.150,7.660,5.428,5.428,219.871,15.096,465.757
0.151,7.743,5.434,5.434,219.896,15.164,465.716
0.152,7.823,5.449,5.449,219.932,15.224,465.677
0.154,7.902,5.471,5.471,219.977,15.277,465.640
0.155,7.982,5.499,5.499,220.029,15.324,465.603
0.157,8.061,5.531,5.531,220.086,15.366,465.567
0.158,8.141,5.563,5.563,220.146,15.405,465.531
0.159,8.220,5.595,5.595,220.205,15.442,465.495
0.161,8.297,5.623,5.623,220.263,15.477,465.458
0.162,8.371,5.645,5.645,220.316,15.513,465.420
0.164,8.441,5.661,5.661,220.362,15.549,465.382
0.165,8.508,5.672,5.672,220.399,15.588,465.341
0.166,8.573,5.677,5.677,220.428,15.628,465.300
0.168,8.636,5.679,5.679,220.449,15.669,465.257
0.169,8.697,5.678,5.678,220.463,15.709,465.213
0.171,8.755,5.676,5.676,220.474,15.746,465.169
0.172,8.810,5.673,5.673,220.480,15.778,465.125
0.173,8.861,5.669,5.669,220.486,15.805,465.082
0.175,8.908,5.666,5.666,220.491,15.824,465.040
0.176,8.951,5.661,5.662,220.497,15.834,464.998
0.178,8.991,5.656,5.656,220.506,15.834,464.959
0.179,9.033,5.650,5.650,220.519,15.822,464.921
0.180,9.079,5.642,5.642,220.537,15.798,464.886
0.182,9.132,5.633,5.633,220.558,15.766,464.849
0.183,9.190,5.621,5.621,220.580,15.733,464.808
0.185,9.250,5.606,5.605,220.600,15.706,464.759
0.186,9.315,5.584,5.584,220.616,15.691,464.697
0.187,9.393,5.555,5.555,220.625,15.694,464.620
0.189,9.493,5.517,5.516,220.625,15.723,464.524
0.190,9.628,5.466,5.466,220.612,15.784,464.404
0.192,9.806,5.403,5.403,220.585,15.882,464.258
0.193,10.038,5.325,5.325,220.541,16.026,464.082
0.194,10.332,5.236,5.236,220.478,16.221,463.871
0.196,10.689,5.142,5.143,220.394,16.469,463.627
0.197,11.098,5.051,5.051,220.293,16.758,463.358
0.199,11.543,4.967,4.968,220.180,17.079,463.070
0.200,12.011,4.898,4.898,220.057,17.421,462.775
0.201,12.488,4.849,4.849,219.928,17.772,462.479
0.203,12.959,4.827,4.827,219.798,18.122,462.191
0.204,13.411,4.831,4.830,219.670,18.459,461.920
0.206,13.828,4.855,4.853,219.548,18.774,461.675
0.207,14.197,4.892,4.890,219.435,19.055,461.464
0.208,14.503,4.937,4.934,219.336,19.291,461.296
0.210,14.735,4.983,4.980,219.253,19.472,461.178
0.211,14.892,5.023,5.022,219.189,19.598,461.108
0.213,14.990,5.052,5.053,219.141,19.677,461.077
