"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.309,2.309,312.309,333.162,324.964
0.001,0.257,2.402,2.402,312.224,333.149,324.721
0.003,0.514,2.495,2.495,312.139,333.137,324.480
0.004,0.767,2.588,2.588,312.053,333.128,324.241
0.006,1.017,2.680,2.680,311.967,333.122,324.007
0.007,1.262,2.772,2.772,311.879,333.122,323.778
0.009,1.501,2.864,2.864,311.790,333.127,323.556
0.010,1.733,2.954,2.954,311.700,333.141,323.343
0.012,1.958,3.044,3.044,311.608,333.162,323.139
0.013,2.175,3.133,3.133,311.514,333.194,322.946
0.015,2.384,3.222,3.222,311.417,333.236,322.766
0.016,2.585,3.312,3.312,311.318,333.292,322.600
0.017,2.779,3.402,3.402,311.217,333.360,322.448
0.019,2.969,3.494,3.494,311.113,333.441,322.313
0.020,3.154,3.586,3.586,311.007,333.534,322.192
0.022,3.335,3.680,3.680,310.902,333.635,322.084
0.023,3.513,3.774,3.774,310.798,333.743,321.990
0.025,3.686,3.864,3.864,310.695,333.855,321.907
0.026,3.854,3.948,3.948,310.596,333.971,321.835
0.028,4.015,4.025,4.025,310.502,334.087,321.774
0.029,4.170,4.093,4.093,310.412,334.201,321.723
0.031,4.315,4.148,4.148,310.329,334.312,321.679
0.032,4.449,4.190,4.190,310.254,334.417,321.644
0.034,4.571,4.221,4.221,310.187,334.515,321.615
0.035,4.679,4.245,4.245,310.130,334.604,321.593
0.036,4.775,4.263,4.263,310.080,334.685,321.576
0.038,4.862,4.278,4.278,310.036,334.758,321.562
0.039,4.942,4.293,4.293,309.996,334.827,321.553
0.041,5.015,4.311,4.311,309.959,334.890,321.546
0.042,5.086,4.334,4.334,309.924,334.951,321.540
0.044,5.155,4.360,4.360,309.887,335.009,321.536
0.045,5.224,4.390,4.390,309.849,335.066,321.531
0.047,5.296,4.422,4.422,309.806,335.124,321.525
0.048,5.372,4.456,4.456,309.758,335.183,321.518
0.050,5.456,4.493,4.493,309.702,335.244,321.508
0.051,5.549,4.530,4.530,309.638,335.310,321.494
0.052,5.651,4.568,4.568,309.564,335.379,321.477
0.054,5.761,4.607,4.607,309.484,335.451,321.458
0.055,5.877,4.648,4.648,309.397,335.526,321.437
0.057,5.999,4.691,4.691,309.304,335.602,321.416
0.058,6.124,4.737,4.737,309.208,335.679,321.394
0.060,6.252,4.786,4.786,309.108,335.756,321.373
0.061,6.381,4.838,4.838,309.007,335.832,321.353
0.063,6.509,4.894,4.894,308.905,335.908,321.336
0.064,6.635,4.952,4.952,308.803,335.981,321.322
0.066,6.758,5.013,5.013,308.703,336.052,321.312
0.067,6.877,5.075,5.075,308.606,336.120,321.307
0.069,6.990,5.138,5.138,308.512,336.184,321.307
0.070,7.098,5.201,5.201,308.423,336.244,321.310
0.071,7.199,5.264,5.264,308.339,336.301,321.315
0.073,7.294,5.326,5.326,308.261,336.355,321.320
0.074,7.381,5.382,5.382,308.190,336.405,321.324
0.076,7.461,5.432,5.432,308.127,336.453,321.326
0.077,7.532,5.473,5.473,308.072,336.498,321.324
0.079,7.595,5.502,5.502,308.026,336.541,321.315
0.080,7.651,5.516,5.516,307.990,336.581,321.300
0.082,7.702,5.513,5.513,307.965,336.619,321.276
0.083,7.754,5.496,5.496,307.952,336.655,321.242
0.085,7.811,5.468,5.468,307.950,336.689,321.196
0.086,7.877,5.434,5.434,307.960,336.724,321.141
0.087,7.952,5.400,5.400,307.980,336.761,321.079
0.089,8.035,5.369,5.369,308.008,336.804,321.013
0.090,8.125,5.347,5.347,308.043,336.853,320.946
0.092,8.221,5.339,5.339,308.083,336.912,320.882
0.093,8.324,5.343,5.343,308.127,336.983,320.822
0.095,8.435,5.355,5.355,308.174,337.068,320.770
0.096,8.554,5.370,5.370,308.222,337.170,320.728
0.098,8.687,5.386,5.386,308.269,337.291,320.700
0.099,8.837,5.396,5.396,308.314,337.433,320.689
0.101,9.008,5.396,5.396,308.357,337.599,320.696
0.102,9.204,5.384,5.384,308.395,337.789,320.724
0.103,9.421,5.360,5.360,308.428,337.999,320.767
0.105,9.656,5.328,5.328,308.457,338.226,320.823
0.106,9.907,5.294,5.294,308.482,338.467,320.887
0.108,10.169,5.261,5.261,308.503,338.719,320.958
0.109,10.439,5.235,5.235,308.518,338.977,321.030
0.111,10.711,5.220,5.220,308.529,339.240,321.101
0.112,10.983,5.219,5.219,308.536,339.504,321.166
0.114,11.250,5.231,5.231,308.537,339.765,321.223
0.115,11.509,5.254,5.254,308.534,340.020,321.268
0.117,11.756,5.282,5.282,308.526,340.266,321.297
0.118,11.991,5.313,5.313,308.513,340.499,321.308
0.120,12.213,5.342,5.342,308.495,340.720,321.302
0.121,12.423,5.367,5.367,308.475,340.929,321.280
0.122,12.623,5.384,5.384,308.451,341.125,321.245
0.124,12.814,5.392,5.392,308.425,341.308,321.199
0.125,12.995,5.394,5.394,308.397,341.478,321.144
0.127,13.167,5.389,5.389,308.369,341.636,321.081
0.128,13.329,5.381,5.381,308.341,341.780,321.014
0.130,13.481,5.369,5.369,308.314,341.913,320.943
0.131,13.623,5.355,5.355,308.288,342.032,320.872
0.133,13.753,5.341,5.341,308.265,342.139,320.802
0.134,13.870,5.326,5.326,308.244,342.233,320.735
0.136,13.976,5.313,5.313,308.226,342.316,320.671
0.137,14.074,5.301,5.301,308.209,342.390,320.610
