"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,3.735,3.735,216.178,183.922,178.499
0.001,0.113,3.726,3.726,216.195,184.014,178.562
0.003,0.225,3.717,3.717,216.212,184.106,178.625
0.004,0.338,3.709,3.709,216.233,184.197,178.687
0.005,0.450,3.701,3.701,216.257,184.289,178.748
0.007,0.563,3.693,3.693,216.287,184.379,178.809
0.008,0.677,3.686,3.686,216.324,184.469,178.868
0.009,0.792,3.679,3.679,216.369,184.558,178.926
0.011,0.910,3.672,3.672,216.424,184.646,178.982
0.012,1.031,3.667,3.667,216.489,184.733,179.036
0.013,1.158,3.664,3.664,216.567,184.818,179.088
0.015,1.292,3.663,3.663,216.659,184.902,179.138
0.016,1.435,3.665,3.665,216.765,184.985,179.185
0.017,1.588,3.672,3.672,216.888,185.065,179.229
0.019,1.752,3.684,3.684,217.026,185.144,179.270
0.020,1.924,3.702,3.702,217.175,185.220,179.308
0.021,2.101,3.726,3.726,217.332,185.294,179.343
0.023,2.280,3.755,3.755,217.494,185.364,179.375
0.024,2.459,3.789,3.789,217.658,185.430,179.404
0.025,2.634,3.824,3.824,217.819,185.493,179.430
0.027,2.803,3.858,3.858,217.976,185.550,179.453
0.028,2.962,3.891,3.891,218.125,185.603,179.472
0.029,3.108,3.919,3.919,218.262,185.651,179.489
0.031,3.237,3.942,3.942,218.383,185.692,179.503
0.032,3.347,3.958,3.958,218.487,185.728,179.514
0.033,3.435,3.968,3.968,218.569,185.757,179.521
0.035,3.499,3.973,3.973,218.629,185.779,179.526
0.036,3.541,3.974,3.974,218.669,185.795,179.528
0.037,3.566,3.973,3.973,218.691,185.805,179.529
0.039,3.576,3.971,3.971,218.699,185.811,179.527
0.040,3.580,3.969,3.969,218.695,185.812,179.524
0.041,3.593,3.968,3.968,218.683,185.809,179.521
0.042,3.613,3.969,3.969,218.665,185.803,179.517
0.044,3.636,3.971,3.971,218.644,185.794,179.514
0.045,3.660,3.974,3.974,218.623,185.783,179.511
0.046,3.683,3.978,3.978,218.604,185.770,179.509
0.048,3.702,3.982,3.982,218.591,185.756,179.508
0.049,3.717,3.986,3.986,218.586,185.742,179.510
0.050,3.733,3.990,3.990,218.592,185.728,179.513
0.052,3.755,3.993,3.993,218.608,185.714,179.518
0.053,3.783,3.996,3.996,218.632,185.699,179.522
0.054,3.819,3.996,3.996,218.664,185.685,179.525
0.056,3.859,3.994,3.994,218.702,185.670,179.525
0.057,3.905,3.990,3.990,218.745,185.654,179.521
0.058,3.955,3.981,3.981,218.791,185.638,179.511
0.060,4.009,3.969,3.969,218.839,185.621,179.495
0.061,4.066,3.952,3.952,218.888,185.603,179.470
0.062,4.128,3.931,3.931,218.937,185.585,179.437
0.064,4.196,3.907,3.907,218.984,185.565,179.392
0.065,4.270,3.884,3.884,219.028,185.544,179.335
0.066,4.354,3.864,3.864,219.067,185.522,179.266
0.068,4.445,3.848,3.848,219.103,185.499,179.185
0.069,4.542,3.839,3.839,219.138,185.475,179.098
0.070,4.642,3.840,3.840,219.175,185.451,179.008
0.072,4.741,3.852,3.852,219.215,185.429,178.920
0.073,4.838,3.873,3.873,219.262,185.407,178.838
0.074,4.930,3.898,3.898,219.318,185.388,178.768
0.076,5.019,3.924,3.924,219.385,185.371,178.712
0.077,5.109,3.945,3.945,219.466,185.357,178.675
0.078,5.208,3.958,3.958,219.563,185.347,178.662
0.080,5.325,3.959,3.959,219.679,185.341,178.678
0.081,5.470,3.942,3.942,219.816,185.339,178.726
0.082,5.651,3.906,3.906,219.977,185.344,178.810
0.084,5.873,3.858,3.858,220.161,185.354,178.932
0.085,6.130,3.802,3.802,220.366,185.368,179.088
0.086,6.416,3.747,3.747,220.585,185.388,179.271
0.088,6.726,3.698,3.698,220.816,185.410,179.476
0.089,7.051,3.662,3.662,221.053,185.436,179.698
0.090,7.387,3.647,3.647,221.292,185.464,179.931
0.092,7.725,3.657,3.657,221.529,185.494,180.171
0.093,8.059,3.694,3.694,221.759,185.525,180.410
0.094,8.382,3.751,3.751,221.978,185.556,180.645
0.096,8.687,3.823,3.823,222.182,185.587,180.870
0.097,8.967,3.904,3.904,222.366,185.617,181.079
0.098,9.215,3.988,3.988,222.526,185.645,181.267
0.100,9.426,4.071,4.071,222.658,185.671,181.430
0.101,9.602,4.145,4.145,222.765,185.694,181.568
0.102,9.746,4.207,4.207,222.848,185.715,181.683
0.104,9.862,4.257,4.257,222.912,185.733,181.779
0.105,9.955,4.295,4.295,222.959,185.749,181.857
0.106,10.027,4.325,4.325,222.992,185.762,181.919
0.108,10.083,4.347,4.347,223.016,185.772,181.969
0.109,10.126,4.364,4.364,223.032,185.780,182.008
0.110,10.160,4.376,4.376,223.044,185.784,182.039
0.112,10.187,4.386,4.387,223.055,185.786,182.064
0.113,10.212,4.396,4.396,223.068,185.784,182.086
0.114,10.240,4.404,4.404,223.087,185.779,182.106
0.116,10.276,4.413,4.413,223.114,185.772,182.127
0.117,10.320,4.423,4.423,223.150,185.761,182.151
0.118,10.373,4.435,4.435,223.195,185.747,182.176
0.120,10.434,4.448,4.448,223.246,185.730,182.203
0.121,10.502,4.464,4.464,223.305,185.711,182.233
0.122,10.576,4.483,4.483,223.368,185.689,182.264
0.124,10.656,4.505,4.505,223.437,185.666,182.298
0.125,10.740,4.530,4.530,223.508,185.640,182.333
0.126,10.827,4.557,4.557,223.583,185.613,182.371
0.127,10.918,4.585,4.585,223.659,185.584,182.410
0.129,11.010,4.615,4.615,223.736,185.554,182.451
0.130,11.104,4.646,4.646,223.813,185.522,182.495
0.131,11.198,4.677,4.677,223.889,185.490,182.540
0.133,11.292,4.708,4.708,223.963,185.457,182.586
0.134,11.384,4.738,4.738,224.034,185.424,182.634
0.135,11.473,4.767,4.767,224.103,185.391,182.682
0.137,11.560,4.794,4.795,224.167,185.359,182.729
0.138,11.642,4.820,4.820,224.228,185.328,182.776
0.139,11.719,4.843,4.843,224.284,185.299,182.820
0.141,11.790,4.862,4.862,224.335,185.273,182.861
0.142,11.853,4.879,4.879,224.380,185.249,182.899
0.143,11.908,4.891,4.891,224.419,185.229,182.932
0.145,11.953,4.901,4.901,224.450,185.213,182.961
0.146,11.989,4.907,4.907,224.475,185.201,182.983
0.147,12.013,4.912,4.912,224.491,185.194,182.999
0.149,12.025,4.915,4.915,224.499,185.192,183.009
0.150,12.029,4.916,4.916,224.500,185.195,183.012
0.151,12.036,4.917,4.917,224.496,185.201,183.010
0.153,12.048,4.917,4.917,224.488,185.208,183.005
0.154,12.061,4.917,4.918,224.479,185.216,182.998
0.155,12.074,4.917,4.918,224.471,185.223,182.991
0.157,12.085,4.918,4.918,224.465,185.227,182.985
0.158,12.089,4.918,4.919,224.463,185.229,182.981
0.159,12.094,4.919,4.920,224.466,185.225,182.981
0.161,12.110,4.921,4.921,224.478,185.216,182.986
0.162,12.140,4.923,4.923,224.499,185.199,182.997
0.163,12.186,4.927,4.926,224.532,185.173,183.016
0.165,12.250,4.933,4.931,224.578,185.138,183.045
0.166,12.334,4.941,4.940,224.637,185.092,183.083
0.167,12.435,4.954,4.952,224.708,185.037,183.129
0.169,12.550,4.972,4.970,224.787,184.974,183.184
0.170,12.677,4.996,4.995,224.874,184.904,183.245
0.171,12.815,5.027,5.026,224.966,184.826,183.313
0.173,12.961,5.065,5.066,225.061,184.744,183.385
0.174,13.112,5.110,5.113,225.157,184.656,183.462
0.175,13.268,5.160,5.166,225.253,184.564,183.543
0.177,13.425,5.212,5.220,225.347,184.469,183.626
0.178,13.582,5.264,5.276,225.436,184.372,183.712
0.179,13.737,5.315,5.329,225.519,184.273,183.798
0.181,13.888,5.361,5.379,225.593,184.174,183.885
0.182,14.034,5.402,5.423,225.658,184.075,183.971
0.183,14.176,5.435,5.458,225.714,183.977,184.057
0.185,14.315,5.462,5.487,225.762,183.879,184.142
0.186,14.450,5.485,5.511,225.804,183.783,184.227
0.187,14.583,5.504,5.532,225.841,183.688,184.313
0.189,14.712,5.522,5.549,225.873,183.596,184.398
0.190,14.840,5.541,5.566,225.901,183.506,184.484
0.191,14.965,5.561,5.584,225.928,183.419,184.569
0.193,15.088,5.585,5.603,225.953,183.334,184.655
0.194,15.208,5.612,5.625,225.977,183.254,184.742
0.195,15.327,5.642,5.650,226.002,183.177,184.828
0.197,15.444,5.673,5.676,226.029,183.104,184.916
0.198,15.559,5.705,5.704,226.059,183.036,185.004
0.199,15.672,5.736,5.732,226.091,182.973,185.092
0.201,15.784,5.765,5.762,226.125,182.914,185.180
0.202,15.893,5.791,5.792,226.160,182.860,185.269
0.203,16.000,5.814,5.821,226.196,182.810,185.356
0.205,16.104,5.832,5.851,226.232,182.765,185.443
0.206,16.206,5.847,5.879,226.268,182.724,185.528
0.207,16.303,5.861,5.906,226.302,182.688,185.612
0.208,16.397,5.872,5.930,226.335,182.656,185.694
0.210,16.487,5.882,5.951,226.365,182.628,185.774
0.211,16.572,5.892,5.970,226.393,182.605,185.852
0.212,16.653,5.903,5.984,226.417,182.586,185.926
0.214,16.728,5.914,5.994,226.437,182.572,185.997
0.215,16.800,5.925,6.001,226.453,182.562,186.066
0.216,16.867,5.935,6.004,226.467,182.555,186.132
0.218,16.932,5.945,6.003,226.479,182.551,186.196
0.219,16.996,5.952,6.000,226.491,182.549,186.258
0.220,17.058,5.957,5.995,226.504,182.550,186.319
0.222,17.121,5.960,5.987,226.518,182.552,186.380
0.223,17.184,5.959,5.977,226.535,182.555,186.441
0.224,17.250,5.954,5.966,226.557,182.558,186.503
0.226,17.318,5.947,5.953,226.583,182.562,186.565
0.227,17.390,5.938,5.941,226.616,182.564,186.629
0.228,17.467,5.928,5.928,226.656,182.565,186.696
0.230,17.551,5.917,5.916,226.704,182.565,186.765
0.231,17.643,5.906,5.905,226.761,182.563,186.836
0.232,17.741,5.895,5.896,226.826,182.559,186.910
0.234,17.843,5.886,5.888,226.895,182.553,186.984
0.235,17.947,5.878,5.882,226.968,182.546,187.059
0.236,18.051,5.871,5.876,227.041,182.539,187.132
0.238,18.154,5.863,5.871,227.115,182.531,187.204
0.239,18.253,5.856,5.866,227.185,182.523,187.273
0.240,18.347,5.848,5.860,227.252,182.515,187.338
0.242,18.432,5.840,5.853,227.311,182.507,187.399
0.243,18.508,5.831,5.843,227.363,182.501,187.454
0.244,18.571,5.821,5.833,227.404,182.495,187.502
0.246,18.622,5.811,5.822,227.433,182.491,187.543
0.247,18.658,5.802,5.811,227.448,182.488,187.576
0.248,18.683,5.794,5.801,227.451,182.487,187.600
0.250,18.701,5.790,5.795,227.445,182.487,187.618
0.251,18.718,5.789,5.791,227.432,182.489,187.629
0.252,18.736,5.792,5.792,227.415,182.490,187.634
0.254,18.754,5.800,5.798,227.397,182.492,187.633
0.255,18.771,5.812,5.809,227.381,182.494,187.629
0.256,18.785,5.825,5.821,227.369,182.495,187.620
0.258,18.798,5.836,5.833,227.364,182.496,187.608
0.259,18.813,5.845,5.843,227.370,182.496,187.595
0.260,18.837,5.847,5.849,227.387,182.495,187.579
0.262,18.874,5.842,5.849,227.421,182.492,187.563
0.263,18.928,5.827,5.840,227.472,182.487,187.546
0.264,19.001,5.800,5.823,227.542,182.480,187.529
0.266,19.090,5.762,5.797,227.630,182.471,187.513
0.267,19.196,5.715,5.764,227.734,182.459,187.497
0.268,19.316,5.660,5.724,227.852,182.446,187.481
0.270,19.450,5.599,5.679,227.984,182.431,187.466
0.271,19.596,5.531,5.630,228.128,182.413,187.451
