"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.400,1.400,236.645,219.265,216.723
0.001,0.447,1.674,1.674,236.724,218.825,216.730
0.003,0.890,1.943,1.943,236.803,218.389,216.737
0.004,1.324,2.204,2.204,236.880,217.962,216.745
0.005,1.745,2.452,2.452,236.954,217.548,216.753
0.007,2.148,2.683,2.683,237.026,217.152,216.761
0.008,2.529,2.893,2.893,237.094,216.777,216.770
0.010,2.884,3.077,3.077,237.157,216.428,216.780
0.011,3.207,3.231,3.231,237.215,216.109,216.791
0.012,3.496,3.356,3.356,237.266,215.826,216.803
0.014,3.745,3.456,3.456,237.311,215.581,216.817
0.015,3.951,3.535,3.535,237.348,215.379,216.832
0.016,4.108,3.597,3.597,237.376,215.225,216.848
0.018,4.221,3.646,3.646,237.397,215.116,216.866
0.019,4.294,3.686,3.686,237.412,215.047,216.886
0.021,4.338,3.722,3.722,237.424,215.012,216.909
0.022,4.365,3.755,3.755,237.434,215.004,216.933
0.023,4.398,3.786,3.786,237.444,215.018,216.961
0.025,4.442,3.815,3.815,237.456,215.048,216.991
0.026,4.496,3.843,3.843,237.472,215.087,217.025
0.027,4.558,3.869,3.869,237.494,215.131,217.062
0.029,4.623,3.894,3.894,237.525,215.172,217.102
0.030,4.691,3.919,3.919,237.565,215.205,217.147
0.032,4.765,3.942,3.942,237.617,215.224,217.195
0.033,4.847,3.964,3.964,237.681,215.226,217.247
0.034,4.941,3.987,3.987,237.755,215.212,217.302
0.036,5.044,4.009,4.009,237.837,215.185,217.358
0.037,5.154,4.031,4.031,237.924,215.148,217.415
0.038,5.269,4.054,4.054,238.014,215.103,217.471
0.040,5.385,4.078,4.078,238.103,215.053,217.526
0.041,5.499,4.103,4.103,238.189,215.000,217.577
0.043,5.606,4.129,4.129,238.271,214.946,217.624
0.044,5.705,4.154,4.154,238.344,214.895,217.665
0.045,5.791,4.178,4.178,238.407,214.849,217.700
0.047,5.860,4.200,4.200,238.458,214.809,217.727
0.048,5.910,4.220,4.220,238.493,214.779,217.745
0.049,5.942,4.235,4.235,238.514,214.758,217.756
0.051,5.960,4.245,4.245,238.525,214.744,217.762
0.052,5.969,4.250,4.250,238.527,214.737,217.764
0.054,5.974,4.251,4.251,238.522,214.733,217.766
0.055,5.983,4.248,4.248,238.514,214.733,217.768
0.056,5.994,4.243,4.243,238.505,214.735,217.772
0.058,6.006,4.237,4.237,238.497,214.737,217.782
0.059,6.023,4.230,4.230,238.492,214.738,217.799
0.060,6.049,4.224,4.224,238.494,214.736,217.824
0.062,6.087,4.220,4.220,238.504,214.731,217.860
0.063,6.142,4.216,4.216,238.526,214.720,217.910
0.065,6.214,4.214,4.214,238.559,214.704,217.972
0.066,6.300,4.213,4.213,238.601,214.683,218.044
0.067,6.397,4.211,4.211,238.652,214.659,218.123
0.069,6.503,4.210,4.210,238.708,214.633,218.209
0.070,6.613,4.209,4.209,238.768,214.605,218.297
0.071,6.724,4.206,4.206,238.830,214.577,218.385
0.073,6.834,4.203,4.203,238.892,214.549,218.471
0.074,6.938,4.200,4.200,238.952,214.524,218.552
0.076,7.035,4.196,4.196,239.009,214.501,218.626
0.077,7.119,4.193,4.193,239.060,214.481,218.691
0.078,7.189,4.191,4.191,239.104,214.467,218.743
0.080,7.242,4.190,4.190,239.139,214.458,218.782
0.081,7.280,4.190,4.190,239.166,214.454,218.809
0.082,7.306,4.191,4.191,239.187,214.455,218.824
0.084,7.324,4.194,4.194,239.203,214.459,218.830
0.085,7.338,4.198,4.198,239.214,214.468,218.828
0.087,7.354,4.202,4.202,239.223,214.479,218.819
0.088,7.375,4.206,4.206,239.229,214.493,218.806
0.089,7.398,4.209,4.209,239.235,214.509,218.790
0.091,7.424,4.212,4.212,239.242,214.527,218.772
0.092,7.451,4.214,4.214,239.250,214.546,218.754
0.093,7.479,4.214,4.214,239.261,214.565,218.738
0.095,7.507,4.214,4.214,239.276,214.584,218.724
0.096,7.536,4.213,4.213,239.295,214.603,218.714
0.098,7.566,4.211,4.211,239.319,214.621,218.707
0.099,7.599,4.210,4.210,239.346,214.638,218.703
0.100,7.633,4.209,4.209,239.376,214.655,218.703
0.102,7.671,4.208,4.208,239.410,214.669,218.705
0.103,7.710,4.207,4.207,239.448,214.683,218.711
0.104,7.753,4.206,4.206,239.488,214.694,218.719
0.106,7.798,4.205,4.205,239.531,214.703,218.730
0.107,7.846,4.202,4.202,239.576,214.709,218.744
0.109,7.897,4.198,4.198,239.624,214.713,218.760
0.110,7.950,4.191,4.191,239.674,214.713,218.779
