"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.126,2.126,315.356,315.548,410.519
0.001,0.106,2.156,2.156,315.456,315.516,410.523
0.002,0.211,2.186,2.186,315.556,315.483,410.528
0.003,0.316,2.215,2.215,315.656,315.450,410.532
0.005,0.421,2.244,2.244,315.756,315.417,410.537
0.006,0.526,2.271,2.271,315.855,315.385,410.542
0.007,0.630,2.297,2.297,315.954,315.353,410.546
0.008,0.733,2.321,2.321,316.052,315.321,410.551
0.009,0.836,2.343,2.343,316.150,315.289,410.556
0.010,0.938,2.363,2.363,316.247,315.258,410.561
0.012,1.039,2.380,2.380,316.343,315.227,410.565
0.013,1.139,2.395,2.395,316.438,315.196,410.570
0.014,1.237,2.408,2.408,316.531,315.166,410.575
0.015,1.333,2.420,2.420,316.622,315.135,410.578
0.016,1.424,2.431,2.431,316.706,315.100,410.576
0.017,1.508,2.441,2.441,316.779,315.060,410.567
0.019,1.588,2.451,2.451,316.839,315.011,410.548
0.020,1.668,2.461,2.461,316.881,314.951,410.515
0.021,1.759,2.471,2.471,316.903,314.878,410.466
0.022,1.871,2.483,2.483,316.901,314.789,410.398
0.023,2.014,2.500,2.500,316.871,314.683,410.307
0.024,2.196,2.526,2.526,316.809,314.555,410.193
0.025,2.424,2.563,2.563,316.713,314.405,410.050
0.027,2.705,2.615,2.615,316.579,314.230,409.877
0.028,3.038,2.684,2.684,316.407,314.029,409.673
0.029,3.416,2.775,2.775,316.202,313.809,409.445
0.030,3.826,2.889,2.889,315.972,313.575,409.199
0.031,4.257,3.029,3.029,315.724,313.334,408.942
0.032,4.700,3.190,3.190,315.464,313.090,408.680
0.034,5.142,3.366,3.366,315.198,312.851,408.419
0.035,5.573,3.548,3.548,314.935,312.622,408.167
0.036,5.981,3.729,3.729,314.680,312.409,407.929
0.037,6.356,3.902,3.902,314.440,312.218,407.713
0.038,6.686,4.058,4.058,314.223,312.055,407.525
0.039,6.961,4.191,4.191,314.035,311.926,407.371
0.041,7.173,4.293,4.293,313.881,311.836,407.257
0.042,7.326,4.359,4.359,313.760,311.783,407.181
0.043,7.430,4.393,4.393,313.668,311.761,407.137
0.044,7.499,4.401,4.401,313.601,311.766,407.121
0.045,7.552,4.389,4.389,313.556,311.793,407.128
