"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.915,1.915,-24.377,116.640,162.159
0.001,0.426,2.115,2.115,-24.204,117.011,162.278
0.003,0.849,2.313,2.313,-24.032,117.379,162.396
0.004,1.265,2.507,2.507,-23.859,117.740,162.511
0.005,1.671,2.695,2.695,-23.686,118.090,162.621
0.006,2.064,2.874,2.874,-23.514,118.427,162.726
0.008,2.440,3.042,3.042,-23.342,118.748,162.822
0.009,2.797,3.198,3.198,-23.170,119.048,162.910
0.010,3.131,3.339,3.339,-22.998,119.324,162.987
0.012,3.441,3.464,3.464,-22.826,119.573,163.052
0.013,3.724,3.576,3.576,-22.654,119.792,163.103
0.014,3.978,3.677,3.677,-22.483,119.977,163.139
0.016,4.205,3.770,3.770,-22.312,120.125,163.159
0.017,4.407,3.858,3.858,-22.141,120.232,163.161
0.018,4.591,3.944,3.944,-21.972,120.300,163.145
0.019,4.764,4.029,4.029,-21.804,120.333,163.114
0.021,4.934,4.117,4.117,-21.640,120.336,163.070
0.022,5.104,4.208,4.208,-21.481,120.314,163.015
0.023,5.275,4.299,4.299,-21.327,120.270,162.953
0.025,5.448,4.388,4.388,-21.180,120.211,162.885
0.026,5.619,4.471,4.471,-21.042,120.139,162.814
0.027,5.787,4.546,4.546,-20.913,120.061,162.742
0.028,5.946,4.609,4.609,-20.794,119.981,162.671
0.030,6.095,4.659,4.659,-20.687,119.902,162.604
0.031,6.227,4.692,4.692,-20.593,119.831,162.543
0.032,6.340,4.709,4.709,-20.514,119.772,162.491
0.034,6.429,4.714,4.714,-20.449,119.727,162.449
0.035,6.496,4.710,4.710,-20.398,119.696,162.417
0.036,6.545,4.702,4.702,-20.359,119.678,162.394
0.038,6.577,4.692,4.692,-20.332,119.669,162.380
0.039,6.595,4.684,4.684,-20.315,119.669,162.374
0.040,6.605,4.682,4.682,-20.306,119.674,162.375
0.041,6.618,4.689,4.689,-20.305,119.685,162.382
0.043,6.637,4.704,4.704,-20.310,119.698,162.396
0.044,6.662,4.724,4.724,-20.319,119.711,162.415
0.045,6.692,4.747,4.747,-20.332,119.724,162.438
0.047,6.724,4.769,4.769,-20.347,119.733,162.465
0.048,6.758,4.787,4.787,-20.363,119.737,162.495
0.049,6.795,4.799,4.799,-20.378,119.735,162.528
0.051,6.834,4.803,4.803,-20.392,119.726,162.564
0.052,6.879,4.795,4.795,-20.402,119.712,162.605
0.053,6.930,4.776,4.776,-20.408,119.695,162.653
