"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.624,1.624,55.001,122.846,124.126
0.001,0.166,1.635,1.635,54.980,123.011,124.120
0.003,0.333,1.646,1.646,54.958,123.175,124.113
0.004,0.499,1.659,1.659,54.936,123.340,124.107
0.005,0.664,1.675,1.675,54.913,123.503,124.100
0.006,0.829,1.694,1.694,54.889,123.666,124.092
0.008,0.993,1.717,1.717,54.863,123.828,124.084
0.009,1.155,1.745,1.745,54.836,123.988,124.075
0.010,1.317,1.779,1.779,54.807,124.147,124.065
0.012,1.478,1.818,1.818,54.775,124.304,124.054
0.013,1.637,1.864,1.864,54.741,124.459,124.041
0.014,1.795,1.914,1.914,54.703,124.611,124.027
0.015,1.951,1.968,1.968,54.663,124.762,124.011
0.017,2.106,2.026,2.026,54.619,124.909,123.994
0.018,2.260,2.086,2.086,54.571,125.054,123.975
0.019,2.412,2.148,2.148,54.519,125.196,123.954
0.021,2.562,2.211,2.211,54.464,125.333,123.931
0.022,2.710,2.274,2.274,54.407,125.467,123.907
0.023,2.853,2.336,2.336,54.347,125.596,123.882
0.025,2.993,2.397,2.397,54.287,125.719,123.856
0.026,3.127,2.454,2.454,54.226,125.836,123.830
0.027,3.256,2.506,2.506,54.166,125.947,123.804
0.028,3.378,2.553,2.553,54.107,126.050,123.778
0.030,3.493,2.593,2.593,54.050,126.146,123.752
0.031,3.599,2.625,2.625,53.995,126.233,123.727
0.032,3.696,2.649,2.649,53.944,126.312,123.703
0.034,3.782,2.666,2.666,53.897,126.381,123.680
0.035,3.858,2.678,2.678,53.854,126.440,123.659
0.036,3.922,2.686,2.686,53.817,126.489,123.640
0.037,3.975,2.691,2.691,53.786,126.527,123.623
0.039,4.016,2.694,2.694,53.760,126.556,123.608
0.040,4.049,2.697,2.697,53.738,126.577,123.595
0.041,4.074,2.700,2.700,53.720,126.590,123.584
0.043,4.093,2.704,2.704,53.705,126.597,123.575
0.044,4.107,2.709,2.709,53.693,126.598,123.566
0.045,4.120,2.715,2.715,53.683,126.596,123.560
0.046,4.132,2.720,2.720,53.674,126.591,123.554
0.048,4.143,2.726,2.726,53.665,126.585,123.550
0.049,4.155,2.731,2.731,53.656,126.577,123.547
0.050,4.167,2.735,2.735,53.647,126.570,123.545
0.052,4.179,2.739,2.739,53.636,126.565,123.543
0.053,4.193,2.741,2.741,53.623,126.562,123.543
0.054,4.208,2.743,2.743,53.608,126.563,123.543
0.055,4.228,2.745,2.745,53.589,126.568,123.543
0.057,4.252,2.747,2.747,53.567,126.577,123.544
0.058,4.281,2.749,2.749,53.540,126.590,123.546
0.059,4.316,2.752,2.752,53.509,126.606,123.548
0.061,4.357,2.755,2.755,53.474,126.626,123.551
0.062,4.404,2.759,2.759,53.433,126.649,123.554
0.063,4.457,2.764,2.764,53.387,126.675,123.558
0.065,4.517,2.770,2.770,53.335,126.704,123.563
0.066,4.583,2.778,2.778,53.276,126.735,123.568
0.067,4.657,2.787,2.787,53.211,126.769,123.574
0.068,4.738,2.798,2.798,53.139,126.805,123.581
0.070,4.826,2.810,2.810,53.059,126.842,123.589
0.071,4.923,2.825,2.825,52.971,126.882,123.597
0.072,5.027,2.841,2.841,52.876,126.923,123.606
0.074,5.139,2.859,2.859,52.773,126.965,123.615
0.075,5.257,2.879,2.879,52.664,127.008,123.625
0.076,5.379,2.902,2.902,52.550,127.051,123.636
0.077,5.503,2.927,2.927,52.434,127.095,123.646
0.079,5.628,2.953,2.953,52.317,127.138,123.656
0.080,5.752,2.982,2.982,52.201,127.181,123.665
0.081,5.874,3.014,3.014,52.087,127.222,123.674
0.083,5.993,3.047,3.047,51.976,127.263,123.682
0.084,6.105,3.081,3.081,51.870,127.301,123.689
0.085,6.211,3.115,3.115,51.771,127.337,123.695
0.086,6.307,3.148,3.148,51.681,127.371,123.699
0.088,6.393,3.179,3.179,51.600,127.402,123.701
0.089,6.468,3.207,3.207,51.531,127.429,123.702
0.090,6.529,3.230,3.230,51.475,127.453,123.700
0.092,6.578,3.248,3.248,51.431,127.473,123.696
0.093,6.616,3.261,3.261,51.397,127.491,123.691
0.094,6.644,3.269,3.269,51.374,127.505,123.684
0.095,6.665,3.274,3.274,51.358,127.517,123.677
0.097,6.681,3.276,3.276,51.349,127.527,123.668
0.098,6.694,3.276,3.276,51.345,127.535,123.659
0.099,6.705,3.275,3.275,51.345,127.541,123.650
0.101,6.716,3.274,3.274,51.348,127.547,123.641
0.102,6.726,3.274,3.274,51.351,127.551,123.632
0.103,6.735,3.275,3.275,51.354,127.555,123.625
0.105,6.743,3.276,3.276,51.356,127.559,123.618
0.106,6.750,3.277,3.277,51.354,127.563,123.612
0.107,6.759,3.279,3.279,51.348,127.567,123.608
0.108,6.772,3.280,3.280,51.336,127.572,123.606
0.110,6.790,3.280,3.280,51.319,127.578,123.606
0.111,6.813,3.280,3.280,51.297,127.585,123.607
0.112,6.840,3.279,3.279,51.271,127.592,123.609
0.114,6.871,3.277,3.277,51.242,127.601,123.611
0.115,6.905,3.274,3.274,51.209,127.610,123.615
0.116,6.941,3.271,3.271,51.174,127.619,123.618
0.117,6.979,3.268,3.268,51.138,127.629,123.621
0.119,7.019,3.265,3.265,51.100,127.640,123.624
0.120,7.058,3.263,3.263,51.062,127.652,123.626
0.121,7.098,3.262,3.262,51.024,127.664,123.627
0.123,7.137,3.262,3.262,50.987,127.676,123.627
0.124,7.175,3.263,3.263,50.952,127.690,123.626
0.125,7.212,3.264,3.264,50.918,127.703,123.622
0.126,7.246,3.267,3.267,50.887,127.717,123.617
0.128,7.279,3.271,3.271,50.858,127.732,123.609
0.129,7.311,3.275,3.275,50.832,127.747,123.601
0.130,7.341,3.279,3.279,50.807,127.762,123.590
0.132,7.371,3.284,3.284,50.784,127.776,123.579
0.133,7.399,3.290,3.290,50.763,127.791,123.567
0.134,7.426,3.296,3.296,50.744,127.806,123.555
0.135,7.453,3.302,3.302,50.725,127.820,123.542
0.137,7.478,3.307,3.307,50.708,127.833,123.529
0.138,7.502,3.313,3.313,50.692,127.846,123.517
0.139,7.525,3.318,3.318,50.676,127.859,123.505
0.141,7.547,3.323,3.323,50.661,127.870,123.494
0.142,7.568,3.327,3.327,50.647,127.881,123.485
0.143,7.587,3.331,3.331,50.632,127.890,123.476
0.145,7.605,3.334,3.334,50.618,127.898,123.469
0.146,7.622,3.336,3.336,50.603,127.906,123.463
0.147,7.640,3.338,3.338,50.588,127.912,123.458
0.148,7.658,3.339,3.339,50.572,127.918,123.453
0.150,7.677,3.340,3.340,50.555,127.924,123.448
0.151,7.697,3.341,3.341,50.536,127.930,123.442
0.152,7.720,3.341,3.341,50.515,127.936,123.435
0.154,7.745,3.341,3.341,50.492,127.943,123.428
0.155,7.772,3.340,3.340,50.467,127.950,123.418
0.156,7.803,3.340,3.340,50.440,127.958,123.407
0.157,7.838,3.340,3.340,50.409,127.967,123.393
0.159,7.877,3.340,3.340,50.375,127.977,123.377
0.160,7.921,3.341,3.341,50.338,127.989,123.357
0.161,7.970,3.342,3.342,50.297,128.002,123.333
0.163,8.024,3.345,3.345,50.252,128.017,123.307
0.164,8.083,3.348,3.348,50.205,128.034,123.277
0.165,8.144,3.352,3.352,50.156,128.052,123.244
0.166,8.207,3.358,3.358,50.107,128.071,123.209
0.168,8.272,3.365,3.365,50.057,128.091,123.173
0.169,8.336,3.374,3.374,50.009,128.111,123.136
0.170,8.399,3.384,3.384,49.964,128.133,123.098
0.172,8.460,3.397,3.397,49.921,128.154,123.059
0.173,8.518,3.412,3.412,49.883,128.175,123.022
0.174,8.572,3.428,3.428,49.849,128.197,122.984
0.175,8.622,3.446,3.446,49.822,128.218,122.949
0.177,8.667,3.463,3.463,49.802,128.238,122.914
0.178,8.706,3.481,3.481,49.790,128.257,122.883
0.179,8.741,3.498,3.498,49.786,128.276,122.853
0.181,8.773,3.513,3.513,49.791,128.293,122.827
0.182,8.803,3.526,3.526,49.800,128.310,122.803
0.183,8.832,3.537,3.537,49.813,128.325,122.782
0.185,8.859,3.545,3.545,49.826,128.340,122.763
0.186,8.883,3.550,3.550,49.837,128.353,122.747
0.187,8.903,3.553,3.553,49.843,128.366,122.732
0.188,8.921,3.553,3.553,49.842,128.378,122.720
0.190,8.939,3.551,3.551,49.832,128.388,122.709
0.191,8.966,3.546,3.546,49.809,128.399,122.699
0.192,9.005,3.538,3.538,49.772,128.408,122.692
0.194,9.060,3.528,3.528,49.718,128.417,122.685
0.195,9.134,3.516,3.516,49.644,128.425,122.680
0.196,9.230,3.504,3.504,49.549,128.432,122.675
0.197,9.350,3.493,3.493,49.429,128.439,122.672
0.199,9.492,3.484,3.484,49.287,128.445,122.669
0.200,9.653,3.478,3.478,49.127,128.450,122.667
0.201,9.828,3.476,3.476,48.951,128.456,122.665
0.203,10.015,3.479,3.479,48.764,128.460,122.665
0.204,10.210,3.486,3.486,48.570,128.465,122.665
0.205,10.408,3.499,3.499,48.371,128.470,122.666
0.206,10.607,3.514,3.514,48.172,128.474,122.668
0.208,10.803,3.532,3.532,47.977,128.479,122.671
0.209,10.992,3.551,3.551,47.788,128.483,122.674
0.210,11.170,3.571,3.571,47.609,128.488,122.678
0.212,11.335,3.590,3.590,47.445,128.493,122.683
0.213,11.481,3.608,3.608,47.299,128.498,122.688
0.214,11.607,3.624,3.624,47.174,128.504,122.695
0.215,11.708,3.639,3.639,47.073,128.510,122.702
0.217,11.788,3.653,3.653,46.994,128.516,122.709
0.218,11.850,3.666,3.666,46.932,128.522,122.716
0.219,11.899,3.678,3.678,46.884,128.528,122.724
0.221,11.939,3.691,3.691,46.845,128.534,122.731
0.222,11.973,3.704,3.704,46.812,128.538,122.737
0.223,12.006,3.717,3.717,46.780,128.542,122.742
0.225,12.041,3.732,3.732,46.745,128.544,122.745
0.226,12.083,3.750,3.750,46.703,128.545,122.747
0.227,12.136,3.774,3.774,46.650,128.544,122.747
0.228,12.203,3.803,3.803,46.583,128.540,122.745
0.230,12.290,3.841,3.841,46.496,128.534,122.740
0.231,12.400,3.888,3.888,46.387,128.526,122.732
0.232,12.538,3.946,3.946,46.250,128.514,122.721
0.234,12.705,4.017,4.017,46.084,128.500,122.707
0.235,12.899,4.099,4.099,45.892,128.482,122.690
0.236,13.113,4.190,4.190,45.679,128.463,122.670
0.237,13.345,4.291,4.291,45.449,128.441,122.649
0.239,13.589,4.398,4.398,45.208,128.418,122.626
0.240,13.841,4.511,4.511,44.958,128.394,122.602
0.241,14.095,4.628,4.628,44.706,128.369,122.578
0.243,14.348,4.747,4.747,44.456,128.343,122.554
0.244,14.595,4.868,4.868,44.211,128.318,122.531
0.245,14.831,4.987,4.987,43.978,128.293,122.509
0.246,15.051,5.101,5.101,43.760,128.269,122.489
0.248,15.251,5.207,5.207,43.562,128.246,122.471
0.249,15.427,5.302,5.302,43.388,128.224,122.456
0.250,15.573,5.384,5.384,43.244,128.205,122.445
0.252,15.688,5.448,5.448,43.130,128.188,122.437
0.253,15.774,5.494,5.494,43.046,128.174,122.431
0.254,15.835,5.519,5.519,42.986,128.162,122.429
0.255,15.873,5.527,5.527,42.949,128.153,122.428
0.257,15.893,5.523,5.523,42.930,128.147,122.428
0.258,15.898,5.511,5.511,42.926,128.144,122.429
0.259,15.906,5.494,5.494,42.935,128.145,122.431
0.261,15.924,5.476,5.476,42.952,128.149,122.432
0.262,15.948,5.462,5.462,42.975,128.156,122.432
0.263,15.976,5.456,5.456,43.000,128.167,122.430
0.265,16.005,5.459,5.459,43.024,128.182,122.427
0.266,16.033,5.469,5.469,43.044,128.201,122.421
0.267,16.061,5.486,5.486,43.057,128.224,122.412
0.268,16.091,5.507,5.507,43.058,128.252,122.399
0.270,16.128,5.533,5.533,43.048,128.284,122.382
0.271,16.174,5.560,5.560,43.027,128.319,122.363
0.272,16.227,5.588,5.588,42.996,128.356,122.340
0.274,16.287,5.616,5.616,42.958,128.396,122.316
0.275,16.353,5.642,5.642,42.913,128.437,122.291
0.276,16.423,5.667,5.667,42.863,128.479,122.265
0.277,16.496,5.691,5.691,42.810,128.520,122.239
0.279,16.570,5.714,5.714,42.754,128.561,122.213
0.280,16.643,5.735,5.735,42.697,128.601,122.189
0.281,16.714,5.755,5.755,42.641,128.638,122.166
0.283,16.781,5.774,5.774,42.587,128.672,122.146
0.284,16.843,5.791,5.791,42.536,128.703,122.130
0.285,16.897,5.807,5.807,42.491,128.729,122.117
0.286,16.943,5.822,5.822,42.451,128.751,122.108
0.288,16.980,5.834,5.834,42.418,128.767,122.104
0.289,17.010,5.845,5.845,42.390,128.779,122.104
0.290,17.035,5.854,5.854,42.367,128.786,122.108
0.292,17.057,5.861,5.861,42.347,128.790,122.116
0.293,17.077,5.866,5.866,42.330,128.790,122.128
0.294,17.099,5.868,5.868,42.315,128.786,122.144
0.295,17.123,5.869,5.869,42.302,128.781,122.163
0.297,17.150,5.868,5.868,42.288,128.772,122.185
0.298,17.181,5.867,5.867,42.274,128.762,122.210
0.299,17.215,5.866,5.866,42.258,128.750,122.238
0.301,17.253,5.865,5.865,42.239,128.737,122.268
0.302,17.295,5.866,5.866,42.217,128.723,122.301
0.303,17.341,5.868,5.868,42.191,128.709,122.336
0.305,17.392,5.873,5.873,42.160,128.694,122.373
0.306,17.447,5.879,5.879,42.123,128.680,122.412
0.307,17.506,5.887,5.887,42.082,128.668,122.452
0.308,17.568,5.897,5.897,42.036,128.657,122.493
