"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.066,2.066,-22.755,115.296,163.029
0.001,0.091,2.031,2.031,-22.794,115.215,163.039
0.003,0.177,1.997,1.997,-22.832,115.138,163.049
0.004,0.255,1.965,1.965,-22.868,115.069,163.059
0.005,0.321,1.936,1.936,-22.900,115.012,163.067
0.006,0.371,1.911,1.911,-22.928,114.971,163.073
0.008,0.401,1.890,1.890,-22.950,114.950,163.078
0.009,0.417,1.875,1.875,-22.965,114.954,163.080
0.010,0.449,1.866,1.866,-22.972,114.985,163.079
0.011,0.513,1.865,1.865,-22.970,115.049,163.074
0.013,0.614,1.874,1.874,-22.958,115.148,163.067
0.014,0.756,1.897,1.897,-22.934,115.288,163.054
0.015,0.944,1.935,1.935,-22.898,115.472,163.038
0.016,1.175,1.992,1.992,-22.850,115.697,163.017
0.018,1.443,2.070,2.070,-22.789,115.957,162.992
0.019,1.740,2.172,2.172,-22.717,116.243,162.964
0.020,2.057,2.300,2.300,-22.635,116.548,162.933
0.021,2.387,2.457,2.457,-22.544,116.864,162.900
0.023,2.723,2.637,2.637,-22.443,117.182,162.865
0.024,3.057,2.832,2.832,-22.334,117.496,162.830
0.025,3.381,3.034,3.034,-22.218,117.796,162.794
0.026,3.688,3.238,3.238,-22.096,118.076,162.758
0.028,3.973,3.435,3.435,-21.967,118.327,162.722
0.029,4.228,3.618,3.618,-21.833,118.541,162.688
0.030,4.451,3.780,3.780,-21.696,118.714,162.656
0.032,4.646,3.915,3.915,-21.555,118.847,162.626
0.033,4.820,4.024,4.024,-21.414,118.944,162.598
0.034,4.977,4.110,4.110,-21.274,119.011,162.572
0.035,5.122,4.176,4.176,-21.137,119.051,162.548
0.037,5.258,4.225,4.225,-21.004,119.069,162.527
0.038,5.387,4.259,4.259,-20.877,119.070,162.508
0.039,5.507,4.281,4.281,-20.758,119.058,162.493
0.040,5.619,4.294,4.294,-20.649,119.037,162.480
0.042,5.721,4.301,4.301,-20.551,119.012,162.470
0.043,5.809,4.302,4.302,-20.466,118.987,162.463
0.044,5.882,4.300,4.300,-20.396,118.967,162.459
0.045,5.939,4.295,4.295,-20.341,118.953,162.458
0.047,5.981,4.289,4.289,-20.300,118.944,162.460
0.048,6.010,4.281,4.281,-20.272,118.939,162.463
0.049,6.027,4.275,4.275,-20.255,118.937,162.466
0.050,6.035,4.270,4.270,-20.247,118.938,162.470
0.052,6.039,4.268,4.268,-20.249,118.940,162.473
0.053,6.048,4.268,4.268,-20.258,118.941,162.474
0.054,6.063,4.270,4.270,-20.272,118.941,162.473
0.055,6.083,4.273,4.273,-20.292,118.940,162.470
0.057,6.108,4.276,4.276,-20.315,118.935,162.462
0.058,6.137,4.279,4.279,-20.340,118.926,162.450
0.059,6.171,4.281,4.281,-20.367,118.912,162.434
0.061,6.208,4.282,4.282,-20.393,118.894,162.414
0.062,6.245,4.280,4.280,-20.416,118.875,162.394
0.063,6.278,4.277,4.277,-20.437,118.857,162.374
0.064,6.306,4.273,4.273,-20.452,118.841,162.357
0.066,6.325,4.270,4.270,-20.462,118.830,162.345
0.067,6.333,4.266,4.266,-20.463,118.825,162.340
0.068,6.342,4.265,4.265,-20.455,118.827,162.343
0.069,6.369,4.265,4.265,-20.437,118.840,162.358
0.071,6.416,4.269,4.269,-20.406,118.865,162.385
0.072,6.489,4.276,4.276,-20.362,118.903,162.427
0.073,6.588,4.287,4.287,-20.303,118.958,162.486
0.074,6.714,4.302,4.302,-20.230,119.027,162.561
0.076,6.862,4.323,4.323,-20.146,119.110,162.650
0.077,7.028,4.348,4.348,-20.052,119.203,162.751
0.078,7.208,4.378,4.378,-19.953,119.305,162.861
0.079,7.398,4.414,4.414,-19.850,119.413,162.978
0.081,7.593,4.456,4.456,-19.746,119.525,163.100
0.082,7.789,4.504,4.504,-19.644,119.639,163.223
0.083,7.982,4.556,4.556,-19.548,119.752,163.347
0.084,8.168,4.612,4.612,-19.458,119.861,163.468
0.086,8.343,4.670,4.670,-19.379,119.965,163.584
0.087,8.503,4.729,4.729,-19.313,120.062,163.693
0.088,8.645,4.786,4.786,-19.261,120.149,163.792
0.090,8.768,4.840,4.840,-19.224,120.227,163.881
0.091,8.875,4.891,4.891,-19.201,120.295,163.958
0.092,8.965,4.936,4.936,-19.189,120.355,164.024
0.093,9.039,4.974,4.974,-19.189,120.407,164.078
0.095,9.100,5.005,5.005,-19.200,120.451,164.118
0.096,9.149,5.028,5.028,-19.219,120.488,164.144
0.097,9.191,5.041,5.041,-19.246,120.518,164.156
0.098,9.233,5.045,5.045,-19.281,120.541,164.152
0.100,9.282,5.037,5.037,-19.322,120.559,164.132
0.101,9.342,5.018,5.018,-19.367,120.571,164.095
0.102,9.415,4.987,4.987,-19.417,120.577,164.041
0.103,9.501,4.945,4.945,-19.468,120.580,163.972
0.105,9.590,4.895,4.895,-19.517,120.579,163.897
0.106,9.677,4.841,4.841,-19.561,120.576,163.822
0.107,9.753,4.784,4.784,-19.595,120.573,163.754
0.108,9.811,4.728,4.728,-19.617,120.569,163.701
0.110,9.844,4.674,4.674,-19.623,120.567,163.668
0.111,9.859,4.626,4.626,-19.609,120.568,163.665
0.112,9.908,4.586,4.586,-19.571,120.572,163.697
0.113,10.006,4.553,4.553,-19.507,120.581,163.771
0.115,10.163,4.524,4.524,-19.413,120.597,163.895
0.116,10.386,4.498,4.498,-19.285,120.619,164.076
0.117,10.679,4.471,4.471,-19.121,120.649,164.317
0.119,11.033,4.442,4.442,-18.926,120.687,164.611
0.120,11.437,4.409,4.409,-18.706,120.732,164.946
0.121,11.877,4.368,4.368,-18.467,120.783,165.312
0.122,12.343,4.319,4.319,-18.214,120.839,165.699
