"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,3.355,3.355,77.055,-49.987,-2.533
0.001,0.229,3.446,3.446,76.894,-49.991,-2.695
0.003,0.456,3.536,3.536,76.733,-49.995,-2.855
0.004,0.679,3.624,3.624,76.575,-49.999,-3.013
0.005,0.898,3.707,3.707,76.420,-50.003,-3.168
0.006,1.111,3.785,3.785,76.268,-50.007,-3.317
0.008,1.315,3.856,3.856,76.122,-50.012,-3.460
0.009,1.510,3.919,3.919,75.982,-50.017,-3.595
0.010,1.694,3.972,3.972,75.849,-50.022,-3.721
0.011,1.864,4.015,4.015,75.724,-50.028,-3.838
0.013,2.021,4.048,4.048,75.608,-50.035,-3.942
0.014,2.161,4.074,4.074,75.502,-50.042,-4.035
0.015,2.284,4.094,4.094,75.407,-50.050,-4.113
0.016,2.389,4.108,4.108,75.325,-50.059,-4.176
0.018,2.475,4.120,4.120,75.254,-50.068,-4.224
0.019,2.545,4.131,4.131,75.194,-50.079,-4.258
0.020,2.603,4.142,4.142,75.141,-50.091,-4.281
0.021,2.653,4.155,4.155,75.095,-50.106,-4.295
0.023,2.699,4.170,4.170,75.054,-50.122,-4.300
0.024,2.742,4.185,4.185,75.015,-50.142,-4.300
0.025,2.787,4.200,4.200,74.977,-50.164,-4.296
0.026,2.834,4.215,4.215,74.937,-50.190,-4.290
0.028,2.887,4.228,4.228,74.894,-50.220,-4.285
0.029,2.946,4.240,4.240,74.846,-50.253,-4.280
0.030,3.013,4.249,4.249,74.791,-50.291,-4.280
0.031,3.090,4.255,4.255,74.727,-50.334,-4.285
0.033,3.179,4.259,4.259,74.652,-50.382,-4.298
0.034,3.281,4.262,4.262,74.567,-50.434,-4.319
0.035,3.393,4.267,4.267,74.475,-50.492,-4.346
0.036,3.513,4.274,4.274,74.378,-50.553,-4.381
0.038,3.639,4.285,4.285,74.277,-50.617,-4.422
0.039,3.770,4.302,4.302,74.176,-50.684,-4.470
0.040,3.903,4.326,4.326,74.076,-50.754,-4.522
0.041,4.037,4.359,4.359,73.979,-50.826,-4.580
0.043,4.170,4.399,4.399,73.888,-50.900,-4.643
0.044,4.300,4.446,4.446,73.805,-50.974,-4.710
0.045,4.427,4.496,4.496,73.732,-51.050,-4.781
0.046,4.549,4.549,4.549,73.671,-51.125,-4.856
0.048,4.666,4.603,4.603,73.625,-51.200,-4.933
