"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.285,2.285,-38.388,116.495,156.544
0.001,0.122,2.300,2.300,-38.313,116.413,156.494
0.003,0.242,2.315,2.315,-38.238,116.332,156.445
0.004,0.361,2.331,2.331,-38.162,116.256,156.396
0.005,0.477,2.348,2.348,-38.084,116.184,156.348
0.006,0.589,2.367,2.367,-38.004,116.120,156.302
0.008,0.698,2.389,2.389,-37.922,116.064,156.258
0.009,0.802,2.413,2.413,-37.838,116.020,156.216
0.010,0.904,2.440,2.440,-37.749,115.987,156.177
0.012,1.005,2.471,2.471,-37.657,115.968,156.141
0.013,1.106,2.507,2.507,-37.561,115.966,156.109
0.014,1.212,2.548,2.548,-37.460,115.981,156.080
0.015,1.327,2.597,2.597,-37.354,116.015,156.055
0.017,1.453,2.653,2.653,-37.242,116.071,156.035
0.018,1.592,2.717,2.717,-37.126,116.146,156.020
0.019,1.744,2.792,2.792,-37.006,116.238,156.008
0.021,1.905,2.878,2.878,-36.884,116.343,155.998
0.022,2.074,2.973,2.973,-36.763,116.460,155.991
0.023,2.247,3.076,3.076,-36.642,116.585,155.986
0.024,2.422,3.183,3.183,-36.525,116.714,155.980
0.026,2.596,3.289,3.289,-36.412,116.846,155.975
0.027,2.765,3.393,3.393,-36.306,116.977,155.970
0.028,2.926,3.490,3.490,-36.206,117.104,155.962
0.030,3.077,3.578,3.578,-36.116,117.225,155.953
0.031,3.214,3.652,3.652,-36.037,117.336,155.940
0.032,3.334,3.713,3.713,-35.970,117.434,155.924
0.034,3.437,3.762,3.762,-35.915,117.519,155.905
0.035,3.525,3.802,3.802,-35.870,117.592,155.884
0.036,3.600,3.835,3.835,-35.834,117.655,155.863
0.037,3.666,3.864,3.864,-35.805,117.710,155.844
0.039,3.723,3.890,3.890,-35.780,117.759,155.828
0.040,3.775,3.917,3.917,-35.757,117.804,155.817
0.041,3.824,3.947,3.947,-35.735,117.847,155.814
0.043,3.873,3.979,3.979,-35.711,117.890,155.818
0.044,3.927,4.014,4.014,-35.684,117.934,155.834
0.045,3.992,4.051,4.051,-35.651,117.982,155.861
0.046,4.071,4.088,4.088,-35.610,118.036,155.903
0.048,4.168,4.126,4.126,-35.560,118.097,155.959
0.049,4.286,4.164,4.164,-35.498,118.167,156.033
0.050,4.423,4.201,4.201,-35.428,118.244,156.120
0.052,4.573,4.236,4.236,-35.349,118.326,156.219
0.053,4.734,4.270,4.270,-35.265,118.412,156.327
0.054,4.902,4.301,4.301,-35.178,118.498,156.441
0.055,5.072,4.331,4.331,-35.088,118.583,156.557
0.057,5.241,4.358,4.358,-34.998,118.665,156.674
0.058,5.404,4.384,4.384,-34.910,118.742,156.789
0.059,5.559,4.406,4.406,-34.826,118.811,156.898
0.061,5.700,4.427,4.427,-34.748,118.872,157.000
0.062,5.825,4.445,4.445,-34.678,118.920,157.090
0.063,5.929,4.459,4.459,-34.617,118.956,157.167
0.064,6.010,4.471,4.471,-34.567,118.976,157.228
0.066,6.070,4.479,4.479,-34.529,118.982,157.274
0.067,6.114,4.482,4.482,-34.500,118.977,157.307
0.068,6.148,4.482,4.482,-34.481,118.963,157.330
0.070,6.176,4.477,4.477,-34.470,118.943,157.347
0.071,6.202,4.467,4.467,-34.465,118.921,157.359
0.072,6.227,4.452,4.452,-34.466,118.898,157.369
0.073,6.251,4.434,4.434,-34.472,118.877,157.381
0.075,6.275,4.415,4.415,-34.481,118.862,157.396
0.076,6.301,4.397,4.397,-34.493,118.854,157.417
0.077,6.334,4.382,4.382,-34.506,118.857,157.448
0.079,6.382,4.373,4.373,-34.520,118.874,157.491
0.080,6.449,4.371,4.371,-34.532,118.906,157.548
0.081,6.537,4.378,4.378,-34.544,118.955,157.620
0.082,6.642,4.394,4.394,-34.554,119.018,157.704
0.084,6.761,4.419,4.419,-34.563,119.091,157.796
0.085,6.889,4.448,4.448,-34.572,119.173,157.895
0.086,7.024,4.480,4.480,-34.581,119.261,157.997
