"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.462,1.462,-21.987,115.314,163.537
0.001,0.019,1.469,1.469,-21.978,115.301,163.526
0.003,0.038,1.476,1.476,-21.966,115.290,163.516
0.004,0.056,1.484,1.484,-21.952,115.283,163.507
0.006,0.078,1.493,1.493,-21.932,115.282,163.500
0.007,0.107,1.504,1.504,-21.904,115.290,163.495
0.009,0.148,1.517,1.517,-21.868,115.309,163.492
0.010,0.204,1.533,1.533,-21.821,115.340,163.492
0.012,0.279,1.553,1.553,-21.762,115.387,163.495
0.013,0.377,1.578,1.578,-21.688,115.450,163.503
0.014,0.499,1.611,1.611,-21.599,115.532,163.515
0.016,0.649,1.655,1.655,-21.491,115.636,163.532
0.017,0.829,1.712,1.712,-21.365,115.762,163.555
0.019,1.036,1.784,1.784,-21.224,115.910,163.583
0.020,1.264,1.875,1.875,-21.071,116.076,163.616
0.022,1.511,1.985,1.985,-20.911,116.260,163.656
0.023,1.770,2.111,2.111,-20.748,116.457,163.701
0.024,2.040,2.251,2.251,-20.587,116.667,163.752
0.026,2.315,2.400,2.400,-20.432,116.887,163.809
0.027,2.592,2.554,2.554,-20.286,117.114,163.872
0.029,2.868,2.709,2.709,-20.155,117.347,163.941
0.030,3.140,2.862,2.862,-20.042,117.583,164.016
0.032,3.406,3.010,3.010,-19.952,117.819,164.097
0.033,3.665,3.150,3.150,-19.888,118.055,164.184
0.035,3.917,3.283,3.283,-19.848,118.286,164.276
0.036,4.163,3.408,3.408,-19.830,118.511,164.372
0.037,4.400,3.524,3.524,-19.830,118.728,164.470
0.039,4.629,3.631,3.631,-19.846,118.933,164.569
0.040,4.846,3.729,3.729,-19.875,119.124,164.668
0.042,5.049,3.817,3.817,-19.914,119.299,164.765
0.043,5.237,3.894,3.894,-19.960,119.455,164.859
0.045,5.407,3.961,3.961,-20.011,119.589,164.949
0.046,5.555,4.017,4.017,-20.063,119.700,165.033
0.048,5.680,4.063,4.063,-20.114,119.784,165.111
0.049,5.781,4.097,4.097,-20.161,119.840,165.180
0.050,5.864,4.120,4.120,-20.202,119.872,165.245
0.052,5.936,4.132,4.132,-20.236,119.883,165.307
0.053,6.004,4.134,4.134,-20.261,119.878,165.370
0.055,6.075,4.128,4.128,-20.275,119.861,165.437
0.056,6.153,4.117,4.117,-20.277,119.837,165.512
0.058,6.243,4.102,4.102,-20.265,119.810,165.597
0.059,6.349,4.086,4.086,-20.238,119.784,165.696
0.061,6.474,4.071,4.071,-20.194,119.765,165.812
0.062,6.624,4.057,4.057,-20.132,119.755,165.948
0.063,6.803,4.047,4.047,-20.049,119.761,166.107
0.065,7.016,4.042,4.042,-19.946,119.784,166.291
0.066,7.257,4.040,4.040,-19.824,119.823,166.496
0.068,7.521,4.045,4.045,-19.690,119.876,166.717
0.069,7.800,4.055,4.055,-19.547,119.939,166.947
0.071,8.086,4.072,4.072,-19.400,120.008,167.183
0.072,8.371,4.096,4.096,-19.253,120.081,167.417
0.073,8.649,4.125,4.125,-19.111,120.154,167.644
0.075,8.911,4.156,4.156,-18.978,120.224,167.859
0.076,9.150,4.187,4.187,-18.859,120.288,168.055
0.078,9.357,4.215,4.215,-18.759,120.343,168.228
0.079,9.526,4.237,4.237,-18.681,120.386,168.372
0.081,9.651,4.251,4.251,-18.629,120.413,168.482
0.082,9.735,4.254,4.254,-18.600,120.428,168.560
0.084,9.787,4.250,4.250,-18.587,120.434,168.609
0.085,9.811,4.240,4.240,-18.584,120.434,168.633
0.086,9.816,4.227,4.227,-18.587,120.431,168.636
0.088,9.831,4.216,4.216,-18.588,120.429,168.621
