"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.745,2.745,77.548,-50.707,-1.552
0.001,0.380,2.849,2.849,77.296,-50.733,-1.834
0.003,0.756,2.953,2.953,77.046,-50.759,-2.114
0.004,1.125,3.056,3.056,76.801,-50.785,-2.388
0.005,1.484,3.158,3.158,76.562,-50.809,-2.656
0.007,1.829,3.257,3.257,76.333,-50.833,-2.913
0.008,2.157,3.355,3.355,76.115,-50.855,-3.157
0.009,2.465,3.450,3.450,75.912,-50.876,-3.387
0.011,2.749,3.542,3.542,75.724,-50.895,-3.599
0.012,3.005,3.630,3.630,75.555,-50.912,-3.790
0.013,3.230,3.713,3.713,75.406,-50.926,-3.959
0.015,3.421,3.790,3.790,75.281,-50.938,-4.103
0.016,3.575,3.858,3.858,75.181,-50.946,-4.219
0.017,3.688,3.917,3.917,75.108,-50.952,-4.306
0.019,3.763,3.966,3.966,75.061,-50.954,-4.364
0.020,3.806,4.003,4.003,75.035,-50.955,-4.398
0.021,3.823,4.027,4.027,75.026,-50.954,-4.413
0.023,3.828,4.040,4.040,75.031,-50.952,-4.411
0.024,3.848,4.044,4.044,75.045,-50.950,-4.397
0.025,3.878,4.043,4.043,75.065,-50.948,-4.375
0.027,3.911,4.038,4.038,75.085,-50.947,-4.348
0.028,3.944,4.033,4.033,75.104,-50.948,-4.322
0.029,3.970,4.029,4.029,75.115,-50.951,-4.299
0.031,3.986,4.029,4.029,75.116,-50.956,-4.283
0.032,4.003,4.036,4.036,75.102,-50.966,-4.279
0.033,4.040,4.048,4.048,75.070,-50.979,-4.291
0.035,4.101,4.066,4.066,75.018,-50.996,-4.318
0.036,4.183,4.088,4.088,74.951,-51.017,-4.360
0.037,4.283,4.116,4.116,74.869,-51.041,-4.413
0.039,4.396,4.148,4.148,74.778,-51.067,-4.475
0.040,4.519,4.185,4.185,74.679,-51.094,-4.543
0.041,4.648,4.225,4.225,74.576,-51.123,-4.615
0.043,4.779,4.268,4.268,74.472,-51.151,-4.688
0.044,4.907,4.312,4.312,74.369,-51.180,-4.760
0.045,5.030,4.356,4.356,74.271,-51.207,-4.829
0.047,5.142,4.398,4.398,74.181,-51.232,-4.891
0.048,5.241,4.436,4.436,74.102,-51.256,-4.944
0.049,5.322,4.470,4.470,74.036,-51.276,-4.986
0.051,5.383,4.497,4.497,73.985,-51.293,-5.016
0.052,5.427,4.518,4.518,73.948,-51.308,-5.036
0.053,5.458,4.532,4.532,73.923,-51.321,-5.047
0.055,5.478,4.541,4.541,73.908,-51.333,-5.053
0.056,5.493,4.547,4.547,73.900,-51.345,-5.055
