"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,3.270,3.270,-66.891,-48.993,0.298
0.001,0.076,3.314,3.314,-66.859,-48.967,0.362
0.003,0.152,3.358,3.358,-66.828,-48.941,0.426
0.004,0.227,3.403,3.403,-66.796,-48.915,0.489
0.005,0.302,3.447,3.447,-66.764,-48.890,0.552
0.006,0.376,3.491,3.491,-66.732,-48.865,0.614
0.008,0.449,3.536,3.536,-66.700,-48.842,0.675
0.009,0.521,3.581,3.581,-66.667,-48.819,0.735
0.010,0.591,3.626,3.626,-66.635,-48.798,0.793
0.012,0.660,3.670,3.670,-66.602,-48.778,0.850
0.013,0.726,3.714,3.714,-66.569,-48.759,0.905
0.014,0.791,3.757,3.757,-66.536,-48.742,0.958
0.016,0.854,3.797,3.797,-66.503,-48.727,1.009
0.017,0.914,3.834,3.834,-66.469,-48.714,1.057
0.018,0.973,3.868,3.868,-66.434,-48.703,1.103
0.019,1.030,3.897,3.897,-66.398,-48.694,1.146
0.021,1.086,3.921,3.921,-66.360,-48.687,1.187
0.022,1.141,3.940,3.940,-66.320,-48.682,1.225
0.023,1.197,3.953,3.953,-66.278,-48.679,1.261
0.025,1.252,3.963,3.963,-66.233,-48.678,1.293
0.026,1.309,3.969,3.969,-66.184,-48.679,1.323
0.027,1.368,3.973,3.973,-66.132,-48.681,1.349
0.029,1.429,3.973,3.973,-66.076,-48.686,1.372
0.030,1.493,3.973,3.973,-66.015,-48.693,1.392
0.031,1.561,3.971,3.971,-65.950,-48.702,1.408
0.032,1.634,3.968,3.968,-65.879,-48.714,1.423
0.034,1.711,3.965,3.965,-65.804,-48.727,1.435
0.035,1.793,3.961,3.961,-65.725,-48.744,1.447
0.036,1.880,3.958,3.958,-65.641,-48.763,1.459
0.038,1.972,3.955,3.955,-65.553,-48.786,1.471
0.039,2.069,3.953,3.953,-65.460,-48.812,1.486
0.040,2.171,3.952,3.952,-65.364,-48.842,1.503
0.042,2.279,3.952,3.952,-65.263,-48.876,1.524
0.043,2.393,3.954,3.954,-65.159,-48.914,1.549
0.044,2.513,3.958,3.958,-65.051,-48.957,1.579
0.045,2.639,3.966,3.966,-64.940,-49.004,1.615
0.047,2.771,3.976,3.976,-64.826,-49.055,1.658
0.048,2.908,3.991,3.991,-64.710,-49.110,1.705
0.049,3.046,4.009,4.009,-64.595,-49.167,1.756
0.051,3.185,4.033,4.033,-64.482,-49.226,1.810
0.052,3.322,4.062,4.062,-64.371,-49.286,1.865
0.053,3.456,4.095,4.095,-64.266,-49.346,1.922
0.055,3.584,4.130,4.130,-64.168,-49.405,1.978
0.056,3.704,4.166,4.166,-64.077,-49.462,2.033
0.057,3.815,4.201,4.201,-63.995,-49.517,2.085
0.058,3.915,4.235,4.235,-63.925,-49.568,2.134
0.060,4.002,4.265,4.265,-63.867,-49.615,2.179
0.061,4.075,4.290,4.290,-63.822,-49.657,2.219
0.062,4.136,4.311,4.311,-63.790,-49.695,2.254
0.064,4.189,4.326,4.326,-63.769,-49.729,2.287
0.065,4.236,4.338,4.338,-63.757,-49.762,2.319
0.066,4.282,4.347,4.347,-63.752,-49.795,2.352
0.068,4.330,4.354,4.354,-63.754,-49.827,2.386
0.069,4.381,4.360,4.360,-63.760,-49.862,2.424
0.070,4.438,4.366,4.366,-63.769,-49.898,2.467
0.071,4.502,4.372,4.372,-63.780,-49.939,2.515
0.073,4.575,4.380,4.380,-63.791,-49.984,2.572
0.074,4.659,4.390,4.390,-63.800,-50.035,2.637
0.075,4.755,4.402,4.402,-63.806,-50.094,2.713
0.077,4.863,4.418,4.418,-63.808,-50.159,2.800
0.078,4.981,4.437,4.437,-63.806,-50.230,2.894
0.079,5.107,4.460,4.460,-63.801,-50.305,2.995
0.081,5.239,4.489,4.489,-63.793,-50.384,3.100
0.082,5.373,4.522,4.522,-63.782,-50.465,3.207
0.083,5.509,4.559,4.559,-63.769,-50.546,3.315
0.084,5.644,4.600,4.600,-63.752,-50.628,3.421
0.086,5.775,4.641,4.641,-63.734,-50.708,3.523
0.087,5.900,4.683,4.683,-63.714,-50.785,3.619
0.088,6.018,4.723,4.723,-63.691,-50.859,3.708
0.090,6.125,4.760,4.760,-63.667,-50.927,3.788
0.091,6.221,4.793,4.793,-63.642,-50.989,3.856
0.092,6.304,4.819,4.819,-63.618,-51.044,3.913
0.094,6.373,4.839,4.839,-63.594,-51.090,3.959
0.095,6.428,4.851,4.851,-63.574,-51.127,3.994
0.096,6.467,4.854,4.854,-63.558,-51.152,4.018
0.097,6.489,4.847,4.847,-63.547,-51.166,4.032
0.099,6.493,4.829,4.829,-63.544,-51.167,4.036
0.100,6.509,4.799,4.799,-63.550,-51.153,4.029
0.101,6.546,4.756,4.756,-63.566,-51.125,4.013
0.103,6.605,4.700,4.700,-63.593,-51.079,3.987
0.104,6.688,4.636,4.636,-63.633,-51.016,3.952
0.105,6.795,4.569,4.569,-63.688,-50.935,3.907
0.106,6.922,4.504,4.504,-63.753,-50.839,3.856
0.108,7.057,4.445,4.445,-63.824,-50.738,3.803
0.109,7.188,4.396,4.396,-63.894,-50.639,3.751
0.110,7.304,4.364,4.364,-63.956,-50.552,3.706
0.112,7.393,4.352,4.352,-64.004,-50.486,3.672
0.113,7.444,4.362,4.362,-64.032,-50.448,3.652
0.114,7.446,4.388,4.388,-64.034,-50.448,3.652
0.116,7.507,4.426,4.426,-64.003,-50.495,3.676
0.117,7.641,4.471,4.471,-63.932,-50.597,3.728
0.118,7.860,4.520,4.520,-63.816,-50.763,3.813
0.119,8.176,4.566,4.566,-63.649,-51.001,3.934
0.121,8.594,4.607,4.607,-63.426,-51.316,4.095
0.122,9.101,4.637,4.637,-63.155,-51.697,4.290
0.123,9.679,4.657,4.657,-62.845,-52.131,4.514
0.125,10.310,4.672,4.672,-62.505,-52.602,4.760
0.126,10.977,4.684,4.684,-62.145,-53.099,5.023
0.127,11.662,4.699,4.699,-61.773,-53.605,5.295
0.129,12.348,4.719,4.719,-61.399,-54.109,5.572
0.130,13.017,4.749,4.749,-61.032,-54.596,5.847
0.131,13.651,4.792,4.792,-60.681,-55.051,6.115
0.132,14.233,4.853,4.853,-60.354,-55.462,6.368
0.134,14.746,4.928,4.928,-60.063,-55.814,6.601
0.135,15.175,5.015,5.015,-59.814,-56.094,6.808
0.136,15.516,5.110,5.110,-59.610,-56.300,6.988
