"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,3.562,3.562,-23.015,117.193,162.141
0.001,0.367,3.738,3.738,-22.985,117.510,162.324
0.003,0.731,3.911,3.911,-22.955,117.823,162.505
0.004,1.087,4.079,4.079,-22.925,118.131,162.682
0.006,1.432,4.240,4.240,-22.895,118.429,162.853
0.007,1.763,4.391,4.391,-22.865,118.715,163.017
0.009,2.075,4.529,4.529,-22.836,118.986,163.170
0.010,2.365,4.653,4.653,-22.807,119.237,163.312
0.012,2.630,4.761,4.761,-22.778,119.467,163.440
0.013,2.866,4.853,4.853,-22.749,119.673,163.553
0.015,3.069,4.932,4.932,-22.721,119.850,163.648
0.016,3.236,4.999,4.999,-22.693,119.996,163.723
0.018,3.364,5.056,5.056,-22.666,120.109,163.777
0.019,3.454,5.102,5.102,-22.639,120.188,163.810
0.021,3.513,5.141,5.141,-22.613,120.239,163.826
0.022,3.549,5.173,5.173,-22.589,120.265,163.826
0.024,3.575,5.200,5.200,-22.566,120.270,163.813
0.025,3.609,5.221,5.221,-22.545,120.258,163.791
0.027,3.652,5.238,5.238,-22.526,120.233,163.761
0.028,3.704,5.252,5.252,-22.510,120.198,163.726
0.030,3.760,5.264,5.264,-22.496,120.159,163.689
0.031,3.816,5.274,5.274,-22.486,120.118,163.652
0.033,3.867,5.284,5.284,-22.479,120.079,163.618
0.034,3.909,5.292,5.292,-22.476,120.048,163.591
0.036,3.940,5.301,5.301,-22.476,120.025,163.570
0.037,3.960,5.309,5.309,-22.479,120.010,163.556
0.039,3.971,5.317,5.317,-22.481,120.003,163.549
0.040,3.973,5.325,5.325,-22.482,120.001,163.547
0.042,3.979,5.334,5.334,-22.480,120.004,163.551
0.043,3.991,5.344,5.344,-22.473,120.011,163.559
0.045,4.012,5.354,5.354,-22.460,120.021,163.571
0.046,4.040,5.364,5.364,-22.438,120.032,163.586
0.048,4.078,5.375,5.375,-22.407,120.044,163.604
0.049,4.127,5.385,5.385,-22.364,120.055,163.624
0.051,4.187,5.397,5.397,-22.309,120.065,163.646
0.052,4.261,5.408,5.408,-22.239,120.072,163.668
0.054,4.347,5.419,5.419,-22.156,120.076,163.691
0.055,4.442,5.431,5.431,-22.064,120.078,163.715
0.057,4.543,5.443,5.443,-21.966,120.078,163.738
0.058,4.648,5.455,5.455,-21.863,120.075,163.760
0.060,4.753,5.467,5.467,-21.760,120.072,163.781
0.061,4.857,5.479,5.479,-21.658,120.067,163.802
0.063,4.956,5.491,5.491,-21.562,120.061,163.820
0.064,5.046,5.503,5.503,-21.473,120.054,163.836
0.066,5.126,5.514,5.514,-21.394,120.047,163.850
0.067,5.193,5.525,5.525,-21.329,120.039,163.861
0.069,5.243,5.534,5.534,-21.280,120.032,163.869
0.070,5.277,5.543,5.543,-21.247,120.025,163.875
0.072,5.299,5.550,5.550,-21.228,120.018,163.882
0.073,5.313,5.555,5.555,-21.218,120.012,163.890
0.075,5.328,5.558,5.558,-21.216,120.006,163.904
0.076,5.349,5.558,5.558,-21.218,120.002,163.925
0.077,5.380,5.554,5.554,-21.222,119.999,163.956
0.079,5.423,5.547,5.547,-21.224,119.997,163.998
0.080,5.480,5.535,5.535,-21.221,119.996,164.055
0.082,5.554,5.519,5.519,-21.210,119.997,164.129
0.083,5.649,5.499,5.499,-21.189,120.000,164.221
0.085,5.768,5.476,5.476,-21.155,120.005,164.335
0.086,5.913,5.450,5.450,-21.105,120.012,164.471
0.088,6.080,5.424,5.424,-21.041,120.022,164.625
0.089,6.265,5.397,5.397,-20.966,120.035,164.793
0.091,6.461,5.372,5.372,-20.881,120.053,164.969
0.092,6.665,5.348,5.348,-20.789,120.075,165.149
0.094,6.871,5.324,5.324,-20.691,120.103,165.329
0.095,7.076,5.300,5.300,-20.590,120.136,165.503
0.097,7.273,5.275,5.275,-20.487,120.176,165.667
0.098,7.460,5.247,5.247,-20.385,120.223,165.817
0.100,7.633,5.216,5.216,-20.286,120.278,165.947
0.101,7.788,5.179,5.179,-20.191,120.341,166.052
0.103,7.926,5.137,5.137,-20.103,120.413,166.130
0.104,8.051,5.092,5.092,-20.021,120.493,166.182
0.106,8.171,5.046,5.046,-19.943,120.580,166.212
0.107,8.291,5.000,5.000,-19.867,120.671,166.226
0.109,8.413,4.957,4.957,-19.791,120.766,166.228
0.110,8.537,4.919,4.919,-19.713,120.863,166.224
0.112,8.664,4.887,4.887,-19.631,120.960,166.218
0.113,8.795,4.862,4.862,-19.544,121.056,166.216
0.115,8.928,4.843,4.843,-19.448,121.149,166.222
0.116,9.068,4.828,4.828,-19.342,121.238,166.241
0.118,9.217,4.817,4.817,-19.224,121.321,166.278
