"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.903,2.903,76.789,-49.668,-3.104
0.001,0.129,2.920,2.920,76.662,-49.647,-3.115
0.003,0.258,2.936,2.936,76.536,-49.625,-3.126
0.004,0.385,2.953,2.953,76.411,-49.605,-3.137
0.006,0.511,2.971,2.971,76.287,-49.584,-3.148
0.007,0.635,2.991,2.991,76.165,-49.565,-3.160
0.008,0.756,3.011,3.011,76.046,-49.547,-3.173
0.010,0.873,3.034,3.034,75.930,-49.531,-3.186
0.011,0.987,3.058,3.058,75.818,-49.516,-3.199
0.013,1.097,3.084,3.084,75.710,-49.503,-3.214
0.014,1.202,3.111,3.111,75.607,-49.493,-3.229
0.015,1.302,3.138,3.138,75.509,-49.484,-3.246
0.017,1.397,3.165,3.165,75.416,-49.479,-3.264
0.018,1.485,3.190,3.190,75.329,-49.477,-3.283
0.019,1.570,3.214,3.214,75.248,-49.478,-3.304
0.021,1.652,3.235,3.235,75.170,-49.484,-3.328
0.022,1.732,3.254,3.254,75.095,-49.495,-3.355
0.024,1.813,3.271,3.271,75.022,-49.513,-3.386
0.025,1.897,3.287,3.287,74.949,-49.537,-3.422
0.026,1.986,3.304,3.304,74.877,-49.568,-3.462
0.028,2.082,3.322,3.322,74.803,-49.608,-3.509
0.029,2.186,3.342,3.342,74.727,-49.657,-3.561
0.031,2.301,3.365,3.365,74.649,-49.716,-3.620
0.032,2.429,3.392,3.392,74.565,-49.786,-3.687
0.033,2.570,3.422,3.422,74.477,-49.866,-3.762
0.035,2.724,3.457,3.457,74.384,-49.957,-3.845
0.036,2.889,3.496,3.496,74.286,-50.056,-3.933
0.038,3.059,3.538,3.538,74.186,-50.158,-4.026
0.039,3.232,3.585,3.585,74.083,-50.262,-4.120
0.040,3.405,3.637,3.637,73.981,-50.363,-4.214
0.042,3.573,3.692,3.692,73.879,-50.460,-4.306
0.043,3.733,3.750,3.750,73.779,-50.549,-4.394
0.045,3.881,3.808,3.808,73.682,-50.626,-4.476
0.046,4.016,3.865,3.865,73.590,-50.689,-4.551
0.047,4.134,3.918,3.918,73.503,-50.734,-4.616
0.049,4.233,3.966,3.966,73.422,-50.759,-4.669
0.050,4.316,4.006,4.006,73.350,-50.761,-4.709
0.051,4.389,4.036,4.036,73.285,-50.741,-4.736
0.053,4.460,4.058,4.058,73.228,-50.703,-4.753
0.054,4.534,4.072,4.072,73.176,-50.651,-4.763
0.056,4.610,4.079,4.079,73.130,-50.590,-4.768
0.057,4.689,4.083,4.083,73.089,-50.523,-4.771
0.058,4.766,4.083,4.083,73.051,-50.456,-4.773
0.060,4.839,4.082,4.082,73.016,-50.392,-4.779
0.061,4.906,4.081,4.081,72.983,-50.335,-4.790
0.063,4.964,4.081,4.081,72.951,-50.290,-4.809
0.064,5.016,4.083,4.083,72.920,-50.261,-4.839
0.065,5.070,4.087,4.087,72.888,-50.252,-4.882
0.067,5.139,4.095,4.095,72.856,-50.266,-4.940
0.068,5.227,4.106,4.106,72.822,-50.302,-5.014
0.070,5.336,4.121,4.121,72.787,-50.358,-5.101
0.071,5.464,4.141,4.141,72.752,-50.430,-5.200
0.072,5.608,4.166,4.166,72.717,-50.514,-5.311
0.074,5.765,4.195,4.195,72.682,-50.609,-5.431
0.075,5.933,4.228,4.228,72.647,-50.711,-5.561
0.076,6.109,4.263,4.263,72.613,-50.816,-5.697
0.078,6.290,4.299,4.299,72.581,-50.922,-5.840
0.079,6.473,4.336,4.336,72.549,-51.026,-5.988
0.081,6.656,4.372,4.372,72.520,-51.124,-6.139
0.082,6.836,4.408,4.408,72.492,-51.214,-6.293
0.083,7.011,4.442,4.442,72.467,-51.293,-6.447
0.085,7.182,4.475,4.475,72.444,-51.362,-6.602
0.086,7.348,4.507,4.507,72.423,-51.422,-6.756
0.088,7.509,4.537,4.537,72.404,-51.473,-6.907
0.089,7.664,4.567,4.567,72.387,-51.518,-7.055
0.090,7.814,4.596,4.596,72.372,-51.556,-7.198
0.092,7.957,4.624,4.624,72.358,-51.589,-7.337
0.093,8.092,4.651,4.651,72.346,-51.618,-7.468
