"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.023,2.183,75.083,-47.201,-4.449
0.001,0.048,2.037,2.171,75.059,-47.191,-4.489
0.003,0.095,2.050,2.159,75.035,-47.181,-4.528
0.004,0.144,2.062,2.147,75.009,-47.173,-4.568
0.005,0.193,2.073,2.135,74.980,-47.166,-4.608
0.007,0.244,2.082,2.124,74.948,-47.163,-4.647
0.008,0.297,2.089,2.112,74.913,-47.162,-4.687
0.009,0.354,2.094,2.101,74.872,-47.166,-4.726
0.011,0.415,2.095,2.091,74.826,-47.174,-4.766
0.012,0.482,2.094,2.081,74.774,-47.187,-4.805
0.013,0.555,2.089,2.071,74.714,-47.206,-4.844
0.015,0.637,2.082,2.062,74.647,-47.232,-4.883
0.016,0.729,2.073,2.054,74.571,-47.265,-4.922
0.017,0.831,2.062,2.047,74.485,-47.305,-4.961
0.019,0.945,2.050,2.042,74.391,-47.354,-5.000
0.020,1.068,2.036,2.037,74.288,-47.410,-5.039
0.021,1.201,2.022,2.034,74.179,-47.473,-5.081
0.023,1.340,2.008,2.032,74.066,-47.542,-5.125
0.024,1.485,1.995,2.031,73.950,-47.615,-5.172
0.025,1.634,1.983,2.031,73.834,-47.693,-5.223
0.027,1.785,1.973,2.032,73.719,-47.774,-5.280
0.028,1.938,1.966,2.034,73.608,-47.858,-5.342
0.029,2.092,1.963,2.036,73.500,-47.943,-5.411
0.031,2.245,1.964,2.038,73.400,-48.030,-5.488
0.032,2.398,1.970,2.041,73.307,-48.117,-5.572
0.033,2.549,1.981,2.044,73.225,-48.204,-5.666
0.035,2.701,1.995,2.048,73.155,-48.289,-5.770
0.036,2.853,2.011,2.053,73.097,-48.372,-5.883
0.037,3.006,2.030,2.059,73.050,-48.454,-6.003
0.039,3.158,2.051,2.067,73.013,-48.533,-6.129
0.040,3.310,2.073,2.077,72.985,-48.609,-6.257
0.041,3.460,2.095,2.089,72.965,-48.683,-6.386
0.043,3.607,2.117,2.104,72.951,-48.753,-6.514
0.044,3.748,2.138,2.120,72.942,-48.820,-6.639
0.045,3.883,2.158,2.138,72.938,-48.882,-6.758
0.047,4.009,2.176,2.157,72.937,-48.941,-6.870
0.048,4.125,2.192,2.176,72.938,-48.996,-6.971
0.049,4.228,2.206,2.196,72.940,-49.046,-7.061
0.051,4.317,2.216,2.217,72.942,-49.091,-7.138
0.052,4.389,2.224,2.236,72.942,-49.131,-7.198
0.053,4.447,2.228,2.256,72.940,-49.166,-7.244
0.055,4.493,2.231,2.274,72.935,-49.198,-7.278
0.056,4.531,2.234,2.292,72.927,-49.225,-7.302
0.057,4.564,2.237,2.308,72.915,-49.251,-7.319
0.059,4.595,2.241,2.322,72.898,-49.274,-7.332
0.060,4.628,2.248,2.335,72.877,-49.296,-7.343
0.061,4.664,2.259,2.345,72.849,-49.317,-7.354
0.063,4.706,2.273,2.353,72.816,-49.338,-7.368
0.064,4.756,2.291,2.361,72.775,-49.360,-7.388
0.065,4.816,2.311,2.368,72.727,-49.383,-7.416
0.066,4.889,2.335,2.377,72.671,-49.408,-7.454
0.068,4.976,2.360,2.387,72.607,-49.436,-7.506
0.069,5.080,2.387,2.400,72.534,-49.467,-7.572
0.070,5.198,2.414,2.416,72.452,-49.501,-7.652
0.072,5.329,2.443,2.437,72.365,-49.538,-7.742
0.073,5.470,2.473,2.462,72.271,-49.576,-7.841
0.074,5.619,2.503,2.492,72.174,-49.615,-7.946
0.076,5.771,2.536,2.525,72.075,-49.656,-8.054
0.077,5.926,2.570,2.561,71.974,-49.697,-8.164
0.078,6.080,2.606,2.601,71.872,-49.737,-8.273
0.080,6.231,2.645,2.643,71.773,-49.777,-8.379
0.081,6.376,2.687,2.687,71.675,-49.816,-8.478
0.082,6.512,2.731,2.733,71.582,-49.854,-8.570
0.084,6.637,2.777,2.780,71.494,-49.889,-8.651
0.085,6.748,2.824,2.827,71.412,-49.921,-8.720
0.086,6.845,2.871,2.874,71.337,-49.951,-8.774
0.088,6.929,2.917,2.919,71.269,-49.978,-8.816
0.089,7.002,2.961,2.962,71.208,-50.003,-8.846
0.090,7.066,3.002,3.002,71.152,-50.025,-8.867
0.092,7.121,3.039,3.039,71.102,-50.045,-8.880
0.093,7.170,3.072,3.071,71.057,-50.063,-8.886
0.094,7.214,3.100,3.099,71.016,-50.080,-8.887
0.096,7.254,3.125,3.124,70.979,-50.095,-8.884
0.097,7.290,3.145,3.144,70.946,-50.108,-8.878
0.098,7.324,3.161,3.161,70.916,-50.120,-8.873
0.100,7.354,3.173,3.173,70.888,-50.132,-8.867
0.101,7.382,3.182,3.182,70.863,-50.142,-8.865
0.102,7.407,3.187,3.187,70.839,-50.153,-8.865
0.104,7.432,3.190,3.190,70.817,-50.162,-8.871
0.105,7.456,3.190,3.190,70.797,-50.172,-8.880
0.106,7.481,3.190,3.190,70.778,-50.181,-8.894
0.108,7.507,3.190,3.190,70.763,-50.190,-8.912
0.109,7.534,3.191,3.191,70.749,-50.199,-8.934
0.110,7.564,3.194,3.194,70.739,-50.209,-8.960
0.112,7.596,3.199,3.199,70.732,-50.219,-8.990
0.113,7.632,3.208,3.208,70.729,-50.230,-9.024
0.114,7.671,3.220,3.220,70.729,-50.241,-9.061
0.116,7.714,3.233,3.233,70.734,-50.253,-9.103
0.117,7.761,3.247,3.247,70.742,-50.266,-9.147
0.118,7.812,3.262,3.262,70.755,-50.280,-9.195
0.120,7.869,3.277,3.277,70.774,-50.295,-9.246
0.121,7.930,3.291,3.291,70.796,-50.311,-9.301
0.122,7.994,3.304,3.304,70.821,-50.328,-9.358
0.124,8.062,3.315,3.315,70.848,-50.346,-9.417
0.125,8.132,3.324,3.324,70.875,-50.364,-9.479
0.126,8.203,3.332,3.332,70.902,-50.383,-9.542
0.128,8.275,3.337,3.337,70.928,-50.402,-9.607
0.129,8.348,3.339,3.339,70.951,-50.421,-9.672
0.130,8.419,3.339,3.339,70.970,-50.439,-9.739
