"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.405,2.405,236.667,212.941,199.401
0.001,0.092,2.449,2.449,236.729,212.930,199.469
0.002,0.185,2.494,2.494,236.790,212.919,199.537
0.004,0.277,2.540,2.540,236.852,212.910,199.606
0.005,0.371,2.587,2.587,236.912,212.901,199.676
0.006,0.464,2.636,2.636,236.971,212.893,199.748
0.007,0.558,2.688,2.688,237.029,212.887,199.823
0.009,0.654,2.743,2.743,237.085,212.883,199.900
0.010,0.751,2.802,2.802,237.138,212.882,199.981
0.011,0.850,2.866,2.866,237.190,212.883,200.065
0.012,0.951,2.933,2.933,237.239,212.886,200.153
0.014,1.055,3.006,3.006,237.285,212.894,200.246
0.015,1.162,3.083,3.083,237.328,212.904,200.344
0.016,1.274,3.165,3.165,237.367,212.919,200.448
0.017,1.390,3.252,3.252,237.403,212.938,200.557
0.018,1.509,3.344,3.344,237.434,212.960,200.670
0.020,1.631,3.441,3.441,237.462,212.985,200.785
0.021,1.753,3.544,3.544,237.486,213.012,200.902
0.022,1.874,3.650,3.650,237.505,213.041,201.018
0.023,1.993,3.757,3.757,237.520,213.071,201.132
0.025,2.109,3.863,3.863,237.530,213.102,201.244
0.026,2.220,3.963,3.963,237.535,213.133,201.350
0.027,2.326,4.055,4.055,237.536,213.164,201.451
0.028,2.423,4.136,4.136,237.531,213.194,201.544
0.030,2.513,4.204,4.204,237.522,213.222,201.628
0.031,2.593,4.256,4.256,237.507,213.249,201.702
0.032,2.662,4.291,4.291,237.487,213.272,201.764
0.033,2.723,4.313,4.313,237.461,213.294,201.815
0.035,2.778,4.325,4.325,237.431,213.315,201.856
0.036,2.829,4.330,4.330,237.396,213.334,201.888
0.037,2.880,4.333,4.333,237.357,213.355,201.914
0.038,2.932,4.335,4.335,237.315,213.376,201.934
0.039,2.985,4.341,4.341,237.270,213.400,201.950
0.041,3.042,4.354,4.354,237.222,213.427,201.964
0.042,3.102,4.376,4.376,237.171,213.457,201.977
0.043,3.167,4.406,4.406,237.119,213.493,201.989
0.044,3.236,4.443,4.443,237.065,213.534,202.004
0.046,3.311,4.485,4.485,237.010,213.581,202.022
0.047,3.392,4.531,4.531,236.955,213.636,202.045
0.048,3.480,4.580,4.580,236.899,213.698,202.074
0.049,3.576,4.631,4.631,236.843,213.768,202.108
0.051,3.677,4.682,4.682,236.788,213.842,202.147
0.052,3.782,4.733,4.733,236.733,213.922,202.190
0.053,3.890,4.782,4.782,236.680,214.004,202.236
0.054,4.000,4.829,4.829,236.628,214.087,202.284
0.055,4.110,4.875,4.875,236.577,214.171,202.334
0.057,4.219,4.920,4.920,236.528,214.254,202.385
0.058,4.324,4.961,4.961,236.482,214.335,202.435
0.059,4.425,5.001,5.001,236.438,214.411,202.484
0.060,4.521,5.038,5.038,236.397,214.483,202.532
0.062,4.609,5.072,5.072,236.359,214.548,202.577
0.063,4.688,5.103,5.103,236.325,214.606,202.619
0.064,4.758,5.130,5.130,236.295,214.655,202.658
0.065,4.819,5.155,5.155,236.268,214.698,202.693
0.067,4.873,5.176,5.176,236.244,214.733,202.725
0.068,4.920,5.193,5.193,236.223,214.764,202.755
0.069,4.962,5.206,5.206,236.205,214.790,202.783
0.070,5.000,5.216,5.216,236.189,214.812,202.809
0.072,5.035,5.222,5.222,236.176,214.832,202.834
0.073,5.067,5.224,5.224,236.165,214.851,202.859
0.074,5.099,5.224,5.224,236.156,214.869,202.883
0.075,5.130,5.221,5.221,236.148,214.887,202.907
0.076,5.163,5.218,5.218,236.142,214.907,202.932
0.078,5.197,5.214,5.214,236.137,214.929,202.958
0.079,5.234,5.212,5.212,236.133,214.954,202.985
0.080,5.275,5.210,5.210,236.130,214.983,203.014
0.081,5.318,5.211,5.211,236.129,215.015,203.043
0.083,5.364,5.214,5.214,236.130,215.050,203.073
0.084,5.412,5.218,5.218,236.133,215.087,203.102
0.085,5.462,5.224,5.224,236.140,215.127,203.132
0.086,5.513,5.229,5.229,236.150,215.168,203.160
0.088,5.566,5.234,5.234,236.164,215.212,203.187
0.089,5.621,5.237,5.236,236.182,215.256,203.213
0.090,5.677,5.237,5.237,236.205,215.302,203.236
0.091,5.735,5.234,5.234,236.234,215.348,203.257
0.092,5.796,5.228,5.228,236.268,215.395,203.274
0.094,5.859,5.220,5.220,236.308,215.442,203.288
0.095,5.926,5.208,5.208,236.355,215.489,203.299
0.096,5.997,5.196,5.196,236.408,215.536,203.306
0.097,6.073,5.182,5.182,236.467,215.583,203.311
0.099,6.153,5.168,5.168,236.531,215.631,203.315
0.100,6.237,5.155,5.155,236.599,215.681,203.319
0.101,6.326,5.142,5.142,236.672,215.731,203.322
0.102,6.418,5.131,5.131,236.748,215.783,203.328
0.104,6.514,5.122,5.122,236.827,215.837,203.335
