"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.587,2.587,190.603,209.428,201.115
0.001,0.023,2.603,2.603,190.590,209.415,201.129
0.003,0.044,2.619,2.619,190.578,209.401,201.140
0.004,0.064,2.634,2.634,190.566,209.387,201.149
0.005,0.082,2.649,2.649,190.556,209.373,201.152
0.007,0.099,2.663,2.663,190.548,209.359,201.148
0.008,0.120,2.675,2.675,190.541,209.343,201.135
0.009,0.149,2.685,2.685,190.537,209.327,201.112
0.010,0.188,2.694,2.694,190.536,209.310,201.077
0.012,0.240,2.701,2.701,190.537,209.291,201.028
0.013,0.308,2.708,2.708,190.543,209.272,200.963
0.014,0.394,2.714,2.714,190.553,209.251,200.881
0.016,0.496,2.722,2.722,190.566,209.229,200.782
0.017,0.612,2.732,2.732,190.583,209.205,200.669
0.018,0.739,2.746,2.746,190.603,209.182,200.546
0.020,0.872,2.764,2.764,190.625,209.158,200.417
0.021,1.008,2.787,2.787,190.647,209.135,200.285
0.022,1.143,2.815,2.815,190.671,209.112,200.154
0.023,1.273,2.847,2.847,190.694,209.091,200.028
0.025,1.395,2.880,2.880,190.716,209.071,199.910
0.026,1.505,2.913,2.913,190.737,209.053,199.803
0.027,1.598,2.944,2.944,190.755,209.038,199.712
0.029,1.673,2.972,2.972,190.770,209.026,199.640
0.030,1.729,2.994,2.994,190.781,209.016,199.587
0.031,1.770,3.009,3.009,190.789,209.010,199.547
0.033,1.798,3.018,3.018,190.793,209.005,199.519
0.034,1.819,3.022,3.022,190.792,209.002,199.499
0.035,1.835,3.023,3.023,190.787,209.001,199.483
0.036,1.854,3.023,3.023,190.776,209.002,199.468
0.038,1.877,3.023,3.023,190.760,209.003,199.451
0.039,1.909,3.026,3.026,190.739,209.006,199.428
0.040,1.951,3.032,3.032,190.712,209.009,199.396
0.042,2.007,3.043,3.043,190.678,209.012,199.350
0.043,2.080,3.059,3.059,190.638,209.016,199.290
0.044,2.167,3.077,3.077,190.592,209.019,199.217
0.046,2.267,3.096,3.096,190.538,209.024,199.133
0.047,2.377,3.115,3.115,190.477,209.029,199.041
0.048,2.495,3.132,3.132,190.409,209.036,198.945
0.049,2.619,3.146,3.146,190.333,209.045,198.847
0.051,2.748,3.154,3.154,190.249,209.056,198.750
