"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,3.286,3.286,253.538,182.504,209.136
0.002,0.034,3.288,3.288,253.539,182.526,209.163
0.003,0.067,3.291,3.291,253.539,182.547,209.188
0.005,0.096,3.295,3.295,253.540,182.565,209.210
0.007,0.120,3.300,3.300,253.540,182.579,209.230
0.009,0.137,3.308,3.308,253.540,182.587,209.245
0.010,0.146,3.317,3.317,253.540,182.589,209.254
0.012,0.153,3.328,3.328,253.540,182.583,209.257
0.014,0.169,3.338,3.338,253.539,182.567,209.251
0.016,0.199,3.345,3.345,253.538,182.541,209.237
0.017,0.244,3.345,3.345,253.537,182.503,209.212
0.019,0.307,3.336,3.336,253.535,182.452,209.176
0.021,0.389,3.314,3.314,253.533,182.386,209.128
0.022,0.488,3.282,3.282,253.531,182.306,209.069
0.024,0.601,3.246,3.246,253.530,182.214,209.004
0.026,0.721,3.214,3.214,253.530,182.115,208.937
0.028,0.844,3.195,3.195,253.535,182.009,208.874
0.029,0.965,3.197,3.197,253.543,181.901,208.820
0.031,1.081,3.228,3.228,253.557,181.793,208.778
0.033,1.190,3.286,3.286,253.578,181.689,208.755
0.035,1.293,3.363,3.363,253.606,181.590,208.756
0.036,1.393,3.449,3.449,253.642,181.501,208.784
0.038,1.503,3.532,3.532,253.689,181.423,208.844
0.040,1.633,3.603,3.603,253.746,181.360,208.943
0.041,1.796,3.652,3.652,253.816,181.314,209.083
0.043,1.991,3.680,3.680,253.894,181.284,209.259
0.045,2.214,3.693,3.693,253.980,181.267,209.465
0.047,2.458,3.700,3.700,254.068,181.263,209.692
0.048,2.714,3.709,3.709,254.158,181.267,209.932
0.050,2.975,3.727,3.727,254.244,181.277,210.177
0.052,3.231,3.762,3.762,254.326,181.292,210.420
0.054,3.476,3.809,3.809,254.398,181.308,210.653
0.055,3.700,3.864,3.864,254.459,181.324,210.869
0.057,3.896,3.918,3.918,254.505,181.337,211.058
0.059,4.054,3.964,3.964,254.533,181.345,211.214
0.060,4.169,3.996,3.996,254.541,181.344,211.329
0.062,4.241,4.008,4.008,254.528,181.336,211.399
0.064,4.288,4.003,4.003,254.499,181.321,211.432
0.066,4.331,3.989,3.989,254.461,181.301,211.435
0.067,4.381,3.971,3.971,254.419,181.280,211.416
0.069,4.436,3.958,3.958,254.380,181.260,211.382
0.071,4.490,3.955,3.955,254.350,181.243,211.342
0.073,4.534,3.966,3.966,254.335,181.231,211.302
0.074,4.566,3.987,3.987,254.340,181.227,211.270
0.076,4.603,4.010,4.010,254.372,181.234,211.255
0.078,4.671,4.027,4.027,254.437,181.253,211.263
0.079,4.787,4.033,4.033,254.541,181.287,211.302
0.081,4.962,4.019,4.019,254.689,181.339,211.380
0.083,5.194,3.984,3.984,254.878,181.406,211.495
0.085,5.472,3.938,3.938,255.102,181.487,211.640
0.086,5.787,3.892,3.892,255.351,181.578,211.809
0.088,6.128,3.856,3.856,255.619,181.676,211.996
0.090,6.484,3.841,3.841,255.897,181.778,212.194
0.092,6.846,3.859,3.859,256.178,181.881,212.397
0.093,7.202,3.910,3.910,256.454,181.982,212.598
0.095,7.542,3.982,3.982,256.717,182.079,212.791
0.097,7.856,4.059,4.059,256.960,182.167,212.970
0.098,8.133,4.128,4.128,257.174,182.244,213.127
0.100,8.363,4.174,4.174,257.353,182.307,213.257
0.102,8.538,4.183,4.183,257.490,182.354,213.355
0.104,8.663,4.156,4.156,257.589,182.386,213.424
0.105,8.743,4.107,4.107,257.654,182.405,213.467
0.107,8.785,4.048,4.048,257.690,182.414,213.488
0.109,8.795,3.996,3.996,257.700,182.413,213.490
0.111,8.814,3.962,3.962,257.689,182.406,213.476
0.112,8.853,3.960,3.960,257.661,182.393,213.451
0.114,8.907,3.990,3.990,257.622,182.377,213.419
0.116,8.970,4.039,4.039,257.574,182.360,213.381
0.117,9.036,4.096,4.096,257.523,182.344,213.343
0.119,9.100,4.151,4.151,257.472,182.330,213.307
0.121,9.155,4.193,4.193,257.426,182.320,213.278
0.123,9.200,4.212,4.212,257.387,182.315,213.256
0.124,9.234,4.210,4.210,257.356,182.314,213.241
0.126,9.258,4.194,4.194,257.334,182.316,213.233
0.128,9.273,4.170,4.170,257.319,182.319,213.231
0.130,9.281,4.146,4.146,257.313,182.323,213.235
0.131,9.292,4.128,4.128,257.317,182.326,213.245
0.133,9.312,4.121,4.121,257.330,182.328,213.259
0.135,9.342,4.123,4.123,257.353,182.327,213.278
0.136,9.382,4.129,4.129,257.386,182.323,213.302
0.138,9.435,4.136,4.136,257.430,182.314,213.328
0.140,9.499,4.138,4.138,257.485,182.299,213.358
0.142,9.576,4.132,4.132,257.552,182.278,213.391
0.143,9.665,4.115,4.115,257.629,182.250,213.426
0.145,9.765,4.090,4.090,257.716,182.218,213.461
0.147,9.874,4.059,4.059,257.813,182.181,213.498
