"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,3.103,3.103,178.474,172.837,145.434
0.001,0.224,3.176,3.176,178.375,173.024,145.359
0.003,0.447,3.250,3.250,178.276,173.210,145.285
0.004,0.668,3.324,3.324,178.179,173.394,145.212
0.005,0.885,3.398,3.398,178.084,173.576,145.141
0.007,1.097,3.472,3.472,177.992,173.754,145.071
0.008,1.304,3.547,3.547,177.903,173.928,145.004
0.009,1.503,3.623,3.623,177.818,174.096,144.941
0.011,1.694,3.699,3.699,177.738,174.259,144.880
0.012,1.876,3.776,3.776,177.663,174.414,144.824
0.013,2.046,3.852,3.852,177.594,174.562,144.772
0.015,2.206,3.928,3.928,177.533,174.701,144.725
0.016,2.352,4.001,4.001,177.478,174.831,144.684
0.017,2.486,4.072,4.072,177.431,174.950,144.648
0.019,2.607,4.140,4.140,177.391,175.061,144.618
0.020,2.716,4.204,4.204,177.357,175.161,144.592
0.021,2.814,4.264,4.264,177.329,175.252,144.570
0.023,2.901,4.318,4.318,177.306,175.335,144.551
0.024,2.978,4.367,4.367,177.287,175.408,144.537
0.025,3.045,4.411,4.411,177.273,175.472,144.525
0.027,3.103,4.449,4.449,177.262,175.528,144.515
0.028,3.152,4.480,4.480,177.253,175.575,144.508
0.029,3.192,4.505,4.505,177.247,175.614,144.502
0.031,3.223,4.524,4.524,177.243,175.645,144.497
0.032,3.247,4.535,4.535,177.239,175.668,144.493
0.033,3.263,4.541,4.541,177.237,175.684,144.489
0.034,3.274,4.543,4.543,177.236,175.694,144.486
0.036,3.279,4.541,4.541,177.235,175.699,144.484
0.037,3.280,4.537,4.537,177.235,175.699,144.483
0.038,3.284,4.532,4.532,177.236,175.696,144.482
0.040,3.290,4.526,4.526,177.237,175.690,144.482
0.041,3.298,4.522,4.522,177.238,175.682,144.482
0.042,3.306,4.519,4.519,177.240,175.674,144.483
0.044,3.315,4.517,4.517,177.242,175.665,144.484
0.045,3.323,4.516,4.516,177.243,175.657,144.486
0.046,3.330,4.516,4.516,177.244,175.651,144.488
0.048,3.335,4.517,4.517,177.245,175.647,144.490
0.049,3.339,4.518,4.518,177.246,175.644,144.493
0.050,3.341,4.520,4.520,177.247,175.643,144.494
0.052,3.342,4.522,4.522,177.247,175.643,144.495
0.053,3.344,4.523,4.523,177.247,175.645,144.495
0.054,3.348,4.525,4.525,177.248,175.649,144.494
0.056,3.353,4.526,4.526,177.248,175.653,144.491
0.057,3.361,4.527,4.527,177.248,175.659,144.486
0.058,3.371,4.527,4.527,177.248,175.666,144.479
0.060,3.383,4.527,4.527,177.248,175.674,144.469
0.061,3.399,4.526,4.526,177.248,175.682,144.456
0.062,3.417,4.524,4.524,177.248,175.692,144.440
0.064,3.439,4.521,4.521,177.248,175.703,144.421
0.065,3.465,4.517,4.517,177.248,175.715,144.398
0.066,3.496,4.513,4.513,177.248,175.730,144.371
0.068,3.532,4.508,4.508,177.248,175.747,144.340
0.069,3.572,4.501,4.501,177.247,175.766,144.304
