"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.598,2.598,179.761,171.563,146.530
0.001,0.284,2.784,2.784,179.659,171.823,146.483
0.003,0.565,2.967,2.967,179.558,172.082,146.437
0.004,0.842,3.146,3.146,179.458,172.335,146.391
0.005,1.111,3.319,3.319,179.361,172.582,146.346
0.006,1.370,3.482,3.482,179.267,172.820,146.302
0.008,1.618,3.633,3.633,179.178,173.047,146.260
0.009,1.850,3.771,3.771,179.094,173.260,146.220
0.010,2.065,3.893,3.893,179.016,173.457,146.182
0.011,2.261,3.998,3.998,178.945,173.635,146.146
0.013,2.434,4.086,4.086,178.882,173.794,146.114
0.014,2.583,4.159,4.159,178.827,173.929,146.085
0.015,2.705,4.220,4.220,178.783,174.040,146.060
0.017,2.799,4.269,4.269,178.748,174.124,146.038
0.018,2.866,4.307,4.307,178.723,174.184,146.020
0.019,2.911,4.338,4.338,178.707,174.223,146.004
0.020,2.938,4.362,4.362,178.698,174.244,145.991
0.022,2.952,4.381,4.381,178.697,174.252,145.979
0.023,2.963,4.396,4.396,178.700,174.250,145.968
0.024,2.980,4.407,4.407,178.709,174.240,145.958
0.025,3.001,4.417,4.417,178.721,174.227,145.948
0.027,3.023,4.426,4.426,178.736,174.214,145.936
0.028,3.046,4.434,4.434,178.753,174.205,145.923
0.029,3.069,4.444,4.444,178.771,174.203,145.909
0.031,3.095,4.456,4.456,178.788,174.211,145.891
0.032,3.130,4.471,4.471,178.804,174.233,145.870
0.033,3.174,4.488,4.488,178.819,174.268,145.847
0.034,3.228,4.508,4.508,178.833,174.314,145.821
0.036,3.291,4.529,4.529,178.845,174.368,145.794
0.037,3.359,4.552,4.552,178.856,174.429,145.765
0.038,3.431,4.576,4.576,178.866,174.495,145.736
0.039,3.506,4.601,4.601,178.875,174.563,145.708
0.041,3.580,4.627,4.627,178.883,174.631,145.680
0.042,3.651,4.652,4.652,178.890,174.697,145.653
0.043,3.719,4.677,4.677,178.895,174.760,145.629
0.045,3.779,4.701,4.701,178.900,174.816,145.607
0.046,3.831,4.724,4.724,178.905,174.864,145.588
0.047,3.872,4.744,4.744,178.908,174.902,145.573
0.048,3.902,4.761,4.761,178.911,174.930,145.562
0.050,3.923,4.776,4.776,178.913,174.949,145.553
0.051,3.936,4.786,4.786,178.914,174.961,145.548
0.052,3.942,4.792,4.792,178.916,174.966,145.545
