"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.989,1.989,299.284,283.037,275.410
0.001,0.554,2.166,2.166,299.303,282.917,275.950
0.003,1.101,2.339,2.339,299.322,282.798,276.484
0.004,1.635,2.506,2.506,299.339,282.683,277.005
0.006,2.149,2.663,2.663,299.356,282.574,277.507
0.007,2.636,2.808,2.808,299.370,282.471,277.983
0.009,3.090,2.936,2.936,299.383,282.377,278.426
0.010,3.503,3.044,3.044,299.393,282.294,278.832
0.012,3.871,3.131,3.131,299.401,282.223,279.192
0.013,4.184,3.200,3.200,299.405,282.166,279.500
0.015,4.438,3.253,3.253,299.406,282.125,279.751
0.016,4.627,3.296,3.296,299.403,282.102,279.938
0.017,4.752,3.332,3.332,299.397,282.094,280.063
0.019,4.826,3.365,3.365,299.392,282.098,280.136
0.020,4.859,3.399,3.399,299.391,282.109,280.167
0.022,4.874,3.437,3.437,299.396,282.124,280.165
0.023,4.906,3.478,3.478,299.411,282.136,280.140
0.025,4.954,3.523,3.523,299.439,282.143,280.101
0.026,5.016,3.570,3.570,299.483,282.140,280.058
0.028,5.091,3.620,3.620,299.546,282.122,280.021
0.029,5.186,3.672,3.672,299.631,282.085,280.000
0.030,5.312,3.725,3.725,299.742,282.025,280.003
0.032,5.476,3.780,3.780,299.878,281.940,280.038
0.033,5.676,3.835,3.835,300.035,281.834,280.100
0.035,5.903,3.891,3.891,300.208,281.712,280.184
0.036,6.149,3.948,3.948,300.390,281.581,280.284
0.038,6.403,4.006,4.006,300.575,281.446,280.394
0.039,6.657,4.064,4.064,300.758,281.312,280.509
0.041,6.900,4.123,4.123,300.931,281.186,280.623
0.042,7.123,4.181,4.181,301.091,281.073,280.731
0.044,7.317,4.238,4.238,301.229,280.977,280.827
0.045,7.471,4.290,4.290,301.342,280.906,280.905
0.046,7.577,4.335,4.335,301.422,280.864,280.960
0.048,7.638,4.372,4.372,301.471,280.849,280.993
0.049,7.667,4.398,4.398,301.495,280.854,281.008
0.051,7.687,4.411,4.411,301.499,280.873,281.009
0.052,7.717,4.410,4.410,301.488,280.900,280.999
0.054,7.755,4.400,4.400,301.467,280.928,280.983
0.055,7.793,4.384,4.384,301.442,280.950,280.965
0.057,7.824,4.367,4.367,301.417,280.960,280.949
0.058,7.846,4.353,4.353,301.399,280.951,280.940
0.060,7.881,4.347,4.347,301.393,280.917,280.940
0.061,7.948,4.352,4.352,301.403,280.852,280.954
0.062,8.056,4.370,4.370,301.432,280.752,280.984
0.064,8.199,4.401,4.401,301.478,280.624,281.028
0.065,8.370,4.443,4.443,301.537,280.473,281.082
0.067,8.562,4.493,4.493,301.606,280.305,281.144
0.068,8.767,4.550,4.550,301.682,280.127,281.211
0.070,8.978,4.612,4.612,301.761,279.944,281.281
0.071,9.187,4.676,4.676,301.840,279.763,281.349
0.073,9.387,4.742,4.742,301.915,279.590,281.414
0.074,9.570,4.807,4.807,301.984,279.431,281.472
0.075,9.728,4.868,4.868,302.042,279.291,281.521
0.077,9.856,4.925,4.925,302.087,279.178,281.558
0.078,9.955,4.975,4.975,302.120,279.088,281.583
0.080,10.030,5.017,5.017,302.141,279.017,281.599
0.081,10.088,5.047,5.047,302.153,278.962,281.607
0.083,10.133,5.067,5.067,302.156,278.916,281.608
0.084,10.173,5.079,5.079,302.153,278.877,281.605
0.086,10.212,5.086,5.086,302.146,278.839,281.600
0.087,10.254,5.092,5.092,302.135,278.798,281.593
0.089,10.305,5.101,5.101,302.122,278.750,281.587
0.090,10.366,5.114,5.114,302.110,278.690,281.584
0.091,10.444,5.137,5.137,302.099,278.613,281.585
0.093,10.538,5.168,5.168,302.091,278.519,281.591
0.094,10.647,5.207,5.207,302.085,278.411,281.602
0.096,10.766,5.249,5.249,302.081,278.293,281.616
0.097,10.891,5.293,5.293,302.079,278.169,281.632
0.099,11.019,5.335,5.335,302.079,278.042,281.650
0.100,11.145,5.372,5.372,302.080,277.918,281.670
0.102,11.265,5.402,5.402,302.082,277.799,281.689
0.103,11.375,5.423,5.423,302.085,277.691,281.708
0.104,11.472,5.438,5.438,302.089,277.595,281.725
0.106,11.552,5.449,5.449,302.094,277.518,281.740
0.107,11.610,5.456,5.456,302.098,277.460,281.752
0.109,11.649,5.462,5.462,302.103,277.423,281.761
0.110,11.672,5.468,5.468,302.108,277.402,281.767
0.112,11.681,5.477,5.477,302.113,277.395,281.771
0.113,11.687,5.489,5.489,302.117,277.399,281.773
0.115,11.701,5.503,5.503,302.121,277.412,281.773
0.116,11.721,5.517,5.517,302.125,277.432,281.771
0.118,11.744,5.532,5.532,302.128,277.454,281.767
0.119,11.768,5.545,5.545,302.130,277.478,281.763
0.120,11.791,5.556,5.556,302.131,277.500,281.757
0.122,11.809,5.564,5.564,302.132,277.517,281.751
0.123,11.822,5.569,5.569,302.132,277.529,281.745
0.125,11.830,5.571,5.571,302.132,277.535,281.740
0.126,11.834,5.572,5.572,302.132,277.537,281.737
0.128,11.837,5.571,5.571,302.134,277.535,281.737
0.129,11.846,5.570,5.570,302.137,277.528,281.741
0.131,11.860,5.570,5.570,302.143,277.518,281.750
0.132,11.882,5.571,5.571,302.152,277.505,281.765
0.134,11.912,5.573,5.573,302.165,277.489,281.787
0.135,11.951,5.578,5.578,302.182,277.470,281.816
0.136,11.999,5.584,5.584,302.204,277.450,281.855
0.138,12.059,5.592,5.592,302.231,277.429,281.903
0.139,12.127,5.601,5.601,302.263,277.406,281.959
0.141,12.202,5.613,5.613,302.298,277.383,282.021
0.142,12.282,5.626,5.626,302.336,277.360,282.088
0.144,12.365,5.641,5.641,302.375,277.337,282.157
0.145,12.449,5.658,5.658,302.415,277.314,282.228
0.147,12.531,5.675,5.675,302.454,277.293,282.297
0.148,12.610,5.692,5.692,302.492,277.274,282.363
0.149,12.684,5.709,5.709,302.528,277.256,282.425
0.151,12.750,5.725,5.725,302.561,277.241,282.481
0.152,12.807,5.741,5.741,302.589,277.229,282.528
0.154,12.854,5.755,5.755,302.613,277.220,282.568
0.155,12.894,5.767,5.767,302.633,277.212,282.602
0.157,12.929,5.778,5.778,302.651,277.204,282.631
0.158,12.962,5.786,5.786,302.667,277.196,282.658
0.160,12.993,5.792,5.792,302.682,277.185,282.683
0.161,13.025,5.796,5.796,302.696,277.172,282.709
0.163,13.062,5.797,5.797,302.711,277.155,282.738
0.164,13.104,5.796,5.796,302.728,277.134,282.770
0.165,13.155,5.793,5.793,302.746,277.106,282.809
0.167,13.216,5.789,5.789,302.768,277.071,282.854
0.168,13.289,5.785,5.785,302.792,277.028,282.908
0.170,13.371,5.781,5.781,302.820,276.980,282.969
0.171,13.461,5.777,5.777,302.849,276.927,283.034
0.173,13.554,5.775,5.775,302.880,276.871,283.102
0.174,13.650,5.774,5.774,302.913,276.814,283.172
0.176,13.745,5.775,5.775,302.945,276.757,283.241
0.177,13.838,5.776,5.776,302.978,276.702,283.307
0.179,13.925,5.777,5.777,303.010,276.650,283.370
0.180,14.004,5.779,5.779,303.040,276.603,283.426
0.181,14.073,5.780,5.780,303.069,276.563,283.474
0.183,14.130,5.781,5.781,303.094,276.530,283.513
0.184,14.174,5.781,5.781,303.118,276.506,283.542
0.186,14.207,5.780,5.780,303.138,276.489,283.561
0.187,14.229,5.779,5.779,303.155,276.479,283.572
0.189,14.245,5.778,5.778,303.170,276.475,283.574
0.190,14.257,5.777,5.777,303.181,276.477,283.569
0.192,14.274,5.776,5.776,303.190,276.483,283.557
0.193,14.296,5.775,5.775,303.195,276.494,283.538
0.194,14.324,5.775,5.775,303.198,276.508,283.514
0.196,14.359,5.775,5.775,303.197,276.525,283.484
0.197,14.399,5.775,5.775,303.193,276.545,283.449
0.199,14.443,5.776,5.776,303.187,276.565,283.411
0.200,14.486,5.777,5.777,303.179,276.585,283.374
0.202,14.522,5.779,5.779,303.171,276.601,283.342
0.203,14.548,5.781,5.781,303.165,276.613,283.319
0.205,14.559,5.783,5.783,303.162,276.617,283.310
0.206,14.569,5.785,5.785,303.164,276.611,283.318
0.208,14.604,5.786,5.786,303.171,276.595,283.348
0.209,14.670,5.786,5.786,303.187,276.564,283.404
0.210,14.771,5.784,5.784,303.211,276.518,283.490
0.212,14.912,5.780,5.780,303.246,276.453,283.610
0.213,15.096,5.774,5.774,303.293,276.369,283.768
0.215,15.320,5.768,5.768,303.350,276.268,283.959
0.216,15.576,5.764,5.764,303.415,276.151,284.177
0.218,15.857,5.765,5.765,303.487,276.023,284.417
0.219,16.156,5.773,5.773,303.562,275.886,284.671
0.221,16.464,5.791,5.791,303.639,275.743,284.933
0.222,16.775,5.820,5.820,303.715,275.597,285.198
0.224,17.082,5.864,5.864,303.788,275.451,285.457
0.225,17.377,5.919,5.919,303.857,275.309,285.706
0.226,17.653,5.981,5.981,303.918,275.172,285.938
0.228,17.902,6.046,6.046,303.970,275.045,286.146
0.229,18.122,6.111,6.111,304.012,274.929,286.328
0.231,18.315,6.170,6.170,304.045,274.823,286.486
0.232,18.484,6.220,6.220,304.070,274.726,286.622
0.234,18.631,6.258,6.258,304.088,274.639,286.739
0.235,18.758,6.285,6.285,304.100,274.561,286.838
0.237,18.868,6.303,6.303,304.107,274.491,286.923
0.238,18.962,6.315,6.315,304.111,274.428,286.994
0.239,19.044,6.323,6.323,304.112,274.373,287.055
