"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,3.368,3.368,217.899,189.049,181.962
0.001,0.188,3.451,3.451,218.003,189.000,182.111
0.003,0.374,3.532,3.532,218.107,188.952,182.258
0.004,0.557,3.610,3.610,218.209,188.905,182.402
0.005,0.735,3.684,3.684,218.308,188.860,182.542
0.007,0.906,3.751,3.751,218.405,188.818,182.678
0.008,1.070,3.811,3.811,218.498,188.779,182.806
0.009,1.223,3.861,3.861,218.586,188.744,182.927
0.011,1.366,3.901,3.901,218.669,188.713,183.039
0.012,1.496,3.930,3.930,218.746,188.687,183.140
0.013,1.611,3.949,3.949,218.815,188.667,183.230
0.014,1.711,3.961,3.961,218.878,188.654,183.307
0.016,1.793,3.967,3.967,218.932,188.647,183.369
0.017,1.859,3.969,3.969,218.978,188.648,183.417
0.018,1.914,3.968,3.968,219.018,188.654,183.452
0.020,1.960,3.968,3.968,219.055,188.665,183.478
0.021,2.002,3.969,3.969,219.091,188.679,183.495
0.022,2.045,3.972,3.972,219.129,188.695,183.507
0.024,2.091,3.977,3.977,219.171,188.712,183.516
0.025,2.142,3.985,3.985,219.219,188.727,183.524
0.026,2.202,3.995,3.995,219.276,188.741,183.532
0.028,2.273,4.008,4.008,219.345,188.752,183.544
0.029,2.357,4.024,4.024,219.428,188.758,183.562
0.030,2.460,4.043,4.043,219.527,188.757,183.588
0.032,2.582,4.065,4.065,219.644,188.750,183.623
0.033,2.726,4.090,4.090,219.779,188.735,183.669
0.034,2.885,4.120,4.120,219.928,188.712,183.722
0.036,3.058,4.153,4.153,220.088,188.682,183.781
0.037,3.241,4.191,4.191,220.255,188.644,183.843
0.038,3.429,4.235,4.235,220.426,188.599,183.908
0.039,3.619,4.283,4.283,220.597,188.546,183.972
0.041,3.808,4.338,4.338,220.765,188.486,184.035
0.042,3.993,4.398,4.398,220.927,188.419,184.093
0.043,4.170,4.463,4.463,221.078,188.344,184.145
0.045,4.336,4.531,4.531,221.216,188.263,184.189
0.046,4.490,4.600,4.600,221.337,188.174,184.223
0.047,4.632,4.670,4.670,221.439,188.078,184.246
0.049,4.763,4.739,4.739,221.522,187.977,184.259
0.050,4.887,4.806,4.806,221.590,187.873,184.264
0.051,5.006,4.869,4.869,221.644,187.768,184.265
0.053,5.118,4.928,4.928,221.688,187.664,184.262
0.054,5.225,4.981,4.981,221.723,187.563,184.260
0.055,5.325,5.028,5.028,221.752,187.468,184.260
0.057,5.417,5.068,5.068,221.778,187.379,184.265
0.058,5.501,5.100,5.100,221.803,187.300,184.277
0.059,5.576,5.123,5.123,221.830,187.233,184.298
0.061,5.647,5.136,5.136,221.861,187.179,184.332
0.062,5.719,5.139,5.139,221.898,187.141,184.380
0.063,5.800,5.133,5.133,221.944,187.119,184.444
0.064,5.894,5.120,5.120,221.996,187.111,184.520
0.066,5.999,5.102,5.102,222.054,187.117,184.608
0.067,6.114,5.081,5.081,222.116,187.133,184.704
0.068,6.237,5.059,5.059,222.181,187.157,184.805
0.070,6.364,5.037,5.037,222.248,187.188,184.909
0.071,6.494,5.017,5.017,222.314,187.224,185.014
0.072,6.622,5.001,5.001,222.380,187.262,185.117
0.074,6.745,4.988,4.988,222.443,187.301,185.216
0.075,6.860,4.978,4.978,222.502,187.338,185.307
0.076,6.963,4.971,4.971,222.556,187.371,185.389
0.078,7.052,4.966,4.966,222.603,187.399,185.459
0.079,7.126,4.963,4.963,222.644,187.421,185.516
0.080,7.185,4.962,4.962,222.678,187.437,185.562
0.082,7.232,4.963,4.963,222.707,187.449,185.598
0.083,7.269,4.964,4.964,222.730,187.456,185.625
0.084,7.296,4.966,4.966,222.749,187.459,185.644
0.086,7.315,4.969,4.969,222.764,187.459,185.657
0.087,7.329,4.972,4.972,222.775,187.457,185.664
0.088,7.339,4.975,4.975,222.784,187.454,185.668
0.089,7.347,4.978,4.978,222.790,187.449,185.670
0.091,7.355,4.980,4.980,222.794,187.443,185.669
0.092,7.361,4.982,4.982,222.798,187.438,185.669
0.093,7.366,4.983,4.983,222.801,187.434,185.670
0.095,7.371,4.983,4.983,222.803,187.430,185.672
0.096,7.375,4.983,4.983,222.805,187.427,185.674
0.097,7.379,4.982,4.982,222.807,187.425,185.677
0.099,7.382,4.982,4.982,222.808,187.424,185.680
0.100,7.385,4.981,4.981,222.809,187.424,185.682
0.101,7.387,4.980,4.980,222.811,187.424,185.684
0.103,7.389,4.979,4.979,222.812,187.426,185.685
0.104,7.391,4.978,4.978,222.813,187.428,185.684
0.105,7.395,4.977,4.977,222.814,187.430,185.681
0.107,7.401,4.976,4.976,222.816,187.433,185.677
0.108,7.409,4.975,4.975,222.818,187.437,185.669
0.109,7.420,4.974,4.974,222.820,187.442,185.660
0.111,7.433,4.973,4.973,222.824,187.446,185.648
0.112,7.447,4.973,4.973,222.832,187.451,185.637
0.113,7.464,4.972,4.972,222.843,187.455,185.627
0.114,7.483,4.969,4.969,222.861,187.457,185.618
0.116,7.508,4.964,4.964,222.885,187.459,185.613
0.117,7.541,4.956,4.956,222.918,187.458,185.613
0.118,7.584,4.943,4.943,222.961,187.456,185.618
0.120,7.639,4.925,4.925,223.014,187.451,185.630
0.121,7.708,4.899,4.899,223.080,187.443,185.650
0.122,7.793,4.867,4.867,223.159,187.431,185.680
0.124,7.897,4.828,4.828,223.253,187.416,185.719
0.125,8.019,4.784,4.784,223.363,187.397,185.769
0.126,8.159,4.736,4.736,223.488,187.374,185.829
0.128,8.318,4.686,4.686,223.630,187.348,185.896
0.129,8.494,4.635,4.635,223.787,187.319,185.969
0.130,8.687,4.585,4.585,223.961,187.287,186.048
0.132,8.897,4.536,4.536,224.151,187.252,186.131
0.133,9.124,4.491,4.491,224.357,187.215,186.216
0.134,9.366,4.453,4.453,224.580,187.176,186.302
0.136,9.624,4.422,4.422,224.820,187.135,186.388
0.137,9.898,4.403,4.403,225.077,187.093,186.473
0.138,10.187,4.398,4.398,225.351,187.049,186.555
0.139,10.492,4.408,4.408,225.641,187.004,186.633
0.141,10.808,4.437,4.437,225.946,186.958,186.707
0.142,11.133,4.487,4.487,226.259,186.911,186.777
0.143,11.460,4.556,4.556,226.577,186.865,186.844
0.145,11.787,4.642,4.641,226.894,186.819,186.907
0.146,12.108,4.738,4.738,227.205,186.774,186.967
0.147,12.418,4.841,4.840,227.507,186.730,187.024
0.149,12.713,4.946,4.945,227.794,186.687,187.079
0.150,12.989,5.048,5.048,228.062,186.647,187.132
0.151,13.241,5.145,5.145,228.306,186.608,187.182
0.153,13.465,5.230,5.230,228.521,186.572,187.232
0.154,13.655,5.305,5.305,228.703,186.539,187.279
0.155,13.811,5.369,5.369,228.848,186.510,187.326
0.157,13.934,5.422,5.422,228.960,186.483,187.370
0.158,14.029,5.466,5.466,229.042,186.459,187.412
0.159,14.101,5.500,5.500,229.098,186.438,187.451
0.161,14.154,5.526,5.526,229.133,186.420,187.487
0.162,14.193,5.544,5.544,229.151,186.405,187.518
0.163,14.222,5.554,5.554,229.154,186.391,187.544
0.164,14.246,5.558,5.558,229.149,186.380,187.564
0.166,14.266,5.558,5.557,229.137,186.371,187.578
0.167,14.283,5.555,5.554,229.124,186.363,187.585
0.168,14.295,5.550,5.549,229.114,186.358,187.584
0.170,14.306,5.546,5.545,229.109,186.354,187.575
0.171,14.323,5.543,5.543,229.113,186.350,187.559
0.172,14.348,5.543,5.544,229.124,186.347,187.537
0.174,14.380,5.547,5.548,229.142,186.343,187.510
0.175,14.417,5.552,5.555,229.165,186.336,187.482
0.176,14.457,5.559,5.562,229.192,186.326,187.454
0.178,14.500,5.565,5.569,229.222,186.312,187.428
0.179,14.544,5.570,5.573,229.255,186.293,187.405
0.180,14.589,5.572,5.575,229.289,186.267,187.389
0.182,14.637,5.570,5.571,229.323,186.234,187.381
0.183,14.690,5.564,5.561,229.356,186.193,187.383
0.184,14.752,5.552,5.546,229.387,186.142,187.396
0.186,14.824,5.536,5.526,229.415,186.080,187.424
0.187,14.911,5.516,5.503,229.440,186.009,187.465
0.188,15.009,5.493,5.479,229.463,185.928,187.517
0.189,15.120,5.466,5.453,229.485,185.840,187.581
0.191,15.241,5.436,5.428,229.505,185.746,187.654
0.192,15.370,5.403,5.405,229.524,185.646,187.734
0.193,15.507,5.369,5.384,229.543,185.542,187.821
0.195,15.649,5.333,5.366,229.563,185.436,187.913
0.196,15.795,5.294,5.351,229.583,185.327,188.008
0.197,15.943,5.254,5.339,229.605,185.218,188.105
0.199,16.090,5.211,5.329,229.630,185.110,188.203
0.200,16.237,5.167,5.322,229.656,185.004,188.299
0.201,16.380,5.121,5.318,229.687,184.900,188.394
0.203,16.520,5.073,5.317,229.723,184.800,188.485
0.204,16.657,5.023,5.317,229.768,184.703,188.571
0.205,16.791,4.971,5.314,229.824,184.611,188.650
0.207,16.925,4.916,5.304,229.893,184.522,188.722
0.208,17.060,4.859,5.283,229.979,184.438,188.785
0.209,17.201,4.799,5.247,230.084,184.359,188.837
0.211,17.353,4.735,5.192,230.211,184.285,188.877
0.212,17.521,4.668,5.114,230.361,184.217,188.904
0.213,17.710,4.598,5.010,230.539,184.154,188.916
0.214,17.925,4.525,4.885,230.746,184.097,188.912
0.216,18.170,4.452,4.747,230.985,184.047,188.891
0.217,18.448,4.381,4.604,231.257,184.002,188.853
0.218,18.753,4.314,4.465,231.555,183.962,188.804
0.220,19.080,4.253,4.338,231.875,183.926,188.748
0.221,19.424,4.200,4.232,232.213,183.893,188.691
0.222,19.778,4.157,4.154,232.561,183.861,188.636
0.224,20.137,4.125,4.110,232.916,183.829,188.591
0.225,20.496,4.103,4.095,233.272,183.797,188.559
0.226,20.850,4.090,4.103,233.624,183.762,188.546
0.228,21.195,4.084,4.129,233.967,183.723,188.557
0.229,21.528,4.084,4.166,234.295,183.681,188.596
0.230,21.849,4.087,4.209,234.603,183.632,188.669
0.232,22.159,4.093,4.251,234.887,183.577,188.781
0.233,22.462,4.100,4.286,235.144,183.515,188.930
0.234,22.763,4.107,4.312,235.376,183.448,189.110
0.236,23.062,4.115,4.330,235.582,183.379,189.315
0.237,23.360,4.124,4.341,235.764,183.308,189.540
0.238,23.654,4.134,4.347,235.923,183.237,189.777
0.239,23.942,4.145,4.348,236.059,183.168,190.021
0.241,24.220,4.159,4.348,236.173,183.102,190.266
0.242,24.484,4.174,4.346,236.265,183.041,190.506
0.243,24.729,4.192,4.344,236.337,182.987,190.734
0.245,24.952,4.212,4.343,236.390,182.941,190.945
0.246,25.146,4.233,4.342,236.423,182.905,191.133
0.247,25.308,4.255,4.342,236.438,182.881,191.292
0.249,25.441,4.275,4.341,236.438,182.866,191.424
0.250,25.548,4.294,4.341,236.425,182.858,191.531
0.251,25.635,4.310,4.340,236.403,182.856,191.615
0.253,25.705,4.323,4.339,236.375,182.858,191.679
0.254,25.761,4.331,4.338,236.344,182.861,191.725
0.255,25.805,4.336,4.337,236.313,182.863,191.756
0.257,25.839,4.338,4.336,236.284,182.862,191.774
0.258,25.863,4.339,4.335,236.262,182.857,191.782
0.259,25.881,4.338,4.334,236.249,182.845,191.783
0.261,25.903,4.336,4.334,236.248,182.823,191.778
