"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.372,2.372,205.802,190.853,180.385
0.001,0.398,2.489,2.489,206.010,190.727,180.700
0.002,0.794,2.606,2.606,206.217,190.601,181.013
0.004,1.182,2.721,2.721,206.420,190.478,181.320
0.005,1.562,2.834,2.834,206.619,190.357,181.620
0.006,1.928,2.944,2.944,206.810,190.242,181.910
0.007,2.278,3.052,3.052,206.994,190.132,182.188
0.009,2.609,3.155,3.155,207.167,190.028,182.450
0.010,2.918,3.254,3.254,207.328,189.932,182.695
0.011,3.201,3.348,3.348,207.475,189.845,182.920
0.012,3.455,3.436,3.436,207.608,189.768,183.123
0.013,3.677,3.519,3.519,207.723,189.702,183.301
0.015,3.864,3.594,3.594,207.820,189.648,183.451
0.016,4.012,3.664,3.664,207.897,189.607,183.571
0.017,4.125,3.725,3.725,207.955,189.579,183.664
0.018,4.204,3.779,3.779,207.994,189.561,183.730
0.019,4.254,3.826,3.826,208.019,189.553,183.774
0.021,4.280,3.863,3.863,208.029,189.552,183.797
0.022,4.289,3.892,3.892,208.027,189.558,183.804
0.023,4.307,3.914,3.914,208.014,189.569,183.796
0.024,4.339,3.928,3.928,207.993,189.583,183.778
0.026,4.381,3.935,3.935,207.966,189.599,183.750
0.027,4.430,3.935,3.935,207.933,189.615,183.717
0.028,4.482,3.930,3.930,207.898,189.630,183.682
0.029,4.535,3.920,3.920,207.861,189.643,183.647
0.030,4.584,3.905,3.905,207.824,189.651,183.614
0.032,4.628,3.886,3.886,207.790,189.654,183.586
0.033,4.667,3.865,3.865,207.760,189.654,183.563
0.034,4.698,3.843,3.843,207.734,189.650,183.545
0.035,4.723,3.821,3.821,207.715,189.642,183.532
0.036,4.740,3.802,3.802,207.703,189.633,183.524
0.038,4.751,3.787,3.787,207.701,189.622,183.521
0.039,4.766,3.777,3.777,207.709,189.610,183.523
0.040,4.791,3.775,3.775,207.729,189.597,183.531
0.041,4.829,3.781,3.781,207.762,189.585,183.544
0.043,4.881,3.796,3.796,207.810,189.573,183.563
0.044,4.950,3.817,3.817,207.874,189.563,183.587
0.045,5.037,3.846,3.846,207.955,189.555,183.617
0.046,5.142,3.880,3.880,208.054,189.549,183.653
0.047,5.263,3.919,3.919,208.168,189.544,183.693
0.049,5.397,3.961,3.961,208.294,189.539,183.737
0.050,5.541,4.006,4.006,208.430,189.533,183.784
0.051,5.693,4.053,4.053,208.573,189.525,183.832
0.052,5.848,4.102,4.102,208.720,189.515,183.881
0.054,6.005,4.151,4.151,208.869,189.499,183.929
0.055,6.161,4.201,4.201,209.016,189.479,183.975
0.056,6.313,4.252,4.252,209.160,189.452,184.020
0.057,6.459,4.302,4.302,209.296,189.418,184.060
0.058,6.598,4.352,4.352,209.423,189.375,184.096
0.060,6.727,4.401,4.401,209.537,189.322,184.126
0.061,6.847,4.449,4.449,209.636,189.259,184.150
0.062,6.960,4.495,4.495,209.722,189.187,184.168
0.063,7.069,4.540,4.540,209.794,189.108,184.180
0.064,7.173,4.582,4.582,209.855,189.024,184.189
0.066,7.274,4.620,4.620,209.906,188.937,184.193
0.067,7.372,4.656,4.656,209.948,188.848,184.196
0.068,7.467,4.687,4.687,209.983,188.760,184.196
0.069,7.557,4.713,4.713,210.011,188.674,184.195
0.071,7.641,4.734,4.734,210.034,188.593,184.194
0.072,7.718,4.749,4.749,210.053,188.519,184.194
0.073,7.786,4.759,4.759,210.070,188.453,184.196
0.074,7.844,4.764,4.764,210.086,188.397,184.199
0.075,7.891,4.766,4.766,210.102,188.353,184.206
0.077,7.929,4.765,4.765,210.119,188.322,184.217
0.078,7.960,4.762,4.762,210.137,188.301,184.231
0.079,7.988,4.759,4.759,210.157,188.289,184.248
0.080,8.019,4.755,4.755,210.178,188.286,184.270
0.082,8.053,4.751,4.751,210.200,188.289,184.296
0.083,8.093,4.749,4.749,210.225,188.297,184.326
0.084,8.138,4.747,4.747,210.252,188.309,184.360
0.085,8.189,4.747,4.747,210.281,188.324,184.399
0.086,8.245,4.748,4.748,210.313,188.340,184.442
0.088,8.306,4.751,4.751,210.348,188.356,184.490
0.089,8.373,4.756,4.756,210.386,188.370,184.543
0.090,8.444,4.762,4.762,210.427,188.381,184.600
0.091,8.521,4.770,4.770,210.472,188.389,184.662
0.092,8.603,4.780,4.780,210.520,188.393,184.728
0.094,8.688,4.790,4.790,210.573,188.395,184.794
0.095,8.776,4.800,4.800,210.629,188.394,184.862
0.096,8.866,4.809,4.809,210.690,188.390,184.928
0.097,8.958,4.815,4.815,210.756,188.385,184.992
0.099,9.051,4.817,4.817,210.826,188.378,185.053
0.100,9.145,4.814,4.814,210.901,188.370,185.108
0.101,9.239,4.806,4.806,210.982,188.360,185.157
0.102,9.335,4.791,4.791,211.068,188.351,185.199
0.103,9.433,4.771,4.771,211.159,188.341,185.231
0.105,9.533,4.747,4.747,211.257,188.331,185.252
0.106,9.637,4.720,4.720,211.360,188.321,185.263
0.107,9.746,4.692,4.692,211.468,188.311,185.264
0.108,9.859,4.665,4.665,211.581,188.301,185.257
0.109,9.977,4.639,4.639,211.698,188.289,185.245
0.111,10.099,4.617,4.617,211.818,188.276,185.228
0.112,10.224,4.599,4.599,211.940,188.261,185.209
0.113,10.351,4.586,4.586,212.065,188.244,185.190
0.114,10.480,4.577,4.577,212.191,188.224,185.172
0.116,10.610,4.571,4.571,212.317,188.201,185.157
0.117,10.739,4.566,4.566,212.444,188.174,185.148
0.118,10.869,4.564,4.564,212.569,188.143,185.145
0.119,10.998,4.561,4.561,212.694,188.107,185.151
0.120,11.128,4.558,4.558,212.816,188.067,185.168
0.122,11.259,4.554,4.554,212.937,188.022,185.194
0.123,11.392,4.548,4.548,213.055,187.973,185.228
0.124,11.527,4.541,4.541,213.173,187.922,185.269
0.125,11.663,4.534,4.534,213.290,187.868,185.314
0.127,11.800,4.528,4.528,213.405,187.813,185.363
0.128,11.938,4.523,4.523,213.521,187.758,185.414
0.129,12.076,4.520,4.520,213.636,187.702,185.466
0.130,12.214,4.521,4.521,213.752,187.648,185.516
0.131,12.350,4.525,4.525,213.868,187.595,185.564
0.133,12.484,4.534,4.534,213.985,187.545,185.607
0.134,12.617,4.546,4.546,214.103,187.498,185.645
0.135,12.747,4.562,4.562,214.223,187.455,185.675
0.136,12.876,4.581,4.581,214.344,187.416,185.698
0.137,13.004,4.601,4.601,214.465,187.380,185.716
0.139,13.130,4.624,4.624,214.585,187.345,185.729
0.140,13.254,4.647,4.647,214.704,187.312,185.740
0.141,13.376,4.671,4.671,214.821,187.278,185.749
0.142,13.496,4.695,4.695,214.935,187.244,185.758
0.144,13.613,4.718,4.718,215.046,187.207,185.768
0.145,13.727,4.741,4.741,215.152,187.168,185.781
0.146,13.838,4.765,4.765,215.253,187.124,185.798
0.147,13.947,4.788,4.788,215.348,187.076,185.821
0.148,14.054,4.811,4.811,215.436,187.022,185.851
0.150,14.162,4.834,4.834,215.516,186.961,185.889
0.151,14.272,4.858,4.858,215.589,186.893,185.937
0.152,14.386,4.881,4.881,215.656,186.820,185.992
0.153,14.504,4.905,4.905,215.718,186.741,186.055
0.155,14.627,4.930,4.930,215.777,186.659,186.124
0.156,14.753,4.955,4.955,215.835,186.575,186.199
0.157,14.884,4.982,4.982,215.893,186.489,186.278
0.158,15.017,5.010,5.010,215.952,186.403,186.361
0.159,15.153,5.040,5.040,216.015,186.318,186.447
0.161,15.291,5.072,5.072,216.082,186.236,186.535
0.162,15.432,5.106,5.106,216.156,186.156,186.624
0.163,15.574,5.142,5.142,216.238,186.082,186.713
0.164,15.718,5.181,5.181,216.329,186.012,186.802
0.165,15.866,5.221,5.221,216.430,185.950,186.888
0.167,16.016,5.263,5.263,216.541,185.894,186.973
0.168,16.168,5.306,5.306,216.658,185.844,187.055
0.169,16.321,5.350,5.350,216.782,185.800,187.135
0.170,16.474,5.395,5.395,216.908,185.762,187.211
0.172,16.625,5.440,5.440,217.037,185.730,187.284
0.173,16.773,5.485,5.485,217.165,185.703,187.353
0.174,16.917,5.530,5.530,217.292,185.682,187.418
0.175,17.054,5.573,5.573,217.414,185.666,187.478
0.176,17.184,5.615,5.615,217.532,185.654,187.532
0.178,17.305,5.655,5.655,217.642,185.647,187.582
0.179,17.415,5.691,5.691,217.743,185.645,187.625
0.180,17.512,5.724,5.724,217.833,185.646,187.662
0.181,17.598,5.753,5.753,217.912,185.652,187.694
0.182,17.671,5.777,5.777,217.981,185.660,187.719
0.184,17.734,5.796,5.796,218.039,185.672,187.739
0.185,17.787,5.811,5.811,218.088,185.686,187.753
0.186,17.832,5.820,5.820,218.129,185.702,187.763
0.187,17.868,5.825,5.825,218.160,185.719,187.768
0.189,17.898,5.826,5.825,218.184,185.737,187.768
0.190,17.923,5.822,5.822,218.201,185.756,187.764
0.191,17.946,5.814,5.814,218.210,185.775,187.757
0.192,17.967,5.802,5.802,218.213,185.793,187.746
0.193,17.990,5.786,5.786,218.210,185.811,187.732
0.195,18.015,5.768,5.768,218.201,185.827,187.714
0.196,18.043,5.749,5.749,218.188,185.841,187.695
0.197,18.071,5.730,5.731,218.173,185.854,187.675
0.198,18.099,5.714,5.715,218.156,185.864,187.656
0.200,18.123,5.701,5.702,218.140,185.872,187.638
0.201,18.143,5.694,5.694,218.126,185.876,187.625
0.202,18.157,5.692,5.692,218.116,185.878,187.616
0.203,18.162,5.698,5.697,218.111,185.877,187.614
0.204,18.170,5.710,5.709,218.114,185.872,187.620
0.206,18.191,5.729,5.726,218.125,185.863,187.635
0.207,18.227,5.752,5.749,218.147,185.850,187.660
0.208,18.281,5.778,5.775,218.181,185.833,187.698
0.209,18.354,5.807,5.804,218.228,185.810,187.750
0.210,18.448,5.838,5.835,218.290,185.784,187.815
0.212,18.559,5.868,5.867,218.364,185.753,187.892
0.213,18.684,5.898,5.900,218.448,185.719,187.978
0.214,18.820,5.926,5.932,218.539,185.683,188.072
0.215,18.963,5.952,5.962,218.635,185.646,188.171
0.217,19.110,5.976,5.990,218.734,185.607,188.273
0.218,19.258,5.996,6.015,218.833,185.568,188.376
0.219,19.403,6.013,6.037,218.931,185.530,188.476
0.220,19.542,6.025,6.055,219.024,185.494,188.573
0.221,19.672,6.033,6.067,219.110,185.459,188.664
0.223,19.789,6.035,6.074,219.188,185.428,188.746
0.224,19.891,6.033,6.075,219.254,185.400,188.817
0.225,19.974,6.026,6.071,219.307,185.376,188.876
0.226,20.039,6.017,6.064,219.348,185.357,188.923
0.227,20.089,6.006,6.055,219.378,185.341,188.960
0.229,20.125,5.995,6.044,219.398,185.328,188.987
0.230,20.149,5.985,6.034,219.409,185.318,189.006
0.231,20.164,5.977,6.025,219.413,185.310,189.019
0.232,20.173,5.973,6.018,219.410,185.304,189.025
0.234,20.183,5.973,6.015,219.403,185.299,189.027
0.235,20.194,5.977,6.015,219.393,185.295,189.027
0.236,20.208,5.984,6.017,219.380,185.291,189.024
0.237,20.223,5.993,6.021,219.366,185.286,189.020
0.238,20.238,6.004,6.026,219.352,185.281,189.017
0.240,20.251,6.016,6.032,219.340,185.275,189.016
0.241,20.263,6.028,6.037,219.330,185.268,189.017
0.242,20.275,6.039,6.041,219.322,185.260,189.020
0.243,20.285,6.049,6.044,219.318,185.252,189.025
0.245,20.296,6.057,6.046,219.316,185.243,189.031
0.246,20.308,6.063,6.046,219.318,185.235,189.039
0.247,20.322,6.066,6.045,219.324,185.226,189.048
0.248,20.339,6.067,6.044,219.333,185.219,189.059
0.249,20.358,6.064,6.043,219.348,185.212,189.071
0.251,20.382,6.058,6.042,219.367,185.206,189.084
0.252,20.410,6.049,6.042,219.391,185.201,189.098
0.253,20.443,6.035,6.042,219.420,185.199,189.112
0.254,20.481,6.018,6.042,219.455,185.198,189.128
