"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.304,1.304,239.840,210.936,215.127
0.001,0.122,1.307,1.307,239.837,210.820,215.167
0.003,0.244,1.311,1.311,239.835,210.705,215.206
0.004,0.365,1.319,1.319,239.832,210.590,215.247
0.006,0.487,1.332,1.332,239.830,210.477,215.289
0.007,0.607,1.351,1.351,239.827,210.364,215.332
0.008,0.727,1.378,1.378,239.824,210.253,215.378
0.010,0.847,1.415,1.415,239.821,210.144,215.427
0.011,0.965,1.463,1.463,239.819,210.037,215.478
0.013,1.083,1.521,1.521,239.816,209.933,215.533
0.014,1.201,1.586,1.586,239.813,209.831,215.593
0.015,1.319,1.658,1.658,239.810,209.733,215.656
0.017,1.436,1.732,1.732,239.807,209.637,215.725
0.018,1.553,1.807,1.807,239.803,209.546,215.799
0.019,1.672,1.881,1.881,239.800,209.459,215.878
0.021,1.790,1.951,1.951,239.796,209.376,215.963
0.022,1.908,2.016,2.016,239.791,209.299,216.052
0.024,2.025,2.077,2.077,239.785,209.228,216.145
0.025,2.139,2.135,2.135,239.778,209.165,216.239
0.026,2.250,2.189,2.189,239.768,209.110,216.335
0.028,2.358,2.241,2.241,239.756,209.064,216.432
0.029,2.461,2.291,2.291,239.740,209.028,216.528
0.031,2.561,2.339,2.339,239.722,209.003,216.623
0.032,2.657,2.386,2.386,239.700,208.990,216.715
0.033,2.749,2.431,2.431,239.673,208.989,216.804
0.035,2.840,2.474,2.474,239.642,209.002,216.888
0.036,2.931,2.515,2.515,239.606,209.030,216.967
0.038,3.025,2.553,2.553,239.564,209.073,217.040
0.039,3.125,2.589,2.589,239.518,209.130,217.107
0.040,3.232,2.621,2.621,239.468,209.201,217.170
0.042,3.346,2.650,2.650,239.417,209.283,217.231
0.043,3.467,2.677,2.677,239.367,209.373,217.293
0.045,3.593,2.703,2.703,239.319,209.470,217.357
0.046,3.723,2.729,2.729,239.275,209.572,217.426
0.047,3.858,2.756,2.756,239.237,209.676,217.502
0.049,3.997,2.786,2.786,239.206,209.781,217.587
0.050,4.139,2.820,2.820,239.186,209.885,217.683
0.052,4.288,2.860,2.860,239.176,209.985,217.793
0.053,4.444,2.906,2.906,239.180,210.080,217.918
0.054,4.612,2.961,2.961,239.199,210.166,218.060
0.056,4.795,3.027,3.027,239.235,210.243,218.222
0.057,4.996,3.104,3.104,239.288,210.309,218.404
0.058,5.215,3.196,3.196,239.357,210.365,218.604
0.060,5.448,3.303,3.303,239.438,210.411,218.818
0.061,5.692,3.428,3.428,239.530,210.448,219.041
0.063,5.944,3.567,3.567,239.630,210.477,219.270
0.064,6.199,3.715,3.715,239.735,210.500,219.502
0.065,6.454,3.863,3.863,239.842,210.516,219.732
0.067,6.703,4.006,4.006,239.949,210.527,219.957
0.068,6.942,4.136,4.136,240.053,210.535,220.173
0.070,7.168,4.246,4.246,240.152,210.539,220.376
0.071,7.375,4.330,4.330,240.242,210.540,220.562
0.072,7.559,4.384,4.384,240.322,210.540,220.728
0.074,7.716,4.415,4.415,240.389,210.540,220.869
0.075,7.841,4.427,4.427,240.440,210.540,220.984
0.077,7.936,4.428,4.428,240.476,210.541,221.072
0.078,8.004,4.425,4.425,240.498,210.543,221.136
0.079,8.049,4.423,4.423,240.508,210.546,221.179
0.081,8.075,4.429,4.429,240.507,210.551,221.205
0.082,8.090,4.447,4.447,240.497,210.558,221.214
0.084,8.110,4.477,4.477,240.479,210.567,221.212
0.085,8.140,4.513,4.513,240.455,210.579,221.199
0.086,8.178,4.554,4.554,240.427,210.593,221.179
0.088,8.221,4.594,4.594,240.395,210.610,221.155
0.089,8.269,4.630,4.630,240.361,210.631,221.129
0.091,8.317,4.659,4.659,240.327,210.656,221.104
0.092,8.366,4.677,4.677,240.294,210.684,221.083
0.093,8.412,4.685,4.685,240.264,210.717,221.068
0.095,8.458,4.687,4.687,240.238,210.753,221.061
0.096,8.505,4.686,4.686,240.213,210.793,221.063
0.097,8.554,4.686,4.686,240.192,210.836,221.073
0.099,8.606,4.689,4.689,240.171,210.881,221.091
0.100,8.663,4.699,4.699,240.153,210.927,221.118
0.102,8.725,4.720,4.720,240.135,210.975,221.154
0.103,8.792,4.752,4.752,240.117,211.022,221.198
0.104,8.866,4.793,4.793,240.099,211.069,221.252
0.106,8.946,4.841,4.841,240.081,211.115,221.315
0.107,9.033,4.892,4.892,240.061,211.160,221.387
0.109,9.127,4.946,4.946,240.040,211.202,221.468
0.110,9.229,5.000,5.000,240.017,211.242,221.559
0.111,9.339,5.052,5.052,239.992,211.277,221.660
0.113,9.457,5.099,5.099,239.964,211.309,221.770
0.114,9.581,5.143,5.143,239.933,211.338,221.887
0.116,9.709,5.184,5.184,239.900,211.362,222.008
0.117,9.838,5.223,5.223,239.865,211.384,222.131
0.118,9.967,5.260,5.260,239.829,211.402,222.252
0.120,10.092,5.297,5.297,239.792,211.418,222.371
0.121,10.211,5.333,5.333,239.754,211.431,222.483
0.123,10.322,5.369,5.369,239.715,211.441,222.587
0.124,10.422,5.403,5.403,239.676,211.450,222.679
0.125,10.510,5.434,5.434,239.638,211.456,222.758
0.127,10.584,5.459,5.459,239.600,211.461,222.820
0.128,10.641,5.477,5.477,239.562,211.464,222.864
0.130,10.684,5.486,5.486,239.526,211.466,222.886
0.131,10.718,5.483,5.483,239.492,211.467,222.886
0.132,10.756,5.467,5.467,239.459,211.466,222.866
0.134,10.800,5.441,5.441,239.430,211.465,222.834
0.135,10.847,5.407,5.407,239.404,211.463,222.794
0.136,10.894,5.371,5.371,239.382,211.459,222.752
0.138,10.936,5.335,5.335,239.365,211.455,222.715
0.139,10.966,5.305,5.305,239.353,211.450,222.687
0.141,10.981,5.285,5.285,239.348,211.444,222.676
0.142,10.993,5.277,5.277,239.349,211.436,222.685
0.143,11.031,5.284,5.284,239.358,211.428,222.721
0.145,11.103,5.303,5.303,239.374,211.419,222.791
0.146,11.214,5.333,5.333,239.400,211.410,222.898
0.148,11.370,5.370,5.370,239.435,211.399,223.050
0.149,11.577,5.413,5.413,239.480,211.387,223.252
0.150,11.832,5.460,5.460,239.535,211.375,223.500
0.152,12.127,5.508,5.508,239.597,211.362,223.788
0.153,12.454,5.557,5.557,239.666,211.350,224.108
0.155,12.805,5.606,5.606,239.738,211.337,224.451
0.156,13.172,5.656,5.656,239.814,211.325,224.810
0.157,13.547,5.708,5.708,239.890,211.313,225.177
0.159,13.923,5.763,5.763,239.966,211.303,225.545
0.160,14.290,5.821,5.821,240.040,211.294,225.905
0.162,14.642,5.883,5.883,240.111,211.286,226.249
0.163,14.970,5.949,5.949,240.175,211.280,226.571
0.164,15.266,6.018,6.018,240.233,211.276,226.861
0.166,15.522,6.086,6.086,240.282,211.275,227.113
0.167,15.731,6.152,6.152,240.321,211.276,227.318
0.169,15.889,6.212,6.212,240.348,211.280,227.473
0.170,16.002,6.265,6.265,240.367,211.285,227.585
0.171,16.076,6.307,6.307,240.377,211.292,227.657
0.173,16.116,6.337,6.337,240.381,211.299,227.697
0.174,16.130,6.355,6.355,240.381,211.305,227.710
0.175,16.142,6.364,6.364,240.376,211.310,227.700
0.177,16.168,6.364,6.364,240.370,211.313,227.675
0.178,16.204,6.359,6.359,240.364,211.314,227.640
0.180,16.244,6.351,6.351,240.359,211.311,227.599
0.181,16.284,6.340,6.340,240.356,211.303,227.560
0.182,16.319,6.331,6.331,240.358,211.291,227.528
0.184,16.347,6.323,6.323,240.365,211.272,227.508
0.185,16.376,6.317,6.317,240.380,211.248,227.505
0.187,16.420,6.314,6.314,240.403,211.216,227.525
0.188,16.484,6.314,6.314,240.434,211.178,227.566
0.189,16.566,6.316,6.316,240.472,211.135,227.624
0.191,16.663,6.322,6.322,240.517,211.089,227.697
0.192,16.773,6.331,6.332,240.567,211.040,227.782
0.194,16.893,6.344,6.345,240.622,210.990,227.876
