"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.537,1.537,277.448,224.834,234.307
0.001,0.217,1.551,1.551,277.314,225.003,234.332
0.003,0.432,1.565,1.565,277.183,225.171,234.358
0.004,0.641,1.579,1.579,277.057,225.336,234.385
0.005,0.843,1.594,1.594,276.940,225.498,234.416
0.007,1.034,1.611,1.611,276.835,225.654,234.450
0.008,1.214,1.628,1.628,276.744,225.804,234.489
0.009,1.380,1.647,1.647,276.671,225.947,234.533
0.011,1.533,1.668,1.668,276.617,226.080,234.583
0.012,1.673,1.691,1.691,276.587,226.204,234.641
0.013,1.803,1.717,1.717,276.583,226.317,234.706
0.015,1.930,1.747,1.747,276.607,226.416,234.781
0.016,2.063,1.783,1.783,276.662,226.503,234.866
0.017,2.205,1.824,1.824,276.743,226.577,234.957
0.018,2.358,1.872,1.872,276.845,226.639,235.052
0.020,2.519,1.928,1.928,276.962,226.691,235.149
0.021,2.683,1.993,1.993,277.089,226.733,235.244
0.022,2.846,2.064,2.064,277.220,226.768,235.335
0.024,3.003,2.138,2.138,277.350,226.795,235.419
0.025,3.148,2.212,2.212,277.473,226.817,235.493
0.026,3.276,2.282,2.282,277.584,226.834,235.554
0.028,3.381,2.344,2.344,277.678,226.848,235.599
0.029,3.457,2.395,2.395,277.748,226.859,235.625
0.030,3.503,2.432,2.432,277.792,226.869,235.632
0.032,3.528,2.451,2.451,277.814,226.878,235.622
0.033,3.549,2.456,2.456,277.818,226.884,235.602
0.034,3.575,2.452,2.452,277.811,226.889,235.577
0.036,3.604,2.441,2.441,277.799,226.891,235.552
0.037,3.627,2.428,2.428,277.786,226.891,235.533
0.038,3.638,2.417,2.417,277.778,226.888,235.524
0.040,3.649,2.412,2.412,277.782,226.883,235.532
0.041,3.685,2.416,2.416,277.802,226.874,235.562
0.042,3.757,2.432,2.432,277.844,226.862,235.618
0.044,3.872,2.458,2.458,277.915,226.846,235.707
0.045,4.033,2.494,2.494,278.016,226.827,235.831
0.046,4.236,2.537,2.537,278.146,226.803,235.986
0.047,4.472,2.587,2.587,278.299,226.776,236.163
