"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,3.114,3.114,74.544,-50.445,-3.118
0.001,0.286,3.242,3.242,74.404,-50.543,-3.348
0.003,0.569,3.368,3.368,74.266,-50.639,-3.575
0.004,0.845,3.493,3.493,74.130,-50.733,-3.797
0.006,1.112,3.616,3.616,73.999,-50.822,-4.011
0.007,1.366,3.735,3.735,73.873,-50.904,-4.216
0.009,1.604,3.851,3.851,73.754,-50.980,-4.408
0.010,1.823,3.963,3.963,73.644,-51.047,-4.585
0.012,2.020,4.069,4.069,73.543,-51.103,-4.744
0.013,2.191,4.168,4.168,73.454,-51.147,-4.884
0.015,2.335,4.259,4.259,73.377,-51.178,-5.001
0.016,2.447,4.340,4.340,73.314,-51.195,-5.093
0.018,2.529,4.409,4.409,73.266,-51.195,-5.159
0.019,2.585,4.465,4.465,73.232,-51.183,-5.201
0.021,2.625,4.507,4.507,73.210,-51.159,-5.225
0.022,2.659,4.535,4.535,73.198,-51.128,-5.232
0.024,2.695,4.551,4.551,73.196,-51.092,-5.228
0.025,2.736,4.559,4.559,73.200,-51.053,-5.217
0.027,2.779,4.561,4.561,73.211,-51.015,-5.201
0.028,2.821,4.560,4.560,73.226,-50.979,-5.185
0.030,2.858,4.558,4.558,73.244,-50.949,-5.173
0.031,2.887,4.557,4.557,73.264,-50.928,-5.168
0.033,2.910,4.559,4.559,73.283,-50.918,-5.175
0.034,2.937,4.564,4.564,73.300,-50.920,-5.196
0.036,2.976,4.570,4.570,73.315,-50.935,-5.229
0.037,3.028,4.579,4.579,73.328,-50.960,-5.273
0.039,3.091,4.590,4.590,73.337,-50.993,-5.326
0.040,3.163,4.603,4.603,73.341,-51.034,-5.385
0.042,3.242,4.618,4.618,73.341,-51.081,-5.448
0.043,3.326,4.633,4.633,73.336,-51.132,-5.515
0.045,3.412,4.648,4.648,73.325,-51.185,-5.582
0.046,3.500,4.661,4.661,73.308,-51.240,-5.647
0.048,3.586,4.672,4.672,73.283,-51.295,-5.710
0.049,3.671,4.678,4.678,73.251,-51.348,-5.767
0.051,3.752,4.679,4.679,73.212,-51.398,-5.817
0.052,3.829,4.673,4.673,73.166,-51.443,-5.861
0.054,3.901,4.662,4.662,73.118,-51.482,-5.898
0.055,3.967,4.646,4.646,73.068,-51.513,-5.929
0.057,4.026,4.624,4.624,73.019,-51.534,-5.952
0.058,4.076,4.598,4.598,72.973,-51.545,-5.970
0.060,4.118,4.567,4.567,72.933,-51.543,-5.981
0.061,4.155,4.531,4.531,72.900,-51.527,-5.985
0.063,4.194,4.494,4.494,72.877,-51.496,-5.984
0.064,4.244,4.458,4.458,72.865,-51.448,-5.976
0.066,4.312,4.426,4.426,72.868,-51.381,-5.962
0.067,4.399,4.403,4.403,72.884,-51.298,-5.943
0.069,4.496,4.391,4.391,72.911,-51.207,-5.921
0.070,4.594,4.394,4.394,72.942,-51.117,-5.899
0.072,4.682,4.415,4.415,72.973,-51.037,-5.879
0.073,4.750,4.448,4.448,73.000,-50.976,-5.863
0.075,4.788,4.485,4.485,73.017,-50.944,-5.855
0.076,4.795,4.519,4.519,73.020,-50.949,-5.856
0.078,4.851,4.542,4.542,73.005,-51.002,-5.869
0.079,4.969,4.545,4.545,72.967,-51.110,-5.897
0.081,5.161,4.522,4.522,72.900,-51.284,-5.942
0.082,5.435,4.467,4.467,72.800,-51.532,-6.007
0.084,5.794,4.389,4.389,72.667,-51.854,-6.091
0.085,6.220,4.299,4.299,72.508,-52.236,-6.191
0.087,6.697,4.207,4.207,72.328,-52.664,-6.302
0.088,7.208,4.123,4.123,72.136,-53.122,-6.420
0.090,7.735,4.058,4.058,71.938,-53.596,-6.541
0.091,8.262,4.022,4.022,71.741,-54.069,-6.661
